Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
BALI,Kab. Buleleng,2018,,Rupiah,Modal Kerja,3770499.312801
BALI,Kab. Buleleng,2018,,Rupiah,Investasi,2264892.232435
BALI,Kab. Buleleng,2018,,Rupiah,Konsumsi,4319462.043861
BALI,Kab. Buleleng,2019,,Rupiah,Modal Kerja,3692502.539102
BALI,Kab. Buleleng,2019,,Rupiah,Investasi,2955268.298637
BALI,Kab. Buleleng,2019,,Rupiah,Konsumsi,4613751.675733
BALI,Kab. Buleleng,2020,,Rupiah,Modal Kerja,3620109.290523
BALI,Kab. Buleleng,2020,,Rupiah,Investasi,2500097.493553
BALI,Kab. Buleleng,2020,,Rupiah,Konsumsi,4450967.772418
BALI,Kab. Buleleng,2021,,Rupiah,Modal Kerja,3812626.855079
BALI,Kab. Buleleng,2021,,Rupiah,Investasi,2637229.673451
BALI,Kab. Buleleng,2021,,Rupiah,Konsumsi,4225235.301985
BALI,Kab. Buleleng,2022,,Rupiah,Modal Kerja,3908510.738431
BALI,Kab. Buleleng,2022,,Rupiah,Investasi,2826821.300493
BALI,Kab. Buleleng,2022,,Rupiah,Konsumsi,4528305.193062
BALI,Kab. Buleleng,2023,Mar,Rupiah,Modal Kerja,3865264.277569
BALI,Kab. Buleleng,2023,Mar,Rupiah,Investasi,2956483.368636
BALI,Kab. Buleleng,2023,Mar,Rupiah,Konsumsi,4554070.225318
BALI,Kab. Buleleng,2023,Apr,Rupiah,Modal Kerja,3841813.128832
BALI,Kab. Buleleng,2023,Apr,Rupiah,Investasi,2990476.458057
BALI,Kab. Buleleng,2023,Apr,Rupiah,Konsumsi,4571818.434005
BALI,Kab. Buleleng,2023,May,Rupiah,Modal Kerja,3877365.634215
BALI,Kab. Buleleng,2023,May,Rupiah,Investasi,3030603.249931
BALI,Kab. Buleleng,2023,May,Rupiah,Konsumsi,4605469.271803
BALI,Kab. Buleleng,2023,Jun,Rupiah,Modal Kerja,3887257.900293
BALI,Kab. Buleleng,2023,Jun,Rupiah,Investasi,3062373.87996
BALI,Kab. Buleleng,2023,Jun,Rupiah,Konsumsi,4641814.818636
BALI,Kab. Buleleng,2023,Jul,Rupiah,Modal Kerja,3919983.357158
BALI,Kab. Buleleng,2023,Jul,Rupiah,Investasi,3084619.963991
BALI,Kab. Buleleng,2023,Jul,Rupiah,Konsumsi,4666968.103284
BALI,Kab. Buleleng,2023,Aug,Rupiah,Modal Kerja,3948516.683966
BALI,Kab. Buleleng,2023,Aug,Rupiah,Investasi,3104204.967995
BALI,Kab. Buleleng,2023,Aug,Rupiah,Konsumsi,4722024.041553
BALI,Kab. Buleleng,2023,Sep,Rupiah,Modal Kerja,3964440.612476
BALI,Kab. Buleleng,2023,Sep,Rupiah,Investasi,3112998.903667
BALI,Kab. Buleleng,2023,Sep,Rupiah,Konsumsi,4707549.26884
BALI,Kab. Buleleng,2023,Oct,Rupiah,Modal Kerja,3959370.098813
BALI,Kab. Buleleng,2023,Oct,Rupiah,Investasi,3144982.562834
BALI,Kab. Buleleng,2023,Oct,Rupiah,Konsumsi,4771969.785139
BALI,Kab. Buleleng,2023,Nov,Rupiah,Modal Kerja,3884022.574046
BALI,Kab. Buleleng,2023,Nov,Rupiah,Investasi,3176672.102481
BALI,Kab. Buleleng,2023,Nov,Rupiah,Konsumsi,4815132.130381
BALI,Kab. Buleleng,2023,Dec,Rupiah,Modal Kerja,3902182.082986
BALI,Kab. Buleleng,2023,Dec,Rupiah,Investasi,3225394.647903
BALI,Kab. Buleleng,2023,Dec,Rupiah,Konsumsi,4831044.544584
BALI,Kab. Buleleng,2024,Jan,Rupiah,Modal Kerja,3853599.173975
BALI,Kab. Buleleng,2024,Jan,Rupiah,Investasi,3259872.040323
BALI,Kab. Buleleng,2024,Jan,Rupiah,Konsumsi,4836103.993831
BALI,Kab. Buleleng,2024,Feb,Rupiah,Modal Kerja,3876184.905796
BALI,Kab. Buleleng,2024,Feb,Rupiah,Investasi,3291565.895066
BALI,Kab. Buleleng,2024,Feb,Rupiah,Konsumsi,4870770.311399
BALI,Kab. Buleleng,2024,Mar,Rupiah,Modal Kerja,3844603.95371
BALI,Kab. Buleleng,2024,Mar,Rupiah,Investasi,3324918.987239
BALI,Kab. Buleleng,2024,Mar,Rupiah,Konsumsi,4916257.104633
