Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
BANTEN,Kab. Lebak,2018,,Rupiah,Modal Kerja,3806443.748591
BANTEN,Kab. Lebak,2018,,Rupiah,Investasi,3094792.074165
BANTEN,Kab. Lebak,2018,,Rupiah,Konsumsi,3929359.126954
BANTEN,Kab. Lebak,2019,,Rupiah,Modal Kerja,3500412.147031
BANTEN,Kab. Lebak,2019,,Rupiah,Investasi,3296388.37592
BANTEN,Kab. Lebak,2019,,Rupiah,Konsumsi,3577445.401306
BANTEN,Kab. Lebak,2020,,Rupiah,Modal Kerja,2986243.687512
BANTEN,Kab. Lebak,2020,,Rupiah,Investasi,2899599.999635
BANTEN,Kab. Lebak,2020,,Rupiah,Konsumsi,3471107.599363
BANTEN,Kab. Lebak,2021,,Rupiah,Modal Kerja,3498150.753711
BANTEN,Kab. Lebak,2021,,Rupiah,Investasi,575056.921982
BANTEN,Kab. Lebak,2021,,Rupiah,Konsumsi,4886924.504355
BANTEN,Kab. Lebak,2022,,Rupiah,Modal Kerja,4781806.946132
BANTEN,Kab. Lebak,2022,,Rupiah,Investasi,511936.60016
BANTEN,Kab. Lebak,2022,,Rupiah,Konsumsi,5571198.769388
BANTEN,Kab. Lebak,2023,Mar,Rupiah,Modal Kerja,4760077.246267
BANTEN,Kab. Lebak,2023,Mar,Rupiah,Investasi,508151.144437
BANTEN,Kab. Lebak,2023,Mar,Rupiah,Konsumsi,5640796.925303
BANTEN,Kab. Lebak,2023,Apr,Rupiah,Modal Kerja,4751346.877862
BANTEN,Kab. Lebak,2023,Apr,Rupiah,Investasi,500801.981944
BANTEN,Kab. Lebak,2023,Apr,Rupiah,Konsumsi,5656824.033781
BANTEN,Kab. Lebak,2023,May,Rupiah,Modal Kerja,4662658.29455
BANTEN,Kab. Lebak,2023,May,Rupiah,Investasi,503113.507774
BANTEN,Kab. Lebak,2023,May,Rupiah,Konsumsi,4622450.027624
BANTEN,Kab. Lebak,2023,Jun,Rupiah,Modal Kerja,4707432.623868
BANTEN,Kab. Lebak,2023,Jun,Rupiah,Investasi,511929.057024
BANTEN,Kab. Lebak,2023,Jun,Rupiah,Konsumsi,5723362.159364
BANTEN,Kab. Lebak,2023,Jul,Rupiah,Modal Kerja,4704339.728009
BANTEN,Kab. Lebak,2023,Jul,Rupiah,Investasi,516180.449237
BANTEN,Kab. Lebak,2023,Jul,Rupiah,Konsumsi,5771273.287829
BANTEN,Kab. Lebak,2023,Aug,Rupiah,Modal Kerja,4710945.750201
BANTEN,Kab. Lebak,2023,Aug,Rupiah,Investasi,527372.715201
BANTEN,Kab. Lebak,2023,Aug,Rupiah,Konsumsi,5824508.807763
BANTEN,Kab. Lebak,2023,Sep,Rupiah,Modal Kerja,4819753.376311
BANTEN,Kab. Lebak,2023,Sep,Rupiah,Investasi,525253.404609
BANTEN,Kab. Lebak,2023,Sep,Rupiah,Konsumsi,5861859.895933
BANTEN,Kab. Lebak,2023,Oct,Rupiah,Modal Kerja,4841798.281916
BANTEN,Kab. Lebak,2023,Oct,Rupiah,Investasi,529544.189828
BANTEN,Kab. Lebak,2023,Oct,Rupiah,Konsumsi,5903310.189905
BANTEN,Kab. Lebak,2023,Nov,Rupiah,Modal Kerja,4564213.424255
BANTEN,Kab. Lebak,2023,Nov,Rupiah,Investasi,540815.4994
BANTEN,Kab. Lebak,2023,Nov,Rupiah,Konsumsi,5951615.990205
BANTEN,Kab. Lebak,2023,Dec,Rupiah,Modal Kerja,4599571.206926
BANTEN,Kab. Lebak,2023,Dec,Rupiah,Investasi,545850.076025
BANTEN,Kab. Lebak,2023,Dec,Rupiah,Konsumsi,5973355.19076
BANTEN,Kab. Lebak,2024,Jan,Rupiah,Modal Kerja,4560063.503998
BANTEN,Kab. Lebak,2024,Jan,Rupiah,Investasi,556184.691748
BANTEN,Kab. Lebak,2024,Jan,Rupiah,Konsumsi,6017498.013228
BANTEN,Kab. Lebak,2024,Feb,Rupiah,Modal Kerja,4509698.243154
BANTEN,Kab. Lebak,2024,Feb,Rupiah,Investasi,566740.448245
BANTEN,Kab. Lebak,2024,Feb,Rupiah,Konsumsi,6041182.765392
BANTEN,Kab. Lebak,2024,Mar,Rupiah,Modal Kerja,4485765.574638
BANTEN,Kab. Lebak,2024,Mar,Rupiah,Investasi,566676.593251
