Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
JAKARTA,Wil. Kota Jakarta Pusat,2018,,Rupiah,Modal Kerja,249948862.40361
JAKARTA,Wil. Kota Jakarta Pusat,2018,,Rupiah,Investasi,164480355.6415
JAKARTA,Wil. Kota Jakarta Pusat,2018,,Rupiah,Konsumsi,45889052.320041
JAKARTA,Wil. Kota Jakarta Pusat,2019,,Rupiah,Modal Kerja,264082378.449167
JAKARTA,Wil. Kota Jakarta Pusat,2019,,Rupiah,Investasi,191544420.580835
JAKARTA,Wil. Kota Jakarta Pusat,2019,,Rupiah,Konsumsi,47499835.800421
JAKARTA,Wil. Kota Jakarta Pusat,2020,,Rupiah,Modal Kerja,228833109.846686
JAKARTA,Wil. Kota Jakarta Pusat,2020,,Rupiah,Investasi,131485903.104737
JAKARTA,Wil. Kota Jakarta Pusat,2020,,Rupiah,Konsumsi,45007443.325806
JAKARTA,Wil. Kota Jakarta Pusat,2021,,Rupiah,Modal Kerja,231361997.940315
JAKARTA,Wil. Kota Jakarta Pusat,2021,,Rupiah,Investasi,131882219.924288
JAKARTA,Wil. Kota Jakarta Pusat,2021,,Rupiah,Konsumsi,46134705.903392
JAKARTA,Wil. Kota Jakarta Pusat,2022,,Rupiah,Modal Kerja,259172738.781055
JAKARTA,Wil. Kota Jakarta Pusat,2022,,Rupiah,Investasi,171519599.054885
JAKARTA,Wil. Kota Jakarta Pusat,2022,,Rupiah,Konsumsi,51892349.919546
JAKARTA,Wil. Kota Jakarta Pusat,2023,Mar,Rupiah,Modal Kerja,262990598.291554
JAKARTA,Wil. Kota Jakarta Pusat,2023,Mar,Rupiah,Investasi,170898785.392286
JAKARTA,Wil. Kota Jakarta Pusat,2023,Mar,Rupiah,Konsumsi,47987847.900608
JAKARTA,Wil. Kota Jakarta Pusat,2023,Apr,Rupiah,Modal Kerja,277449203.252743
JAKARTA,Wil. Kota Jakarta Pusat,2023,Apr,Rupiah,Investasi,170185817.706965
JAKARTA,Wil. Kota Jakarta Pusat,2023,Apr,Rupiah,Konsumsi,48071429.254964
JAKARTA,Wil. Kota Jakarta Pusat,2023,May,Rupiah,Modal Kerja,287137834.754477
JAKARTA,Wil. Kota Jakarta Pusat,2023,May,Rupiah,Investasi,177344450.033233
JAKARTA,Wil. Kota Jakarta Pusat,2023,May,Rupiah,Konsumsi,48518703.112932
JAKARTA,Wil. Kota Jakarta Pusat,2023,Jun,Rupiah,Modal Kerja,293336126.447257
JAKARTA,Wil. Kota Jakarta Pusat,2023,Jun,Rupiah,Investasi,178538567.219907
JAKARTA,Wil. Kota Jakarta Pusat,2023,Jun,Rupiah,Konsumsi,48757178.023667
JAKARTA,Wil. Kota Jakarta Pusat,2023,Jul,Rupiah,Modal Kerja,292787130.521138
JAKARTA,Wil. Kota Jakarta Pusat,2023,Jul,Rupiah,Investasi,189790502.67943
JAKARTA,Wil. Kota Jakarta Pusat,2023,Jul,Rupiah,Konsumsi,49684216.943813
JAKARTA,Wil. Kota Jakarta Pusat,2023,Aug,Rupiah,Modal Kerja,290684057.992247
JAKARTA,Wil. Kota Jakarta Pusat,2023,Aug,Rupiah,Investasi,190327491.258203
JAKARTA,Wil. Kota Jakarta Pusat,2023,Aug,Rupiah,Konsumsi,50385910.760872
JAKARTA,Wil. Kota Jakarta Pusat,2023,Sep,Rupiah,Modal Kerja,300209363.618169
JAKARTA,Wil. Kota Jakarta Pusat,2023,Sep,Rupiah,Investasi,193122852.017677
JAKARTA,Wil. Kota Jakarta Pusat,2023,Sep,Rupiah,Konsumsi,52643816.395204
JAKARTA,Wil. Kota Jakarta Pusat,2023,Oct,Rupiah,Modal Kerja,297750542.142227
JAKARTA,Wil. Kota Jakarta Pusat,2023,Oct,Rupiah,Investasi,189676252.972735
JAKARTA,Wil. Kota Jakarta Pusat,2023,Oct,Rupiah,Konsumsi,53311061.881044
JAKARTA,Wil. Kota Jakarta Pusat,2023,Nov,Rupiah,Modal Kerja,307370897.161127
JAKARTA,Wil. Kota Jakarta Pusat,2023,Nov,Rupiah,Investasi,189487964.186201
JAKARTA,Wil. Kota Jakarta Pusat,2023,Nov,Rupiah,Konsumsi,54598131.830455
JAKARTA,Wil. Kota Jakarta Pusat,2023,Dec,Rupiah,Modal Kerja,327746820.853698
JAKARTA,Wil. Kota Jakarta Pusat,2023,Dec,Rupiah,Investasi,191779912.129048
JAKARTA,Wil. Kota Jakarta Pusat,2023,Dec,Rupiah,Konsumsi,55830344.392214
JAKARTA,Wil. Kota Jakarta Pusat,2024,Jan,Rupiah,Modal Kerja,316025079.373474
JAKARTA,Wil. Kota Jakarta Pusat,2024,Jan,Rupiah,Investasi,191574722.936642
JAKARTA,Wil. Kota Jakarta Pusat,2024,Jan,Rupiah,Konsumsi,55635070.590954
JAKARTA,Wil. Kota Jakarta Pusat,2024,Feb,Rupiah,Modal Kerja,317040576.88097
JAKARTA,Wil. Kota Jakarta Pusat,2024,Feb,Rupiah,Investasi,192237782.710093
JAKARTA,Wil. Kota Jakarta Pusat,2024,Feb,Rupiah,Konsumsi,55822900.43038
