Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
GORONTALO,Kab. Gorontalo,2019,,Giro,88551.062874,2977
GORONTALO,Kab. Gorontalo,2019,,Simpanan Berjangka,167624.449284,965
GORONTALO,Kab. Gorontalo,2019,,Tabungan,854278.198668,461684
GORONTALO,Kab. Gorontalo,2020,,Giro,91146.545646,3472
GORONTALO,Kab. Gorontalo,2020,,Simpanan Berjangka,196093.887405,1044
GORONTALO,Kab. Gorontalo,2020,,Tabungan,878213.278349,546494
GORONTALO,Kab. Gorontalo,2021,,Giro,241802.547187,3927
GORONTALO,Kab. Gorontalo,2021,,Simpanan Berjangka,183173.046051,912
GORONTALO,Kab. Gorontalo,2021,,Tabungan,997545.799737,626101
GORONTALO,Kab. Gorontalo,2022,,Giro,184457.566871,3916
GORONTALO,Kab. Gorontalo,2022,,Simpanan Berjangka,172710.487967,939
GORONTALO,Kab. Gorontalo,2022,,Tabungan,1048463.158888,526468
GORONTALO,Kab. Gorontalo,2023,,Giro,100110.331399,3277
GORONTALO,Kab. Gorontalo,2023,,Simpanan Berjangka,181410.273751,866
GORONTALO,Kab. Gorontalo,2023,,Tabungan,928277.989081,477227
GORONTALO,Kab. Gorontalo,2023,Mar,Giro,188997.201886,3343
GORONTALO,Kab. Gorontalo,2023,Mar,Simpanan Berjangka,230535.642597,916
GORONTALO,Kab. Gorontalo,2023,Mar,Tabungan,875144.10218,431839
GORONTALO,Kab. Gorontalo,2023,Apr,Giro,165842.226864,3359
GORONTALO,Kab. Gorontalo,2023,Apr,Simpanan Berjangka,232900.270364,906
GORONTALO,Kab. Gorontalo,2023,Apr,Tabungan,906589.52876,445998
GORONTALO,Kab. Gorontalo,2023,May,Giro,136458.568794,4357
GORONTALO,Kab. Gorontalo,2023,May,Simpanan Berjangka,242273.603873,909
GORONTALO,Kab. Gorontalo,2023,May,Tabungan,896959.321077,440018
GORONTALO,Kab. Gorontalo,2023,Jun,Giro,230499.326311,3386
GORONTALO,Kab. Gorontalo,2023,Jun,Simpanan Berjangka,254225.259911,925
GORONTALO,Kab. Gorontalo,2023,Jun,Tabungan,905786.825398,441689
GORONTALO,Kab. Gorontalo,2023,Jul,Giro,201616.144903,3426
GORONTALO,Kab. Gorontalo,2023,Jul,Simpanan Berjangka,276283.438413,933
GORONTALO,Kab. Gorontalo,2023,Jul,Tabungan,924009.060594,444585
GORONTALO,Kab. Gorontalo,2023,Aug,Giro,151289.169946,3424
GORONTALO,Kab. Gorontalo,2023,Aug,Simpanan Berjangka,279452.553142,903
GORONTALO,Kab. Gorontalo,2023,Aug,Tabungan,899158.308073,450574
GORONTALO,Kab. Gorontalo,2023,Sep,Giro,163391.863891,3430
GORONTALO,Kab. Gorontalo,2023,Sep,Simpanan Berjangka,264153.449761,899
GORONTALO,Kab. Gorontalo,2023,Sep,Tabungan,892843.139015,454138
GORONTALO,Kab. Gorontalo,2023,Oct,Giro,157218.698947,3441
GORONTALO,Kab. Gorontalo,2023,Oct,Simpanan Berjangka,267597.439435,911
GORONTALO,Kab. Gorontalo,2023,Oct,Tabungan,876991.451927,474597
GORONTALO,Kab. Gorontalo,2023,Nov,Giro,158786.872784,3436
GORONTALO,Kab. Gorontalo,2023,Nov,Simpanan Berjangka,241480.78211,886
