Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
JAWA BARAT,Kab. Bekasi,2019,,Giro,15384180.892628,36531
JAWA BARAT,Kab. Bekasi,2019,,Simpanan Berjangka,18883115.333115,50940
JAWA BARAT,Kab. Bekasi,2019,,Tabungan,21647733.610329,3629112
JAWA BARAT,Kab. Bekasi,2020,,Giro,14360369.226636,38219
JAWA BARAT,Kab. Bekasi,2020,,Simpanan Berjangka,21266137.195859,54288
JAWA BARAT,Kab. Bekasi,2020,,Tabungan,24194387.31736,4222897
JAWA BARAT,Kab. Bekasi,2021,,Giro,16396694.571469,39814
JAWA BARAT,Kab. Bekasi,2021,,Simpanan Berjangka,21590738.677819,52976
JAWA BARAT,Kab. Bekasi,2021,,Tabungan,27659439.31158,4762223
JAWA BARAT,Kab. Bekasi,2022,,Giro,17034176.431468,35139
JAWA BARAT,Kab. Bekasi,2022,,Simpanan Berjangka,22839639.401145,51260
JAWA BARAT,Kab. Bekasi,2022,,Tabungan,29255296.028616,4382897
JAWA BARAT,Kab. Bekasi,2023,,Giro,17738398.750239,33194
JAWA BARAT,Kab. Bekasi,2023,,Simpanan Berjangka,25572697.318881,48344
JAWA BARAT,Kab. Bekasi,2023,,Tabungan,25559597.155832,3610777
JAWA BARAT,Kab. Bekasi,2023,Mar,Giro,16249575.951079,35200
JAWA BARAT,Kab. Bekasi,2023,Mar,Simpanan Berjangka,22003653.076054,49168
JAWA BARAT,Kab. Bekasi,2023,Mar,Tabungan,25683257.369504,3572427
JAWA BARAT,Kab. Bekasi,2023,Apr,Giro,15868430.579204,35109
JAWA BARAT,Kab. Bekasi,2023,Apr,Simpanan Berjangka,22087827.244629,49552
JAWA BARAT,Kab. Bekasi,2023,Apr,Tabungan,25774635.640405,3603569
JAWA BARAT,Kab. Bekasi,2023,May,Giro,16251225.583264,45466
JAWA BARAT,Kab. Bekasi,2023,May,Simpanan Berjangka,21869835.988422,47495
JAWA BARAT,Kab. Bekasi,2023,May,Tabungan,25264208.407206,3466844
JAWA BARAT,Kab. Bekasi,2023,Jun,Giro,15893141.740795,34048
JAWA BARAT,Kab. Bekasi,2023,Jun,Simpanan Berjangka,21480524.467471,47438
JAWA BARAT,Kab. Bekasi,2023,Jun,Tabungan,24877070.690642,3483516
JAWA BARAT,Kab. Bekasi,2023,Jul,Giro,16835681.794226,34233
JAWA BARAT,Kab. Bekasi,2023,Jul,Simpanan Berjangka,20955360.802644,47705
JAWA BARAT,Kab. Bekasi,2023,Jul,Tabungan,25067476.110288,3514510
JAWA BARAT,Kab. Bekasi,2023,Aug,Giro,17160268.990957,34467
JAWA BARAT,Kab. Bekasi,2023,Aug,Simpanan Berjangka,21223770.178388,48054
JAWA BARAT,Kab. Bekasi,2023,Aug,Tabungan,25335692.086496,3548306
JAWA BARAT,Kab. Bekasi,2023,Sep,Giro,17256458.08522,33864
JAWA BARAT,Kab. Bekasi,2023,Sep,Simpanan Berjangka,21565900.99531,46969
JAWA BARAT,Kab. Bekasi,2023,Sep,Tabungan,24838079.552482,3476456
JAWA BARAT,Kab. Bekasi,2023,Oct,Giro,18173731.919056,34033
JAWA BARAT,Kab. Bekasi,2023,Oct,Simpanan Berjangka,24434282.968635,48020
JAWA BARAT,Kab. Bekasi,2023,Oct,Tabungan,25286628.160697,3545402
JAWA BARAT,Kab. Bekasi,2023,Nov,Giro,19379733.441141,34078
JAWA BARAT,Kab. Bekasi,2023,Nov,Simpanan Berjangka,25481461.598284,47410
JAWA BARAT,Kab. Bekasi,2023,Nov,Tabungan,24761354.869558,3568166
JAWA BARAT,Kab. Bekasi,2023,Dec,Giro,17738398.750239,33194
JAWA BARAT,Kab. Bekasi,2023,Dec,Simpanan Berjangka,25572697.318881,48344
JAWA BARAT,Kab. Bekasi,2023,Dec,Tabungan,25559597.155832,3610777
JAWA BARAT,Kab. Bekasi,2024,Jan,Giro,18338946.430934,33491
JAWA BARAT,Kab. Bekasi,2024,Jan,Simpanan Berjangka,23543946.899648,46037
JAWA BARAT,Kab. Bekasi,2024,Jan,Tabungan,25344252.407576,3580025
JAWA BARAT,Kab. Bekasi,2024,Feb,Giro,17221935.149202,33542
JAWA BARAT,Kab. Bekasi,2024,Feb,Simpanan Berjangka,25554229.819273,46199
JAWA BARAT,Kab. Bekasi,2024,Feb,Tabungan,25786786.129764,3610525
JAWA BARAT,Kab. Bekasi,2024,Mar,Giro,18042429.627098,33509
JAWA BARAT,Kab. Bekasi,2024,Mar,Simpanan Berjangka,25143964.695265,46660
JAWA BARAT,Kab. Bekasi,2024,Mar,Tabungan,26725876.400534,3627297
JAWA BARAT,Kab. Purwakarta,2019,,Giro,1304601.817575,8155
JAWA BARAT,Kab. Purwakarta,2019,,Simpanan Berjangka,1833975.283057,7120
JAWA BARAT,Kab. Purwakarta,2019,,Tabungan,3655033.495686,933289
JAWA BARAT,Kab. Purwakarta,2020,,Giro,1200486.205111,7067
JAWA BARAT,Kab. Purwakarta,2020,,Simpanan Berjangka,2535368.617237,7422
JAWA BARAT,Kab. Purwakarta,2020,,Tabungan,4070960.711737,1082373
JAWA BARAT,Kab. Purwakarta,2021,,Giro,1567212.453146,7373
JAWA BARAT,Kab. Purwakarta,2021,,Simpanan Berjangka,2252841.045766,7382
JAWA BARAT,Kab. Purwakarta,2021,,Tabungan,4588294.512052,1256191
JAWA BARAT,Kab. Purwakarta,2022,,Giro,1597005.127805,5513
JAWA BARAT,Kab. Purwakarta,2022,,Simpanan Berjangka,2087260.77854,7295
JAWA BARAT,Kab. Purwakarta,2022,,Tabungan,5147850.659491,1067737
JAWA BARAT,Kab. Purwakarta,2023,,Giro,1625354.18586,5796
JAWA BARAT,Kab. Purwakarta,2023,,Simpanan Berjangka,1786077.831174,7962
JAWA BARAT,Kab. Purwakarta,2023,,Tabungan,5571226.862396,1168165
JAWA BARAT,Kab. Purwakarta,2023,Mar,Giro,1670898.152095,5821
JAWA BARAT,Kab. Purwakarta,2023,Mar,Simpanan Berjangka,2081188.082511,7289
JAWA BARAT,Kab. Purwakarta,2023,Mar,Tabungan,4933767.262343,1086709
JAWA BARAT,Kab. Purwakarta,2023,Apr,Giro,1585479.106081,5647
JAWA BARAT,Kab. Purwakarta,2023,Apr,Simpanan Berjangka,2012594.281106,7384
JAWA BARAT,Kab. Purwakarta,2023,Apr,Tabungan,4915917.424412,1109137
JAWA BARAT,Kab. Purwakarta,2023,May,Giro,1425539.711541,8843
JAWA BARAT,Kab. Purwakarta,2023,May,Simpanan Berjangka,2125047.142147,7399
JAWA BARAT,Kab. Purwakarta,2023,May,Tabungan,4555451.440231,1113786
JAWA BARAT,Kab. Purwakarta,2023,Jun,Giro,1551666.837532,5737
JAWA BARAT,Kab. Purwakarta,2023,Jun,Simpanan Berjangka,2047500.558786,7451
JAWA BARAT,Kab. Purwakarta,2023,Jun,Tabungan,5054740.255775,1118588
JAWA BARAT,Kab. Purwakarta,2023,Jul,Giro,1619456.153356,5989
JAWA BARAT,Kab. Purwakarta,2023,Jul,Simpanan Berjangka,1963795.830312,7528
JAWA BARAT,Kab. Purwakarta,2023,Jul,Tabungan,5164409.703916,1127537
