Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
JAWA TENGAH,Kab. Semarang,2019,,Giro,886279.59629,5573
JAWA TENGAH,Kab. Semarang,2019,,Simpanan Berjangka,3635857.229844,20383
JAWA TENGAH,Kab. Semarang,2019,,Tabungan,4763334.456279,986585
JAWA TENGAH,Kab. Semarang,2020,,Giro,1018421.531436,5046
JAWA TENGAH,Kab. Semarang,2020,,Simpanan Berjangka,2843292.918708,21099
JAWA TENGAH,Kab. Semarang,2020,,Tabungan,5176681.672209,1062156
JAWA TENGAH,Kab. Semarang,2021,,Giro,1464083.229415,5266
JAWA TENGAH,Kab. Semarang,2021,,Simpanan Berjangka,2855057.180852,20711
JAWA TENGAH,Kab. Semarang,2021,,Tabungan,5699803.25701,1146234
JAWA TENGAH,Kab. Semarang,2022,,Giro,1447793.342355,5938
JAWA TENGAH,Kab. Semarang,2022,,Simpanan Berjangka,3338343.961744,24341
JAWA TENGAH,Kab. Semarang,2022,,Tabungan,6349810.568825,1123924
JAWA TENGAH,Kab. Semarang,2023,,Giro,1014842.170639,3480
JAWA TENGAH,Kab. Semarang,2023,,Simpanan Berjangka,2461899.118282,18319
JAWA TENGAH,Kab. Semarang,2023,,Tabungan,6071411.469733,1256076
JAWA TENGAH,Kab. Semarang,2023,Mar,Giro,1081899.946958,4851
JAWA TENGAH,Kab. Semarang,2023,Mar,Simpanan Berjangka,2250128.46991,17741
JAWA TENGAH,Kab. Semarang,2023,Mar,Tabungan,5497336.074324,1194097
JAWA TENGAH,Kab. Semarang,2023,Apr,Giro,1030332.332918,4812
JAWA TENGAH,Kab. Semarang,2023,Apr,Simpanan Berjangka,2318161.871983,17825
JAWA TENGAH,Kab. Semarang,2023,Apr,Tabungan,5540919.953165,1198257
JAWA TENGAH,Kab. Semarang,2023,May,Giro,1064023.13515,6646
JAWA TENGAH,Kab. Semarang,2023,May,Simpanan Berjangka,2348050.936618,18046
JAWA TENGAH,Kab. Semarang,2023,May,Tabungan,5572372.916607,1202221
JAWA TENGAH,Kab. Semarang,2023,Jun,Giro,916184.610677,4074
JAWA TENGAH,Kab. Semarang,2023,Jun,Simpanan Berjangka,2329409.605104,17959
JAWA TENGAH,Kab. Semarang,2023,Jun,Tabungan,5683147.784594,1210459
JAWA TENGAH,Kab. Semarang,2023,Jul,Giro,1089517.221072,4723
JAWA TENGAH,Kab. Semarang,2023,Jul,Simpanan Berjangka,2244932.352201,17931
JAWA TENGAH,Kab. Semarang,2023,Jul,Tabungan,5997203.666149,1211444
JAWA TENGAH,Kab. Semarang,2023,Aug,Giro,1040915.957117,4772
JAWA TENGAH,Kab. Semarang,2023,Aug,Simpanan Berjangka,2233558.589156,17874
JAWA TENGAH,Kab. Semarang,2023,Aug,Tabungan,5933997.867617,1214746
JAWA TENGAH,Kab. Semarang,2023,Sep,Giro,1016345.034939,4783
JAWA TENGAH,Kab. Semarang,2023,Sep,Simpanan Berjangka,2426693.6099,18119
JAWA TENGAH,Kab. Semarang,2023,Sep,Tabungan,5963806.462104,1224708
JAWA TENGAH,Kab. Semarang,2023,Oct,Giro,1060080.206956,4726
JAWA TENGAH,Kab. Semarang,2023,Oct,Simpanan Berjangka,2359615.723587,18209
JAWA TENGAH,Kab. Semarang,2023,Oct,Tabungan,5929638.217364,1232927
JAWA TENGAH,Kab. Semarang,2023,Nov,Giro,933724.7552,4622
JAWA TENGAH,Kab. Semarang,2023,Nov,Simpanan Berjangka,2391014.743932,18262
JAWA TENGAH,Kab. Semarang,2023,Nov,Tabungan,6044888.44155,1244760
JAWA TENGAH,Kab. Semarang,2023,Dec,Giro,1014842.170639,3480
JAWA TENGAH,Kab. Semarang,2023,Dec,Simpanan Berjangka,2461899.118282,18319
JAWA TENGAH,Kab. Semarang,2023,Dec,Tabungan,6071411.469733,1256076
JAWA TENGAH,Kab. Semarang,2024,Jan,Giro,1062753.819812,4962
JAWA TENGAH,Kab. Semarang,2024,Jan,Simpanan Berjangka,2444747.393211,18346
JAWA TENGAH,Kab. Semarang,2024,Jan,Tabungan,6092058.52736,1255941
JAWA TENGAH,Kab. Semarang,2024,Feb,Giro,1049111.857081,4995
JAWA TENGAH,Kab. Semarang,2024,Feb,Simpanan Berjangka,2420923.469296,18386
JAWA TENGAH,Kab. Semarang,2024,Feb,Tabungan,6065312.932534,1260917
JAWA TENGAH,Kab. Semarang,2024,Mar,Giro,1034737.458155,4990
JAWA TENGAH,Kab. Semarang,2024,Mar,Simpanan Berjangka,2364603.987028,18410
JAWA TENGAH,Kab. Semarang,2024,Mar,Tabungan,6068934.894661,1266303
JAWA TENGAH,Kab. Kendal,2019,,Giro,293540.304841,2307
JAWA TENGAH,Kab. Kendal,2019,,Simpanan Berjangka,1057200.037377,10806
JAWA TENGAH,Kab. Kendal,2019,,Tabungan,3684136.685972,905636
JAWA TENGAH,Kab. Kendal,2020,,Giro,456502.880461,3036
JAWA TENGAH,Kab. Kendal,2020,,Simpanan Berjangka,1182771.300821,10931
JAWA TENGAH,Kab. Kendal,2020,,Tabungan,4116441.271631,1047776
JAWA TENGAH,Kab. Kendal,2021,,Giro,903280.124739,3446
JAWA TENGAH,Kab. Kendal,2021,,Simpanan Berjangka,1290359.705386,11024
JAWA TENGAH,Kab. Kendal,2021,,Tabungan,4647810.687584,1164402
JAWA TENGAH,Kab. Kendal,2022,,Giro,619941.182334,2935
JAWA TENGAH,Kab. Kendal,2022,,Simpanan Berjangka,1304979.610607,11129
JAWA TENGAH,Kab. Kendal,2022,,Tabungan,4971041.6645,1068689
JAWA TENGAH,Kab. Kendal,2023,,Giro,595599.705934,3136
JAWA TENGAH,Kab. Kendal,2023,,Simpanan Berjangka,1483210.371763,11275
JAWA TENGAH,Kab. Kendal,2023,,Tabungan,5274547.751943,1155237
JAWA TENGAH,Kab. Kendal,2023,Mar,Giro,662026.635577,3168
JAWA TENGAH,Kab. Kendal,2023,Mar,Simpanan Berjangka,1411012.751408,11127
JAWA TENGAH,Kab. Kendal,2023,Mar,Tabungan,4779903.279646,1078900
JAWA TENGAH,Kab. Kendal,2023,Apr,Giro,608744.750678,3188
JAWA TENGAH,Kab. Kendal,2023,Apr,Simpanan Berjangka,1651307.940328,11094
JAWA TENGAH,Kab. Kendal,2023,Apr,Tabungan,4849502.806597,1098254
JAWA TENGAH,Kab. Kendal,2023,May,Giro,615427.635282,4891
JAWA TENGAH,Kab. Kendal,2023,May,Simpanan Berjangka,1602399.819337,11144
JAWA TENGAH,Kab. Kendal,2023,May,Tabungan,4845395.126466,1096469
JAWA TENGAH,Kab. Kendal,2023,Jun,Giro,476404.334649,3208
JAWA TENGAH,Kab. Kendal,2023,Jun,Simpanan Berjangka,1640476.104404,11151
JAWA TENGAH,Kab. Kendal,2023,Jun,Tabungan,4858866.241644,1111822
JAWA TENGAH,Kab. Kendal,2023,Jul,Giro,569392.303465,3240
JAWA TENGAH,Kab. Kendal,2023,Jul,Simpanan Berjangka,1630913.873165,11000
JAWA TENGAH,Kab. Kendal,2023,Jul,Tabungan,4891818.486327,1113066
JAWA TENGAH,Kab. Kendal,2023,Aug,Giro,579362.313191,3233
JAWA TENGAH,Kab. Kendal,2023,Aug,Simpanan Berjangka,1639077.859785,11046
JAWA TENGAH,Kab. Kendal,2023,Aug,Tabungan,4906900.514852,1116305
JAWA TENGAH,Kab. Kendal,2023,Sep,Giro,666237.168911,3251
JAWA TENGAH,Kab. Kendal,2023,Sep,Simpanan Berjangka,1499284.632518,11040
JAWA TENGAH,Kab. Kendal,2023,Sep,Tabungan,5023918.031475,1124440
JAWA TENGAH,Kab. Kendal,2023,Oct,Giro,710469.063271,3243
