Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
KALIMANTAN SELATAN,Kab. Banjar,2018,,Rupiah,Modal Kerja,2523785.291481
KALIMANTAN SELATAN,Kab. Banjar,2018,,Rupiah,Investasi,2667557.520649
KALIMANTAN SELATAN,Kab. Banjar,2018,,Rupiah,Konsumsi,3158172.423747
KALIMANTAN SELATAN,Kab. Banjar,2019,,Rupiah,Modal Kerja,2176899.86574
KALIMANTAN SELATAN,Kab. Banjar,2019,,Rupiah,Investasi,1218345.262117
KALIMANTAN SELATAN,Kab. Banjar,2019,,Rupiah,Konsumsi,3376287.318854
KALIMANTAN SELATAN,Kab. Banjar,2020,,Rupiah,Modal Kerja,1908611.299731
KALIMANTAN SELATAN,Kab. Banjar,2020,,Rupiah,Investasi,1616889.277272
KALIMANTAN SELATAN,Kab. Banjar,2020,,Rupiah,Konsumsi,3468416.789768
KALIMANTAN SELATAN,Kab. Banjar,2021,,Rupiah,Modal Kerja,2942266.506321
KALIMANTAN SELATAN,Kab. Banjar,2021,,Rupiah,Investasi,694061.376627
KALIMANTAN SELATAN,Kab. Banjar,2021,,Rupiah,Konsumsi,3650803.525
KALIMANTAN SELATAN,Kab. Banjar,2022,,Rupiah,Modal Kerja,2479554.161206
KALIMANTAN SELATAN,Kab. Banjar,2022,,Rupiah,Investasi,1285833.73081
KALIMANTAN SELATAN,Kab. Banjar,2022,,Rupiah,Konsumsi,4109910.668103
KALIMANTAN SELATAN,Kab. Banjar,2023,Mar,Rupiah,Modal Kerja,2459348.664465
KALIMANTAN SELATAN,Kab. Banjar,2023,Mar,Rupiah,Investasi,1395536.884545
KALIMANTAN SELATAN,Kab. Banjar,2023,Mar,Rupiah,Konsumsi,4212709.947411
KALIMANTAN SELATAN,Kab. Banjar,2023,Apr,Rupiah,Modal Kerja,2512166.124948
KALIMANTAN SELATAN,Kab. Banjar,2023,Apr,Rupiah,Investasi,1408497.025539
KALIMANTAN SELATAN,Kab. Banjar,2023,Apr,Rupiah,Konsumsi,4232530.888293
KALIMANTAN SELATAN,Kab. Banjar,2023,May,Rupiah,Modal Kerja,2514537.070289
KALIMANTAN SELATAN,Kab. Banjar,2023,May,Rupiah,Investasi,1518387.987778
KALIMANTAN SELATAN,Kab. Banjar,2023,May,Rupiah,Konsumsi,4274000.418407
KALIMANTAN SELATAN,Kab. Banjar,2023,Jun,Rupiah,Modal Kerja,2502564.373048
KALIMANTAN SELATAN,Kab. Banjar,2023,Jun,Rupiah,Investasi,1575596.240984
KALIMANTAN SELATAN,Kab. Banjar,2023,Jun,Rupiah,Konsumsi,4322900.575954
KALIMANTAN SELATAN,Kab. Banjar,2023,Jul,Rupiah,Modal Kerja,2584352.717016
KALIMANTAN SELATAN,Kab. Banjar,2023,Jul,Rupiah,Investasi,1585164.815767
KALIMANTAN SELATAN,Kab. Banjar,2023,Jul,Rupiah,Konsumsi,4390731.438977
KALIMANTAN SELATAN,Kab. Banjar,2023,Aug,Rupiah,Modal Kerja,2668041.551114
KALIMANTAN SELATAN,Kab. Banjar,2023,Aug,Rupiah,Investasi,1635147.176191
KALIMANTAN SELATAN,Kab. Banjar,2023,Aug,Rupiah,Konsumsi,4462568.701108
KALIMANTAN SELATAN,Kab. Banjar,2023,Sep,Rupiah,Modal Kerja,2852197.137011
KALIMANTAN SELATAN,Kab. Banjar,2023,Sep,Rupiah,Investasi,1615084.076991
KALIMANTAN SELATAN,Kab. Banjar,2023,Sep,Rupiah,Konsumsi,4676800.488632
KALIMANTAN SELATAN,Kab. Banjar,2023,Oct,Rupiah,Modal Kerja,2398997.335014
KALIMANTAN SELATAN,Kab. Banjar,2023,Oct,Rupiah,Investasi,1570913.319941
KALIMANTAN SELATAN,Kab. Banjar,2023,Oct,Rupiah,Konsumsi,4741052.760492
KALIMANTAN SELATAN,Kab. Banjar,2023,Nov,Rupiah,Modal Kerja,2425570.083227
KALIMANTAN SELATAN,Kab. Banjar,2023,Nov,Rupiah,Investasi,1573297.767625
KALIMANTAN SELATAN,Kab. Banjar,2023,Nov,Rupiah,Konsumsi,4804715.920755
KALIMANTAN SELATAN,Kab. Banjar,2023,Dec,Rupiah,Modal Kerja,2483987.028094
KALIMANTAN SELATAN,Kab. Banjar,2023,Dec,Rupiah,Investasi,1567273.612645
KALIMANTAN SELATAN,Kab. Banjar,2023,Dec,Rupiah,Konsumsi,4837287.460875
KALIMANTAN SELATAN,Kab. Banjar,2024,Jan,Rupiah,Modal Kerja,2472604.094836
KALIMANTAN SELATAN,Kab. Banjar,2024,Jan,Rupiah,Investasi,1557625.811005
KALIMANTAN SELATAN,Kab. Banjar,2024,Jan,Rupiah,Konsumsi,4908794.114503
KALIMANTAN SELATAN,Kab. Banjar,2024,Feb,Rupiah,Modal Kerja,2486354.098188
KALIMANTAN SELATAN,Kab. Banjar,2024,Feb,Rupiah,Investasi,1564533.116103
KALIMANTAN SELATAN,Kab. Banjar,2024,Feb,Rupiah,Konsumsi,4982320.755256
KALIMANTAN SELATAN,Kab. Banjar,2024,Mar,Rupiah,Modal Kerja,2599329.578325
KALIMANTAN SELATAN,Kab. Banjar,2024,Mar,Rupiah,Investasi,1604715.770696
KALIMANTAN SELATAN,Kab. Banjar,2024,Mar,Rupiah,Konsumsi,5104386.574371
KALIMANTAN SELATAN,Kab. Tanah Laut,2018,,Rupiah,Modal Kerja,2221542.954273
KALIMANTAN SELATAN,Kab. Tanah Laut,2018,,Rupiah,Investasi,446408.941697
KALIMANTAN SELATAN,Kab. Tanah Laut,2018,,Rupiah,Konsumsi,1081007.390805
KALIMANTAN SELATAN,Kab. Tanah Laut,2019,,Rupiah,Modal Kerja,1774241.676754
KALIMANTAN SELATAN,Kab. Tanah Laut,2019,,Rupiah,Investasi,1040108.712633
KALIMANTAN SELATAN,Kab. Tanah Laut,2019,,Rupiah,Konsumsi,1155075.408903
KALIMANTAN SELATAN,Kab. Tanah Laut,2020,,Rupiah,Modal Kerja,1501551.524668
KALIMANTAN SELATAN,Kab. Tanah Laut,2020,,Rupiah,Investasi,1052099.320884
KALIMANTAN SELATAN,Kab. Tanah Laut,2020,,Rupiah,Konsumsi,1459213.359999
KALIMANTAN SELATAN,Kab. Tanah Laut,2021,,Rupiah,Modal Kerja,1844371.667553
KALIMANTAN SELATAN,Kab. Tanah Laut,2021,,Rupiah,Investasi,1002727.251317
KALIMANTAN SELATAN,Kab. Tanah Laut,2021,,Rupiah,Konsumsi,1213750.794367
KALIMANTAN SELATAN,Kab. Tanah Laut,2022,,Rupiah,Modal Kerja,2409599.677833
KALIMANTAN SELATAN,Kab. Tanah Laut,2022,,Rupiah,Investasi,2632602.47846
KALIMANTAN SELATAN,Kab. Tanah Laut,2022,,Rupiah,Konsumsi,1357751.019462
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Mar,Rupiah,Modal Kerja,1783589.561133
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Mar,Rupiah,Investasi,2493754.034131
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Mar,Rupiah,Konsumsi,1391274.31962
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Apr,Rupiah,Modal Kerja,1774738.416389
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Apr,Rupiah,Investasi,2465768.807776
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Apr,Rupiah,Konsumsi,1398480.07879
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,May,Rupiah,Modal Kerja,1785902.047645
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,May,Rupiah,Investasi,2532358.316659
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,May,Rupiah,Konsumsi,1414934.694049
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Jun,Rupiah,Modal Kerja,1798248.674784
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Jun,Rupiah,Investasi,2488864.91059
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Jun,Rupiah,Konsumsi,1430552.443653
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Jul,Rupiah,Modal Kerja,1546702.920823
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Jul,Rupiah,Investasi,2456648.889563
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Jul,Rupiah,Konsumsi,1437157.232468
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Aug,Rupiah,Modal Kerja,1552816.47844
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Aug,Rupiah,Investasi,2426696.714677
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Aug,Rupiah,Konsumsi,1458248.540238
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Sep,Rupiah,Modal Kerja,1584746.028293
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Sep,Rupiah,Investasi,2377239.659103
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Sep,Rupiah,Konsumsi,1471412.620138
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Oct,Rupiah,Modal Kerja,1605876.509641
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Oct,Rupiah,Investasi,2349216.568152
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Oct,Rupiah,Konsumsi,1479754.742218
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Nov,Rupiah,Modal Kerja,1702216.457615
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Nov,Rupiah,Investasi,2327832.421719
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Nov,Rupiah,Konsumsi,1496307.524966
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Dec,Rupiah,Modal Kerja,1720807.345307
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Dec,Rupiah,Investasi,2291097.827803
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Dec,Rupiah,Konsumsi,1506003.006758
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Jan,Rupiah,Modal Kerja,1797449.750147
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Jan,Rupiah,Investasi,2272380.861197
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Jan,Rupiah,Konsumsi,1502622.616316
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Feb,Rupiah,Modal Kerja,1694286.167832
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Feb,Rupiah,Investasi,2270749.596294
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Feb,Rupiah,Konsumsi,1501089.900589
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Mar,Rupiah,Modal Kerja,1682699.86931
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Mar,Rupiah,Investasi,2282469.276938
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Mar,Rupiah,Konsumsi,1517181.97635
KALIMANTAN SELATAN,Kab. Tapin,2018,,Rupiah,Modal Kerja,754700.325642
KALIMANTAN SELATAN,Kab. Tapin,2018,,Rupiah,Investasi,1940591.769055
KALIMANTAN SELATAN,Kab. Tapin,2018,,Rupiah,Konsumsi,744274.787135
KALIMANTAN SELATAN,Kab. Tapin,2019,,Rupiah,Modal Kerja,588239.944206
KALIMANTAN SELATAN,Kab. Tapin,2019,,Rupiah,Investasi,2036920.843479
KALIMANTAN SELATAN,Kab. Tapin,2019,,Rupiah,Konsumsi,768756.367122
KALIMANTAN SELATAN,Kab. Tapin,2020,,Rupiah,Modal Kerja,1075210.798207
KALIMANTAN SELATAN,Kab. Tapin,2020,,Rupiah,Investasi,1895810.749052
KALIMANTAN SELATAN,Kab. Tapin,2020,,Rupiah,Konsumsi,780733.327881
KALIMANTAN SELATAN,Kab. Tapin,2021,,Rupiah,Modal Kerja,1130377.180175
KALIMANTAN SELATAN,Kab. Tapin,2021,,Rupiah,Investasi,1581579.819132
