Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
KALIMANTAN TENGAH,Kab. Kapuas,2019,,Giro,264524.274682,1842
KALIMANTAN TENGAH,Kab. Kapuas,2019,,Simpanan Berjangka,271579.981075,1351
KALIMANTAN TENGAH,Kab. Kapuas,2019,,Tabungan,1030408.730049,252004
KALIMANTAN TENGAH,Kab. Kapuas,2020,,Giro,192653.633556,2227
KALIMANTAN TENGAH,Kab. Kapuas,2020,,Simpanan Berjangka,247780.754176,1357
KALIMANTAN TENGAH,Kab. Kapuas,2020,,Tabungan,1209335.514335,358454
KALIMANTAN TENGAH,Kab. Kapuas,2021,,Giro,297317.746883,2672
KALIMANTAN TENGAH,Kab. Kapuas,2021,,Simpanan Berjangka,244509.537324,1347
KALIMANTAN TENGAH,Kab. Kapuas,2021,,Tabungan,1348708.748164,432036
KALIMANTAN TENGAH,Kab. Kapuas,2022,,Giro,476776.157218,1663
KALIMANTAN TENGAH,Kab. Kapuas,2022,,Simpanan Berjangka,234534.207121,1341
KALIMANTAN TENGAH,Kab. Kapuas,2022,,Tabungan,1374068.390513,341705
KALIMANTAN TENGAH,Kab. Kapuas,2023,,Giro,624712.825262,1908
KALIMANTAN TENGAH,Kab. Kapuas,2023,,Simpanan Berjangka,598025.380516,1480
KALIMANTAN TENGAH,Kab. Kapuas,2023,,Tabungan,1467540.481096,385756
KALIMANTAN TENGAH,Kab. Kapuas,2023,Mar,Giro,533150.555173,1968
KALIMANTAN TENGAH,Kab. Kapuas,2023,Mar,Simpanan Berjangka,332603.830394,1319
KALIMANTAN TENGAH,Kab. Kapuas,2023,Mar,Tabungan,1359557.753064,356803
KALIMANTAN TENGAH,Kab. Kapuas,2023,Apr,Giro,683588.478463,1847
KALIMANTAN TENGAH,Kab. Kapuas,2023,Apr,Simpanan Berjangka,327902.45379,1322
KALIMANTAN TENGAH,Kab. Kapuas,2023,Apr,Tabungan,1388921.429101,362685
KALIMANTAN TENGAH,Kab. Kapuas,2023,May,Giro,626258.584496,2665
KALIMANTAN TENGAH,Kab. Kapuas,2023,May,Simpanan Berjangka,329106.323205,1329
KALIMANTAN TENGAH,Kab. Kapuas,2023,May,Tabungan,1363237.90503,362639
KALIMANTAN TENGAH,Kab. Kapuas,2023,Jun,Giro,576038.507017,1828
KALIMANTAN TENGAH,Kab. Kapuas,2023,Jun,Simpanan Berjangka,331347.86295,1330
KALIMANTAN TENGAH,Kab. Kapuas,2023,Jun,Tabungan,1400425.028363,365695
KALIMANTAN TENGAH,Kab. Kapuas,2023,Jul,Giro,626168.376696,2410
KALIMANTAN TENGAH,Kab. Kapuas,2023,Jul,Simpanan Berjangka,328330.324472,1330
KALIMANTAN TENGAH,Kab. Kapuas,2023,Jul,Tabungan,1407255.894295,369737
KALIMANTAN TENGAH,Kab. Kapuas,2023,Aug,Giro,588563.839567,1978
KALIMANTAN TENGAH,Kab. Kapuas,2023,Aug,Simpanan Berjangka,331729.862294,1388
KALIMANTAN TENGAH,Kab. Kapuas,2023,Aug,Tabungan,1381595.108039,372019
KALIMANTAN TENGAH,Kab. Kapuas,2023,Sep,Giro,659847.296404,2017
KALIMANTAN TENGAH,Kab. Kapuas,2023,Sep,Simpanan Berjangka,334604.05091,1429
KALIMANTAN TENGAH,Kab. Kapuas,2023,Sep,Tabungan,1364939.179449,373370
KALIMANTAN TENGAH,Kab. Kapuas,2023,Oct,Giro,1162301.312669,1978
KALIMANTAN TENGAH,Kab. Kapuas,2023,Oct,Simpanan Berjangka,387300.261012,1452
KALIMANTAN TENGAH,Kab. Kapuas,2023,Oct,Tabungan,1378968.410404,375872
KALIMANTAN TENGAH,Kab. Kapuas,2023,Nov,Giro,1149117.712869,1987
KALIMANTAN TENGAH,Kab. Kapuas,2023,Nov,Simpanan Berjangka,340187.627718,1462
KALIMANTAN TENGAH,Kab. Kapuas,2023,Nov,Tabungan,1417120.789603,382036
KALIMANTAN TENGAH,Kab. Kapuas,2023,Dec,Giro,624712.825262,1908
KALIMANTAN TENGAH,Kab. Kapuas,2023,Dec,Simpanan Berjangka,598025.380516,1480
KALIMANTAN TENGAH,Kab. Kapuas,2023,Dec,Tabungan,1467540.481096,385756
KALIMANTAN TENGAH,Kab. Kapuas,2024,Jan,Giro,801416.186187,2428
KALIMANTAN TENGAH,Kab. Kapuas,2024,Jan,Simpanan Berjangka,593301.758735,1446
KALIMANTAN TENGAH,Kab. Kapuas,2024,Jan,Tabungan,1415536.685496,386538
KALIMANTAN TENGAH,Kab. Kapuas,2024,Feb,Giro,787500.230369,1921
KALIMANTAN TENGAH,Kab. Kapuas,2024,Feb,Simpanan Berjangka,582554.427549,1422
KALIMANTAN TENGAH,Kab. Kapuas,2024,Feb,Tabungan,1389862.151668,388384
KALIMANTAN TENGAH,Kab. Kapuas,2024,Mar,Giro,969332.759196,1924
KALIMANTAN TENGAH,Kab. Kapuas,2024,Mar,Simpanan Berjangka,434559.04402,1449
KALIMANTAN TENGAH,Kab. Kapuas,2024,Mar,Tabungan,1439979.637868,390618
KALIMANTAN TENGAH,Kab. Kotawaringin Barat,2019,,Giro,1027115.33883,3025
KALIMANTAN TENGAH,Kab. Kotawaringin Barat,2019,,Simpanan Berjangka,863961.630522,2267
KALIMANTAN TENGAH,Kab. Kotawaringin Barat,2019,,Tabungan,2407685.496684,441839
KALIMANTAN TENGAH,Kab. Kotawaringin Barat,2020,,Giro,822409.391858,3181
KALIMANTAN TENGAH,Kab. Kotawaringin Barat,2020,,Simpanan Berjangka,890875.272289,2366
KALIMANTAN TENGAH,Kab. Kotawaringin Barat,2020,,Tabungan,2808402.370548,512967
KALIMANTAN TENGAH,Kab. Kotawaringin Barat,2021,,Giro,1065529.86954,3228
KALIMANTAN TENGAH,Kab. Kotawaringin Barat,2021,,Simpanan Berjangka,1076582.822322,2411
KALIMANTAN TENGAH,Kab. Kotawaringin Barat,2021,,Tabungan,3414103.481663,565932
KALIMANTAN TENGAH,Kab. Kotawaringin Barat,2022,,Giro,1303585.626492,3379
