Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
KALIMANTAN UTARA,Kab. Bulungan,2019,,Giro,712671.316318,2027
KALIMANTAN UTARA,Kab. Bulungan,2019,,Simpanan Berjangka,443512.217878,1814
KALIMANTAN UTARA,Kab. Bulungan,2019,,Tabungan,1390325.19165,201527
KALIMANTAN UTARA,Kab. Bulungan,2020,,Giro,243432.889307,1666
KALIMANTAN UTARA,Kab. Bulungan,2020,,Simpanan Berjangka,354653.645923,1498
KALIMANTAN UTARA,Kab. Bulungan,2020,,Tabungan,1357767.801845,201721
KALIMANTAN UTARA,Kab. Bulungan,2021,,Giro,538425.882146,1947
KALIMANTAN UTARA,Kab. Bulungan,2021,,Simpanan Berjangka,368815.005441,1458
KALIMANTAN UTARA,Kab. Bulungan,2021,,Tabungan,1439082.641507,231439
KALIMANTAN UTARA,Kab. Bulungan,2022,,Giro,1019595.495513,1685
KALIMANTAN UTARA,Kab. Bulungan,2022,,Simpanan Berjangka,421638.171258,1529
KALIMANTAN UTARA,Kab. Bulungan,2022,,Tabungan,1538611.391626,213808
KALIMANTAN UTARA,Kab. Bulungan,2023,,Giro,1102574.459186,2064
KALIMANTAN UTARA,Kab. Bulungan,2023,,Simpanan Berjangka,537705.50867,1703
KALIMANTAN UTARA,Kab. Bulungan,2023,,Tabungan,1805487.3535,252475
KALIMANTAN UTARA,Kab. Bulungan,2023,Mar,Giro,967009.257306,1966
KALIMANTAN UTARA,Kab. Bulungan,2023,Mar,Simpanan Berjangka,860909.641011,1584
KALIMANTAN UTARA,Kab. Bulungan,2023,Mar,Tabungan,1498690.096059,230912
KALIMANTAN UTARA,Kab. Bulungan,2023,Apr,Giro,1141603.17043,1957
KALIMANTAN UTARA,Kab. Bulungan,2023,Apr,Simpanan Berjangka,872607.39367,1576
KALIMANTAN UTARA,Kab. Bulungan,2023,Apr,Tabungan,1544391.547947,235867
KALIMANTAN UTARA,Kab. Bulungan,2023,May,Giro,1055667.652003,3501
KALIMANTAN UTARA,Kab. Bulungan,2023,May,Simpanan Berjangka,929670.990035,1587
KALIMANTAN UTARA,Kab. Bulungan,2023,May,Tabungan,1544950.396345,236801
KALIMANTAN UTARA,Kab. Bulungan,2023,Jun,Giro,1074693.137173,1978
KALIMANTAN UTARA,Kab. Bulungan,2023,Jun,Simpanan Berjangka,928415.516325,1590
KALIMANTAN UTARA,Kab. Bulungan,2023,Jun,Tabungan,1587498.679293,239123
KALIMANTAN UTARA,Kab. Bulungan,2023,Jul,Giro,989371.490002,2199
KALIMANTAN UTARA,Kab. Bulungan,2023,Jul,Simpanan Berjangka,973319.725426,1617
KALIMANTAN UTARA,Kab. Bulungan,2023,Jul,Tabungan,1576390.927981,240861
KALIMANTAN UTARA,Kab. Bulungan,2023,Aug,Giro,827495.349238,2169
KALIMANTAN UTARA,Kab. Bulungan,2023,Aug,Simpanan Berjangka,1074105.804828,1623
KALIMANTAN UTARA,Kab. Bulungan,2023,Aug,Tabungan,1552306.282083,243664
KALIMANTAN UTARA,Kab. Bulungan,2023,Sep,Giro,907086.588608,2164
KALIMANTAN UTARA,Kab. Bulungan,2023,Sep,Simpanan Berjangka,1081475.717771,1633
KALIMANTAN UTARA,Kab. Bulungan,2023,Sep,Tabungan,1573539.401157,245234
KALIMANTAN UTARA,Kab. Bulungan,2023,Oct,Giro,1122607.769125,2100
KALIMANTAN UTARA,Kab. Bulungan,2023,Oct,Simpanan Berjangka,1059239.912532,1656
KALIMANTAN UTARA,Kab. Bulungan,2023,Oct,Tabungan,1592548.989789,249020
KALIMANTAN UTARA,Kab. Bulungan,2023,Nov,Giro,939688.301389,2093
KALIMANTAN UTARA,Kab. Bulungan,2023,Nov,Simpanan Berjangka,1071679.778839,1708
KALIMANTAN UTARA,Kab. Bulungan,2023,Nov,Tabungan,1672664.863817,251137
KALIMANTAN UTARA,Kab. Bulungan,2023,Dec,Giro,1102574.459186,2064
KALIMANTAN UTARA,Kab. Bulungan,2023,Dec,Simpanan Berjangka,537705.50867,1703
KALIMANTAN UTARA,Kab. Bulungan,2023,Dec,Tabungan,1805487.3535,252475
KALIMANTAN UTARA,Kab. Bulungan,2024,Jan,Giro,1187938.975642,2366
KALIMANTAN UTARA,Kab. Bulungan,2024,Jan,Simpanan Berjangka,629289.276038,1714
KALIMANTAN UTARA,Kab. Bulungan,2024,Jan,Tabungan,1698586.30856,253979
KALIMANTAN UTARA,Kab. Bulungan,2024,Feb,Giro,1146209.419271,2376
KALIMANTAN UTARA,Kab. Bulungan,2024,Feb,Simpanan Berjangka,719389.699909,1716
KALIMANTAN UTARA,Kab. Bulungan,2024,Feb,Tabungan,1682334.525408,254667
KALIMANTAN UTARA,Kab. Bulungan,2024,Mar,Giro,1080181.12061,2343
KALIMANTAN UTARA,Kab. Bulungan,2024,Mar,Simpanan Berjangka,750591.943963,1720
KALIMANTAN UTARA,Kab. Bulungan,2024,Mar,Tabungan,1715687.288378,256108
KALIMANTAN UTARA,Kab. Nunukan,2019,,Giro,180986.006895,2227
