Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
PAPUA BARAT,Kab. Teluk Wondama,2019,,Giro,60825.614168,571
PAPUA BARAT,Kab. Teluk Wondama,2019,,Simpanan Berjangka,6487,55
PAPUA BARAT,Kab. Teluk Wondama,2019,,Tabungan,110810.117374,25937
PAPUA BARAT,Kab. Teluk Wondama,2020,,Giro,121864.831897,637
PAPUA BARAT,Kab. Teluk Wondama,2020,,Simpanan Berjangka,7716,67
PAPUA BARAT,Kab. Teluk Wondama,2020,,Tabungan,121629.831977,29875
PAPUA BARAT,Kab. Teluk Wondama,2021,,Giro,37537.341991,636
PAPUA BARAT,Kab. Teluk Wondama,2021,,Simpanan Berjangka,4755,43
PAPUA BARAT,Kab. Teluk Wondama,2021,,Tabungan,117960.605657,32882
PAPUA BARAT,Kab. Teluk Wondama,2022,,Giro,41653.650029,701
PAPUA BARAT,Kab. Teluk Wondama,2022,,Simpanan Berjangka,9659.500834,93
PAPUA BARAT,Kab. Teluk Wondama,2022,,Tabungan,118534.15599,29920
PAPUA BARAT,Kab. Teluk Wondama,2023,,Giro,34058.694878,731
PAPUA BARAT,Kab. Teluk Wondama,2023,,Simpanan Berjangka,9526.000834,65
PAPUA BARAT,Kab. Teluk Wondama,2023,,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2023,Mar,Giro,43656.493813,661
PAPUA BARAT,Kab. Teluk Wondama,2023,Mar,Simpanan Berjangka,3397.000834,47
PAPUA BARAT,Kab. Teluk Wondama,2023,Mar,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2023,Apr,Giro,70697.031915,676
PAPUA BARAT,Kab. Teluk Wondama,2023,Apr,Simpanan Berjangka,3456.000834,49
PAPUA BARAT,Kab. Teluk Wondama,2023,Apr,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2023,May,Giro,91120.880618,663
PAPUA BARAT,Kab. Teluk Wondama,2023,May,Simpanan Berjangka,3281.000834,50
PAPUA BARAT,Kab. Teluk Wondama,2023,May,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2023,Jun,Giro,60757.156628,686
PAPUA BARAT,Kab. Teluk Wondama,2023,Jun,Simpanan Berjangka,3089.000834,48
PAPUA BARAT,Kab. Teluk Wondama,2023,Jun,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2023,Jul,Giro,94067.180273,705
PAPUA BARAT,Kab. Teluk Wondama,2023,Jul,Simpanan Berjangka,3334.000834,50
PAPUA BARAT,Kab. Teluk Wondama,2023,Jul,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2023,Aug,Giro,114439.416439,712
PAPUA BARAT,Kab. Teluk Wondama,2023,Aug,Simpanan Berjangka,3384.000834,53
PAPUA BARAT,Kab. Teluk Wondama,2023,Aug,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2023,Sep,Giro,159879.825312,728
PAPUA BARAT,Kab. Teluk Wondama,2023,Sep,Simpanan Berjangka,3189.000834,49
PAPUA BARAT,Kab. Teluk Wondama,2023,Sep,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2023,Oct,Giro,226551.462089,704
PAPUA BARAT,Kab. Teluk Wondama,2023,Oct,Simpanan Berjangka,3264.000834,50
PAPUA BARAT,Kab. Teluk Wondama,2023,Oct,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2023,Nov,Giro,129997.222875,729
PAPUA BARAT,Kab. Teluk Wondama,2023,Nov,Simpanan Berjangka,3434.000834,53
PAPUA BARAT,Kab. Teluk Wondama,2023,Nov,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2023,Dec,Giro,34058.694878,731
PAPUA BARAT,Kab. Teluk Wondama,2023,Dec,Simpanan Berjangka,9526.000834,65
PAPUA BARAT,Kab. Teluk Wondama,2023,Dec,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2024,Jan,Giro,70043.501476,753
PAPUA BARAT,Kab. Teluk Wondama,2024,Jan,Simpanan Berjangka,5112.000834,54
PAPUA BARAT,Kab. Teluk Wondama,2024,Jan,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2024,Feb,Giro,69290.360654,725
PAPUA BARAT,Kab. Teluk Wondama,2024,Feb,Simpanan Berjangka,3932.000834,52
PAPUA BARAT,Kab. Teluk Wondama,2024,Feb,Tabungan,-,-
PAPUA BARAT,Kab. Teluk Wondama,2024,Mar,Giro,55515.099479,698
PAPUA BARAT,Kab. Teluk Wondama,2024,Mar,Simpanan Berjangka,3950.000834,50
PAPUA BARAT,Kab. Teluk Wondama,2024,Mar,Tabungan,-,-
PAPUA BARAT,Kab. Tembrauw,2019,,Giro,177668.777323,496
PAPUA BARAT,Kab. Tembrauw,2019,,Simpanan Berjangka,-,-
PAPUA BARAT,Kab. Tembrauw,2019,,Tabungan,-,-
PAPUA BARAT,Kab. Tembrauw,2020,,Giro,114645.876618,686
PAPUA BARAT,Kab. Tembrauw,2020,,Simpanan Berjangka,-,-
PAPUA BARAT,Kab. Tembrauw,2020,,Tabungan,-,-
PAPUA BARAT,Kab. Tembrauw,2021,,Giro,64157.047769,712
PAPUA BARAT,Kab. Tembrauw,2021,,Simpanan Berjangka,-,-
PAPUA BARAT,Kab. Tembrauw,2021,,Tabungan,-,-
PAPUA BARAT,Kab. Tembrauw,2022,,Giro,7600.235934,90
PAPUA BARAT,Kab. Tembrauw,2022,,Simpanan Berjangka,8337.504,50
PAPUA BARAT,Kab. Tembrauw,2022,,Tabungan,23264.748944,1551
PAPUA BARAT,Kab. Tembrauw,2023,,Giro,8847.214609,86
PAPUA BARAT,Kab. Tembrauw,2023,,Simpanan Berjangka,7266.123868,47
PAPUA BARAT,Kab. Tembrauw,2023,,Tabungan,38799.569432,1951
PAPUA BARAT,Kab. Tembrauw,2023,Mar,Giro,2114.508199,88
PAPUA BARAT,Kab. Tembrauw,2023,Mar,Simpanan Berjangka,8981.5,47
PAPUA BARAT,Kab. Tembrauw,2023,Mar,Tabungan,16770.472536,1678
PAPUA BARAT,Kab. Tembrauw,2023,Apr,Giro,956.769313,89
PAPUA BARAT,Kab. Tembrauw,2023,Apr,Simpanan Berjangka,8951.123868,48
PAPUA BARAT,Kab. Tembrauw,2023,Apr,Tabungan,17419.2236,1694
PAPUA BARAT,Kab. Tembrauw,2023,May,Giro,1622.117648,88
PAPUA BARAT,Kab. Tembrauw,2023,May,Simpanan Berjangka,8723.123868,44
PAPUA BARAT,Kab. Tembrauw,2023,May,Tabungan,21488.694146,1709
PAPUA BARAT,Kab. Tembrauw,2023,Jun,Giro,1291.789165,87
PAPUA BARAT,Kab. Tembrauw,2023,Jun,Simpanan Berjangka,8743.123868,42
PAPUA BARAT,Kab. Tembrauw,2023,Jun,Tabungan,18552.210847,1750
PAPUA BARAT,Kab. Tembrauw,2023,Jul,Giro,2771.084439,88
PAPUA BARAT,Kab. Tembrauw,2023,Jul,Simpanan Berjangka,8808.123868,42
PAPUA BARAT,Kab. Tembrauw,2023,Jul,Tabungan,20123.5713,1791
PAPUA BARAT,Kab. Tembrauw,2023,Aug,Giro,828.020663,88
PAPUA BARAT,Kab. Tembrauw,2023,Aug,Simpanan Berjangka,9829.123868,43
PAPUA BARAT,Kab. Tembrauw,2023,Aug,Tabungan,18143.772703,1819
PAPUA BARAT,Kab. Tembrauw,2023,Sep,Giro,1851.124817,86
PAPUA BARAT,Kab. Tembrauw,2023,Sep,Simpanan Berjangka,10114.123868,43
PAPUA BARAT,Kab. Tembrauw,2023,Sep,Tabungan,19390.355681,1849
PAPUA BARAT,Kab. Tembrauw,2023,Oct,Giro,845.450788,87
PAPUA BARAT,Kab. Tembrauw,2023,Oct,Simpanan Berjangka,9794.123868,40
PAPUA BARAT,Kab. Tembrauw,2023,Oct,Tabungan,16914.400372,1833
PAPUA BARAT,Kab. Tembrauw,2023,Nov,Giro,3346.27366,86
PAPUA BARAT,Kab. Tembrauw,2023,Nov,Simpanan Berjangka,6091.123868,41
PAPUA BARAT,Kab. Tembrauw,2023,Nov,Tabungan,17166.850201,1837
PAPUA BARAT,Kab. Tembrauw,2023,Dec,Giro,8847.214609,86
PAPUA BARAT,Kab. Tembrauw,2023,Dec,Simpanan Berjangka,7266.123868,47
PAPUA BARAT,Kab. Tembrauw,2023,Dec,Tabungan,38799.569432,1951
PAPUA BARAT,Kab. Tembrauw,2024,Jan,Giro,5997.250119,85
PAPUA BARAT,Kab. Tembrauw,2024,Jan,Simpanan Berjangka,6567.623868,45
PAPUA BARAT,Kab. Tembrauw,2024,Jan,Tabungan,20019.821304,1965
PAPUA BARAT,Kab. Tembrauw,2024,Feb,Giro,3850.979589,86
PAPUA BARAT,Kab. Tembrauw,2024,Feb,Simpanan Berjangka,6422.744143,45
PAPUA BARAT,Kab. Tembrauw,2024,Feb,Tabungan,18959.517427,1972
PAPUA BARAT,Kab. Tembrauw,2024,Mar,Giro,3928.124599,84
PAPUA BARAT,Kab. Tembrauw,2024,Mar,Simpanan Berjangka,6524.785805,48
PAPUA BARAT,Kab. Tembrauw,2024,Mar,Tabungan,15556.9289,1973
PAPUA BARAT,Kab. Sorong,2019,,Giro,764633.84326,2188
PAPUA BARAT,Kab. Sorong,2019,,Simpanan Berjangka,676990.091243,1489
PAPUA BARAT,Kab. Sorong,2019,,Tabungan,1587161.007143,161149
PAPUA BARAT,Kab. Sorong,2020,,Giro,659248.672414,2292
PAPUA BARAT,Kab. Sorong,2020,,Simpanan Berjangka,675065.424591,1572
PAPUA BARAT,Kab. Sorong,2020,,Tabungan,1801400.825921,180001
PAPUA BARAT,Kab. Sorong,2021,,Giro,594059.504419,2336
PAPUA BARAT,Kab. Sorong,2021,,Simpanan Berjangka,667148.043297,1595
