Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
PAPUA BARAT,Kab. Teluk Wondama,2018,,Rupiah,Modal Kerja,25753.715499
PAPUA BARAT,Kab. Teluk Wondama,2018,,Rupiah,Investasi,1750.874259
PAPUA BARAT,Kab. Teluk Wondama,2018,,Rupiah,Konsumsi,146057.924969
PAPUA BARAT,Kab. Teluk Wondama,2019,,Rupiah,Modal Kerja,21195.570258
PAPUA BARAT,Kab. Teluk Wondama,2019,,Rupiah,Investasi,1524.739493
PAPUA BARAT,Kab. Teluk Wondama,2019,,Rupiah,Konsumsi,170657.201195
PAPUA BARAT,Kab. Teluk Wondama,2020,,Rupiah,Modal Kerja,27930.123407
PAPUA BARAT,Kab. Teluk Wondama,2020,,Rupiah,Investasi,1973.157965
PAPUA BARAT,Kab. Teluk Wondama,2020,,Rupiah,Konsumsi,194488.611181
PAPUA BARAT,Kab. Teluk Wondama,2021,,Rupiah,Modal Kerja,61032.728683
PAPUA BARAT,Kab. Teluk Wondama,2021,,Rupiah,Investasi,2950.952532
PAPUA BARAT,Kab. Teluk Wondama,2021,,Rupiah,Konsumsi,247000.646168
PAPUA BARAT,Kab. Teluk Wondama,2022,,Rupiah,Modal Kerja,53832.631116
PAPUA BARAT,Kab. Teluk Wondama,2022,,Rupiah,Investasi,1953.607671
PAPUA BARAT,Kab. Teluk Wondama,2022,,Rupiah,Konsumsi,236476.233098
PAPUA BARAT,Kab. Teluk Wondama,2023,Mar,Rupiah,Modal Kerja,43538.908966
PAPUA BARAT,Kab. Teluk Wondama,2023,Mar,Rupiah,Investasi,1950.510331
PAPUA BARAT,Kab. Teluk Wondama,2023,Mar,Rupiah,Konsumsi,240664.12965
PAPUA BARAT,Kab. Teluk Wondama,2023,Apr,Rupiah,Modal Kerja,41350.560794
PAPUA BARAT,Kab. Teluk Wondama,2023,Apr,Rupiah,Investasi,1897.361431
PAPUA BARAT,Kab. Teluk Wondama,2023,Apr,Rupiah,Konsumsi,274596.805845
PAPUA BARAT,Kab. Teluk Wondama,2023,May,Rupiah,Modal Kerja,40964.635857
PAPUA BARAT,Kab. Teluk Wondama,2023,May,Rupiah,Investasi,1846.777861
PAPUA BARAT,Kab. Teluk Wondama,2023,May,Rupiah,Konsumsi,274124.633509
PAPUA BARAT,Kab. Teluk Wondama,2023,Jun,Rupiah,Modal Kerja,39294.157151
PAPUA BARAT,Kab. Teluk Wondama,2023,Jun,Rupiah,Investasi,1790.29088
PAPUA BARAT,Kab. Teluk Wondama,2023,Jun,Rupiah,Konsumsi,273414.688646
PAPUA BARAT,Kab. Teluk Wondama,2023,Jul,Rupiah,Modal Kerja,40492.582522
PAPUA BARAT,Kab. Teluk Wondama,2023,Jul,Rupiah,Investasi,1734.516701
PAPUA BARAT,Kab. Teluk Wondama,2023,Jul,Rupiah,Konsumsi,244304.203002
PAPUA BARAT,Kab. Teluk Wondama,2023,Aug,Rupiah,Modal Kerja,42399.479311
PAPUA BARAT,Kab. Teluk Wondama,2023,Aug,Rupiah,Investasi,2040.726422
PAPUA BARAT,Kab. Teluk Wondama,2023,Aug,Rupiah,Konsumsi,244850.731579
PAPUA BARAT,Kab. Teluk Wondama,2023,Sep,Rupiah,Modal Kerja,43161.343689
PAPUA BARAT,Kab. Teluk Wondama,2023,Sep,Rupiah,Investasi,1985.920478
PAPUA BARAT,Kab. Teluk Wondama,2023,Sep,Rupiah,Konsumsi,245494.429862
PAPUA BARAT,Kab. Teluk Wondama,2023,Oct,Rupiah,Modal Kerja,37251.917554
PAPUA BARAT,Kab. Teluk Wondama,2023,Oct,Rupiah,Investasi,1938.926344
PAPUA BARAT,Kab. Teluk Wondama,2023,Oct,Rupiah,Konsumsi,245700.483813
PAPUA BARAT,Kab. Teluk Wondama,2023,Nov,Rupiah,Modal Kerja,36570.08704
PAPUA BARAT,Kab. Teluk Wondama,2023,Nov,Rupiah,Investasi,2288.834263
PAPUA BARAT,Kab. Teluk Wondama,2023,Nov,Rupiah,Konsumsi,243297.750154
PAPUA BARAT,Kab. Teluk Wondama,2023,Dec,Rupiah,Modal Kerja,34094.74445
PAPUA BARAT,Kab. Teluk Wondama,2023,Dec,Rupiah,Investasi,2642.003355
PAPUA BARAT,Kab. Teluk Wondama,2023,Dec,Rupiah,Konsumsi,245209.889582
PAPUA BARAT,Kab. Teluk Wondama,2024,Jan,Rupiah,Modal Kerja,32792.13754
PAPUA BARAT,Kab. Teluk Wondama,2024,Jan,Rupiah,Investasi,2781.506015
PAPUA BARAT,Kab. Teluk Wondama,2024,Jan,Rupiah,Konsumsi,244886.290422
PAPUA BARAT,Kab. Teluk Wondama,2024,Feb,Rupiah,Modal Kerja,33702.264528
PAPUA BARAT,Kab. Teluk Wondama,2024,Feb,Rupiah,Investasi,2716.592225
PAPUA BARAT,Kab. Teluk Wondama,2024,Feb,Rupiah,Konsumsi,245593.007671
PAPUA BARAT,Kab. Teluk Wondama,2024,Mar,Rupiah,Modal Kerja,35855.499457
PAPUA BARAT,Kab. Teluk Wondama,2024,Mar,Rupiah,Investasi,2659.368545
PAPUA BARAT,Kab. Teluk Wondama,2024,Mar,Rupiah,Konsumsi,246296.655792
PAPUA BARAT,Kab. Tembrauw,2018,,Rupiah,Modal Kerja,4049.519043
PAPUA BARAT,Kab. Tembrauw,2018,,Rupiah,Investasi,2007.654461
