Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
SULAWESI SELATAN,Kab. Pinrang,2019,,Giro,171465.487672,1874
SULAWESI SELATAN,Kab. Pinrang,2019,,Simpanan Berjangka,223645.075075,980
SULAWESI SELATAN,Kab. Pinrang,2019,,Tabungan,1666867.753677,404108
SULAWESI SELATAN,Kab. Pinrang,2020,,Giro,127649.598268,1957
SULAWESI SELATAN,Kab. Pinrang,2020,,Simpanan Berjangka,233716.997559,962
SULAWESI SELATAN,Kab. Pinrang,2020,,Tabungan,1910186.026708,478432
SULAWESI SELATAN,Kab. Pinrang,2021,,Giro,102254.384944,1817
SULAWESI SELATAN,Kab. Pinrang,2021,,Simpanan Berjangka,194206.176392,913
SULAWESI SELATAN,Kab. Pinrang,2021,,Tabungan,2022982.013343,495837
SULAWESI SELATAN,Kab. Pinrang,2022,,Giro,155983.79261,1665
SULAWESI SELATAN,Kab. Pinrang,2022,,Simpanan Berjangka,140187.144956,710
SULAWESI SELATAN,Kab. Pinrang,2022,,Tabungan,2193391.61783,427186
SULAWESI SELATAN,Kab. Pinrang,2023,,Giro,156403.008145,1749
SULAWESI SELATAN,Kab. Pinrang,2023,,Simpanan Berjangka,157325.856543,811
SULAWESI SELATAN,Kab. Pinrang,2023,,Tabungan,2260694.286421,483613
SULAWESI SELATAN,Kab. Pinrang,2023,Mar,Giro,237239.677796,2176
SULAWESI SELATAN,Kab. Pinrang,2023,Mar,Simpanan Berjangka,203098.775936,732
SULAWESI SELATAN,Kab. Pinrang,2023,Mar,Tabungan,1974603.369717,450953
SULAWESI SELATAN,Kab. Pinrang,2023,Apr,Giro,171795.841916,1883
SULAWESI SELATAN,Kab. Pinrang,2023,Apr,Simpanan Berjangka,201207.246548,730
SULAWESI SELATAN,Kab. Pinrang,2023,Apr,Tabungan,2066103.602246,456933
SULAWESI SELATAN,Kab. Pinrang,2023,May,Giro,157608.386331,2518
SULAWESI SELATAN,Kab. Pinrang,2023,May,Simpanan Berjangka,208301.498498,728
SULAWESI SELATAN,Kab. Pinrang,2023,May,Tabungan,2097791.035511,458358
SULAWESI SELATAN,Kab. Pinrang,2023,Jun,Giro,157596.490916,1833
SULAWESI SELATAN,Kab. Pinrang,2023,Jun,Simpanan Berjangka,198758.94411,726
SULAWESI SELATAN,Kab. Pinrang,2023,Jun,Tabungan,2138116.661685,463946
SULAWESI SELATAN,Kab. Pinrang,2023,Jul,Giro,153281.029333,2089
SULAWESI SELATAN,Kab. Pinrang,2023,Jul,Simpanan Berjangka,220927.949104,752
SULAWESI SELATAN,Kab. Pinrang,2023,Jul,Tabungan,2096597.297925,467034
SULAWESI SELATAN,Kab. Pinrang,2023,Aug,Giro,176139.041353,2095
SULAWESI SELATAN,Kab. Pinrang,2023,Aug,Simpanan Berjangka,218578.999373,763
