Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
SULAWESI SELATAN,Kab. Pinrang,2018,,Rupiah,Modal Kerja,3159854.901126
SULAWESI SELATAN,Kab. Pinrang,2018,,Rupiah,Investasi,598131.195367
SULAWESI SELATAN,Kab. Pinrang,2018,,Rupiah,Konsumsi,1551590.648684
SULAWESI SELATAN,Kab. Pinrang,2019,,Rupiah,Modal Kerja,3143526.250381
SULAWESI SELATAN,Kab. Pinrang,2019,,Rupiah,Investasi,674168.812362
SULAWESI SELATAN,Kab. Pinrang,2019,,Rupiah,Konsumsi,1614755.966039
SULAWESI SELATAN,Kab. Pinrang,2020,,Rupiah,Modal Kerja,2236312.339154
SULAWESI SELATAN,Kab. Pinrang,2020,,Rupiah,Investasi,653392.018726
SULAWESI SELATAN,Kab. Pinrang,2020,,Rupiah,Konsumsi,1607115.224145
SULAWESI SELATAN,Kab. Pinrang,2021,,Rupiah,Modal Kerja,1613923.199871
SULAWESI SELATAN,Kab. Pinrang,2021,,Rupiah,Investasi,730514.950883
SULAWESI SELATAN,Kab. Pinrang,2021,,Rupiah,Konsumsi,1650128.334432
SULAWESI SELATAN,Kab. Pinrang,2022,,Rupiah,Modal Kerja,1790553.312953
SULAWESI SELATAN,Kab. Pinrang,2022,,Rupiah,Investasi,773592.723156
SULAWESI SELATAN,Kab. Pinrang,2022,,Rupiah,Konsumsi,1702160.131613
SULAWESI SELATAN,Kab. Pinrang,2023,Mar,Rupiah,Modal Kerja,1800349.444438
SULAWESI SELATAN,Kab. Pinrang,2023,Mar,Rupiah,Investasi,792935.310744
SULAWESI SELATAN,Kab. Pinrang,2023,Mar,Rupiah,Konsumsi,1742174.865566
SULAWESI SELATAN,Kab. Pinrang,2023,Apr,Rupiah,Modal Kerja,1797611.5246
SULAWESI SELATAN,Kab. Pinrang,2023,Apr,Rupiah,Investasi,794236.901251
SULAWESI SELATAN,Kab. Pinrang,2023,Apr,Rupiah,Konsumsi,1745903.179011
SULAWESI SELATAN,Kab. Pinrang,2023,May,Rupiah,Modal Kerja,1828843.592417
SULAWESI SELATAN,Kab. Pinrang,2023,May,Rupiah,Investasi,812685.94423
