Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
SULAWESI TENGGARA,Kab. Buton,2019,,Giro,151024.250457,1300
SULAWESI TENGGARA,Kab. Buton,2019,,Simpanan Berjangka,221039.897363,1238
SULAWESI TENGGARA,Kab. Buton,2019,,Tabungan,979235.822831,251986
SULAWESI TENGGARA,Kab. Buton,2020,,Giro,164359.930591,1364
SULAWESI TENGGARA,Kab. Buton,2020,,Simpanan Berjangka,236906.163943,1308
SULAWESI TENGGARA,Kab. Buton,2020,,Tabungan,1083991.121083,291845
SULAWESI TENGGARA,Kab. Buton,2021,,Giro,507091.398364,1342
SULAWESI TENGGARA,Kab. Buton,2021,,Simpanan Berjangka,237989.193761,1261
SULAWESI TENGGARA,Kab. Buton,2021,,Tabungan,1152678.706422,331925
SULAWESI TENGGARA,Kab. Buton,2022,,Giro,129298.119903,586
SULAWESI TENGGARA,Kab. Buton,2022,,Simpanan Berjangka,36789.13262,260
SULAWESI TENGGARA,Kab. Buton,2022,,Tabungan,893037.696495,245065
SULAWESI TENGGARA,Kab. Buton,2023,,Giro,77450.860298,1377
SULAWESI TENGGARA,Kab. Buton,2023,,Simpanan Berjangka,266331.671294,1296
SULAWESI TENGGARA,Kab. Buton,2023,,Tabungan,1528442.452402,394705
SULAWESI TENGGARA,Kab. Buton,2023,Mar,Giro,223018.237258,1313
SULAWESI TENGGARA,Kab. Buton,2023,Mar,Simpanan Berjangka,248683.708374,1294
SULAWESI TENGGARA,Kab. Buton,2023,Mar,Tabungan,1379019.403631,352453
SULAWESI TENGGARA,Kab. Buton,2023,Apr,Giro,201208.55453,1298
SULAWESI TENGGARA,Kab. Buton,2023,Apr,Simpanan Berjangka,248254.317843,1293
SULAWESI TENGGARA,Kab. Buton,2023,Apr,Tabungan,1444336.161213,365301
SULAWESI TENGGARA,Kab. Buton,2023,May,Giro,179352.981201,2681
SULAWESI TENGGARA,Kab. Buton,2023,May,Simpanan Berjangka,249319.664726,1295
SULAWESI TENGGARA,Kab. Buton,2023,May,Tabungan,1419109.450962,363121
SULAWESI TENGGARA,Kab. Buton,2023,Jun,Giro,162057.604621,1284
SULAWESI TENGGARA,Kab. Buton,2023,Jun,Simpanan Berjangka,248397.132671,1297
SULAWESI TENGGARA,Kab. Buton,2023,Jun,Tabungan,1427306.22743,365538
SULAWESI TENGGARA,Kab. Buton,2023,Jul,Giro,168361.876301,1428
SULAWESI TENGGARA,Kab. Buton,2023,Jul,Simpanan Berjangka,248296.834382,1279
SULAWESI TENGGARA,Kab. Buton,2023,Jul,Tabungan,1403535.007724,366350
SULAWESI TENGGARA,Kab. Buton,2023,Aug,Giro,202532.815634,1329
SULAWESI TENGGARA,Kab. Buton,2023,Aug,Simpanan Berjangka,254561.760634,1284
SULAWESI TENGGARA,Kab. Buton,2023,Aug,Tabungan,1395933.578154,369557
SULAWESI TENGGARA,Kab. Buton,2023,Sep,Giro,170514.855493,1354
SULAWESI TENGGARA,Kab. Buton,2023,Sep,Simpanan Berjangka,273774.109039,1299
SULAWESI TENGGARA,Kab. Buton,2023,Sep,Tabungan,1384181.137652,371441
SULAWESI TENGGARA,Kab. Buton,2023,Oct,Giro,201300.393716,1335
SULAWESI TENGGARA,Kab. Buton,2023,Oct,Simpanan Berjangka,276615.625981,1286
SULAWESI TENGGARA,Kab. Buton,2023,Oct,Tabungan,1403870.522897,381642
SULAWESI TENGGARA,Kab. Buton,2023,Nov,Giro,152223.474158,1355
SULAWESI TENGGARA,Kab. Buton,2023,Nov,Simpanan Berjangka,281209.620944,1303
SULAWESI TENGGARA,Kab. Buton,2023,Nov,Tabungan,1422489.580663,382599
SULAWESI TENGGARA,Kab. Buton,2023,Dec,Giro,77450.860298,1377
SULAWESI TENGGARA,Kab. Buton,2023,Dec,Simpanan Berjangka,266331.671294,1296
SULAWESI TENGGARA,Kab. Buton,2023,Dec,Tabungan,1528442.452402,394705
SULAWESI TENGGARA,Kab. Buton,2024,Jan,Giro,79249.679013,1396
SULAWESI TENGGARA,Kab. Buton,2024,Jan,Simpanan Berjangka,277844.634614,1301
SULAWESI TENGGARA,Kab. Buton,2024,Jan,Tabungan,1499280.63345,400917
SULAWESI TENGGARA,Kab. Buton,2024,Feb,Giro,108625.055154,1444
SULAWESI TENGGARA,Kab. Buton,2024,Feb,Simpanan Berjangka,281688.0452,1302
SULAWESI TENGGARA,Kab. Buton,2024,Feb,Tabungan,1464112.406881,397409
SULAWESI TENGGARA,Kab. Buton,2024,Mar,Giro,123879.183161,1373
SULAWESI TENGGARA,Kab. Buton,2024,Mar,Simpanan Berjangka,288580.869724,1307
SULAWESI TENGGARA,Kab. Buton,2024,Mar,Tabungan,1460475.632536,398941
SULAWESI TENGGARA,Kab. Muna,2019,,Giro,164572.809645,1994
SULAWESI TENGGARA,Kab. Muna,2019,,Simpanan Berjangka,280567.130816,1656
SULAWESI TENGGARA,Kab. Muna,2019,,Tabungan,1145742.487113,285089
SULAWESI TENGGARA,Kab. Muna,2020,,Giro,149596.465734,2290
SULAWESI TENGGARA,Kab. Muna,2020,,Simpanan Berjangka,278389.208863,1832
SULAWESI TENGGARA,Kab. Muna,2020,,Tabungan,1241506.649458,340596
SULAWESI TENGGARA,Kab. Muna,2021,,Giro,283503.666597,2614
SULAWESI TENGGARA,Kab. Muna,2021,,Simpanan Berjangka,278653.427051,1887
SULAWESI TENGGARA,Kab. Muna,2021,,Tabungan,1356903.956257,381379
SULAWESI TENGGARA,Kab. Muna,2022,,Giro,194645.967867,1914
SULAWESI TENGGARA,Kab. Muna,2022,,Simpanan Berjangka,263236.777689,1714
SULAWESI TENGGARA,Kab. Muna,2022,,Tabungan,1342244.435346,320602
SULAWESI TENGGARA,Kab. Muna,2023,,Giro,76053.756382,1988
SULAWESI TENGGARA,Kab. Muna,2023,,Simpanan Berjangka,293997.019122,1692
SULAWESI TENGGARA,Kab. Muna,2023,,Tabungan,1412652.593895,400869
SULAWESI TENGGARA,Kab. Muna,2023,Mar,Giro,222650.714298,2316
SULAWESI TENGGARA,Kab. Muna,2023,Mar,Simpanan Berjangka,273429.352844,1715
SULAWESI TENGGARA,Kab. Muna,2023,Mar,Tabungan,1227419.286271,361755
SULAWESI TENGGARA,Kab. Muna,2023,Apr,Giro,183328.975954,2171
SULAWESI TENGGARA,Kab. Muna,2023,Apr,Simpanan Berjangka,302909.106379,1715
SULAWESI TENGGARA,Kab. Muna,2023,Apr,Tabungan,1318956.068658,369887
SULAWESI TENGGARA,Kab. Muna,2023,May,Giro,122065.97126,4244
SULAWESI TENGGARA,Kab. Muna,2023,May,Simpanan Berjangka,335336.114597,1715
SULAWESI TENGGARA,Kab. Muna,2023,May,Tabungan,1292117.373604,369322
SULAWESI TENGGARA,Kab. Muna,2023,Jun,Giro,154901.326755,2084
SULAWESI TENGGARA,Kab. Muna,2023,Jun,Simpanan Berjangka,335451.826722,1673
SULAWESI TENGGARA,Kab. Muna,2023,Jun,Tabungan,1317063.367946,374264
SULAWESI TENGGARA,Kab. Muna,2023,Jul,Giro,226011.710589,2434
SULAWESI TENGGARA,Kab. Muna,2023,Jul,Simpanan Berjangka,366321.240982,1667
SULAWESI TENGGARA,Kab. Muna,2023,Jul,Tabungan,1277343.373225,374329
SULAWESI TENGGARA,Kab. Muna,2023,Aug,Giro,214482.676547,2284
SULAWESI TENGGARA,Kab. Muna,2023,Aug,Simpanan Berjangka,366369.727508,1672
SULAWESI TENGGARA,Kab. Muna,2023,Aug,Tabungan,1274789.624258,379144
SULAWESI TENGGARA,Kab. Muna,2023,Sep,Giro,243682.441553,2206
SULAWESI TENGGARA,Kab. Muna,2023,Sep,Simpanan Berjangka,370408.898329,1680
SULAWESI TENGGARA,Kab. Muna,2023,Sep,Tabungan,1243994.118032,382179
SULAWESI TENGGARA,Kab. Muna,2023,Oct,Giro,289914.835303,2118
SULAWESI TENGGARA,Kab. Muna,2023,Oct,Simpanan Berjangka,372549.664168,1693
SULAWESI TENGGARA,Kab. Muna,2023,Oct,Tabungan,1249562.06292,391907
SULAWESI TENGGARA,Kab. Muna,2023,Nov,Giro,122265.832796,2052
SULAWESI TENGGARA,Kab. Muna,2023,Nov,Simpanan Berjangka,381900.040621,1702
SULAWESI TENGGARA,Kab. Muna,2023,Nov,Tabungan,1296018.577083,393568
SULAWESI TENGGARA,Kab. Muna,2023,Dec,Giro,76053.756382,1988
SULAWESI TENGGARA,Kab. Muna,2023,Dec,Simpanan Berjangka,293997.019122,1692
SULAWESI TENGGARA,Kab. Muna,2023,Dec,Tabungan,1412652.593895,400869
SULAWESI TENGGARA,Kab. Muna,2024,Jan,Giro,107214.175555,2155
SULAWESI TENGGARA,Kab. Muna,2024,Jan,Simpanan Berjangka,297373.075982,1701
SULAWESI TENGGARA,Kab. Muna,2024,Jan,Tabungan,1362922.182347,406692
SULAWESI TENGGARA,Kab. Muna,2024,Feb,Giro,132162.36031,2344
SULAWESI TENGGARA,Kab. Muna,2024,Feb,Simpanan Berjangka,299494.850018,1684
SULAWESI TENGGARA,Kab. Muna,2024,Feb,Tabungan,1290742.682161,403220
SULAWESI TENGGARA,Kab. Muna,2024,Mar,Giro,167737.87282,2213
SULAWESI TENGGARA,Kab. Muna,2024,Mar,Simpanan Berjangka,302999.231872,1699
SULAWESI TENGGARA,Kab. Muna,2024,Mar,Tabungan,1294743.367116,407119
SULAWESI TENGGARA,Kab. Kolaka,2019,,Giro,597457.440636,4063
SULAWESI TENGGARA,Kab. Kolaka,2019,,Simpanan Berjangka,416975.946864,1814
SULAWESI TENGGARA,Kab. Kolaka,2019,,Tabungan,1773765.772306,420498
SULAWESI TENGGARA,Kab. Kolaka,2020,,Giro,590280.127357,4155
SULAWESI TENGGARA,Kab. Kolaka,2020,,Simpanan Berjangka,703576.881585,1974
SULAWESI TENGGARA,Kab. Kolaka,2020,,Tabungan,1968020.674037,474635
SULAWESI TENGGARA,Kab. Kolaka,2021,,Giro,1053500.10371,4251
SULAWESI TENGGARA,Kab. Kolaka,2021,,Simpanan Berjangka,569670.533525,2029
SULAWESI TENGGARA,Kab. Kolaka,2021,,Tabungan,2252124.242174,507599
SULAWESI TENGGARA,Kab. Kolaka,2022,,Giro,885224.335376,3146
SULAWESI TENGGARA,Kab. Kolaka,2022,,Simpanan Berjangka,489417.063693,1736
SULAWESI TENGGARA,Kab. Kolaka,2022,,Tabungan,2379350.648095,434794
SULAWESI TENGGARA,Kab. Kolaka,2023,,Giro,599547.841798,2772
SULAWESI TENGGARA,Kab. Kolaka,2023,,Simpanan Berjangka,597526.829049,1811
SULAWESI TENGGARA,Kab. Kolaka,2023,,Tabungan,2271924.684026,397514
SULAWESI TENGGARA,Kab. Kolaka,2023,Mar,Giro,766629.144315,3294
SULAWESI TENGGARA,Kab. Kolaka,2023,Mar,Simpanan Berjangka,492326.563231,1750
SULAWESI TENGGARA,Kab. Kolaka,2023,Mar,Tabungan,2001327.473174,370434
SULAWESI TENGGARA,Kab. Kolaka,2023,Apr,Giro,1028788.879895,2963
SULAWESI TENGGARA,Kab. Kolaka,2023,Apr,Simpanan Berjangka,487863.032915,1752
SULAWESI TENGGARA,Kab. Kolaka,2023,Apr,Tabungan,1988684.550078,376636
SULAWESI TENGGARA,Kab. Kolaka,2023,May,Giro,775897.269456,5111
SULAWESI TENGGARA,Kab. Kolaka,2023,May,Simpanan Berjangka,500874.39173,1790
SULAWESI TENGGARA,Kab. Kolaka,2023,May,Tabungan,2079646.091908,376111
SULAWESI TENGGARA,Kab. Kolaka,2023,Jun,Giro,762056.664745,2835
SULAWESI TENGGARA,Kab. Kolaka,2023,Jun,Simpanan Berjangka,507487.09968,1767
SULAWESI TENGGARA,Kab. Kolaka,2023,Jun,Tabungan,2084146.099781,378711
SULAWESI TENGGARA,Kab. Kolaka,2023,Jul,Giro,832025.912718,3183
SULAWESI TENGGARA,Kab. Kolaka,2023,Jul,Simpanan Berjangka,532290.949358,1743
SULAWESI TENGGARA,Kab. Kolaka,2023,Jul,Tabungan,2019432.10362,380152
SULAWESI TENGGARA,Kab. Kolaka,2023,Aug,Giro,1093581.007512,3102
SULAWESI TENGGARA,Kab. Kolaka,2023,Aug,Simpanan Berjangka,550030.289882,1733
SULAWESI TENGGARA,Kab. Kolaka,2023,Aug,Tabungan,2048222.784009,384564
SULAWESI TENGGARA,Kab. Kolaka,2023,Sep,Giro,858440.760015,3012
SULAWESI TENGGARA,Kab. Kolaka,2023,Sep,Simpanan Berjangka,580269.748529,1746
SULAWESI TENGGARA,Kab. Kolaka,2023,Sep,Tabungan,2078163.908485,386669
SULAWESI TENGGARA,Kab. Kolaka,2023,Oct,Giro,846498.498684,2866
SULAWESI TENGGARA,Kab. Kolaka,2023,Oct,Simpanan Berjangka,582812.417948,1761
SULAWESI TENGGARA,Kab. Kolaka,2023,Oct,Tabungan,2136734.760548,389032
SULAWESI TENGGARA,Kab. Kolaka,2023,Nov,Giro,892904.36707,2852
SULAWESI TENGGARA,Kab. Kolaka,2023,Nov,Simpanan Berjangka,595918.270861,1782
SULAWESI TENGGARA,Kab. Kolaka,2023,Nov,Tabungan,2185764.203692,393630
SULAWESI TENGGARA,Kab. Kolaka,2023,Dec,Giro,599547.841798,2772
SULAWESI TENGGARA,Kab. Kolaka,2023,Dec,Simpanan Berjangka,597526.829049,1811
SULAWESI TENGGARA,Kab. Kolaka,2023,Dec,Tabungan,2271924.684026,397514
SULAWESI TENGGARA,Kab. Kolaka,2024,Jan,Giro,756136.34181,3159
SULAWESI TENGGARA,Kab. Kolaka,2024,Jan,Simpanan Berjangka,546880.310292,1808
