Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
SUMATERA UTARA,Kab. Deli Serdang,2018,,Rupiah,Modal Kerja,13385036.155827
SUMATERA UTARA,Kab. Deli Serdang,2018,,Rupiah,Investasi,6798523.408772
SUMATERA UTARA,Kab. Deli Serdang,2018,,Rupiah,Konsumsi,8656114.490852
SUMATERA UTARA,Kab. Deli Serdang,2019,,Rupiah,Modal Kerja,13205119.497356
SUMATERA UTARA,Kab. Deli Serdang,2019,,Rupiah,Investasi,5924436.505911
SUMATERA UTARA,Kab. Deli Serdang,2019,,Rupiah,Konsumsi,9660453.280919
SUMATERA UTARA,Kab. Deli Serdang,2020,,Rupiah,Modal Kerja,12676379.829619
SUMATERA UTARA,Kab. Deli Serdang,2020,,Rupiah,Investasi,7330178.099887
SUMATERA UTARA,Kab. Deli Serdang,2020,,Rupiah,Konsumsi,10123821.577071
SUMATERA UTARA,Kab. Deli Serdang,2021,,Rupiah,Modal Kerja,14810878.388062
SUMATERA UTARA,Kab. Deli Serdang,2021,,Rupiah,Investasi,7442968.527252
SUMATERA UTARA,Kab. Deli Serdang,2021,,Rupiah,Konsumsi,11072532.870245
SUMATERA UTARA,Kab. Deli Serdang,2022,,Rupiah,Modal Kerja,14341824.108726
SUMATERA UTARA,Kab. Deli Serdang,2022,,Rupiah,Investasi,6670556.624209
SUMATERA UTARA,Kab. Deli Serdang,2022,,Rupiah,Konsumsi,12647087.827056
SUMATERA UTARA,Kab. Deli Serdang,2023,Mar,Rupiah,Modal Kerja,15012462.637305
SUMATERA UTARA,Kab. Deli Serdang,2023,Mar,Rupiah,Investasi,6789952.723429
SUMATERA UTARA,Kab. Deli Serdang,2023,Mar,Rupiah,Konsumsi,12908328.876204
SUMATERA UTARA,Kab. Deli Serdang,2023,Apr,Rupiah,Modal Kerja,16686628.565302
SUMATERA UTARA,Kab. Deli Serdang,2023,Apr,Rupiah,Investasi,6803646.207566
SUMATERA UTARA,Kab. Deli Serdang,2023,Apr,Rupiah,Konsumsi,12996250.953763
SUMATERA UTARA,Kab. Deli Serdang,2023,May,Rupiah,Modal Kerja,15977688.902078
