Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
BALI,Kab. Buleleng,2019,,Giro,365057.663113,3578
BALI,Kab. Buleleng,2019,,Simpanan Berjangka,1662811.253743,10571
BALI,Kab. Buleleng,2019,,Tabungan,3175927.273605,687987
BALI,Kab. Buleleng,2020,,Giro,289170.320268,3622
BALI,Kab. Buleleng,2020,,Simpanan Berjangka,1806072.411666,12443
BALI,Kab. Buleleng,2020,,Tabungan,3307244.603594,824320
BALI,Kab. Buleleng,2021,,Giro,362125.927148,3845
BALI,Kab. Buleleng,2021,,Simpanan Berjangka,1675163.481981,11386
BALI,Kab. Buleleng,2021,,Tabungan,3534989.025639,890783
BALI,Kab. Buleleng,2022,,Giro,354218.109025,3648
BALI,Kab. Buleleng,2022,,Simpanan Berjangka,1423329.304834,10935
BALI,Kab. Buleleng,2022,,Tabungan,3880444.724818,705817
BALI,Kab. Buleleng,2023,,Giro,491053.345889,4053
BALI,Kab. Buleleng,2023,,Simpanan Berjangka,1706051.779155,12429
BALI,Kab. Buleleng,2023,,Tabungan,4758165.717056,782875
BALI,Kab. Buleleng,2023,Mar,Giro,575406.423825,3924
BALI,Kab. Buleleng,2023,Mar,Simpanan Berjangka,1481639.271012,11367
BALI,Kab. Buleleng,2023,Mar,Tabungan,4050554.093716,717654
BALI,Kab. Buleleng,2023,Apr,Giro,538548.651209,3842
BALI,Kab. Buleleng,2023,Apr,Simpanan Berjangka,1481993.426864,11437
BALI,Kab. Buleleng,2023,Apr,Tabungan,4066204.058592,727791
BALI,Kab. Buleleng,2023,May,Giro,537458.781863,5665
BALI,Kab. Buleleng,2023,May,Simpanan Berjangka,1505746.634085,11641
BALI,Kab. Buleleng,2023,May,Tabungan,4134393.240345,733243
BALI,Kab. Buleleng,2023,Jun,Giro,561351.801759,4004
BALI,Kab. Buleleng,2023,Jun,Simpanan Berjangka,1527599.530139,11754
BALI,Kab. Buleleng,2023,Jun,Tabungan,4294047.746091,740887
BALI,Kab. Buleleng,2023,Jul,Giro,664903.305066,4067
BALI,Kab. Buleleng,2023,Jul,Simpanan Berjangka,1533660.970949,11857
BALI,Kab. Buleleng,2023,Jul,Tabungan,4352526.66353,744852
