Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
KALIMANTAN BARAT,Kab. Pontianak,2019,,Giro,261804.171104,2862
KALIMANTAN BARAT,Kab. Pontianak,2019,,Simpanan Berjangka,1910321.167011,5625
KALIMANTAN BARAT,Kab. Pontianak,2019,,Tabungan,2584118.02995,494575
KALIMANTAN BARAT,Kab. Pontianak,2020,,Giro,313570.439859,3213
KALIMANTAN BARAT,Kab. Pontianak,2020,,Simpanan Berjangka,1817898.431273,5594
KALIMANTAN BARAT,Kab. Pontianak,2020,,Tabungan,2746821.137131,597822
KALIMANTAN BARAT,Kab. Pontianak,2021,,Giro,317262.071755,3219
KALIMANTAN BARAT,Kab. Pontianak,2021,,Simpanan Berjangka,1758082.948567,4908
KALIMANTAN BARAT,Kab. Pontianak,2021,,Tabungan,2713592.108534,663875
KALIMANTAN BARAT,Kab. Pontianak,2022,,Giro,301006.288999,1805
KALIMANTAN BARAT,Kab. Pontianak,2022,,Simpanan Berjangka,1752423.496553,4035
KALIMANTAN BARAT,Kab. Pontianak,2022,,Tabungan,2584159.8944,496186
KALIMANTAN BARAT,Kab. Pontianak,2023,,Giro,442526.193428,1897
KALIMANTAN BARAT,Kab. Pontianak,2023,,Simpanan Berjangka,1798850.76503,4068
KALIMANTAN BARAT,Kab. Pontianak,2023,,Tabungan,2234054.568812,374602
KALIMANTAN BARAT,Kab. Pontianak,2023,Mar,Giro,452204.315397,1902
KALIMANTAN BARAT,Kab. Pontianak,2023,Mar,Simpanan Berjangka,1803153.17063,4078
KALIMANTAN BARAT,Kab. Pontianak,2023,Mar,Tabungan,2084191.114446,352713
KALIMANTAN BARAT,Kab. Pontianak,2023,Apr,Giro,460445.039712,1914
KALIMANTAN BARAT,Kab. Pontianak,2023,Apr,Simpanan Berjangka,1825529.218754,4044
KALIMANTAN BARAT,Kab. Pontianak,2023,Apr,Tabungan,2129567.395796,362071
KALIMANTAN BARAT,Kab. Pontianak,2023,May,Giro,462751.942828,2854
KALIMANTAN BARAT,Kab. Pontianak,2023,May,Simpanan Berjangka,1865101.579957,4081
KALIMANTAN BARAT,Kab. Pontianak,2023,May,Tabungan,2122955.206965,359118
KALIMANTAN BARAT,Kab. Pontianak,2023,Jun,Giro,380990.01419,1939
KALIMANTAN BARAT,Kab. Pontianak,2023,Jun,Simpanan Berjangka,1944117.251445,4085
KALIMANTAN BARAT,Kab. Pontianak,2023,Jun,Tabungan,2133003.546705,359621
KALIMANTAN BARAT,Kab. Pontianak,2023,Jul,Giro,413540.569707,2028
KALIMANTAN BARAT,Kab. Pontianak,2023,Jul,Simpanan Berjangka,1904028.991814,4033
KALIMANTAN BARAT,Kab. Pontianak,2023,Jul,Tabungan,2136238.309259,360613
KALIMANTAN BARAT,Kab. Pontianak,2023,Aug,Giro,455855.583299,1978
KALIMANTAN BARAT,Kab. Pontianak,2023,Aug,Simpanan Berjangka,1882010.63508,4097
KALIMANTAN BARAT,Kab. Pontianak,2023,Aug,Tabungan,2119107.527579,358521
KALIMANTAN BARAT,Kab. Pontianak,2023,Sep,Giro,453057.417184,1999
KALIMANTAN BARAT,Kab. Pontianak,2023,Sep,Simpanan Berjangka,1857409.380366,4045
KALIMANTAN BARAT,Kab. Pontianak,2023,Sep,Tabungan,2133042.598619,359524
KALIMANTAN BARAT,Kab. Pontianak,2023,Oct,Giro,526086.703525,1999
KALIMANTAN BARAT,Kab. Pontianak,2023,Oct,Simpanan Berjangka,1877170.663843,4127
KALIMANTAN BARAT,Kab. Pontianak,2023,Oct,Tabungan,2158072.36769,363878
KALIMANTAN BARAT,Kab. Pontianak,2023,Nov,Giro,480057.405443,2000
KALIMANTAN BARAT,Kab. Pontianak,2023,Nov,Simpanan Berjangka,1856467.465965,4100
KALIMANTAN BARAT,Kab. Pontianak,2023,Nov,Tabungan,2148623.358863,370690
KALIMANTAN BARAT,Kab. Pontianak,2023,Dec,Giro,442526.193428,1897
KALIMANTAN BARAT,Kab. Pontianak,2023,Dec,Simpanan Berjangka,1798850.76503,4068
KALIMANTAN BARAT,Kab. Pontianak,2023,Dec,Tabungan,2234054.568812,374602
KALIMANTAN BARAT,Kab. Pontianak,2024,Jan,Giro,443190.743949,2187
KALIMANTAN BARAT,Kab. Pontianak,2024,Jan,Simpanan Berjangka,1890331.777652,4148
KALIMANTAN BARAT,Kab. Pontianak,2024,Jan,Tabungan,2167329.38904,374097
KALIMANTAN BARAT,Kab. Pontianak,2024,Feb,Giro,463894.227649,2126
KALIMANTAN BARAT,Kab. Pontianak,2024,Feb,Simpanan Berjangka,1901689.178156,4139
KALIMANTAN BARAT,Kab. Pontianak,2024,Feb,Tabungan,2174793.738317,375287
KALIMANTAN BARAT,Kab. Pontianak,2024,Mar,Giro,507475.503731,2121
KALIMANTAN BARAT,Kab. Pontianak,2024,Mar,Simpanan Berjangka,1926653.008801,4158
KALIMANTAN BARAT,Kab. Pontianak,2024,Mar,Tabungan,2163980.21139,377356
KALIMANTAN BARAT,Kab. Sambas,2019,,Giro,87754.883675,2161
KALIMANTAN BARAT,Kab. Sambas,2019,,Simpanan Berjangka,783435.207399,4077
KALIMANTAN BARAT,Kab. Sambas,2019,,Tabungan,2377673.187062,486453
KALIMANTAN BARAT,Kab. Sambas,2020,,Giro,89333.10653,2353
KALIMANTAN BARAT,Kab. Sambas,2020,,Simpanan Berjangka,807236.86033,4462
KALIMANTAN BARAT,Kab. Sambas,2020,,Tabungan,2704488.747777,613192
KALIMANTAN BARAT,Kab. Sambas,2021,,Giro,164693.235029,2979
