Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
KALIMANTAN SELATAN,Kab. Banjar,2019,,Giro,449466.764237,3012
KALIMANTAN SELATAN,Kab. Banjar,2019,,Simpanan Berjangka,994955.778166,3105
KALIMANTAN SELATAN,Kab. Banjar,2019,,Tabungan,2140763.392992,408072
KALIMANTAN SELATAN,Kab. Banjar,2020,,Giro,362716.963191,3091
KALIMANTAN SELATAN,Kab. Banjar,2020,,Simpanan Berjangka,1013660.657669,2985
KALIMANTAN SELATAN,Kab. Banjar,2020,,Tabungan,2160678.452069,443580
KALIMANTAN SELATAN,Kab. Banjar,2021,,Giro,408925.002935,3272
KALIMANTAN SELATAN,Kab. Banjar,2021,,Simpanan Berjangka,926326.751714,3062
KALIMANTAN SELATAN,Kab. Banjar,2021,,Tabungan,2349521.732003,533681
KALIMANTAN SELATAN,Kab. Banjar,2022,,Giro,750998.066632,3289
KALIMANTAN SELATAN,Kab. Banjar,2022,,Simpanan Berjangka,1023380.236759,3462
KALIMANTAN SELATAN,Kab. Banjar,2022,,Tabungan,2780343.588239,492231
KALIMANTAN SELATAN,Kab. Banjar,2023,,Giro,859940.201479,3685
KALIMANTAN SELATAN,Kab. Banjar,2023,,Simpanan Berjangka,1199677.840406,3583
KALIMANTAN SELATAN,Kab. Banjar,2023,,Tabungan,2870458.43564,554467
KALIMANTAN SELATAN,Kab. Banjar,2023,Mar,Giro,969523.204341,4230
KALIMANTAN SELATAN,Kab. Banjar,2023,Mar,Simpanan Berjangka,1044203.305519,3517
KALIMANTAN SELATAN,Kab. Banjar,2023,Mar,Tabungan,2567466.241525,508514
KALIMANTAN SELATAN,Kab. Banjar,2023,Apr,Giro,952838.487478,4241
KALIMANTAN SELATAN,Kab. Banjar,2023,Apr,Simpanan Berjangka,1058473.412765,3536
KALIMANTAN SELATAN,Kab. Banjar,2023,Apr,Tabungan,2591303.636263,514836
KALIMANTAN SELATAN,Kab. Banjar,2023,May,Giro,698742.179795,5477
KALIMANTAN SELATAN,Kab. Banjar,2023,May,Simpanan Berjangka,1263814.42316,3516
KALIMANTAN SELATAN,Kab. Banjar,2023,May,Tabungan,2614112.978644,516602
KALIMANTAN SELATAN,Kab. Banjar,2023,Jun,Giro,772390.656212,4099
KALIMANTAN SELATAN,Kab. Banjar,2023,Jun,Simpanan Berjangka,1233043.429258,3487
KALIMANTAN SELATAN,Kab. Banjar,2023,Jun,Tabungan,2686978.416509,520472
KALIMANTAN SELATAN,Kab. Banjar,2023,Jul,Giro,717779.530338,4318
KALIMANTAN SELATAN,Kab. Banjar,2023,Jul,Simpanan Berjangka,1261066.097489,3511
KALIMANTAN SELATAN,Kab. Banjar,2023,Jul,Tabungan,2644840.026466,525434
KALIMANTAN SELATAN,Kab. Banjar,2023,Aug,Giro,807805.215362,4248
KALIMANTAN SELATAN,Kab. Banjar,2023,Aug,Simpanan Berjangka,1280801.021055,3558
KALIMANTAN SELATAN,Kab. Banjar,2023,Aug,Tabungan,2610197.147193,530753
KALIMANTAN SELATAN,Kab. Banjar,2023,Sep,Giro,926917.114791,4293
KALIMANTAN SELATAN,Kab. Banjar,2023,Sep,Simpanan Berjangka,1279641.726279,3560
KALIMANTAN SELATAN,Kab. Banjar,2023,Sep,Tabungan,2610029.331456,536844
KALIMANTAN SELATAN,Kab. Banjar,2023,Oct,Giro,838312.144683,4270
KALIMANTAN SELATAN,Kab. Banjar,2023,Oct,Simpanan Berjangka,1484650.525062,3594
KALIMANTAN SELATAN,Kab. Banjar,2023,Oct,Tabungan,2674006.141225,548766
KALIMANTAN SELATAN,Kab. Banjar,2023,Nov,Giro,774396.606135,4179
KALIMANTAN SELATAN,Kab. Banjar,2023,Nov,Simpanan Berjangka,1494495.085895,3585
KALIMANTAN SELATAN,Kab. Banjar,2023,Nov,Tabungan,2742263.439419,551037
KALIMANTAN SELATAN,Kab. Banjar,2023,Dec,Giro,859940.201479,3685
KALIMANTAN SELATAN,Kab. Banjar,2023,Dec,Simpanan Berjangka,1199677.840406,3583
KALIMANTAN SELATAN,Kab. Banjar,2023,Dec,Tabungan,2870458.43564,554467
KALIMANTAN SELATAN,Kab. Banjar,2024,Jan,Giro,1122844.341042,4277
KALIMANTAN SELATAN,Kab. Banjar,2024,Jan,Simpanan Berjangka,1173901.726654,3582
KALIMANTAN SELATAN,Kab. Banjar,2024,Jan,Tabungan,2780928.475228,560489
KALIMANTAN SELATAN,Kab. Banjar,2024,Feb,Giro,1092419.153366,4476
KALIMANTAN SELATAN,Kab. Banjar,2024,Feb,Simpanan Berjangka,1131844.43906,3577
KALIMANTAN SELATAN,Kab. Banjar,2024,Feb,Tabungan,2778905.29273,560343
KALIMANTAN SELATAN,Kab. Banjar,2024,Mar,Giro,798925.407195,4412
KALIMANTAN SELATAN,Kab. Banjar,2024,Mar,Simpanan Berjangka,1404327.838109,3573
KALIMANTAN SELATAN,Kab. Banjar,2024,Mar,Tabungan,2878271.284783,565171
KALIMANTAN SELATAN,Kab. Tanah Laut,2019,,Giro,1037730.503746,1780
KALIMANTAN SELATAN,Kab. Tanah Laut,2019,,Simpanan Berjangka,193716.327841,866
KALIMANTAN SELATAN,Kab. Tanah Laut,2019,,Tabungan,1150015.177083,267956
KALIMANTAN SELATAN,Kab. Tanah Laut,2020,,Giro,1146255.574694,1982
KALIMANTAN SELATAN,Kab. Tanah Laut,2020,,Simpanan Berjangka,217674.198835,862
KALIMANTAN SELATAN,Kab. Tanah Laut,2020,,Tabungan,1261696.032667,315055
KALIMANTAN SELATAN,Kab. Tanah Laut,2021,,Giro,812180.995937,2123
KALIMANTAN SELATAN,Kab. Tanah Laut,2021,,Simpanan Berjangka,184066.724265,860
KALIMANTAN SELATAN,Kab. Tanah Laut,2021,,Tabungan,1504621.971207,402569
KALIMANTAN SELATAN,Kab. Tanah Laut,2022,,Giro,1010187.826998,2046
KALIMANTAN SELATAN,Kab. Tanah Laut,2022,,Simpanan Berjangka,236190.653028,865
KALIMANTAN SELATAN,Kab. Tanah Laut,2022,,Tabungan,1632515.507264,333498
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,,Giro,1118602.167867,2077
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,,Simpanan Berjangka,206984.325566,875
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,,Tabungan,1681908.289066,357669
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Mar,Giro,379723.950381,2277
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Mar,Simpanan Berjangka,955236.964976,848
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Mar,Tabungan,1563130.110442,338865
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Apr,Giro,706429.065214,2277
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Apr,Simpanan Berjangka,855161.85207,849
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Apr,Tabungan,1563121.514596,341571
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,May,Giro,623139.482285,3115
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,May,Simpanan Berjangka,855692.458252,848
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,May,Tabungan,1577893.431994,342672
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Jun,Giro,600417.267518,2216
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Jun,Simpanan Berjangka,854815.936529,846
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Jun,Tabungan,1624856.456159,344681
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Jul,Giro,738829.469735,2261
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Jul,Simpanan Berjangka,846327.518993,867
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Jul,Tabungan,1583003.263111,346823
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Aug,Giro,658158.510259,2244
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Aug,Simpanan Berjangka,849403.079844,884
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Aug,Tabungan,1582262.486684,349273
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Sep,Giro,616544.967543,2234
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Sep,Simpanan Berjangka,846652.670325,880
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Sep,Tabungan,1561000.191766,349630
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Oct,Giro,815008.03454,2223
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Oct,Simpanan Berjangka,847500.558603,873
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Oct,Tabungan,1570116.152314,354769
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Nov,Giro,791870.817888,2213
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Nov,Simpanan Berjangka,771208.691139,871
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Nov,Tabungan,1594978.12713,355036
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Dec,Giro,1118602.167867,2077
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Dec,Simpanan Berjangka,206984.325566,875
KALIMANTAN SELATAN,Kab. Tanah Laut,2023,Dec,Tabungan,1681908.289066,357669
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Jan,Giro,1397205.141439,2241
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Jan,Simpanan Berjangka,207874.334542,889
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Jan,Tabungan,1621329.014225,361222
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Feb,Giro,1369798.68957,2207
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Feb,Simpanan Berjangka,210437.275714,876
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Feb,Tabungan,1594457.301379,360279
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Mar,Giro,597333.512485,2234
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Mar,Simpanan Berjangka,772969.046559,886
KALIMANTAN SELATAN,Kab. Tanah Laut,2024,Mar,Tabungan,1699870.471774,362876
KALIMANTAN SELATAN,Kab. Tapin,2019,,Giro,607871.253222,1216
KALIMANTAN SELATAN,Kab. Tapin,2019,,Simpanan Berjangka,417028.195697,557
KALIMANTAN SELATAN,Kab. Tapin,2019,,Tabungan,1078464.09371,177157
KALIMANTAN SELATAN,Kab. Tapin,2020,,Giro,531321.840167,1187
KALIMANTAN SELATAN,Kab. Tapin,2020,,Simpanan Berjangka,359561.191688,556
KALIMANTAN SELATAN,Kab. Tapin,2020,,Tabungan,1166976.90316,201751
KALIMANTAN SELATAN,Kab. Tapin,2021,,Giro,527555.225756,1209
KALIMANTAN SELATAN,Kab. Tapin,2021,,Simpanan Berjangka,378201.187233,492
KALIMANTAN SELATAN,Kab. Tapin,2021,,Tabungan,1442051.730062,223362
KALIMANTAN SELATAN,Kab. Tapin,2022,,Giro,789662.971557,1261
KALIMANTAN SELATAN,Kab. Tapin,2022,,Simpanan Berjangka,996253.364462,515
KALIMANTAN SELATAN,Kab. Tapin,2022,,Tabungan,2058993.209915,208962
KALIMANTAN SELATAN,Kab. Tapin,2023,,Giro,246564.003184,1330
KALIMANTAN SELATAN,Kab. Tapin,2023,,Simpanan Berjangka,738449.801389,546
KALIMANTAN SELATAN,Kab. Tapin,2023,,Tabungan,2334968.111931,233964
KALIMANTAN SELATAN,Kab. Tapin,2023,Mar,Giro,467874.43921,1347
KALIMANTAN SELATAN,Kab. Tapin,2023,Mar,Simpanan Berjangka,821468.415774,548
KALIMANTAN SELATAN,Kab. Tapin,2023,Mar,Tabungan,2102750.121677,214178
KALIMANTAN SELATAN,Kab. Tapin,2023,Apr,Giro,594229.366709,1359
KALIMANTAN SELATAN,Kab. Tapin,2023,Apr,Simpanan Berjangka,812322.13289,544
KALIMANTAN SELATAN,Kab. Tapin,2023,Apr,Tabungan,2113539.61919,215347
KALIMANTAN SELATAN,Kab. Tapin,2023,May,Giro,526912.859454,1992
KALIMANTAN SELATAN,Kab. Tapin,2023,May,Simpanan Berjangka,849175.004152,536
KALIMANTAN SELATAN,Kab. Tapin,2023,May,Tabungan,2089109.335207,216922
KALIMANTAN SELATAN,Kab. Tapin,2023,Jun,Giro,530072.057314,1357
KALIMANTAN SELATAN,Kab. Tapin,2023,Jun,Simpanan Berjangka,807370.829594,536
KALIMANTAN SELATAN,Kab. Tapin,2023,Jun,Tabungan,2149252.900011,220166
KALIMANTAN SELATAN,Kab. Tapin,2023,Jul,Giro,502123.350602,1479
KALIMANTAN SELATAN,Kab. Tapin,2023,Jul,Simpanan Berjangka,995093.26038,536
KALIMANTAN SELATAN,Kab. Tapin,2023,Jul,Tabungan,2182385.261116,222975
KALIMANTAN SELATAN,Kab. Tapin,2023,Aug,Giro,424371.415122,1431
KALIMANTAN SELATAN,Kab. Tapin,2023,Aug,Simpanan Berjangka,1191783.066822,541
KALIMANTAN SELATAN,Kab. Tapin,2023,Aug,Tabungan,2195057.121025,225604
KALIMANTAN SELATAN,Kab. Tapin,2023,Sep,Giro,441746.364117,1442
KALIMANTAN SELATAN,Kab. Tapin,2023,Sep,Simpanan Berjangka,665240.866363,513
KALIMANTAN SELATAN,Kab. Tapin,2023,Sep,Tabungan,2182362.635358,227007
KALIMANTAN SELATAN,Kab. Tapin,2023,Oct,Giro,633255.017625,1434
KALIMANTAN SELATAN,Kab. Tapin,2023,Oct,Simpanan Berjangka,736738.641964,524
KALIMANTAN SELATAN,Kab. Tapin,2023,Oct,Tabungan,2216751.18844,229517
KALIMANTAN SELATAN,Kab. Tapin,2023,Nov,Giro,442819.176898,1429
KALIMANTAN SELATAN,Kab. Tapin,2023,Nov,Simpanan Berjangka,741596.660995,537
KALIMANTAN SELATAN,Kab. Tapin,2023,Nov,Tabungan,2366889.476688,231898
KALIMANTAN SELATAN,Kab. Tapin,2023,Dec,Giro,246564.003184,1330
KALIMANTAN SELATAN,Kab. Tapin,2023,Dec,Simpanan Berjangka,738449.801389,546
KALIMANTAN SELATAN,Kab. Tapin,2023,Dec,Tabungan,2334968.111931,233964
KALIMANTAN SELATAN,Kab. Tapin,2024,Jan,Giro,703882.874779,1466
KALIMANTAN SELATAN,Kab. Tapin,2024,Jan,Simpanan Berjangka,760056.152596,544
KALIMANTAN SELATAN,Kab. Tapin,2024,Jan,Tabungan,2280101.494139,234307
KALIMANTAN SELATAN,Kab. Tapin,2024,Feb,Giro,543492.602926,1519
KALIMANTAN SELATAN,Kab. Tapin,2024,Feb,Simpanan Berjangka,759611.457726,546
KALIMANTAN SELATAN,Kab. Tapin,2024,Feb,Tabungan,2320443.054247,236112
KALIMANTAN SELATAN,Kab. Tapin,2024,Mar,Giro,807384.76888,1452
KALIMANTAN SELATAN,Kab. Tapin,2024,Mar,Simpanan Berjangka,773152.511282,544
KALIMANTAN SELATAN,Kab. Tapin,2024,Mar,Tabungan,2356790.656795,237844
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2019,,Giro,217586.07993,1202
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2019,,Simpanan Berjangka,233733.68047,628
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2019,,Tabungan,745492.58814,237439
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2020,,Giro,362031.518349,1210
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2020,,Simpanan Berjangka,173145.680473,580
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2020,,Tabungan,785155.46805,292363
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2021,,Giro,263264.737646,1210
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2021,,Simpanan Berjangka,66288.696615,555
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2021,,Tabungan,809781.019368,319838
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2022,,Giro,473482.315796,1116
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2022,,Simpanan Berjangka,68928.88563,542
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2022,,Tabungan,841608.897876,245766
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,,Giro,575185.672094,1054
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,,Simpanan Berjangka,66151.428732,493
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,,Tabungan,1030541.626495,266442
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Mar,Giro,391367.559633,1253
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Mar,Simpanan Berjangka,265092.950032,511
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Mar,Tabungan,809762.309535,249770
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Apr,Giro,485117.623325,1200
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Apr,Simpanan Berjangka,265130.741823,523
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Apr,Tabungan,845395.029102,251673
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,May,Giro,419419.417865,2299
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,May,Simpanan Berjangka,263022.317303,519
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,May,Tabungan,842047.230647,251916
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Jun,Giro,456007.470548,1097
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Jun,Simpanan Berjangka,243353.976568,521
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Jun,Tabungan,842445.623326,253533
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Jul,Giro,306428.819813,1406
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Jul,Simpanan Berjangka,358478.963421,524
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Jul,Tabungan,877867.273528,255819
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Aug,Giro,292004.307654,1352
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Aug,Simpanan Berjangka,359190.711,535
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Aug,Tabungan,850527.37778,258023
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Sep,Giro,300933.811661,1332
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Sep,Simpanan Berjangka,359375.394158,521
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Sep,Tabungan,837796.96146,259594
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Oct,Giro,529300.458701,1271
KALIMANTAN SELATAN,Kab. Hulu Sungai Selatan,2023,Oct,Simpanan Berjangka,359829.668326,523
