Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2019,,Giro,1976138.355282,3809
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2019,,Simpanan Berjangka,1160817.376367,4986
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2019,,Tabungan,3650581.019406,708545
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2020,,Giro,1567998.319254,4114
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2020,,Simpanan Berjangka,1298633.593999,5373
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2020,,Tabungan,4266527.975369,910583
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2021,,Giro,1065929.814745,4012
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2021,,Simpanan Berjangka,1543048.995431,5278
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2021,,Tabungan,4924264.057446,1063186
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2022,,Giro,3578211.227247,4098
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2022,,Simpanan Berjangka,1280523.441687,3935
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2022,,Tabungan,5819636.221945,1015578
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,,Giro,1178770.407782,4212
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,,Simpanan Berjangka,1599427.148423,3938
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,,Tabungan,5957008.832704,931818
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Mar,Giro,2530741.954685,4370
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Mar,Simpanan Berjangka,2970220.186225,3941
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Mar,Tabungan,4867573.457153,844605
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Apr,Giro,3083189.514346,4650
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Apr,Simpanan Berjangka,2963677.375442,3934
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Apr,Tabungan,5007648.450798,854987
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,May,Giro,2944377.472356,7280
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,May,Simpanan Berjangka,3014407.548902,3928
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,May,Tabungan,4959868.31937,860816
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Jun,Giro,2903191.331113,4251
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Jun,Simpanan Berjangka,2966222.066496,3902
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Jun,Tabungan,4994983.343348,869852
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Jul,Giro,2398108.405834,4746
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Jul,Simpanan Berjangka,2955069.937911,3921
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Jul,Tabungan,4996357.075795,874655
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Aug,Giro,2253668.059265,4457
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Aug,Simpanan Berjangka,3964290.736721,3940
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Aug,Tabungan,5001803.835658,889869
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Sep,Giro,1830350.370783,4398
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Sep,Simpanan Berjangka,4101148.194461,3926
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Sep,Tabungan,5016930.367042,895404
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Oct,Giro,2259611.831848,4465
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Oct,Simpanan Berjangka,3950352.845732,3926
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Oct,Tabungan,5085705.154758,910289
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Nov,Giro,1466253.70926,4478
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Nov,Simpanan Berjangka,3920868.509556,3932
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Nov,Tabungan,5328544.146762,918119
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Dec,Giro,1178770.407782,4212
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Dec,Simpanan Berjangka,1599427.148423,3938
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Dec,Tabungan,5957008.832704,931818
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2024,Jan,Giro,1933157.924376,4736
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2024,Jan,Simpanan Berjangka,1525314.785524,3970
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2024,Jan,Tabungan,5720977.803224,937005
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2024,Feb,Giro,1891748.547836,4769
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2024,Feb,Simpanan Berjangka,1563380.434002,3878
