Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
KALIMANTAN UTARA,Kab. Bulungan,2018,,Rupiah,Modal Kerja,626645.024924
KALIMANTAN UTARA,Kab. Bulungan,2018,,Rupiah,Investasi,694167.202375
KALIMANTAN UTARA,Kab. Bulungan,2018,,Rupiah,Konsumsi,686595.987926
KALIMANTAN UTARA,Kab. Bulungan,2019,,Rupiah,Modal Kerja,577642.055797
KALIMANTAN UTARA,Kab. Bulungan,2019,,Rupiah,Investasi,686532.444464
KALIMANTAN UTARA,Kab. Bulungan,2019,,Rupiah,Konsumsi,836659.355117
KALIMANTAN UTARA,Kab. Bulungan,2020,,Rupiah,Modal Kerja,623332.291175
KALIMANTAN UTARA,Kab. Bulungan,2020,,Rupiah,Investasi,780527.506339
KALIMANTAN UTARA,Kab. Bulungan,2020,,Rupiah,Konsumsi,996906.290493
KALIMANTAN UTARA,Kab. Bulungan,2021,,Rupiah,Modal Kerja,834341.108977
KALIMANTAN UTARA,Kab. Bulungan,2021,,Rupiah,Investasi,722991.375971
KALIMANTAN UTARA,Kab. Bulungan,2021,,Rupiah,Konsumsi,1129446.960388
KALIMANTAN UTARA,Kab. Bulungan,2022,,Rupiah,Modal Kerja,1382810.701758
KALIMANTAN UTARA,Kab. Bulungan,2022,,Rupiah,Investasi,939551.351819
KALIMANTAN UTARA,Kab. Bulungan,2022,,Rupiah,Konsumsi,1265135.885958
KALIMANTAN UTARA,Kab. Bulungan,2023,Mar,Rupiah,Modal Kerja,1392487.706767
KALIMANTAN UTARA,Kab. Bulungan,2023,Mar,Rupiah,Investasi,1323018.809297
KALIMANTAN UTARA,Kab. Bulungan,2023,Mar,Rupiah,Konsumsi,1294683.301575
KALIMANTAN UTARA,Kab. Bulungan,2023,Apr,Rupiah,Modal Kerja,1429791.130945
KALIMANTAN UTARA,Kab. Bulungan,2023,Apr,Rupiah,Investasi,1313939.75065
KALIMANTAN UTARA,Kab. Bulungan,2023,Apr,Rupiah,Konsumsi,1301759.857847
KALIMANTAN UTARA,Kab. Bulungan,2023,May,Rupiah,Modal Kerja,1461795.759025
KALIMANTAN UTARA,Kab. Bulungan,2023,May,Rupiah,Investasi,1314278.178099
KALIMANTAN UTARA,Kab. Bulungan,2023,May,Rupiah,Konsumsi,1329662.219788
KALIMANTAN UTARA,Kab. Bulungan,2023,Jun,Rupiah,Modal Kerja,1488248.600442
KALIMANTAN UTARA,Kab. Bulungan,2023,Jun,Rupiah,Investasi,1308493.282963
KALIMANTAN UTARA,Kab. Bulungan,2023,Jun,Rupiah,Konsumsi,1344872.452321
KALIMANTAN UTARA,Kab. Bulungan,2023,Jul,Rupiah,Modal Kerja,1562612.651933
KALIMANTAN UTARA,Kab. Bulungan,2023,Jul,Rupiah,Investasi,1515863.140429
KALIMANTAN UTARA,Kab. Bulungan,2023,Jul,Rupiah,Konsumsi,1362142.685012
KALIMANTAN UTARA,Kab. Bulungan,2023,Aug,Rupiah,Modal Kerja,1614599.268266
KALIMANTAN UTARA,Kab. Bulungan,2023,Aug,Rupiah,Investasi,1505303.625998
KALIMANTAN UTARA,Kab. Bulungan,2023,Aug,Rupiah,Konsumsi,1374721.869672
KALIMANTAN UTARA,Kab. Bulungan,2023,Sep,Rupiah,Modal Kerja,1662620.421936
