Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
ACEH,Kab. Aceh Besar,2019,,Giro,182634.433404,2892
ACEH,Kab. Aceh Besar,2019,,Simpanan Berjangka,220677.513843,984
ACEH,Kab. Aceh Besar,2019,,Tabungan,1126511.704782,283953
ACEH,Kab. Aceh Besar,2020,,Giro,113289.177373,3050
ACEH,Kab. Aceh Besar,2020,,Simpanan Berjangka,222551.88662,938
ACEH,Kab. Aceh Besar,2020,,Tabungan,907415.69113,288925
ACEH,Kab. Aceh Besar,2021,,Giro,196101.397864,3441
ACEH,Kab. Aceh Besar,2021,,Simpanan Berjangka,308402.887771,1184
ACEH,Kab. Aceh Besar,2021,,Tabungan,1495514.701986,305662
ACEH,Kab. Aceh Besar,2022,,Giro,245692.976358,3708
ACEH,Kab. Aceh Besar,2022,,Simpanan Berjangka,285228.188774,1123
ACEH,Kab. Aceh Besar,2022,,Tabungan,1648843.204769,338546
ACEH,Kab. Aceh Besar,2023,,Giro,169733.921037,3733
ACEH,Kab. Aceh Besar,2023,,Simpanan Berjangka,288295.211126,1186
ACEH,Kab. Aceh Besar,2023,,Tabungan,1520440.793503,357937
ACEH,Kab. Aceh Besar,2023,Mar,Giro,267257.695989,3916
ACEH,Kab. Aceh Besar,2023,Mar,Simpanan Berjangka,278529.971622,1081
ACEH,Kab. Aceh Besar,2023,Mar,Tabungan,1308357.259369,326066
ACEH,Kab. Aceh Besar,2023,Apr,Giro,262695.769744,3919
ACEH,Kab. Aceh Besar,2023,Apr,Simpanan Berjangka,286934.559199,1097
ACEH,Kab. Aceh Besar,2023,Apr,Tabungan,1357259.800118,344917
ACEH,Kab. Aceh Besar,2023,May,Giro,281898.97483,6753
ACEH,Kab. Aceh Besar,2023,May,Simpanan Berjangka,293778.800032,1130
ACEH,Kab. Aceh Besar,2023,May,Tabungan,1350023.482689,341200
ACEH,Kab. Aceh Besar,2023,Jun,Giro,262292.754499,3856
ACEH,Kab. Aceh Besar,2023,Jun,Simpanan Berjangka,298097.487103,1151
ACEH,Kab. Aceh Besar,2023,Jun,Tabungan,1361671.257294,360168
ACEH,Kab. Aceh Besar,2023,Jul,Giro,297160.809729,4155
ACEH,Kab. Aceh Besar,2023,Jul,Simpanan Berjangka,307838.605173,1151
ACEH,Kab. Aceh Besar,2023,Jul,Tabungan,1350201.411653,339197
ACEH,Kab. Aceh Besar,2023,Aug,Giro,351698.045989,4159
ACEH,Kab. Aceh Besar,2023,Aug,Simpanan Berjangka,311994.383795,1173
ACEH,Kab. Aceh Besar,2023,Aug,Tabungan,1352809.705031,350733
ACEH,Kab. Aceh Besar,2023,Sep,Giro,316978.214788,4133
ACEH,Kab. Aceh Besar,2023,Sep,Simpanan Berjangka,341580.328404,1182
ACEH,Kab. Aceh Besar,2023,Sep,Tabungan,1342400.788577,345330
ACEH,Kab. Aceh Besar,2023,Oct,Giro,325931.972818,3921
ACEH,Kab. Aceh Besar,2023,Oct,Simpanan Berjangka,352122.698545,1170
ACEH,Kab. Aceh Besar,2023,Oct,Tabungan,1342690.038428,371755
ACEH,Kab. Aceh Besar,2023,Nov,Giro,287464.466722,3906
ACEH,Kab. Aceh Besar,2023,Nov,Simpanan Berjangka,395958.993119,1178
ACEH,Kab. Aceh Besar,2023,Nov,Tabungan,1359424.136138,359903
ACEH,Kab. Aceh Besar,2023,Dec,Giro,169733.921037,3733
ACEH,Kab. Aceh Besar,2023,Dec,Simpanan Berjangka,288295.211126,1186
ACEH,Kab. Aceh Besar,2023,Dec,Tabungan,1520440.793503,357937
ACEH,Kab. Aceh Besar,2024,Jan,Giro,223039.580078,4155
ACEH,Kab. Aceh Besar,2024,Jan,Simpanan Berjangka,282933.201556,1160
ACEH,Kab. Aceh Besar,2024,Jan,Tabungan,1391334.413264,376482
ACEH,Kab. Aceh Besar,2024,Feb,Giro,319272.995963,4172
ACEH,Kab. Aceh Besar,2024,Feb,Simpanan Berjangka,279825.097901,1153
