Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
ACEH,Kab. Aceh Besar,2018,,Rupiah,Modal Kerja,1608989.792968
ACEH,Kab. Aceh Besar,2018,,Rupiah,Investasi,1016515.158399
ACEH,Kab. Aceh Besar,2018,,Rupiah,Konsumsi,1814200.04056
ACEH,Kab. Aceh Besar,2019,,Rupiah,Modal Kerja,1174673.371803
ACEH,Kab. Aceh Besar,2019,,Rupiah,Investasi,1051484.810143
ACEH,Kab. Aceh Besar,2019,,Rupiah,Konsumsi,2002627.818232
ACEH,Kab. Aceh Besar,2020,,Rupiah,Modal Kerja,1017058.258568
ACEH,Kab. Aceh Besar,2020,,Rupiah,Investasi,320649.140317
ACEH,Kab. Aceh Besar,2020,,Rupiah,Konsumsi,2012362.301184
ACEH,Kab. Aceh Besar,2021,,Rupiah,Modal Kerja,585825.469198
ACEH,Kab. Aceh Besar,2021,,Rupiah,Investasi,269255.650232
ACEH,Kab. Aceh Besar,2021,,Rupiah,Konsumsi,2127549.424177
ACEH,Kab. Aceh Besar,2022,,Rupiah,Modal Kerja,487427.215009
ACEH,Kab. Aceh Besar,2022,,Rupiah,Investasi,434706.196299
ACEH,Kab. Aceh Besar,2022,,Rupiah,Konsumsi,2525876.964852
ACEH,Kab. Aceh Besar,2023,Mar,Rupiah,Modal Kerja,624567.229722
ACEH,Kab. Aceh Besar,2023,Mar,Rupiah,Investasi,439251.413044
ACEH,Kab. Aceh Besar,2023,Mar,Rupiah,Konsumsi,2594902.070713
ACEH,Kab. Aceh Besar,2023,Apr,Rupiah,Modal Kerja,871203.77116
ACEH,Kab. Aceh Besar,2023,Apr,Rupiah,Investasi,458380.343741
ACEH,Kab. Aceh Besar,2023,Apr,Rupiah,Konsumsi,2608957.547041
ACEH,Kab. Aceh Besar,2023,May,Rupiah,Modal Kerja,917005.517335
ACEH,Kab. Aceh Besar,2023,May,Rupiah,Investasi,460348.564733
ACEH,Kab. Aceh Besar,2023,May,Rupiah,Konsumsi,2622574.210403
ACEH,Kab. Aceh Besar,2023,Jun,Rupiah,Modal Kerja,928829.427876
ACEH,Kab. Aceh Besar,2023,Jun,Rupiah,Investasi,547427.442628
ACEH,Kab. Aceh Besar,2023,Jun,Rupiah,Konsumsi,2651340.652572
ACEH,Kab. Aceh Besar,2023,Jul,Rupiah,Modal Kerja,466450.008272
ACEH,Kab. Aceh Besar,2023,Jul,Rupiah,Investasi,555575.937757
ACEH,Kab. Aceh Besar,2023,Jul,Rupiah,Konsumsi,2673370.566632
ACEH,Kab. Aceh Besar,2023,Aug,Rupiah,Modal Kerja,926201.62023
ACEH,Kab. Aceh Besar,2023,Aug,Rupiah,Investasi,569433.141521
ACEH,Kab. Aceh Besar,2023,Aug,Rupiah,Konsumsi,2719346.045513
ACEH,Kab. Aceh Besar,2023,Sep,Rupiah,Modal Kerja,482611.907278
ACEH,Kab. Aceh Besar,2023,Sep,Rupiah,Investasi,585925.120422
ACEH,Kab. Aceh Besar,2023,Sep,Rupiah,Konsumsi,2752968.876291
ACEH,Kab. Aceh Besar,2023,Oct,Rupiah,Modal Kerja,474214.418462
ACEH,Kab. Aceh Besar,2023,Oct,Rupiah,Investasi,594418.960004
ACEH,Kab. Aceh Besar,2023,Oct,Rupiah,Konsumsi,2779707.470156
ACEH,Kab. Aceh Besar,2023,Nov,Rupiah,Modal Kerja,461666.378215
ACEH,Kab. Aceh Besar,2023,Nov,Rupiah,Investasi,601041.342681
ACEH,Kab. Aceh Besar,2023,Nov,Rupiah,Konsumsi,2807431.532401
ACEH,Kab. Aceh Besar,2023,Dec,Rupiah,Modal Kerja,462222.615423
ACEH,Kab. Aceh Besar,2023,Dec,Rupiah,Investasi,608211.952814
ACEH,Kab. Aceh Besar,2023,Dec,Rupiah,Konsumsi,2828117.41593
ACEH,Kab. Aceh Besar,2024,Jan,Rupiah,Modal Kerja,452694.161048
ACEH,Kab. Aceh Besar,2024,Jan,Rupiah,Investasi,605411.555203
ACEH,Kab. Aceh Besar,2024,Jan,Rupiah,Konsumsi,2842099.271147
ACEH,Kab. Aceh Besar,2024,Feb,Rupiah,Modal Kerja,450126.840305
ACEH,Kab. Aceh Besar,2024,Feb,Rupiah,Investasi,607660.374606
ACEH,Kab. Aceh Besar,2024,Feb,Rupiah,Konsumsi,2866244.964322
ACEH,Kab. Aceh Besar,2024,Mar,Rupiah,Modal Kerja,462335.238443
ACEH,Kab. Aceh Besar,2024,Mar,Rupiah,Investasi,611915.897847
ACEH,Kab. Aceh Besar,2024,Mar,Rupiah,Konsumsi,2887110.963222
ACEH,Kab. Pidie,2018,,Rupiah,Modal Kerja,625690.9055
ACEH,Kab. Pidie,2018,,Rupiah,Investasi,198504.642033
ACEH,Kab. Pidie,2018,,Rupiah,Konsumsi,1193814.316608
ACEH,Kab. Pidie,2019,,Rupiah,Modal Kerja,681850.306732
ACEH,Kab. Pidie,2019,,Rupiah,Investasi,259015.762129
ACEH,Kab. Pidie,2019,,Rupiah,Konsumsi,1248839.647083
ACEH,Kab. Pidie,2020,,Rupiah,Modal Kerja,667950.727618
ACEH,Kab. Pidie,2020,,Rupiah,Investasi,134423.660284
ACEH,Kab. Pidie,2020,,Rupiah,Konsumsi,1163941.073811
ACEH,Kab. Pidie,2021,,Rupiah,Modal Kerja,591969.448459
ACEH,Kab. Pidie,2021,,Rupiah,Investasi,120911.487964
ACEH,Kab. Pidie,2021,,Rupiah,Konsumsi,1220588.46861
ACEH,Kab. Pidie,2022,,Rupiah,Modal Kerja,584808.073257
ACEH,Kab. Pidie,2022,,Rupiah,Investasi,149900.493531
ACEH,Kab. Pidie,2022,,Rupiah,Konsumsi,1350607.104782
ACEH,Kab. Pidie,2023,Mar,Rupiah,Modal Kerja,601454.982808
ACEH,Kab. Pidie,2023,Mar,Rupiah,Investasi,161537.055822
ACEH,Kab. Pidie,2023,Mar,Rupiah,Konsumsi,1368177.108891
ACEH,Kab. Pidie,2023,Apr,Rupiah,Modal Kerja,601159.976457
ACEH,Kab. Pidie,2023,Apr,Rupiah,Investasi,169763.991904
ACEH,Kab. Pidie,2023,Apr,Rupiah,Konsumsi,1367398.997961
ACEH,Kab. Pidie,2023,May,Rupiah,Modal Kerja,609135.562696
ACEH,Kab. Pidie,2023,May,Rupiah,Investasi,168846.494131
ACEH,Kab. Pidie,2023,May,Rupiah,Konsumsi,1362788.318652
ACEH,Kab. Pidie,2023,Jun,Rupiah,Modal Kerja,610243.10082
ACEH,Kab. Pidie,2023,Jun,Rupiah,Investasi,176907.207645
ACEH,Kab. Pidie,2023,Jun,Rupiah,Konsumsi,1367472.93358
ACEH,Kab. Pidie,2023,Jul,Rupiah,Modal Kerja,614156.336836
ACEH,Kab. Pidie,2023,Jul,Rupiah,Investasi,184517.042268
ACEH,Kab. Pidie,2023,Jul,Rupiah,Konsumsi,1367696.799868
ACEH,Kab. Pidie,2023,Aug,Rupiah,Modal Kerja,684881.201277
ACEH,Kab. Pidie,2023,Aug,Rupiah,Investasi,189076.931968
ACEH,Kab. Pidie,2023,Aug,Rupiah,Konsumsi,1377574.681235
ACEH,Kab. Pidie,2023,Sep,Rupiah,Modal Kerja,691729.294042
ACEH,Kab. Pidie,2023,Sep,Rupiah,Investasi,206939.336416
ACEH,Kab. Pidie,2023,Sep,Rupiah,Konsumsi,1385742.513362
ACEH,Kab. Pidie,2023,Oct,Rupiah,Modal Kerja,694663.164563
ACEH,Kab. Pidie,2023,Oct,Rupiah,Investasi,215364.321419
ACEH,Kab. Pidie,2023,Oct,Rupiah,Konsumsi,1392638.705902
ACEH,Kab. Pidie,2023,Nov,Rupiah,Modal Kerja,678319.27453
ACEH,Kab. Pidie,2023,Nov,Rupiah,Investasi,226340.128421
ACEH,Kab. Pidie,2023,Nov,Rupiah,Konsumsi,1401155.921262
ACEH,Kab. Pidie,2023,Dec,Rupiah,Modal Kerja,697212.300996
ACEH,Kab. Pidie,2023,Dec,Rupiah,Investasi,248048.067
ACEH,Kab. Pidie,2023,Dec,Rupiah,Konsumsi,1411467.090009
ACEH,Kab. Pidie,2024,Jan,Rupiah,Modal Kerja,653806.829641
ACEH,Kab. Pidie,2024,Jan,Rupiah,Investasi,249019.469193
ACEH,Kab. Pidie,2024,Jan,Rupiah,Konsumsi,1403766.895894
ACEH,Kab. Pidie,2024,Feb,Rupiah,Modal Kerja,658032.679016
ACEH,Kab. Pidie,2024,Feb,Rupiah,Investasi,255835.782694
ACEH,Kab. Pidie,2024,Feb,Rupiah,Konsumsi,1410873.350377
ACEH,Kab. Pidie,2024,Mar,Rupiah,Modal Kerja,639330.505278
ACEH,Kab. Pidie,2024,Mar,Rupiah,Investasi,258039.587332
ACEH,Kab. Pidie,2024,Mar,Rupiah,Konsumsi,1428457.675324
ACEH,Kab. Aceh Utara,2018,,Rupiah,Modal Kerja,1823338.215788
ACEH,Kab. Aceh Utara,2018,,Rupiah,Investasi,216114.796963
ACEH,Kab. Aceh Utara,2018,,Rupiah,Konsumsi,1206245.631903
ACEH,Kab. Aceh Utara,2019,,Rupiah,Modal Kerja,2195664.389696
ACEH,Kab. Aceh Utara,2019,,Rupiah,Investasi,202296.248594
ACEH,Kab. Aceh Utara,2019,,Rupiah,Konsumsi,1293441.213537
ACEH,Kab. Aceh Utara,2020,,Rupiah,Modal Kerja,1378675.52333
ACEH,Kab. Aceh Utara,2020,,Rupiah,Investasi,157747.584504
ACEH,Kab. Aceh Utara,2020,,Rupiah,Konsumsi,1265243.618559
ACEH,Kab. Aceh Utara,2021,,Rupiah,Modal Kerja,758093.442613
ACEH,Kab. Aceh Utara,2021,,Rupiah,Investasi,400415.0877
ACEH,Kab. Aceh Utara,2021,,Rupiah,Konsumsi,1343563.630853
ACEH,Kab. Aceh Utara,2022,,Rupiah,Modal Kerja,512544.29454
ACEH,Kab. Aceh Utara,2022,,Rupiah,Investasi,611968.591054
ACEH,Kab. Aceh Utara,2022,,Rupiah,Konsumsi,1528175.297825
ACEH,Kab. Aceh Utara,2023,Mar,Rupiah,Modal Kerja,1014314.024533
ACEH,Kab. Aceh Utara,2023,Mar,Rupiah,Investasi,645312.71085
ACEH,Kab. Aceh Utara,2023,Mar,Rupiah,Konsumsi,1562244.86558
ACEH,Kab. Aceh Utara,2023,Apr,Rupiah,Modal Kerja,1197769.92669
ACEH,Kab. Aceh Utara,2023,Apr,Rupiah,Investasi,650304.106252
ACEH,Kab. Aceh Utara,2023,Apr,Rupiah,Konsumsi,1564293.898362
ACEH,Kab. Aceh Utara,2023,May,Rupiah,Modal Kerja,1239081.438785
ACEH,Kab. Aceh Utara,2023,May,Rupiah,Investasi,645105.697644
ACEH,Kab. Aceh Utara,2023,May,Rupiah,Konsumsi,1570521.008286
ACEH,Kab. Aceh Utara,2023,Jun,Rupiah,Modal Kerja,1263809.497385
ACEH,Kab. Aceh Utara,2023,Jun,Rupiah,Investasi,656545.881838
ACEH,Kab. Aceh Utara,2023,Jun,Rupiah,Konsumsi,1575547.455277
ACEH,Kab. Aceh Utara,2023,Jul,Rupiah,Modal Kerja,1266612.309603
ACEH,Kab. Aceh Utara,2023,Jul,Rupiah,Investasi,666440.05081
ACEH,Kab. Aceh Utara,2023,Jul,Rupiah,Konsumsi,1579585.931756
ACEH,Kab. Aceh Utara,2023,Aug,Rupiah,Modal Kerja,1317268.123724
ACEH,Kab. Aceh Utara,2023,Aug,Rupiah,Investasi,676648.631329
ACEH,Kab. Aceh Utara,2023,Aug,Rupiah,Konsumsi,1588903.354355
ACEH,Kab. Aceh Utara,2023,Sep,Rupiah,Modal Kerja,1361269.487677
ACEH,Kab. Aceh Utara,2023,Sep,Rupiah,Investasi,750326.48221
ACEH,Kab. Aceh Utara,2023,Sep,Rupiah,Konsumsi,1598762.912413
ACEH,Kab. Aceh Utara,2023,Oct,Rupiah,Modal Kerja,1358335.703508
ACEH,Kab. Aceh Utara,2023,Oct,Rupiah,Investasi,759094.978225
ACEH,Kab. Aceh Utara,2023,Oct,Rupiah,Konsumsi,1607822.141774
ACEH,Kab. Aceh Utara,2023,Nov,Rupiah,Modal Kerja,1376684.584296
ACEH,Kab. Aceh Utara,2023,Nov,Rupiah,Investasi,765401.156119
