Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
NUSA TENGGARA BARAT,Kab. Lombok Barat,2019,,Giro,282810.300138,5834
NUSA TENGGARA BARAT,Kab. Lombok Barat,2019,,Simpanan Berjangka,327450.850781,2927
NUSA TENGGARA BARAT,Kab. Lombok Barat,2019,,Tabungan,1490289.381334,709064
NUSA TENGGARA BARAT,Kab. Lombok Barat,2020,,Giro,135900.262659,3856
NUSA TENGGARA BARAT,Kab. Lombok Barat,2020,,Simpanan Berjangka,360096.476883,2648
NUSA TENGGARA BARAT,Kab. Lombok Barat,2020,,Tabungan,1420157.640161,803873
NUSA TENGGARA BARAT,Kab. Lombok Barat,2021,,Giro,144025.608481,4218
NUSA TENGGARA BARAT,Kab. Lombok Barat,2021,,Simpanan Berjangka,328941.883172,2447
NUSA TENGGARA BARAT,Kab. Lombok Barat,2021,,Tabungan,1401963.594245,839227
NUSA TENGGARA BARAT,Kab. Lombok Barat,2022,,Giro,120021.054,2179
NUSA TENGGARA BARAT,Kab. Lombok Barat,2022,,Simpanan Berjangka,319147.36519,2184
NUSA TENGGARA BARAT,Kab. Lombok Barat,2022,,Tabungan,1460689.250774,603258
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,,Giro,160106.78668,2233
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,,Simpanan Berjangka,377759.93924,2487
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,,Tabungan,1731383.151326,676908
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Mar,Giro,347154.704599,2369
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Mar,Simpanan Berjangka,327874.874371,2298
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Mar,Tabungan,1443128.919143,597555
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Apr,Giro,250265.107648,2284
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Apr,Simpanan Berjangka,331589.069412,2303
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Apr,Tabungan,1474882.361878,621858
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,May,Giro,321318.719222,3201
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,May,Simpanan Berjangka,332083.686738,2238
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,May,Tabungan,1470860.486742,617336
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Jun,Giro,296132.334154,2243
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Jun,Simpanan Berjangka,326135.028034,2070
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Jun,Tabungan,1454053.217289,618536
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Jul,Giro,253021.608782,2661
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Jul,Simpanan Berjangka,337836.210514,2128
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Jul,Tabungan,1513880.290493,622183
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Aug,Giro,299076.803606,2433
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Aug,Simpanan Berjangka,345568.553428,2165
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Aug,Tabungan,1539668.171775,628656
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Sep,Giro,284429.726455,2357
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Sep,Simpanan Berjangka,354571.903717,2250
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Sep,Tabungan,1531482.520069,637831
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Oct,Giro,338185.09854,2326
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Oct,Simpanan Berjangka,362350.588991,2331
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Oct,Tabungan,1598769.678208,676917
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Nov,Giro,326680.783476,2303
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Nov,Simpanan Berjangka,371466.43296,2403
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Nov,Tabungan,1643597.217653,661218
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Dec,Giro,160106.78668,2233
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Dec,Simpanan Berjangka,377759.93924,2487
NUSA TENGGARA BARAT,Kab. Lombok Barat,2023,Dec,Tabungan,1731383.151326,676908
NUSA TENGGARA BARAT,Kab. Lombok Barat,2024,Jan,Giro,268756.027894,2779
NUSA TENGGARA BARAT,Kab. Lombok Barat,2024,Jan,Simpanan Berjangka,391168.696942,2577
NUSA TENGGARA BARAT,Kab. Lombok Barat,2024,Jan,Tabungan,1698866.891951,712088
