Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
NUSA TENGGARA TIMUR,Kab. Nagekeo,2018,,Rupiah,Modal Kerja,155146.437228
NUSA TENGGARA TIMUR,Kab. Nagekeo,2018,,Rupiah,Investasi,9201.63514
NUSA TENGGARA TIMUR,Kab. Nagekeo,2018,,Rupiah,Konsumsi,321898.357103
NUSA TENGGARA TIMUR,Kab. Nagekeo,2019,,Rupiah,Modal Kerja,182015.840453
NUSA TENGGARA TIMUR,Kab. Nagekeo,2019,,Rupiah,Investasi,8956.80863
NUSA TENGGARA TIMUR,Kab. Nagekeo,2019,,Rupiah,Konsumsi,363758.373798
NUSA TENGGARA TIMUR,Kab. Nagekeo,2020,,Rupiah,Modal Kerja,158012.5122
NUSA TENGGARA TIMUR,Kab. Nagekeo,2020,,Rupiah,Investasi,13133.575652
NUSA TENGGARA TIMUR,Kab. Nagekeo,2020,,Rupiah,Konsumsi,382556.35512
NUSA TENGGARA TIMUR,Kab. Nagekeo,2021,,Rupiah,Modal Kerja,246993.865129
NUSA TENGGARA TIMUR,Kab. Nagekeo,2021,,Rupiah,Investasi,13458.086505
NUSA TENGGARA TIMUR,Kab. Nagekeo,2021,,Rupiah,Konsumsi,481711.369603
NUSA TENGGARA TIMUR,Kab. Nagekeo,2022,,Rupiah,Modal Kerja,110003.223258
NUSA TENGGARA TIMUR,Kab. Nagekeo,2022,,Rupiah,Investasi,5622.293252
NUSA TENGGARA TIMUR,Kab. Nagekeo,2022,,Rupiah,Konsumsi,536545.065336
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Mar,Rupiah,Modal Kerja,107897.637632
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Mar,Rupiah,Investasi,6498.420812
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Mar,Rupiah,Konsumsi,542977.350723
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Apr,Rupiah,Modal Kerja,107733.171689
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Apr,Rupiah,Investasi,5968.976049
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Apr,Rupiah,Konsumsi,542339.131516
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,May,Rupiah,Modal Kerja,108475.619692
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,May,Rupiah,Investasi,5824.997337
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,May,Rupiah,Konsumsi,547010.80323
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Jun,Rupiah,Modal Kerja,109096.316355
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Jun,Rupiah,Investasi,7285.635348
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Jun,Rupiah,Konsumsi,552168.39881
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Jul,Rupiah,Modal Kerja,108527.161667
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Jul,Rupiah,Investasi,8097.917581
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Jul,Rupiah,Konsumsi,556245.557059
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Aug,Rupiah,Modal Kerja,108636.256373
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Aug,Rupiah,Investasi,8526.450131
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Aug,Rupiah,Konsumsi,565856.097337
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Sep,Rupiah,Modal Kerja,111314.261201
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Sep,Rupiah,Investasi,8310.49714
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Sep,Rupiah,Konsumsi,578009.355911
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Oct,Rupiah,Modal Kerja,110784.722695
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Oct,Rupiah,Investasi,8103.705199
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Oct,Rupiah,Konsumsi,582192.683893
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Nov,Rupiah,Modal Kerja,111309.932418
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Nov,Rupiah,Investasi,8213.882283
