Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
PAPUA,Kab. Puncak,2019,,Giro,106817.866033,445
PAPUA,Kab. Puncak,2019,,Simpanan Berjangka,-,-
PAPUA,Kab. Puncak,2019,,Tabungan,-,-
PAPUA,Kab. Puncak,2020,,Giro,9563.457867,454
PAPUA,Kab. Puncak,2020,,Simpanan Berjangka,-,-
PAPUA,Kab. Puncak,2020,,Tabungan,-,-
PAPUA,Kab. Puncak,2021,,Giro,9934.201831,447
PAPUA,Kab. Puncak,2021,,Simpanan Berjangka,-,-
PAPUA,Kab. Puncak,2021,,Tabungan,-,-
PAPUA,Kab. Puncak,2022,,Giro,45173.72843,462
PAPUA,Kab. Puncak,2022,,Simpanan Berjangka,10298.20002,38
PAPUA,Kab. Puncak,2022,,Tabungan,-,-
PAPUA,Kab. Puncak,2023,,Giro,46458.559791,451
PAPUA,Kab. Puncak,2023,,Simpanan Berjangka,11273.2,40
PAPUA,Kab. Puncak,2023,,Tabungan,-,-
PAPUA,Kab. Puncak,2023,Mar,Giro,81080.277176,485
PAPUA,Kab. Puncak,2023,Mar,Simpanan Berjangka,10348.2,39
PAPUA,Kab. Puncak,2023,Mar,Tabungan,-,-
PAPUA,Kab. Puncak,2023,Apr,Giro,70710.496761,484
PAPUA,Kab. Puncak,2023,Apr,Simpanan Berjangka,10173.2,40
PAPUA,Kab. Puncak,2023,Apr,Tabungan,-,-
PAPUA,Kab. Puncak,2023,May,Giro,156803.205645,488
PAPUA,Kab. Puncak,2023,May,Simpanan Berjangka,10103.2,39
PAPUA,Kab. Puncak,2023,May,Tabungan,-,-
PAPUA,Kab. Puncak,2023,Jun,Giro,83705.743459,486
PAPUA,Kab. Puncak,2023,Jun,Simpanan Berjangka,10053.2,38
PAPUA,Kab. Puncak,2023,Jun,Tabungan,-,-
PAPUA,Kab. Puncak,2023,Jul,Giro,117879.066537,492
PAPUA,Kab. Puncak,2023,Jul,Simpanan Berjangka,10553.2,38
PAPUA,Kab. Puncak,2023,Jul,Tabungan,-,-
PAPUA,Kab. Puncak,2023,Aug,Giro,245321.11717,490
PAPUA,Kab. Puncak,2023,Aug,Simpanan Berjangka,11953.2,40
PAPUA,Kab. Puncak,2023,Aug,Tabungan,-,-
PAPUA,Kab. Puncak,2023,Sep,Giro,155252.142475,491
PAPUA,Kab. Puncak,2023,Sep,Simpanan Berjangka,11253.2,38
PAPUA,Kab. Puncak,2023,Sep,Tabungan,-,-
PAPUA,Kab. Puncak,2023,Oct,Giro,219036.298772,492
PAPUA,Kab. Puncak,2023,Oct,Simpanan Berjangka,11873.2,40
PAPUA,Kab. Puncak,2023,Oct,Tabungan,-,-
PAPUA,Kab. Puncak,2023,Nov,Giro,233021.300093,502
PAPUA,Kab. Puncak,2023,Nov,Simpanan Berjangka,9673.2,36
PAPUA,Kab. Puncak,2023,Nov,Tabungan,-,-
PAPUA,Kab. Puncak,2023,Dec,Giro,46458.559791,451
PAPUA,Kab. Puncak,2023,Dec,Simpanan Berjangka,11273.2,40
PAPUA,Kab. Puncak,2023,Dec,Tabungan,-,-
PAPUA,Kab. Puncak,2024,Jan,Giro,80799.987693,485
PAPUA,Kab. Puncak,2024,Jan,Simpanan Berjangka,11223.2,39
PAPUA,Kab. Puncak,2024,Jan,Tabungan,-,-
PAPUA,Kab. Puncak,2024,Feb,Giro,132015.517846,486
PAPUA,Kab. Puncak,2024,Feb,Simpanan Berjangka,9403.2,35
PAPUA,Kab. Puncak,2024,Feb,Tabungan,-,-
PAPUA,Kab. Puncak,2024,Mar,Giro,95205.328108,467
PAPUA,Kab. Puncak,2024,Mar,Simpanan Berjangka,9297.2,33
PAPUA,Kab. Puncak,2024,Mar,Tabungan,-,-
PAPUA,Kab. Yalimo,2019,,Giro,69144.516766,380
PAPUA,Kab. Yalimo,2019,,Simpanan Berjangka,-,-
PAPUA,Kab. Yalimo,2019,,Tabungan,-,-
PAPUA,Kab. Yalimo,2020,,Giro,119803.145607,363
PAPUA,Kab. Yalimo,2020,,Simpanan Berjangka,-,-
PAPUA,Kab. Yalimo,2020,,Tabungan,-,-
PAPUA,Kab. Yalimo,2021,,Giro,165406.833862,355
PAPUA,Kab. Yalimo,2021,,Simpanan Berjangka,-,-
PAPUA,Kab. Yalimo,2021,,Tabungan,-,-
PAPUA,Kab. Yalimo,2022,,Giro,306557.885323,351
PAPUA,Kab. Yalimo,2022,,Simpanan Berjangka,710,5
PAPUA,Kab. Yalimo,2022,,Tabungan,-,-
PAPUA,Kab. Yalimo,2023,,Giro,173941.278065,341
PAPUA,Kab. Yalimo,2023,,Simpanan Berjangka,25645,8
PAPUA,Kab. Yalimo,2023,,Tabungan,-,-
PAPUA,Kab. Yalimo,2023,Mar,Giro,337008.451591,355
PAPUA,Kab. Yalimo,2023,Mar,Simpanan Berjangka,25380,6
PAPUA,Kab. Yalimo,2023,Mar,Tabungan,-,-
PAPUA,Kab. Yalimo,2023,Apr,Giro,372066.267813,350
PAPUA,Kab. Yalimo,2023,Apr,Simpanan Berjangka,25380,6
PAPUA,Kab. Yalimo,2023,Apr,Tabungan,-,-
PAPUA,Kab. Yalimo,2023,May,Giro,390273.915821,355
PAPUA,Kab. Yalimo,2023,May,Simpanan Berjangka,25380,6
PAPUA,Kab. Yalimo,2023,May,Tabungan,-,-
PAPUA,Kab. Yalimo,2023,Jun,Giro,352146.65373,368
PAPUA,Kab. Yalimo,2023,Jun,Simpanan Berjangka,25375,5
PAPUA,Kab. Yalimo,2023,Jun,Tabungan,-,-
PAPUA,Kab. Yalimo,2023,Jul,Giro,389091.312542,368
PAPUA,Kab. Yalimo,2023,Jul,Simpanan Berjangka,25375,5
PAPUA,Kab. Yalimo,2023,Jul,Tabungan,-,-
PAPUA,Kab. Yalimo,2023,Aug,Giro,385519.487027,360
PAPUA,Kab. Yalimo,2023,Aug,Simpanan Berjangka,25375,5
PAPUA,Kab. Yalimo,2023,Aug,Tabungan,-,-
PAPUA,Kab. Yalimo,2023,Sep,Giro,416218.396129,357
PAPUA,Kab. Yalimo,2023,Sep,Simpanan Berjangka,25520,7
PAPUA,Kab. Yalimo,2023,Sep,Tabungan,-,-
PAPUA,Kab. Yalimo,2023,Oct,Giro,418115.624574,357
PAPUA,Kab. Yalimo,2023,Oct,Simpanan Berjangka,25590,8
PAPUA,Kab. Yalimo,2023,Oct,Tabungan,-,-
PAPUA,Kab. Yalimo,2023,Nov,Giro,493661.596104,360
