Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
PAPUA,Kab. Puncak,2018,,Rupiah,Modal Kerja,15088.776462
PAPUA,Kab. Puncak,2018,,Rupiah,Investasi,140.160145
PAPUA,Kab. Puncak,2018,,Rupiah,Konsumsi,45989.760216
PAPUA,Kab. Puncak,2019,,Rupiah,Modal Kerja,135999.3606
PAPUA,Kab. Puncak,2019,,Rupiah,Investasi,351.744383
PAPUA,Kab. Puncak,2019,,Rupiah,Konsumsi,59846.783247
PAPUA,Kab. Puncak,2020,,Rupiah,Modal Kerja,66316.549406
PAPUA,Kab. Puncak,2020,,Rupiah,Investasi,294.964279
PAPUA,Kab. Puncak,2020,,Rupiah,Konsumsi,71933.515114
PAPUA,Kab. Puncak,2021,,Rupiah,Modal Kerja,15557.614254
PAPUA,Kab. Puncak,2021,,Rupiah,Investasi,295.116283
PAPUA,Kab. Puncak,2021,,Rupiah,Konsumsi,88098.983809
PAPUA,Kab. Puncak,2022,,Rupiah,Modal Kerja,4335.143746
PAPUA,Kab. Puncak,2022,,Rupiah,Investasi,253.047314
PAPUA,Kab. Puncak,2022,,Rupiah,Konsumsi,106890.539273
PAPUA,Kab. Puncak,2023,Mar,Rupiah,Modal Kerja,4166.685183
PAPUA,Kab. Puncak,2023,Mar,Rupiah,Investasi,253.111925
PAPUA,Kab. Puncak,2023,Mar,Rupiah,Konsumsi,107392.529551
PAPUA,Kab. Puncak,2023,Apr,Rupiah,Modal Kerja,4166.013374
PAPUA,Kab. Puncak,2023,Apr,Rupiah,Investasi,253.133554
PAPUA,Kab. Puncak,2023,Apr,Rupiah,Konsumsi,107920.287908
PAPUA,Kab. Puncak,2023,May,Rupiah,Modal Kerja,4642.312625
PAPUA,Kab. Puncak,2023,May,Rupiah,Investasi,253.155561
PAPUA,Kab. Puncak,2023,May,Rupiah,Konsumsi,109353.961218
PAPUA,Kab. Puncak,2023,Jun,Rupiah,Modal Kerja,4608.794246
PAPUA,Kab. Puncak,2023,Jun,Rupiah,Investasi,253.177381
PAPUA,Kab. Puncak,2023,Jun,Rupiah,Konsumsi,110312.237139
PAPUA,Kab. Puncak,2023,Jul,Rupiah,Modal Kerja,4529.220167
PAPUA,Kab. Puncak,2023,Jul,Rupiah,Investasi,253.199749
PAPUA,Kab. Puncak,2023,Jul,Rupiah,Konsumsi,111610.841439
PAPUA,Kab. Puncak,2023,Aug,Rupiah,Modal Kerja,5289.612456
PAPUA,Kab. Puncak,2023,Aug,Rupiah,Investasi,253.222512
PAPUA,Kab. Puncak,2023,Aug,Rupiah,Konsumsi,112824.979066
PAPUA,Kab. Puncak,2023,Sep,Rupiah,Modal Kerja,5641.152853
PAPUA,Kab. Puncak,2023,Sep,Rupiah,Investasi,253.24518
PAPUA,Kab. Puncak,2023,Sep,Rupiah,Konsumsi,114920.866575
PAPUA,Kab. Puncak,2023,Oct,Rupiah,Modal Kerja,5496.932371
PAPUA,Kab. Puncak,2023,Oct,Rupiah,Investasi,253.308094
PAPUA,Kab. Puncak,2023,Oct,Rupiah,Konsumsi,121323.710729
PAPUA,Kab. Puncak,2023,Nov,Rupiah,Modal Kerja,5477.417113
PAPUA,Kab. Puncak,2023,Nov,Rupiah,Investasi,253.271094
PAPUA,Kab. Puncak,2023,Nov,Rupiah,Konsumsi,125082.815889
PAPUA,Kab. Puncak,2023,Dec,Rupiah,Modal Kerja,5438.149081
PAPUA,Kab. Puncak,2023,Dec,Rupiah,Investasi,253.271094
PAPUA,Kab. Puncak,2023,Dec,Rupiah,Konsumsi,126543.873017
PAPUA,Kab. Puncak,2024,Jan,Rupiah,Modal Kerja,4293.572617
PAPUA,Kab. Puncak,2024,Jan,Rupiah,Investasi,253.271094
PAPUA,Kab. Puncak,2024,Jan,Rupiah,Konsumsi,127396.232027
PAPUA,Kab. Puncak,2024,Feb,Rupiah,Modal Kerja,4262.279769
PAPUA,Kab. Puncak,2024,Feb,Rupiah,Investasi,253.271094
PAPUA,Kab. Puncak,2024,Feb,Rupiah,Konsumsi,128324.286644
PAPUA,Kab. Puncak,2024,Mar,Rupiah,Modal Kerja,4160.679683
PAPUA,Kab. Puncak,2024,Mar,Rupiah,Investasi,253.271094
PAPUA,Kab. Puncak,2024,Mar,Rupiah,Konsumsi,129288.051234
PAPUA,Kab. Yalimo,2018,,Rupiah,Modal Kerja,5272.310678
PAPUA,Kab. Yalimo,2018,,Rupiah,Investasi,2212.999196
PAPUA,Kab. Yalimo,2018,,Rupiah,Konsumsi,62870.767064
PAPUA,Kab. Yalimo,2019,,Rupiah,Modal Kerja,948.008251
PAPUA,Kab. Yalimo,2019,,Rupiah,Investasi,3370.049581
PAPUA,Kab. Yalimo,2019,,Rupiah,Konsumsi,72521.671324
PAPUA,Kab. Yalimo,2020,,Rupiah,Modal Kerja,1507.131514
PAPUA,Kab. Yalimo,2020,,Rupiah,Investasi,3214.374466
PAPUA,Kab. Yalimo,2020,,Rupiah,Konsumsi,87774.850835
PAPUA,Kab. Yalimo,2021,,Rupiah,Modal Kerja,3769.596339
PAPUA,Kab. Yalimo,2021,,Rupiah,Investasi,2041.411062
PAPUA,Kab. Yalimo,2021,,Rupiah,Konsumsi,95288.393112
PAPUA,Kab. Yalimo,2022,,Rupiah,Modal Kerja,4753.34871
PAPUA,Kab. Yalimo,2022,,Rupiah,Investasi,673.778829
PAPUA,Kab. Yalimo,2022,,Rupiah,Konsumsi,97124.472565
PAPUA,Kab. Yalimo,2023,Mar,Rupiah,Modal Kerja,3284.562549
PAPUA,Kab. Yalimo,2023,Mar,Rupiah,Investasi,673.780903
PAPUA,Kab. Yalimo,2023,Mar,Rupiah,Konsumsi,99269.361901
PAPUA,Kab. Yalimo,2023,Apr,Rupiah,Modal Kerja,3250.457072
PAPUA,Kab. Yalimo,2023,Apr,Rupiah,Investasi,673.781594
PAPUA,Kab. Yalimo,2023,Apr,Rupiah,Konsumsi,98657.575946
PAPUA,Kab. Yalimo,2023,May,Rupiah,Modal Kerja,3211.169054
PAPUA,Kab. Yalimo,2023,May,Rupiah,Investasi,673.782297
PAPUA,Kab. Yalimo,2023,May,Rupiah,Konsumsi,100136.432458
PAPUA,Kab. Yalimo,2023,Jun,Rupiah,Modal Kerja,3104.515733
PAPUA,Kab. Yalimo,2023,Jun,Rupiah,Investasi,673.782992
PAPUA,Kab. Yalimo,2023,Jun,Rupiah,Konsumsi,101762.1275
PAPUA,Kab. Yalimo,2023,Jul,Rupiah,Modal Kerja,3062.100384
PAPUA,Kab. Yalimo,2023,Jul,Rupiah,Investasi,673.783704
PAPUA,Kab. Yalimo,2023,Jul,Rupiah,Konsumsi,102429.264572
PAPUA,Kab. Yalimo,2023,Aug,Rupiah,Modal Kerja,3023.945743
PAPUA,Kab. Yalimo,2023,Aug,Rupiah,Investasi,673.784424
PAPUA,Kab. Yalimo,2023,Aug,Rupiah,Konsumsi,103958.656095
PAPUA,Kab. Yalimo,2023,Sep,Rupiah,Modal Kerja,2766.92262
PAPUA,Kab. Yalimo,2023,Sep,Rupiah,Investasi,673.785131
PAPUA,Kab. Yalimo,2023,Sep,Rupiah,Konsumsi,106542.449645
PAPUA,Kab. Yalimo,2023,Oct,Rupiah,Modal Kerja,2868.571483
PAPUA,Kab. Yalimo,2023,Oct,Rupiah,Investasi,673.904968
PAPUA,Kab. Yalimo,2023,Oct,Rupiah,Konsumsi,109635.508748
PAPUA,Kab. Yalimo,2023,Nov,Rupiah,Modal Kerja,4086.623577
PAPUA,Kab. Yalimo,2023,Nov,Rupiah,Investasi,673.786632
PAPUA,Kab. Yalimo,2023,Nov,Rupiah,Konsumsi,111701.454935
PAPUA,Kab. Yalimo,2023,Dec,Rupiah,Modal Kerja,4003.231373
PAPUA,Kab. Yalimo,2023,Dec,Rupiah,Investasi,651.828111
PAPUA,Kab. Yalimo,2023,Dec,Rupiah,Konsumsi,111690.175312
PAPUA,Kab. Yalimo,2024,Jan,Rupiah,Modal Kerja,2887.622281
PAPUA,Kab. Yalimo,2024,Jan,Rupiah,Investasi,651.828111
PAPUA,Kab. Yalimo,2024,Jan,Rupiah,Konsumsi,111268.950723
PAPUA,Kab. Yalimo,2024,Feb,Rupiah,Modal Kerja,2861.718434
PAPUA,Kab. Yalimo,2024,Feb,Rupiah,Investasi,651.828111
PAPUA,Kab. Yalimo,2024,Feb,Rupiah,Konsumsi,112410.465682
PAPUA,Kab. Yalimo,2024,Mar,Rupiah,Modal Kerja,1380.486984
PAPUA,Kab. Yalimo,2024,Mar,Rupiah,Investasi,438.000149
PAPUA,Kab. Yalimo,2024,Mar,Rupiah,Konsumsi,114095.091239
PAPUA,Kab. Jayapura,2018,,Rupiah,Modal Kerja,701304.79051
PAPUA,Kab. Jayapura,2018,,Rupiah,Investasi,1252803.708239
PAPUA,Kab. Jayapura,2018,,Rupiah,Konsumsi,2062692.491319
PAPUA,Kab. Jayapura,2019,,Rupiah,Modal Kerja,530332.743212
PAPUA,Kab. Jayapura,2019,,Rupiah,Investasi,1099045.707099
PAPUA,Kab. Jayapura,2019,,Rupiah,Konsumsi,2049412.87794
PAPUA,Kab. Jayapura,2020,,Rupiah,Modal Kerja,605337.510323
PAPUA,Kab. Jayapura,2020,,Rupiah,Investasi,1246444.596293
PAPUA,Kab. Jayapura,2020,,Rupiah,Konsumsi,1966224.109205
PAPUA,Kab. Jayapura,2021,,Rupiah,Modal Kerja,470648.450295
PAPUA,Kab. Jayapura,2021,,Rupiah,Investasi,979948.717328
PAPUA,Kab. Jayapura,2021,,Rupiah,Konsumsi,1789721.060291
PAPUA,Kab. Jayapura,2022,,Rupiah,Modal Kerja,424380.906477
PAPUA,Kab. Jayapura,2022,,Rupiah,Investasi,795554.293378
PAPUA,Kab. Jayapura,2022,,Rupiah,Konsumsi,1631592.020722
PAPUA,Kab. Jayapura,2023,Mar,Rupiah,Modal Kerja,440295.12206
PAPUA,Kab. Jayapura,2023,Mar,Rupiah,Investasi,1249603.882549
PAPUA,Kab. Jayapura,2023,Mar,Rupiah,Konsumsi,1607945.428783
