Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
RIAU,Kab. Kampar,2018,,Rupiah,Modal Kerja,2379946.518987
RIAU,Kab. Kampar,2018,,Rupiah,Investasi,2241797.086072
RIAU,Kab. Kampar,2018,,Rupiah,Konsumsi,5569304.903482
RIAU,Kab. Kampar,2019,,Rupiah,Modal Kerja,2405754.404167
RIAU,Kab. Kampar,2019,,Rupiah,Investasi,2364640.534981
RIAU,Kab. Kampar,2019,,Rupiah,Konsumsi,5991347.356365
RIAU,Kab. Kampar,2020,,Rupiah,Modal Kerja,2888806.44824
RIAU,Kab. Kampar,2020,,Rupiah,Investasi,1620600.106428
RIAU,Kab. Kampar,2020,,Rupiah,Konsumsi,5876745.044777
RIAU,Kab. Kampar,2021,,Rupiah,Modal Kerja,3117145.495147
RIAU,Kab. Kampar,2021,,Rupiah,Investasi,1487273.884462
RIAU,Kab. Kampar,2021,,Rupiah,Konsumsi,6057938.223937
RIAU,Kab. Kampar,2022,,Rupiah,Modal Kerja,2889803.94351
RIAU,Kab. Kampar,2022,,Rupiah,Investasi,2347446.130968
RIAU,Kab. Kampar,2022,,Rupiah,Konsumsi,6554160.814318
RIAU,Kab. Kampar,2023,Mar,Rupiah,Modal Kerja,2820545.226799
RIAU,Kab. Kampar,2023,Mar,Rupiah,Investasi,2463566.773299
RIAU,Kab. Kampar,2023,Mar,Rupiah,Konsumsi,6744361.331762
RIAU,Kab. Kampar,2023,Apr,Rupiah,Modal Kerja,2850939.569426
RIAU,Kab. Kampar,2023,Apr,Rupiah,Investasi,2496922.735606
RIAU,Kab. Kampar,2023,Apr,Rupiah,Konsumsi,6774441.043489
RIAU,Kab. Kampar,2023,May,Rupiah,Modal Kerja,2871320.171665
RIAU,Kab. Kampar,2023,May,Rupiah,Investasi,2604487.996483
RIAU,Kab. Kampar,2023,May,Rupiah,Konsumsi,6799202.779631
RIAU,Kab. Kampar,2023,Jun,Rupiah,Modal Kerja,2926796.146501
RIAU,Kab. Kampar,2023,Jun,Rupiah,Investasi,2639395.514868
RIAU,Kab. Kampar,2023,Jun,Rupiah,Konsumsi,6825932.409716
RIAU,Kab. Kampar,2023,Jul,Rupiah,Modal Kerja,2887345.130471
RIAU,Kab. Kampar,2023,Jul,Rupiah,Investasi,2727420.623038
RIAU,Kab. Kampar,2023,Jul,Rupiah,Konsumsi,6861538.421474
RIAU,Kab. Kampar,2023,Aug,Rupiah,Modal Kerja,2917424.227327
RIAU,Kab. Kampar,2023,Aug,Rupiah,Investasi,2794058.011558
RIAU,Kab. Kampar,2023,Aug,Rupiah,Konsumsi,6899894.146292
RIAU,Kab. Kampar,2023,Sep,Rupiah,Modal Kerja,2946587.161521
RIAU,Kab. Kampar,2023,Sep,Rupiah,Investasi,2773470.263836
RIAU,Kab. Kampar,2023,Sep,Rupiah,Konsumsi,6965417.113706
RIAU,Kab. Kampar,2023,Oct,Rupiah,Modal Kerja,2928716.111374
RIAU,Kab. Kampar,2023,Oct,Rupiah,Investasi,3070388.181394
RIAU,Kab. Kampar,2023,Oct,Rupiah,Konsumsi,7004869.859602
RIAU,Kab. Kampar,2023,Nov,Rupiah,Modal Kerja,2897166.427538
RIAU,Kab. Kampar,2023,Nov,Rupiah,Investasi,3128283.382561
RIAU,Kab. Kampar,2023,Nov,Rupiah,Konsumsi,7061583.294806
RIAU,Kab. Kampar,2023,Dec,Rupiah,Modal Kerja,2828011.486613
RIAU,Kab. Kampar,2023,Dec,Rupiah,Investasi,3178255.89842
RIAU,Kab. Kampar,2023,Dec,Rupiah,Konsumsi,7080146.167007
RIAU,Kab. Kampar,2024,Jan,Rupiah,Modal Kerja,2757195.141569
RIAU,Kab. Kampar,2024,Jan,Rupiah,Investasi,3195483.661365
RIAU,Kab. Kampar,2024,Jan,Rupiah,Konsumsi,7133189.820149
RIAU,Kab. Kampar,2024,Feb,Rupiah,Modal Kerja,2731548.469252
RIAU,Kab. Kampar,2024,Feb,Rupiah,Investasi,3249985.545903
RIAU,Kab. Kampar,2024,Feb,Rupiah,Konsumsi,7130962.469651
RIAU,Kab. Kampar,2024,Mar,Rupiah,Modal Kerja,2773119.076081
RIAU,Kab. Kampar,2024,Mar,Rupiah,Investasi,3309298.421238
RIAU,Kab. Kampar,2024,Mar,Rupiah,Konsumsi,7190157.825597
RIAU,Kab. Bengkalis,2018,,Rupiah,Modal Kerja,1372406.454595
RIAU,Kab. Bengkalis,2018,,Rupiah,Investasi,999727.766012
RIAU,Kab. Bengkalis,2018,,Rupiah,Konsumsi,2061610.78533
RIAU,Kab. Bengkalis,2019,,Rupiah,Modal Kerja,1866789.454021
RIAU,Kab. Bengkalis,2019,,Rupiah,Investasi,990913.167211
RIAU,Kab. Bengkalis,2019,,Rupiah,Konsumsi,2240693.364308
RIAU,Kab. Bengkalis,2020,,Rupiah,Modal Kerja,1602833.208074
RIAU,Kab. Bengkalis,2020,,Rupiah,Investasi,997299.027294
RIAU,Kab. Bengkalis,2020,,Rupiah,Konsumsi,2218046.112585
RIAU,Kab. Bengkalis,2021,,Rupiah,Modal Kerja,1806697.981237
RIAU,Kab. Bengkalis,2021,,Rupiah,Investasi,1085807.38905
RIAU,Kab. Bengkalis,2021,,Rupiah,Konsumsi,2275326.853535
RIAU,Kab. Bengkalis,2022,,Rupiah,Modal Kerja,2088791.875243
RIAU,Kab. Bengkalis,2022,,Rupiah,Investasi,1369014.538351
RIAU,Kab. Bengkalis,2022,,Rupiah,Konsumsi,2455481.994585
RIAU,Kab. Bengkalis,2023,Mar,Rupiah,Modal Kerja,2036530.970694
RIAU,Kab. Bengkalis,2023,Mar,Rupiah,Investasi,1422139.448119
RIAU,Kab. Bengkalis,2023,Mar,Rupiah,Konsumsi,2490468.261493
RIAU,Kab. Bengkalis,2023,Apr,Rupiah,Modal Kerja,2092976.752944
RIAU,Kab. Bengkalis,2023,Apr,Rupiah,Investasi,1443000.157525
RIAU,Kab. Bengkalis,2023,Apr,Rupiah,Konsumsi,2505337.136423
RIAU,Kab. Bengkalis,2023,May,Rupiah,Modal Kerja,2067995.573436
RIAU,Kab. Bengkalis,2023,May,Rupiah,Investasi,1480589.8195
RIAU,Kab. Bengkalis,2023,May,Rupiah,Konsumsi,2511158.620292
RIAU,Kab. Bengkalis,2023,Jun,Rupiah,Modal Kerja,2228274.51346
RIAU,Kab. Bengkalis,2023,Jun,Rupiah,Investasi,1522587.997332
RIAU,Kab. Bengkalis,2023,Jun,Rupiah,Konsumsi,2527885.676422
RIAU,Kab. Bengkalis,2023,Jul,Rupiah,Modal Kerja,2150945.378159
RIAU,Kab. Bengkalis,2023,Jul,Rupiah,Investasi,1548414.297099
RIAU,Kab. Bengkalis,2023,Jul,Rupiah,Konsumsi,2551772.542891
RIAU,Kab. Bengkalis,2023,Aug,Rupiah,Modal Kerja,2089175.903356
RIAU,Kab. Bengkalis,2023,Aug,Rupiah,Investasi,1578983.87692
RIAU,Kab. Bengkalis,2023,Aug,Rupiah,Konsumsi,2563623.819022
RIAU,Kab. Bengkalis,2023,Sep,Rupiah,Modal Kerja,2335940.892801
RIAU,Kab. Bengkalis,2023,Sep,Rupiah,Investasi,1683676.523184
RIAU,Kab. Bengkalis,2023,Sep,Rupiah,Konsumsi,2640438.433164
RIAU,Kab. Bengkalis,2023,Oct,Rupiah,Modal Kerja,2262911.458485
RIAU,Kab. Bengkalis,2023,Oct,Rupiah,Investasi,1900663.666596
RIAU,Kab. Bengkalis,2023,Oct,Rupiah,Konsumsi,2661086.827127
RIAU,Kab. Bengkalis,2023,Nov,Rupiah,Modal Kerja,2287469.588604
RIAU,Kab. Bengkalis,2023,Nov,Rupiah,Investasi,1943398.253221
RIAU,Kab. Bengkalis,2023,Nov,Rupiah,Konsumsi,2674937.174571
RIAU,Kab. Bengkalis,2023,Dec,Rupiah,Modal Kerja,2360780.646206
RIAU,Kab. Bengkalis,2023,Dec,Rupiah,Investasi,1984181.338915
RIAU,Kab. Bengkalis,2023,Dec,Rupiah,Konsumsi,2729349.056998
RIAU,Kab. Bengkalis,2024,Jan,Rupiah,Modal Kerja,2286050.655821
RIAU,Kab. Bengkalis,2024,Jan,Rupiah,Investasi,1981720.722315
RIAU,Kab. Bengkalis,2024,Jan,Rupiah,Konsumsi,2753930.825071
RIAU,Kab. Bengkalis,2024,Feb,Rupiah,Modal Kerja,2216635.520032
RIAU,Kab. Bengkalis,2024,Feb,Rupiah,Investasi,2017247.005965
RIAU,Kab. Bengkalis,2024,Feb,Rupiah,Konsumsi,2774320.189786
RIAU,Kab. Bengkalis,2024,Mar,Rupiah,Modal Kerja,2236395.601826
RIAU,Kab. Bengkalis,2024,Mar,Rupiah,Investasi,2039556.889241
RIAU,Kab. Bengkalis,2024,Mar,Rupiah,Konsumsi,2824458.189785
RIAU,Kab. Indragiri Hulu,2018,,Rupiah,Modal Kerja,1109475.624398
RIAU,Kab. Indragiri Hulu,2018,,Rupiah,Investasi,1542999.678314
RIAU,Kab. Indragiri Hulu,2018,,Rupiah,Konsumsi,1334788.043585
RIAU,Kab. Indragiri Hulu,2019,,Rupiah,Modal Kerja,1210489.046941
RIAU,Kab. Indragiri Hulu,2019,,Rupiah,Investasi,1708059.184384
RIAU,Kab. Indragiri Hulu,2019,,Rupiah,Konsumsi,1455895.515999
RIAU,Kab. Indragiri Hulu,2020,,Rupiah,Modal Kerja,1273228.020186
RIAU,Kab. Indragiri Hulu,2020,,Rupiah,Investasi,1769825.765926
RIAU,Kab. Indragiri Hulu,2020,,Rupiah,Konsumsi,1465435.721138
RIAU,Kab. Indragiri Hulu,2021,,Rupiah,Modal Kerja,1281216.21693
RIAU,Kab. Indragiri Hulu,2021,,Rupiah,Investasi,1294316.95527
RIAU,Kab. Indragiri Hulu,2021,,Rupiah,Konsumsi,1481788.279057
RIAU,Kab. Indragiri Hulu,2022,,Rupiah,Modal Kerja,1476803.526923
RIAU,Kab. Indragiri Hulu,2022,,Rupiah,Investasi,1953697.434471
RIAU,Kab. Indragiri Hulu,2022,,Rupiah,Konsumsi,1640244.829649
RIAU,Kab. Indragiri Hulu,2023,Mar,Rupiah,Modal Kerja,1406770.932959
RIAU,Kab. Indragiri Hulu,2023,Mar,Rupiah,Investasi,1880807.87863
RIAU,Kab. Indragiri Hulu,2023,Mar,Rupiah,Konsumsi,1694501.290216
RIAU,Kab. Indragiri Hulu,2023,Apr,Rupiah,Modal Kerja,1404738.304038
RIAU,Kab. Indragiri Hulu,2023,Apr,Rupiah,Investasi,1927350.45447
RIAU,Kab. Indragiri Hulu,2023,Apr,Rupiah,Konsumsi,1699609.372022
RIAU,Kab. Indragiri Hulu,2023,May,Rupiah,Modal Kerja,1419050.424148
RIAU,Kab. Indragiri Hulu,2023,May,Rupiah,Investasi,1944603.215197
RIAU,Kab. Indragiri Hulu,2023,May,Rupiah,Konsumsi,1706626.928253
RIAU,Kab. Indragiri Hulu,2023,Jun,Rupiah,Modal Kerja,1425400.016905
RIAU,Kab. Indragiri Hulu,2023,Jun,Rupiah,Investasi,1984892.624491
RIAU,Kab. Indragiri Hulu,2023,Jun,Rupiah,Konsumsi,1720715.429984
RIAU,Kab. Indragiri Hulu,2023,Jul,Rupiah,Modal Kerja,1412119.222808
RIAU,Kab. Indragiri Hulu,2023,Jul,Rupiah,Investasi,2005044.829392
RIAU,Kab. Indragiri Hulu,2023,Jul,Rupiah,Konsumsi,1727676.276267
RIAU,Kab. Indragiri Hulu,2023,Aug,Rupiah,Modal Kerja,1438945.37668
RIAU,Kab. Indragiri Hulu,2023,Aug,Rupiah,Investasi,2031547.303275
RIAU,Kab. Indragiri Hulu,2023,Aug,Rupiah,Konsumsi,1731923.528118
RIAU,Kab. Indragiri Hulu,2023,Sep,Rupiah,Modal Kerja,1538997.352437
RIAU,Kab. Indragiri Hulu,2023,Sep,Rupiah,Investasi,1996234.692877
RIAU,Kab. Indragiri Hulu,2023,Sep,Rupiah,Konsumsi,1779135.611763
RIAU,Kab. Indragiri Hulu,2023,Oct,Rupiah,Modal Kerja,1551126.765817
RIAU,Kab. Indragiri Hulu,2023,Oct,Rupiah,Investasi,2014619.545738
RIAU,Kab. Indragiri Hulu,2023,Oct,Rupiah,Konsumsi,1789625.35981
RIAU,Kab. Indragiri Hulu,2023,Nov,Rupiah,Modal Kerja,1559175.468814
RIAU,Kab. Indragiri Hulu,2023,Nov,Rupiah,Investasi,2024560.664654
RIAU,Kab. Indragiri Hulu,2023,Nov,Rupiah,Konsumsi,1812877.362041
RIAU,Kab. Indragiri Hulu,2023,Dec,Rupiah,Modal Kerja,1618780.351811
RIAU,Kab. Indragiri Hulu,2023,Dec,Rupiah,Investasi,2044312.527044
RIAU,Kab. Indragiri Hulu,2023,Dec,Rupiah,Konsumsi,1831478.924603
RIAU,Kab. Indragiri Hulu,2024,Jan,Rupiah,Modal Kerja,1603377.181124
RIAU,Kab. Indragiri Hulu,2024,Jan,Rupiah,Investasi,2079818.386051
RIAU,Kab. Indragiri Hulu,2024,Jan,Rupiah,Konsumsi,1838272.21449
RIAU,Kab. Indragiri Hulu,2024,Feb,Rupiah,Modal Kerja,1640933.896655
RIAU,Kab. Indragiri Hulu,2024,Feb,Rupiah,Investasi,2085998.008704
RIAU,Kab. Indragiri Hulu,2024,Feb,Rupiah,Konsumsi,1840649.07336
RIAU,Kab. Indragiri Hulu,2024,Mar,Rupiah,Modal Kerja,1666579.046552
RIAU,Kab. Indragiri Hulu,2024,Mar,Rupiah,Investasi,2082250.304927
RIAU,Kab. Indragiri Hulu,2024,Mar,Rupiah,Konsumsi,1863284.718231
RIAU,Kab. Indragiri Hilir,2018,,Rupiah,Modal Kerja,866707.480013
RIAU,Kab. Indragiri Hilir,2018,,Rupiah,Investasi,1857592.550718
RIAU,Kab. Indragiri Hilir,2018,,Rupiah,Konsumsi,1331502.947311
RIAU,Kab. Indragiri Hilir,2019,,Rupiah,Modal Kerja,882769.880396
RIAU,Kab. Indragiri Hilir,2019,,Rupiah,Investasi,1677181.980014
RIAU,Kab. Indragiri Hilir,2019,,Rupiah,Konsumsi,2668213.484067
RIAU,Kab. Indragiri Hilir,2020,,Rupiah,Modal Kerja,1066496.856699
RIAU,Kab. Indragiri Hilir,2020,,Rupiah,Investasi,1625196.895807
RIAU,Kab. Indragiri Hilir,2020,,Rupiah,Konsumsi,2686464.233374
RIAU,Kab. Indragiri Hilir,2021,,Rupiah,Modal Kerja,1373645.323307
RIAU,Kab. Indragiri Hilir,2021,,Rupiah,Investasi,4748619.126074
RIAU,Kab. Indragiri Hilir,2021,,Rupiah,Konsumsi,1505608.815419
RIAU,Kab. Indragiri Hilir,2022,,Rupiah,Modal Kerja,1495318.085928
RIAU,Kab. Indragiri Hilir,2022,,Rupiah,Investasi,4947089.228591
RIAU,Kab. Indragiri Hilir,2022,,Rupiah,Konsumsi,1605051.408135
RIAU,Kab. Indragiri Hilir,2023,Mar,Rupiah,Modal Kerja,1415127.482232
RIAU,Kab. Indragiri Hilir,2023,Mar,Rupiah,Investasi,4884796.661317
RIAU,Kab. Indragiri Hilir,2023,Mar,Rupiah,Konsumsi,1680312.395624
RIAU,Kab. Indragiri Hilir,2023,Apr,Rupiah,Modal Kerja,1452462.237521
RIAU,Kab. Indragiri Hilir,2023,Apr,Rupiah,Investasi,4888764.597529
RIAU,Kab. Indragiri Hilir,2023,Apr,Rupiah,Konsumsi,1724470.80559
RIAU,Kab. Indragiri Hilir,2023,May,Rupiah,Modal Kerja,1455662.957665
RIAU,Kab. Indragiri Hilir,2023,May,Rupiah,Investasi,4803637.925763
RIAU,Kab. Indragiri Hilir,2023,May,Rupiah,Konsumsi,1694300.33663
RIAU,Kab. Indragiri Hilir,2023,Jun,Rupiah,Modal Kerja,1450955.141525
