Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
SULAWESI BARAT,Kab. Polewali Mandar,2019,,Giro,155551.145169,2704
SULAWESI BARAT,Kab. Polewali Mandar,2019,,Simpanan Berjangka,156691.791463,1159
SULAWESI BARAT,Kab. Polewali Mandar,2019,,Tabungan,1383545.48886,471484
SULAWESI BARAT,Kab. Polewali Mandar,2020,,Giro,119722.760135,3415
SULAWESI BARAT,Kab. Polewali Mandar,2020,,Simpanan Berjangka,185991.02787,1171
SULAWESI BARAT,Kab. Polewali Mandar,2020,,Tabungan,1552663.137128,621212
SULAWESI BARAT,Kab. Polewali Mandar,2021,,Giro,155463.059722,3973
SULAWESI BARAT,Kab. Polewali Mandar,2021,,Simpanan Berjangka,164623.626955,1078
SULAWESI BARAT,Kab. Polewali Mandar,2021,,Tabungan,1609693.296564,700686
SULAWESI BARAT,Kab. Polewali Mandar,2022,,Giro,95853.387147,3258
SULAWESI BARAT,Kab. Polewali Mandar,2022,,Simpanan Berjangka,140634.432153,1122
SULAWESI BARAT,Kab. Polewali Mandar,2022,,Tabungan,1632583.89249,516465
SULAWESI BARAT,Kab. Polewali Mandar,2023,,Giro,123267.571981,3098
SULAWESI BARAT,Kab. Polewali Mandar,2023,,Simpanan Berjangka,146819.60519,1226
SULAWESI BARAT,Kab. Polewali Mandar,2023,,Tabungan,1643134.54937,528498
SULAWESI BARAT,Kab. Polewali Mandar,2023,Mar,Giro,122919.195275,3417
SULAWESI BARAT,Kab. Polewali Mandar,2023,Mar,Simpanan Berjangka,144800.135723,1180
SULAWESI BARAT,Kab. Polewali Mandar,2023,Mar,Tabungan,1410165.239884,475676
SULAWESI BARAT,Kab. Polewali Mandar,2023,Apr,Giro,169061.856685,3474
SULAWESI BARAT,Kab. Polewali Mandar,2023,Apr,Simpanan Berjangka,144109.472494,1169
SULAWESI BARAT,Kab. Polewali Mandar,2023,Apr,Tabungan,1466051.134698,496520
SULAWESI BARAT,Kab. Polewali Mandar,2023,May,Giro,163041.075719,5034
SULAWESI BARAT,Kab. Polewali Mandar,2023,May,Simpanan Berjangka,144102.528561,1186
SULAWESI BARAT,Kab. Polewali Mandar,2023,May,Tabungan,1433160.55403,490882
SULAWESI BARAT,Kab. Polewali Mandar,2023,Jun,Giro,146325.189025,3160
SULAWESI BARAT,Kab. Polewali Mandar,2023,Jun,Simpanan Berjangka,152169.788292,1165
SULAWESI BARAT,Kab. Polewali Mandar,2023,Jun,Tabungan,1473545.979015,502829
SULAWESI BARAT,Kab. Polewali Mandar,2023,Jul,Giro,194892.013032,3595
SULAWESI BARAT,Kab. Polewali Mandar,2023,Jul,Simpanan Berjangka,150075.577054,1148
SULAWESI BARAT,Kab. Polewali Mandar,2023,Jul,Tabungan,1437978.10652,499134
SULAWESI BARAT,Kab. Polewali Mandar,2023,Aug,Giro,196830.935835,3601
SULAWESI BARAT,Kab. Polewali Mandar,2023,Aug,Simpanan Berjangka,146167.030641,1142
SULAWESI BARAT,Kab. Polewali Mandar,2023,Aug,Tabungan,1476079.127949,502569
