Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
SULAWESI UTARA,Kab. Minahasa,2019,,Giro,101710.013222,1964
SULAWESI UTARA,Kab. Minahasa,2019,,Simpanan Berjangka,335306.89614,1258
SULAWESI UTARA,Kab. Minahasa,2019,,Tabungan,737626.25934,247355
SULAWESI UTARA,Kab. Minahasa,2020,,Giro,148798.12136,1908
SULAWESI UTARA,Kab. Minahasa,2020,,Simpanan Berjangka,303345.860263,1371
SULAWESI UTARA,Kab. Minahasa,2020,,Tabungan,881489.794449,329393
SULAWESI UTARA,Kab. Minahasa,2021,,Giro,223909.289749,1986
SULAWESI UTARA,Kab. Minahasa,2021,,Simpanan Berjangka,337535.322513,1518
SULAWESI UTARA,Kab. Minahasa,2021,,Tabungan,894285.218792,392098
SULAWESI UTARA,Kab. Minahasa,2022,,Giro,209641.973523,1680
SULAWESI UTARA,Kab. Minahasa,2022,,Simpanan Berjangka,272972.260931,1260
SULAWESI UTARA,Kab. Minahasa,2022,,Tabungan,677207.503009,235686
SULAWESI UTARA,Kab. Minahasa,2023,,Giro,184238.086223,1634
SULAWESI UTARA,Kab. Minahasa,2023,,Simpanan Berjangka,240344.166487,1174
SULAWESI UTARA,Kab. Minahasa,2023,,Tabungan,742669.806587,263820
SULAWESI UTARA,Kab. Minahasa,2023,Mar,Giro,203115.387794,2052
SULAWESI UTARA,Kab. Minahasa,2023,Mar,Simpanan Berjangka,305876.04527,1255
SULAWESI UTARA,Kab. Minahasa,2023,Mar,Tabungan,659200.451042,248298
SULAWESI UTARA,Kab. Minahasa,2023,Apr,Giro,185726.411149,1851
SULAWESI UTARA,Kab. Minahasa,2023,Apr,Simpanan Berjangka,328590.513811,1262
SULAWESI UTARA,Kab. Minahasa,2023,Apr,Tabungan,660849.194895,249985
SULAWESI UTARA,Kab. Minahasa,2023,May,Giro,177616.643754,3400
SULAWESI UTARA,Kab. Minahasa,2023,May,Simpanan Berjangka,332320.812667,1252
SULAWESI UTARA,Kab. Minahasa,2023,May,Tabungan,678867.619161,250610
SULAWESI UTARA,Kab. Minahasa,2023,Jun,Giro,158203.618597,1705
SULAWESI UTARA,Kab. Minahasa,2023,Jun,Simpanan Berjangka,322310.08504,1245
SULAWESI UTARA,Kab. Minahasa,2023,Jun,Tabungan,695433.995074,253935
SULAWESI UTARA,Kab. Minahasa,2023,Jul,Giro,155977.104068,2026
SULAWESI UTARA,Kab. Minahasa,2023,Jul,Simpanan Berjangka,325171.335488,1237
SULAWESI UTARA,Kab. Minahasa,2023,Jul,Tabungan,684283.864787,252733
SULAWESI UTARA,Kab. Minahasa,2023,Aug,Giro,166774.062465,2066
SULAWESI UTARA,Kab. Minahasa,2023,Aug,Simpanan Berjangka,326199.010735,1245
SULAWESI UTARA,Kab. Minahasa,2023,Aug,Tabungan,704290.756194,254967
SULAWESI UTARA,Kab. Minahasa,2023,Sep,Giro,160719.222255,2073
SULAWESI UTARA,Kab. Minahasa,2023,Sep,Simpanan Berjangka,325855.188491,1245
SULAWESI UTARA,Kab. Minahasa,2023,Sep,Tabungan,682471.110773,256197
SULAWESI UTARA,Kab. Minahasa,2023,Oct,Giro,198748.029701,1987
SULAWESI UTARA,Kab. Minahasa,2023,Oct,Simpanan Berjangka,318499.470552,1223
SULAWESI UTARA,Kab. Minahasa,2023,Oct,Tabungan,703136.100793,262137
SULAWESI UTARA,Kab. Minahasa,2023,Nov,Giro,185773.138217,1762
SULAWESI UTARA,Kab. Minahasa,2023,Nov,Simpanan Berjangka,317569.954549,1202
