Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
SULAWESI UTARA,Kab. Minahasa,2018,,Rupiah,Modal Kerja,730243.488177
SULAWESI UTARA,Kab. Minahasa,2018,,Rupiah,Investasi,438735.883198
SULAWESI UTARA,Kab. Minahasa,2018,,Rupiah,Konsumsi,3070302.626765
SULAWESI UTARA,Kab. Minahasa,2019,,Rupiah,Modal Kerja,735451.918291
SULAWESI UTARA,Kab. Minahasa,2019,,Rupiah,Investasi,423164.255212
SULAWESI UTARA,Kab. Minahasa,2019,,Rupiah,Konsumsi,3244424.955802
SULAWESI UTARA,Kab. Minahasa,2020,,Rupiah,Modal Kerja,772147.125812
SULAWESI UTARA,Kab. Minahasa,2020,,Rupiah,Investasi,366485.56749
SULAWESI UTARA,Kab. Minahasa,2020,,Rupiah,Konsumsi,3236336.738704
SULAWESI UTARA,Kab. Minahasa,2021,,Rupiah,Modal Kerja,885140.682407
SULAWESI UTARA,Kab. Minahasa,2021,,Rupiah,Investasi,192818.845291
SULAWESI UTARA,Kab. Minahasa,2021,,Rupiah,Konsumsi,3107814.95559
SULAWESI UTARA,Kab. Minahasa,2022,,Rupiah,Modal Kerja,1339509.32259
SULAWESI UTARA,Kab. Minahasa,2022,,Rupiah,Investasi,251833.718838
SULAWESI UTARA,Kab. Minahasa,2022,,Rupiah,Konsumsi,2950615.118849
SULAWESI UTARA,Kab. Minahasa,2023,Mar,Rupiah,Modal Kerja,1338163.469675
SULAWESI UTARA,Kab. Minahasa,2023,Mar,Rupiah,Investasi,268918.776177
SULAWESI UTARA,Kab. Minahasa,2023,Mar,Rupiah,Konsumsi,2950150.675919
SULAWESI UTARA,Kab. Minahasa,2023,Apr,Rupiah,Modal Kerja,1363660.520014
SULAWESI UTARA,Kab. Minahasa,2023,Apr,Rupiah,Investasi,266469.790532
SULAWESI UTARA,Kab. Minahasa,2023,Apr,Rupiah,Konsumsi,2957266.629996
SULAWESI UTARA,Kab. Minahasa,2023,May,Rupiah,Modal Kerja,1379675.329162
SULAWESI UTARA,Kab. Minahasa,2023,May,Rupiah,Investasi,265418.620975
SULAWESI UTARA,Kab. Minahasa,2023,May,Rupiah,Konsumsi,2988105.862598
