Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
SUMATERA BARAT,Kab. Agam,2019,,Giro,72128.153913,904
SUMATERA BARAT,Kab. Agam,2019,,Simpanan Berjangka,267377.900951,4191
SUMATERA BARAT,Kab. Agam,2019,,Tabungan,925137.687926,416498
SUMATERA BARAT,Kab. Agam,2020,,Giro,137075.199788,1001
SUMATERA BARAT,Kab. Agam,2020,,Simpanan Berjangka,223966.148141,4108
SUMATERA BARAT,Kab. Agam,2020,,Tabungan,1038138.323038,456743
SUMATERA BARAT,Kab. Agam,2021,,Giro,177859.733282,1459
SUMATERA BARAT,Kab. Agam,2021,,Simpanan Berjangka,223269.72787,3977
SUMATERA BARAT,Kab. Agam,2021,,Tabungan,1142827.728673,521637
SUMATERA BARAT,Kab. Agam,2022,,Giro,151559.547842,1021
SUMATERA BARAT,Kab. Agam,2022,,Simpanan Berjangka,179012.27462,2899
SUMATERA BARAT,Kab. Agam,2022,,Tabungan,1139163.525552,481762
SUMATERA BARAT,Kab. Agam,2023,,Giro,98584.512453,1027
SUMATERA BARAT,Kab. Agam,2023,,Simpanan Berjangka,164309.705164,3046
SUMATERA BARAT,Kab. Agam,2023,,Tabungan,1179179.685685,535558
SUMATERA BARAT,Kab. Agam,2023,Mar,Giro,221137.529837,1137
SUMATERA BARAT,Kab. Agam,2023,Mar,Simpanan Berjangka,157780.062275,2899
SUMATERA BARAT,Kab. Agam,2023,Mar,Tabungan,1086639.735588,505521
SUMATERA BARAT,Kab. Agam,2023,Apr,Giro,267115.036848,1187
SUMATERA BARAT,Kab. Agam,2023,Apr,Simpanan Berjangka,156116.407743,2904
SUMATERA BARAT,Kab. Agam,2023,Apr,Tabungan,1143687.481032,509154
SUMATERA BARAT,Kab. Agam,2023,May,Giro,231426.611231,2023
SUMATERA BARAT,Kab. Agam,2023,May,Simpanan Berjangka,158333.698493,2915
SUMATERA BARAT,Kab. Agam,2023,May,Tabungan,1133622.096049,509597
SUMATERA BARAT,Kab. Agam,2023,Jun,Giro,199995.782779,1181
SUMATERA BARAT,Kab. Agam,2023,Jun,Simpanan Berjangka,155986.856415,2867
SUMATERA BARAT,Kab. Agam,2023,Jun,Tabungan,1157373.680667,513951
SUMATERA BARAT,Kab. Agam,2023,Jul,Giro,181134.272286,1197
SUMATERA BARAT,Kab. Agam,2023,Jul,Simpanan Berjangka,158365.400466,2887
SUMATERA BARAT,Kab. Agam,2023,Jul,Tabungan,1179054.278587,517583
SUMATERA BARAT,Kab. Agam,2023,Aug,Giro,183252.636888,1194
SUMATERA BARAT,Kab. Agam,2023,Aug,Simpanan Berjangka,160025.153069,2912
SUMATERA BARAT,Kab. Agam,2023,Aug,Tabungan,1152096.455564,523067
SUMATERA BARAT,Kab. Agam,2023,Sep,Giro,182747.847437,1196
SUMATERA BARAT,Kab. Agam,2023,Sep,Simpanan Berjangka,160679.536848,2929
SUMATERA BARAT,Kab. Agam,2023,Sep,Tabungan,1135184.065395,526101
SUMATERA BARAT,Kab. Agam,2023,Oct,Giro,217442.598487,1194
SUMATERA BARAT,Kab. Agam,2023,Oct,Simpanan Berjangka,162168.340556,3011
SUMATERA BARAT,Kab. Agam,2023,Oct,Tabungan,1126780.773293,535388
SUMATERA BARAT,Kab. Agam,2023,Nov,Giro,138744.25068,1194
