Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
SUMATERA SELATAN,Kab. Musi Banyuasin,2018,,Rupiah,Modal Kerja,4673168.410435
SUMATERA SELATAN,Kab. Musi Banyuasin,2018,,Rupiah,Investasi,3721567.360643
SUMATERA SELATAN,Kab. Musi Banyuasin,2018,,Rupiah,Konsumsi,1932580.071999
SUMATERA SELATAN,Kab. Musi Banyuasin,2019,,Rupiah,Modal Kerja,4107392.023293
SUMATERA SELATAN,Kab. Musi Banyuasin,2019,,Rupiah,Investasi,4114302.016454
SUMATERA SELATAN,Kab. Musi Banyuasin,2019,,Rupiah,Konsumsi,2041614.994436
SUMATERA SELATAN,Kab. Musi Banyuasin,2020,,Rupiah,Modal Kerja,4305616.588767
SUMATERA SELATAN,Kab. Musi Banyuasin,2020,,Rupiah,Investasi,5061383.447001
SUMATERA SELATAN,Kab. Musi Banyuasin,2020,,Rupiah,Konsumsi,1935714.354747
SUMATERA SELATAN,Kab. Musi Banyuasin,2021,,Rupiah,Modal Kerja,4743903.463555
SUMATERA SELATAN,Kab. Musi Banyuasin,2021,,Rupiah,Investasi,4513913.641856
SUMATERA SELATAN,Kab. Musi Banyuasin,2021,,Rupiah,Konsumsi,1953841.288131
SUMATERA SELATAN,Kab. Musi Banyuasin,2022,,Rupiah,Modal Kerja,5431589.236692
SUMATERA SELATAN,Kab. Musi Banyuasin,2022,,Rupiah,Investasi,4155176.915079
SUMATERA SELATAN,Kab. Musi Banyuasin,2022,,Rupiah,Konsumsi,2232286.501404
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Mar,Rupiah,Modal Kerja,5646050.454022
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Mar,Rupiah,Investasi,3763853.268364
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Mar,Rupiah,Konsumsi,2278031.861298
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Apr,Rupiah,Modal Kerja,6466904.805798
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Apr,Rupiah,Investasi,3818658.003148
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Apr,Rupiah,Konsumsi,2294042.681765
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,May,Rupiah,Modal Kerja,6505195.891029
