Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
SUMATERA UTARA,Kab. Deli Serdang,2019,,Giro,1175829.817731,5645
SUMATERA UTARA,Kab. Deli Serdang,2019,,Simpanan Berjangka,2699796.904383,12719
SUMATERA UTARA,Kab. Deli Serdang,2019,,Tabungan,4886925.838055,1005493
SUMATERA UTARA,Kab. Deli Serdang,2020,,Giro,1288860.677015,5837
SUMATERA UTARA,Kab. Deli Serdang,2020,,Simpanan Berjangka,2818832.257326,13145
SUMATERA UTARA,Kab. Deli Serdang,2020,,Tabungan,5730260.04228,1217204
SUMATERA UTARA,Kab. Deli Serdang,2021,,Giro,1684473.30075,22404
SUMATERA UTARA,Kab. Deli Serdang,2021,,Simpanan Berjangka,3199273.024141,13667
SUMATERA UTARA,Kab. Deli Serdang,2021,,Tabungan,7307715.236758,2601910
SUMATERA UTARA,Kab. Deli Serdang,2022,,Giro,2587006.083356,15238
SUMATERA UTARA,Kab. Deli Serdang,2022,,Simpanan Berjangka,3142281.175016,13498
SUMATERA UTARA,Kab. Deli Serdang,2022,,Tabungan,8153014.610442,1593188
SUMATERA UTARA,Kab. Deli Serdang,2023,,Giro,2226209.570595,14817
SUMATERA UTARA,Kab. Deli Serdang,2023,,Simpanan Berjangka,3716089.175227,14619
SUMATERA UTARA,Kab. Deli Serdang,2023,,Tabungan,9177857.738322,1897465
SUMATERA UTARA,Kab. Deli Serdang,2023,Mar,Giro,2378706.14027,15397
SUMATERA UTARA,Kab. Deli Serdang,2023,Mar,Simpanan Berjangka,3171605.732009,13522
SUMATERA UTARA,Kab. Deli Serdang,2023,Mar,Tabungan,8598563.132837,1776002
SUMATERA UTARA,Kab. Deli Serdang,2023,Apr,Giro,2338660.25494,15225
SUMATERA UTARA,Kab. Deli Serdang,2023,Apr,Simpanan Berjangka,3246653.692316,13593
SUMATERA UTARA,Kab. Deli Serdang,2023,Apr,Tabungan,8620830.316137,1791789
SUMATERA UTARA,Kab. Deli Serdang,2023,May,Giro,2236750.549056,22360
SUMATERA UTARA,Kab. Deli Serdang,2023,May,Simpanan Berjangka,3195871.804833,13639
SUMATERA UTARA,Kab. Deli Serdang,2023,May,Tabungan,8653497.28098,1794381
SUMATERA UTARA,Kab. Deli Serdang,2023,Jun,Giro,2343442.136149,14814
SUMATERA UTARA,Kab. Deli Serdang,2023,Jun,Simpanan Berjangka,3298468.167145,13658
SUMATERA UTARA,Kab. Deli Serdang,2023,Jun,Tabungan,8625368.864329,1815841
SUMATERA UTARA,Kab. Deli Serdang,2023,Jul,Giro,2545526.559048,15090
SUMATERA UTARA,Kab. Deli Serdang,2023,Jul,Simpanan Berjangka,3328587.878739,13417
SUMATERA UTARA,Kab. Deli Serdang,2023,Jul,Tabungan,8575200.676697,1810798
SUMATERA UTARA,Kab. Deli Serdang,2023,Aug,Giro,2577980.283625,15548
SUMATERA UTARA,Kab. Deli Serdang,2023,Aug,Simpanan Berjangka,3415023.36472,13525
SUMATERA UTARA,Kab. Deli Serdang,2023,Aug,Tabungan,8578368.907184,1814261
SUMATERA UTARA,Kab. Deli Serdang,2023,Sep,Giro,2500943.616435,15762
SUMATERA UTARA,Kab. Deli Serdang,2023,Sep,Simpanan Berjangka,3681430.585762,14395
SUMATERA UTARA,Kab. Deli Serdang,2023,Sep,Tabungan,8938259.383536,1829199
SUMATERA UTARA,Kab. Deli Serdang,2023,Oct,Giro,2751643.424701,15386
SUMATERA UTARA,Kab. Deli Serdang,2023,Oct,Simpanan Berjangka,3771005.479353,14459
SUMATERA UTARA,Kab. Deli Serdang,2023,Oct,Tabungan,8962079.030925,1846425
SUMATERA UTARA,Kab. Deli Serdang,2023,Nov,Giro,2608852.96314,15189
SUMATERA UTARA,Kab. Deli Serdang,2023,Nov,Simpanan Berjangka,3978400.152391,14551
SUMATERA UTARA,Kab. Deli Serdang,2023,Nov,Tabungan,9184781.676342,1878807
SUMATERA UTARA,Kab. Deli Serdang,2023,Dec,Giro,2226209.570595,14817
SUMATERA UTARA,Kab. Deli Serdang,2023,Dec,Simpanan Berjangka,3716089.175227,14619
SUMATERA UTARA,Kab. Deli Serdang,2023,Dec,Tabungan,9177857.738322,1897465
SUMATERA UTARA,Kab. Deli Serdang,2024,Jan,Giro,2332295.835778,15606
SUMATERA UTARA,Kab. Deli Serdang,2024,Jan,Simpanan Berjangka,3682499.485396,14702
SUMATERA UTARA,Kab. Deli Serdang,2024,Jan,Tabungan,9195447.715648,1898364
SUMATERA UTARA,Kab. Deli Serdang,2024,Feb,Giro,2614496.991745,15717
SUMATERA UTARA,Kab. Deli Serdang,2024,Feb,Simpanan Berjangka,4047589.66718,15194
SUMATERA UTARA,Kab. Deli Serdang,2024,Feb,Tabungan,9301369.219743,1911547
SUMATERA UTARA,Kab. Deli Serdang,2024,Mar,Giro,2489977.808367,15687
SUMATERA UTARA,Kab. Deli Serdang,2024,Mar,Simpanan Berjangka,4587035.835035,15225
SUMATERA UTARA,Kab. Deli Serdang,2024,Mar,Tabungan,9355917.948037,1923058
SUMATERA UTARA,Kab. Langkat,2019,,Giro,466230.092869,1960
SUMATERA UTARA,Kab. Langkat,2019,,Simpanan Berjangka,474236.601668,3257
SUMATERA UTARA,Kab. Langkat,2019,,Tabungan,1868925.341338,598950
SUMATERA UTARA,Kab. Langkat,2020,,Giro,387172.214947,2083
SUMATERA UTARA,Kab. Langkat,2020,,Simpanan Berjangka,531027.70127,3415
SUMATERA UTARA,Kab. Langkat,2020,,Tabungan,2212535.787812,750605
SUMATERA UTARA,Kab. Langkat,2021,,Giro,894934.037012,2055
SUMATERA UTARA,Kab. Langkat,2021,,Simpanan Berjangka,533443.095264,3313
SUMATERA UTARA,Kab. Langkat,2021,,Tabungan,2542833.371299,819900
SUMATERA UTARA,Kab. Langkat,2022,,Giro,713783.403132,2000
SUMATERA UTARA,Kab. Langkat,2022,,Simpanan Berjangka,587590.019458,3189
SUMATERA UTARA,Kab. Langkat,2022,,Tabungan,2699813.384494,725643
SUMATERA UTARA,Kab. Langkat,2023,,Giro,755449.835875,2195
SUMATERA UTARA,Kab. Langkat,2023,,Simpanan Berjangka,682732.514063,3322
SUMATERA UTARA,Kab. Langkat,2023,,Tabungan,3154114.360656,946894
SUMATERA UTARA,Kab. Langkat,2023,Mar,Giro,919897.851026,2473
