Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
BANTEN,Kab. Lebak,2019,,Giro,237600.73734,2786
BANTEN,Kab. Lebak,2019,,Simpanan Berjangka,501432.284621,2471
BANTEN,Kab. Lebak,2019,,Tabungan,1675280.75756,971332
BANTEN,Kab. Lebak,2020,,Giro,147433.486307,3415
BANTEN,Kab. Lebak,2020,,Simpanan Berjangka,510787.85673,2391
BANTEN,Kab. Lebak,2020,,Tabungan,1728683.636857,1088010
BANTEN,Kab. Lebak,2021,,Giro,230549.025584,3318
BANTEN,Kab. Lebak,2021,,Simpanan Berjangka,444281.314524,2260
BANTEN,Kab. Lebak,2021,,Tabungan,1979494.288359,1284082
BANTEN,Kab. Lebak,2022,,Giro,266010.339264,2856
BANTEN,Kab. Lebak,2022,,Simpanan Berjangka,436333.317178,2151
BANTEN,Kab. Lebak,2022,,Tabungan,1992822.37448,853911
BANTEN,Kab. Lebak,2023,,Giro,465011.578004,4875
BANTEN,Kab. Lebak,2023,,Simpanan Berjangka,490156.032079,2715
BANTEN,Kab. Lebak,2023,,Tabungan,2151084.021444,984275
BANTEN,Kab. Lebak,2023,Mar,Giro,356394.929555,2887
BANTEN,Kab. Lebak,2023,Mar,Simpanan Berjangka,390724.405173,2199
BANTEN,Kab. Lebak,2023,Mar,Tabungan,1700006.801695,811628
BANTEN,Kab. Lebak,2023,Apr,Giro,367267.437713,2980
BANTEN,Kab. Lebak,2023,Apr,Simpanan Berjangka,387293.130524,2177
BANTEN,Kab. Lebak,2023,Apr,Tabungan,1767156.977924,847228
BANTEN,Kab. Lebak,2023,May,Giro,523582.904663,7950
BANTEN,Kab. Lebak,2023,May,Simpanan Berjangka,586630.997531,2655
BANTEN,Kab. Lebak,2023,May,Tabungan,1965609.410978,892278
BANTEN,Kab. Lebak,2023,Jun,Giro,760834.53389,4959
BANTEN,Kab. Lebak,2023,Jun,Simpanan Berjangka,610172.343426,2675
BANTEN,Kab. Lebak,2023,Jun,Tabungan,1971175.440759,898795
BANTEN,Kab. Lebak,2023,Jul,Giro,632536.601833,4846
BANTEN,Kab. Lebak,2023,Jul,Simpanan Berjangka,595652.441883,2642
BANTEN,Kab. Lebak,2023,Jul,Tabungan,2077561.143899,906458
BANTEN,Kab. Lebak,2023,Aug,Giro,541492.929607,4914
BANTEN,Kab. Lebak,2023,Aug,Simpanan Berjangka,612110.928661,2656
BANTEN,Kab. Lebak,2023,Aug,Tabungan,2022442.289388,913274
BANTEN,Kab. Lebak,2023,Sep,Giro,595831.284991,4988
BANTEN,Kab. Lebak,2023,Sep,Simpanan Berjangka,622080.389165,2697
BANTEN,Kab. Lebak,2023,Sep,Tabungan,2023341.833704,917154
BANTEN,Kab. Lebak,2023,Oct,Giro,524959.101085,4840
BANTEN,Kab. Lebak,2023,Oct,Simpanan Berjangka,584650.473583,2703
BANTEN,Kab. Lebak,2023,Oct,Tabungan,2056720.163328,978098
BANTEN,Kab. Lebak,2023,Nov,Giro,508273.154436,4882
BANTEN,Kab. Lebak,2023,Nov,Simpanan Berjangka,528409.746605,2704
BANTEN,Kab. Lebak,2023,Nov,Tabungan,2098632.346646,953921
BANTEN,Kab. Lebak,2023,Dec,Giro,465011.578004,4875
BANTEN,Kab. Lebak,2023,Dec,Simpanan Berjangka,490156.032079,2715
BANTEN,Kab. Lebak,2023,Dec,Tabungan,2151084.021444,984275
BANTEN,Kab. Lebak,2024,Jan,Giro,490621.688951,4844
BANTEN,Kab. Lebak,2024,Jan,Simpanan Berjangka,476564.825523,2661
BANTEN,Kab. Lebak,2024,Jan,Tabungan,2134105.861504,1034639
BANTEN,Kab. Lebak,2024,Feb,Giro,491715.125372,4840
BANTEN,Kab. Lebak,2024,Feb,Simpanan Berjangka,469983.671885,2644
BANTEN,Kab. Lebak,2024,Feb,Tabungan,2067633.77907,982582
BANTEN,Kab. Lebak,2024,Mar,Giro,478715.110439,4911
BANTEN,Kab. Lebak,2024,Mar,Simpanan Berjangka,461557.780175,2595
BANTEN,Kab. Lebak,2024,Mar,Tabungan,2097823.70747,995606
BANTEN,Kab. Pandeglang,2019,,Giro,620641.803315,9609
BANTEN,Kab. Pandeglang,2019,,Simpanan Berjangka,722617.583489,2226
BANTEN,Kab. Pandeglang,2019,,Tabungan,1854992.851009,842571
BANTEN,Kab. Pandeglang,2020,,Giro,555815.679438,10889
BANTEN,Kab. Pandeglang,2020,,Simpanan Berjangka,590307.320177,2296
BANTEN,Kab. Pandeglang,2020,,Tabungan,1985266.12977,1071022
BANTEN,Kab. Pandeglang,2021,,Giro,590123.658493,12923
BANTEN,Kab. Pandeglang,2021,,Simpanan Berjangka,606416.179753,2352
BANTEN,Kab. Pandeglang,2021,,Tabungan,2109024.11948,1272673
BANTEN,Kab. Pandeglang,2022,,Giro,648136.292631,8929
BANTEN,Kab. Pandeglang,2022,,Simpanan Berjangka,622669.227446,2525
BANTEN,Kab. Pandeglang,2022,,Tabungan,2304096.56192,955053
BANTEN,Kab. Pandeglang,2023,,Giro,584831.408493,7105
BANTEN,Kab. Pandeglang,2023,,Simpanan Berjangka,919010.475363,2236
BANTEN,Kab. Pandeglang,2023,,Tabungan,2055533.175413,1025119
BANTEN,Kab. Pandeglang,2023,Mar,Giro,714998.900427,9394
BANTEN,Kab. Pandeglang,2023,Mar,Simpanan Berjangka,757168.546608,2585
BANTEN,Kab. Pandeglang,2023,Mar,Tabungan,2038580.338264,974426
BANTEN,Kab. Pandeglang,2023,Apr,Giro,472965.480691,9497
BANTEN,Kab. Pandeglang,2023,Apr,Simpanan Berjangka,721547.848966,2589
BANTEN,Kab. Pandeglang,2023,Apr,Tabungan,2141689.242055,996576
BANTEN,Kab. Pandeglang,2023,May,Giro,260750.472297,13690
BANTEN,Kab. Pandeglang,2023,May,Simpanan Berjangka,539865.978995,2161
BANTEN,Kab. Pandeglang,2023,May,Tabungan,1881012.366159,939863
BANTEN,Kab. Pandeglang,2023,Jun,Giro,378614.335177,7526
BANTEN,Kab. Pandeglang,2023,Jun,Simpanan Berjangka,604028.203387,2151
BANTEN,Kab. Pandeglang,2023,Jun,Tabungan,1880538.341668,943593
BANTEN,Kab. Pandeglang,2023,Jul,Giro,570389.405156,7551
BANTEN,Kab. Pandeglang,2023,Jul,Simpanan Berjangka,552469.769862,2152
BANTEN,Kab. Pandeglang,2023,Jul,Tabungan,1904612.085203,954693
BANTEN,Kab. Pandeglang,2023,Aug,Giro,561511.205308,7627
BANTEN,Kab. Pandeglang,2023,Aug,Simpanan Berjangka,606311.249481,2172
BANTEN,Kab. Pandeglang,2023,Aug,Tabungan,1885827.351632,959269
BANTEN,Kab. Pandeglang,2023,Sep,Giro,526953.014199,7660
BANTEN,Kab. Pandeglang,2023,Sep,Simpanan Berjangka,610480.944488,2175
BANTEN,Kab. Pandeglang,2023,Sep,Tabungan,1882773.868318,964670
BANTEN,Kab. Pandeglang,2023,Oct,Giro,433468.867024,7664
BANTEN,Kab. Pandeglang,2023,Oct,Simpanan Berjangka,675211.806439,2204
BANTEN,Kab. Pandeglang,2023,Oct,Tabungan,1869673.801469,974218
BANTEN,Kab. Pandeglang,2023,Nov,Giro,654783.48244,7662
BANTEN,Kab. Pandeglang,2023,Nov,Simpanan Berjangka,877792.086239,2217
BANTEN,Kab. Pandeglang,2023,Nov,Tabungan,1945878.920468,1000349
BANTEN,Kab. Pandeglang,2023,Dec,Giro,584831.408493,7105
BANTEN,Kab. Pandeglang,2023,Dec,Simpanan Berjangka,919010.475363,2236
BANTEN,Kab. Pandeglang,2023,Dec,Tabungan,2055533.175413,1025119
BANTEN,Kab. Pandeglang,2024,Jan,Giro,896539.605478,7751
BANTEN,Kab. Pandeglang,2024,Jan,Simpanan Berjangka,847160.704902,2226
BANTEN,Kab. Pandeglang,2024,Jan,Tabungan,1958808.778178,1015941
BANTEN,Kab. Pandeglang,2024,Feb,Giro,740152.157982,7627
BANTEN,Kab. Pandeglang,2024,Feb,Simpanan Berjangka,871606.888991,2239
BANTEN,Kab. Pandeglang,2024,Feb,Tabungan,1977116.591387,1018901
BANTEN,Kab. Pandeglang,2024,Mar,Giro,506654.288308,7588
BANTEN,Kab. Pandeglang,2024,Mar,Simpanan Berjangka,885967.399886,2222
BANTEN,Kab. Pandeglang,2024,Mar,Tabungan,1953825.018825,1027981
BANTEN,Kab. Serang,2019,,Giro,1195017.739099,4919
BANTEN,Kab. Serang,2019,,Simpanan Berjangka,1475326.535935,5817
BANTEN,Kab. Serang,2019,,Tabungan,3525400.776605,941307
BANTEN,Kab. Serang,2020,,Giro,1182797.616036,5547
BANTEN,Kab. Serang,2020,,Simpanan Berjangka,1620580.404177,5970
BANTEN,Kab. Serang,2020,,Tabungan,3800651.51899,1158208
BANTEN,Kab. Serang,2021,,Giro,1171978.148121,5687
BANTEN,Kab. Serang,2021,,Simpanan Berjangka,1224934.40805,6069
BANTEN,Kab. Serang,2021,,Tabungan,4246333.222341,1369765
BANTEN,Kab. Serang,2022,,Giro,1217333.677037,4980
BANTEN,Kab. Serang,2022,,Simpanan Berjangka,1117268.655182,5704
BANTEN,Kab. Serang,2022,,Tabungan,3998375.984493,1061423
BANTEN,Kab. Serang,2023,,Giro,1478700.263586,5234
BANTEN,Kab. Serang,2023,,Simpanan Berjangka,1378873.482297,6299
BANTEN,Kab. Serang,2023,,Tabungan,3908454.786453,1201793
BANTEN,Kab. Serang,2023,Mar,Giro,1038728.0976,4929
BANTEN,Kab. Serang,2023,Mar,Simpanan Berjangka,1005420.322121,5742
BANTEN,Kab. Serang,2023,Mar,Tabungan,3845451.352772,1040962
BANTEN,Kab. Serang,2023,Apr,Giro,1138861.897638,4821
BANTEN,Kab. Serang,2023,Apr,Simpanan Berjangka,1033912.233981,5795
BANTEN,Kab. Serang,2023,Apr,Tabungan,3750482.661199,1062232
BANTEN,Kab. Serang,2023,May,Giro,1202687.490191,7433
BANTEN,Kab. Serang,2023,May,Simpanan Berjangka,1168959.66791,6227
