Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
JAWA BARAT,Kab. Bekasi,2018,,Rupiah,Modal Kerja,36535713.547295
JAWA BARAT,Kab. Bekasi,2018,,Rupiah,Investasi,18058959.680993
JAWA BARAT,Kab. Bekasi,2018,,Rupiah,Konsumsi,51705704.901202
JAWA BARAT,Kab. Bekasi,2019,,Rupiah,Modal Kerja,37013885.526532
JAWA BARAT,Kab. Bekasi,2019,,Rupiah,Investasi,20408666.464188
JAWA BARAT,Kab. Bekasi,2019,,Rupiah,Konsumsi,57171158.337322
JAWA BARAT,Kab. Bekasi,2020,,Rupiah,Modal Kerja,34132001.263002
JAWA BARAT,Kab. Bekasi,2020,,Rupiah,Investasi,17740061.548411
JAWA BARAT,Kab. Bekasi,2020,,Rupiah,Konsumsi,57926712.759099
JAWA BARAT,Kab. Bekasi,2021,,Rupiah,Modal Kerja,35182491.465345
JAWA BARAT,Kab. Bekasi,2021,,Rupiah,Investasi,15805083.722367
JAWA BARAT,Kab. Bekasi,2021,,Rupiah,Konsumsi,60412352.476043
JAWA BARAT,Kab. Bekasi,2022,,Rupiah,Modal Kerja,35192839.155484
JAWA BARAT,Kab. Bekasi,2022,,Rupiah,Investasi,18277191.903185
JAWA BARAT,Kab. Bekasi,2022,,Rupiah,Konsumsi,66945272.707642
JAWA BARAT,Kab. Bekasi,2023,Mar,Rupiah,Modal Kerja,34509934.712343
JAWA BARAT,Kab. Bekasi,2023,Mar,Rupiah,Investasi,18566953.245617
JAWA BARAT,Kab. Bekasi,2023,Mar,Rupiah,Konsumsi,68409669.144104
JAWA BARAT,Kab. Bekasi,2023,Apr,Rupiah,Modal Kerja,35661187.123448
JAWA BARAT,Kab. Bekasi,2023,Apr,Rupiah,Investasi,18332256.401015
JAWA BARAT,Kab. Bekasi,2023,Apr,Rupiah,Konsumsi,68705915.6568
JAWA BARAT,Kab. Bekasi,2023,May,Rupiah,Modal Kerja,36238051.946195
JAWA BARAT,Kab. Bekasi,2023,May,Rupiah,Investasi,18750343.437797
JAWA BARAT,Kab. Bekasi,2023,May,Rupiah,Konsumsi,70312003.026533
JAWA BARAT,Kab. Bekasi,2023,Jun,Rupiah,Modal Kerja,36371640.910508
JAWA BARAT,Kab. Bekasi,2023,Jun,Rupiah,Investasi,18935034.465092
JAWA BARAT,Kab. Bekasi,2023,Jun,Rupiah,Konsumsi,70287968.880256
JAWA BARAT,Kab. Bekasi,2023,Jul,Rupiah,Modal Kerja,37020491.95008
JAWA BARAT,Kab. Bekasi,2023,Jul,Rupiah,Investasi,18697067.230916
JAWA BARAT,Kab. Bekasi,2023,Jul,Rupiah,Konsumsi,70976663.730788
JAWA BARAT,Kab. Bekasi,2023,Aug,Rupiah,Modal Kerja,37051956.478756
JAWA BARAT,Kab. Bekasi,2023,Aug,Rupiah,Investasi,17472043.339018
JAWA BARAT,Kab. Bekasi,2023,Aug,Rupiah,Konsumsi,71806758.631755
JAWA BARAT,Kab. Bekasi,2023,Sep,Rupiah,Modal Kerja,36038605.554888
JAWA BARAT,Kab. Bekasi,2023,Sep,Rupiah,Investasi,18714935.194911
JAWA BARAT,Kab. Bekasi,2023,Sep,Rupiah,Konsumsi,72350399.500418
JAWA BARAT,Kab. Bekasi,2023,Oct,Rupiah,Modal Kerja,36623014.932117
JAWA BARAT,Kab. Bekasi,2023,Oct,Rupiah,Investasi,20076220.258234
JAWA BARAT,Kab. Bekasi,2023,Oct,Rupiah,Konsumsi,73014777.432006
JAWA BARAT,Kab. Bekasi,2023,Nov,Rupiah,Modal Kerja,38460552.761967
JAWA BARAT,Kab. Bekasi,2023,Nov,Rupiah,Investasi,20030014.641772
JAWA BARAT,Kab. Bekasi,2023,Nov,Rupiah,Konsumsi,73734351.378978
JAWA BARAT,Kab. Bekasi,2023,Dec,Rupiah,Modal Kerja,38530810.509354
JAWA BARAT,Kab. Bekasi,2023,Dec,Rupiah,Investasi,20062295.533882
JAWA BARAT,Kab. Bekasi,2023,Dec,Rupiah,Konsumsi,74333040.210355
JAWA BARAT,Kab. Bekasi,2024,Jan,Rupiah,Modal Kerja,36469568.866714
JAWA BARAT,Kab. Bekasi,2024,Jan,Rupiah,Investasi,20785675.150167
JAWA BARAT,Kab. Bekasi,2024,Jan,Rupiah,Konsumsi,74772096.052989
JAWA BARAT,Kab. Bekasi,2024,Feb,Rupiah,Modal Kerja,36407518.027084
JAWA BARAT,Kab. Bekasi,2024,Feb,Rupiah,Investasi,20936422.192343
JAWA BARAT,Kab. Bekasi,2024,Feb,Rupiah,Konsumsi,75314019.280041
JAWA BARAT,Kab. Bekasi,2024,Mar,Rupiah,Modal Kerja,37970346.979747
JAWA BARAT,Kab. Bekasi,2024,Mar,Rupiah,Investasi,19937254.508725
JAWA BARAT,Kab. Bekasi,2024,Mar,Rupiah,Konsumsi,76097515.006486
JAWA BARAT,Kab. Purwakarta,2018,,Rupiah,Modal Kerja,2808188.180571
JAWA BARAT,Kab. Purwakarta,2018,,Rupiah,Investasi,1299573.169527
JAWA BARAT,Kab. Purwakarta,2018,,Rupiah,Konsumsi,5216664.562305
JAWA BARAT,Kab. Purwakarta,2019,,Rupiah,Modal Kerja,4361648.399787
JAWA BARAT,Kab. Purwakarta,2019,,Rupiah,Investasi,1279247.570693
JAWA BARAT,Kab. Purwakarta,2019,,Rupiah,Konsumsi,5723692.616609
JAWA BARAT,Kab. Purwakarta,2020,,Rupiah,Modal Kerja,3304092.178031
JAWA BARAT,Kab. Purwakarta,2020,,Rupiah,Investasi,1357933.447738
JAWA BARAT,Kab. Purwakarta,2020,,Rupiah,Konsumsi,5694692.865777
JAWA BARAT,Kab. Purwakarta,2021,,Rupiah,Modal Kerja,4365822.954252
JAWA BARAT,Kab. Purwakarta,2021,,Rupiah,Investasi,891250.103204
JAWA BARAT,Kab. Purwakarta,2021,,Rupiah,Konsumsi,5783029.145216
JAWA BARAT,Kab. Purwakarta,2022,,Rupiah,Modal Kerja,5230203.743513
JAWA BARAT,Kab. Purwakarta,2022,,Rupiah,Investasi,1011599.621346
JAWA BARAT,Kab. Purwakarta,2022,,Rupiah,Konsumsi,6497591.919561
JAWA BARAT,Kab. Purwakarta,2023,Mar,Rupiah,Modal Kerja,5117427.925778
JAWA BARAT,Kab. Purwakarta,2023,Mar,Rupiah,Investasi,1352589.378028
JAWA BARAT,Kab. Purwakarta,2023,Mar,Rupiah,Konsumsi,6699854.632921
JAWA BARAT,Kab. Purwakarta,2023,Apr,Rupiah,Modal Kerja,4812558.252581
JAWA BARAT,Kab. Purwakarta,2023,Apr,Rupiah,Investasi,1358084.988385
JAWA BARAT,Kab. Purwakarta,2023,Apr,Rupiah,Konsumsi,6621257.629239
JAWA BARAT,Kab. Purwakarta,2023,May,Rupiah,Modal Kerja,5217749.585122
JAWA BARAT,Kab. Purwakarta,2023,May,Rupiah,Investasi,1418675.940103
JAWA BARAT,Kab. Purwakarta,2023,May,Rupiah,Konsumsi,6665420.343057
JAWA BARAT,Kab. Purwakarta,2023,Jun,Rupiah,Modal Kerja,4951945.03398
JAWA BARAT,Kab. Purwakarta,2023,Jun,Rupiah,Investasi,1445342.61312
JAWA BARAT,Kab. Purwakarta,2023,Jun,Rupiah,Konsumsi,6753778.958068
JAWA BARAT,Kab. Purwakarta,2023,Jul,Rupiah,Modal Kerja,5040402.692808
JAWA BARAT,Kab. Purwakarta,2023,Jul,Rupiah,Investasi,1500978.869301
JAWA BARAT,Kab. Purwakarta,2023,Jul,Rupiah,Konsumsi,6800318.048437
JAWA BARAT,Kab. Purwakarta,2023,Aug,Rupiah,Modal Kerja,4919727.247503
JAWA BARAT,Kab. Purwakarta,2023,Aug,Rupiah,Investasi,1526538.037885
JAWA BARAT,Kab. Purwakarta,2023,Aug,Rupiah,Konsumsi,6898031.940176
JAWA BARAT,Kab. Purwakarta,2023,Sep,Rupiah,Modal Kerja,4843986.470343
JAWA BARAT,Kab. Purwakarta,2023,Sep,Rupiah,Investasi,1544759.329667
JAWA BARAT,Kab. Purwakarta,2023,Sep,Rupiah,Konsumsi,6983072.852333
JAWA BARAT,Kab. Purwakarta,2023,Oct,Rupiah,Modal Kerja,4863543.11817
JAWA BARAT,Kab. Purwakarta,2023,Oct,Rupiah,Investasi,1567610.743022
JAWA BARAT,Kab. Purwakarta,2023,Oct,Rupiah,Konsumsi,6957044.557953
JAWA BARAT,Kab. Purwakarta,2023,Nov,Rupiah,Modal Kerja,5049751.52827
