Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
JAWA TENGAH,Kab. Semarang,2018,,Rupiah,Modal Kerja,7919712.397448
JAWA TENGAH,Kab. Semarang,2018,,Rupiah,Investasi,2902181.747561
JAWA TENGAH,Kab. Semarang,2018,,Rupiah,Konsumsi,5388997.020057
JAWA TENGAH,Kab. Semarang,2019,,Rupiah,Modal Kerja,6637600.74498
JAWA TENGAH,Kab. Semarang,2019,,Rupiah,Investasi,3968777.93988
JAWA TENGAH,Kab. Semarang,2019,,Rupiah,Konsumsi,5668535.665622
JAWA TENGAH,Kab. Semarang,2020,,Rupiah,Modal Kerja,6105322.907622
JAWA TENGAH,Kab. Semarang,2020,,Rupiah,Investasi,5995313.56638
JAWA TENGAH,Kab. Semarang,2020,,Rupiah,Konsumsi,5325081.089517
JAWA TENGAH,Kab. Semarang,2021,,Rupiah,Modal Kerja,6161461.513684
JAWA TENGAH,Kab. Semarang,2021,,Rupiah,Investasi,2111499.835913
JAWA TENGAH,Kab. Semarang,2021,,Rupiah,Konsumsi,5273259.9787
JAWA TENGAH,Kab. Semarang,2022,,Rupiah,Modal Kerja,8123922.292119
JAWA TENGAH,Kab. Semarang,2022,,Rupiah,Investasi,2783964.796829
JAWA TENGAH,Kab. Semarang,2022,,Rupiah,Konsumsi,5653174.108387
JAWA TENGAH,Kab. Semarang,2023,Mar,Rupiah,Modal Kerja,8228727.314304
JAWA TENGAH,Kab. Semarang,2023,Mar,Rupiah,Investasi,3440439.286503
JAWA TENGAH,Kab. Semarang,2023,Mar,Rupiah,Konsumsi,5666328.568122
JAWA TENGAH,Kab. Semarang,2023,Apr,Rupiah,Modal Kerja,8383813.33391
JAWA TENGAH,Kab. Semarang,2023,Apr,Rupiah,Investasi,3064872.826849
JAWA TENGAH,Kab. Semarang,2023,Apr,Rupiah,Konsumsi,5680668.881017
JAWA TENGAH,Kab. Semarang,2023,May,Rupiah,Modal Kerja,8420962.221394
JAWA TENGAH,Kab. Semarang,2023,May,Rupiah,Investasi,3261658.992193
JAWA TENGAH,Kab. Semarang,2023,May,Rupiah,Konsumsi,5706365.875144
JAWA TENGAH,Kab. Semarang,2023,Jun,Rupiah,Modal Kerja,8499112.364868
JAWA TENGAH,Kab. Semarang,2023,Jun,Rupiah,Investasi,3251876.354658
JAWA TENGAH,Kab. Semarang,2023,Jun,Rupiah,Konsumsi,5725376.00859
JAWA TENGAH,Kab. Semarang,2023,Jul,Rupiah,Modal Kerja,8468424.194888
JAWA TENGAH,Kab. Semarang,2023,Jul,Rupiah,Investasi,3251466.786534
JAWA TENGAH,Kab. Semarang,2023,Jul,Rupiah,Konsumsi,5730721.839196
JAWA TENGAH,Kab. Semarang,2023,Aug,Rupiah,Modal Kerja,8455066.206341
JAWA TENGAH,Kab. Semarang,2023,Aug,Rupiah,Investasi,3264122.307398
JAWA TENGAH,Kab. Semarang,2023,Aug,Rupiah,Konsumsi,5799333.236658
JAWA TENGAH,Kab. Semarang,2023,Sep,Rupiah,Modal Kerja,8181174.318784
JAWA TENGAH,Kab. Semarang,2023,Sep,Rupiah,Investasi,3220721.761182
JAWA TENGAH,Kab. Semarang,2023,Sep,Rupiah,Konsumsi,5790644.196349
JAWA TENGAH,Kab. Semarang,2023,Oct,Rupiah,Modal Kerja,8143047.048364
JAWA TENGAH,Kab. Semarang,2023,Oct,Rupiah,Investasi,3271207.768005
JAWA TENGAH,Kab. Semarang,2023,Oct,Rupiah,Konsumsi,5828032.945572
JAWA TENGAH,Kab. Semarang,2023,Nov,Rupiah,Modal Kerja,8452631.139965
JAWA TENGAH,Kab. Semarang,2023,Nov,Rupiah,Investasi,3300577.645323
JAWA TENGAH,Kab. Semarang,2023,Nov,Rupiah,Konsumsi,5863725.021757
JAWA TENGAH,Kab. Semarang,2023,Dec,Rupiah,Modal Kerja,8135471.279849
JAWA TENGAH,Kab. Semarang,2023,Dec,Rupiah,Investasi,3299010.171655
JAWA TENGAH,Kab. Semarang,2023,Dec,Rupiah,Konsumsi,5905437.234178
JAWA TENGAH,Kab. Semarang,2024,Jan,Rupiah,Modal Kerja,7957656.946756
JAWA TENGAH,Kab. Semarang,2024,Jan,Rupiah,Investasi,3316696.301038
JAWA TENGAH,Kab. Semarang,2024,Jan,Rupiah,Konsumsi,5891974.06143
JAWA TENGAH,Kab. Semarang,2024,Feb,Rupiah,Modal Kerja,7974017.279139
JAWA TENGAH,Kab. Semarang,2024,Feb,Rupiah,Investasi,3327147.639212
JAWA TENGAH,Kab. Semarang,2024,Feb,Rupiah,Konsumsi,5917566.924355
JAWA TENGAH,Kab. Semarang,2024,Mar,Rupiah,Modal Kerja,8121822.079796
JAWA TENGAH,Kab. Semarang,2024,Mar,Rupiah,Investasi,3328711.569332
JAWA TENGAH,Kab. Semarang,2024,Mar,Rupiah,Konsumsi,6058862.103905
JAWA TENGAH,Kab. Kendal,2018,,Rupiah,Modal Kerja,2671859.898731
JAWA TENGAH,Kab. Kendal,2018,,Rupiah,Investasi,567483.555776
JAWA TENGAH,Kab. Kendal,2018,,Rupiah,Konsumsi,3002007.861317
JAWA TENGAH,Kab. Kendal,2019,,Rupiah,Modal Kerja,2983341.648565
JAWA TENGAH,Kab. Kendal,2019,,Rupiah,Investasi,765924.749301
JAWA TENGAH,Kab. Kendal,2019,,Rupiah,Konsumsi,3298130.930706
JAWA TENGAH,Kab. Kendal,2020,,Rupiah,Modal Kerja,3404374.46524
JAWA TENGAH,Kab. Kendal,2020,,Rupiah,Investasi,828427.26956
JAWA TENGAH,Kab. Kendal,2020,,Rupiah,Konsumsi,3529990.026328
JAWA TENGAH,Kab. Kendal,2021,,Rupiah,Modal Kerja,3988110.196144
JAWA TENGAH,Kab. Kendal,2021,,Rupiah,Investasi,879520.882585
JAWA TENGAH,Kab. Kendal,2021,,Rupiah,Konsumsi,3841524.412543
JAWA TENGAH,Kab. Kendal,2022,,Rupiah,Modal Kerja,4682555.5678
JAWA TENGAH,Kab. Kendal,2022,,Rupiah,Investasi,1190732.129685
JAWA TENGAH,Kab. Kendal,2022,,Rupiah,Konsumsi,4446831.293785
JAWA TENGAH,Kab. Kendal,2023,Mar,Rupiah,Modal Kerja,4860925.936007
JAWA TENGAH,Kab. Kendal,2023,Mar,Rupiah,Investasi,1300393.866517
JAWA TENGAH,Kab. Kendal,2023,Mar,Rupiah,Konsumsi,4499235.410225
JAWA TENGAH,Kab. Kendal,2023,Apr,Rupiah,Modal Kerja,4861900.029198
JAWA TENGAH,Kab. Kendal,2023,Apr,Rupiah,Investasi,1358828.079251
JAWA TENGAH,Kab. Kendal,2023,Apr,Rupiah,Konsumsi,4532673.011311
JAWA TENGAH,Kab. Kendal,2023,May,Rupiah,Modal Kerja,4775387.791811
JAWA TENGAH,Kab. Kendal,2023,May,Rupiah,Investasi,1393428.332266
JAWA TENGAH,Kab. Kendal,2023,May,Rupiah,Konsumsi,4571130.47029
JAWA TENGAH,Kab. Kendal,2023,Jun,Rupiah,Modal Kerja,4792665.401192
JAWA TENGAH,Kab. Kendal,2023,Jun,Rupiah,Investasi,1395697.779971
JAWA TENGAH,Kab. Kendal,2023,Jun,Rupiah,Konsumsi,4613864.278953
JAWA TENGAH,Kab. Kendal,2023,Jul,Rupiah,Modal Kerja,4772646.778624
JAWA TENGAH,Kab. Kendal,2023,Jul,Rupiah,Investasi,1409586.874606
JAWA TENGAH,Kab. Kendal,2023,Jul,Rupiah,Konsumsi,4651630.772204
JAWA TENGAH,Kab. Kendal,2023,Aug,Rupiah,Modal Kerja,4817152.526228
JAWA TENGAH,Kab. Kendal,2023,Aug,Rupiah,Investasi,1413986.887362
JAWA TENGAH,Kab. Kendal,2023,Aug,Rupiah,Konsumsi,4702462.389606
JAWA TENGAH,Kab. Kendal,2023,Sep,Rupiah,Modal Kerja,4925134.680881
JAWA TENGAH,Kab. Kendal,2023,Sep,Rupiah,Investasi,1447366.961067
JAWA TENGAH,Kab. Kendal,2023,Sep,Rupiah,Konsumsi,4812522.660488
JAWA TENGAH,Kab. Kendal,2023,Oct,Rupiah,Modal Kerja,5058022.559614
JAWA TENGAH,Kab. Kendal,2023,Oct,Rupiah,Investasi,1460133.085984
JAWA TENGAH,Kab. Kendal,2023,Oct,Rupiah,Konsumsi,4863162.883444
JAWA TENGAH,Kab. Kendal,2023,Nov,Rupiah,Modal Kerja,5080812.949215
JAWA TENGAH,Kab. Kendal,2023,Nov,Rupiah,Investasi,1512214.326438
JAWA TENGAH,Kab. Kendal,2023,Nov,Rupiah,Konsumsi,4911879.542594
JAWA TENGAH,Kab. Kendal,2023,Dec,Rupiah,Modal Kerja,5178766.723647
JAWA TENGAH,Kab. Kendal,2023,Dec,Rupiah,Investasi,1595623.174587
JAWA TENGAH,Kab. Kendal,2023,Dec,Rupiah,Konsumsi,4941003.075541
JAWA TENGAH,Kab. Kendal,2024,Jan,Rupiah,Modal Kerja,5039244.217597
JAWA TENGAH,Kab. Kendal,2024,Jan,Rupiah,Investasi,1607267.838206
JAWA TENGAH,Kab. Kendal,2024,Jan,Rupiah,Konsumsi,4988090.013523
JAWA TENGAH,Kab. Kendal,2024,Feb,Rupiah,Modal Kerja,5053383.258674
JAWA TENGAH,Kab. Kendal,2024,Feb,Rupiah,Investasi,1628257.958022
JAWA TENGAH,Kab. Kendal,2024,Feb,Rupiah,Konsumsi,5015169.815953
JAWA TENGAH,Kab. Kendal,2024,Mar,Rupiah,Modal Kerja,5069439.862837
JAWA TENGAH,Kab. Kendal,2024,Mar,Rupiah,Investasi,1634212.584089
JAWA TENGAH,Kab. Kendal,2024,Mar,Rupiah,Konsumsi,5092133.794716
JAWA TENGAH,Kab. Demak,2018,,Rupiah,Modal Kerja,3186075.024364
JAWA TENGAH,Kab. Demak,2018,,Rupiah,Investasi,504493.507586
JAWA TENGAH,Kab. Demak,2018,,Rupiah,Konsumsi,2227650.203344
JAWA TENGAH,Kab. Demak,2019,,Rupiah,Modal Kerja,3791216.242024
JAWA TENGAH,Kab. Demak,2019,,Rupiah,Investasi,874787.811662
JAWA TENGAH,Kab. Demak,2019,,Rupiah,Konsumsi,2382070.792422
JAWA TENGAH,Kab. Demak,2020,,Rupiah,Modal Kerja,4358713.244613
JAWA TENGAH,Kab. Demak,2020,,Rupiah,Investasi,741821.606239
JAWA TENGAH,Kab. Demak,2020,,Rupiah,Konsumsi,2451942.551925
JAWA TENGAH,Kab. Demak,2021,,Rupiah,Modal Kerja,4463511.003469
JAWA TENGAH,Kab. Demak,2021,,Rupiah,Investasi,777642.907258
JAWA TENGAH,Kab. Demak,2021,,Rupiah,Konsumsi,2574814.289765
JAWA TENGAH,Kab. Demak,2022,,Rupiah,Modal Kerja,5224085.552606
JAWA TENGAH,Kab. Demak,2022,,Rupiah,Investasi,960422.228175
JAWA TENGAH,Kab. Demak,2022,,Rupiah,Konsumsi,2855676.387849
JAWA TENGAH,Kab. Demak,2023,Mar,Rupiah,Modal Kerja,5388883.02025
JAWA TENGAH,Kab. Demak,2023,Mar,Rupiah,Investasi,1121427.975925
JAWA TENGAH,Kab. Demak,2023,Mar,Rupiah,Konsumsi,2882863.947582
JAWA TENGAH,Kab. Demak,2023,Apr,Rupiah,Modal Kerja,5429379.667169
JAWA TENGAH,Kab. Demak,2023,Apr,Rupiah,Investasi,1127993.444277
JAWA TENGAH,Kab. Demak,2023,Apr,Rupiah,Konsumsi,2888261.299796
JAWA TENGAH,Kab. Demak,2023,May,Rupiah,Modal Kerja,5517604.123024
JAWA TENGAH,Kab. Demak,2023,May,Rupiah,Investasi,1135572.0975
JAWA TENGAH,Kab. Demak,2023,May,Rupiah,Konsumsi,2895290.729023
JAWA TENGAH,Kab. Demak,2023,Jun,Rupiah,Modal Kerja,5607430.869254
JAWA TENGAH,Kab. Demak,2023,Jun,Rupiah,Investasi,1139289.25985
JAWA TENGAH,Kab. Demak,2023,Jun,Rupiah,Konsumsi,2901023.739824
JAWA TENGAH,Kab. Demak,2023,Jul,Rupiah,Modal Kerja,5576190.825751
JAWA TENGAH,Kab. Demak,2023,Jul,Rupiah,Investasi,1136831.220265
JAWA TENGAH,Kab. Demak,2023,Jul,Rupiah,Konsumsi,2918612.326456
JAWA TENGAH,Kab. Demak,2023,Aug,Rupiah,Modal Kerja,5583395.176275
JAWA TENGAH,Kab. Demak,2023,Aug,Rupiah,Investasi,1129685.706445
JAWA TENGAH,Kab. Demak,2023,Aug,Rupiah,Konsumsi,2957467.913399
JAWA TENGAH,Kab. Demak,2023,Sep,Rupiah,Modal Kerja,5476251.913087
JAWA TENGAH,Kab. Demak,2023,Sep,Rupiah,Investasi,1118798.20464
JAWA TENGAH,Kab. Demak,2023,Sep,Rupiah,Konsumsi,2945937.075918
JAWA TENGAH,Kab. Demak,2023,Oct,Rupiah,Modal Kerja,5665350.817726
JAWA TENGAH,Kab. Demak,2023,Oct,Rupiah,Investasi,1117451.273759
JAWA TENGAH,Kab. Demak,2023,Oct,Rupiah,Konsumsi,2962501.313378
JAWA TENGAH,Kab. Demak,2023,Nov,Rupiah,Modal Kerja,5683402.746618
JAWA TENGAH,Kab. Demak,2023,Nov,Rupiah,Investasi,1119651.801791
JAWA TENGAH,Kab. Demak,2023,Nov,Rupiah,Konsumsi,3001172.054868
JAWA TENGAH,Kab. Demak,2023,Dec,Rupiah,Modal Kerja,5594387.104123
JAWA TENGAH,Kab. Demak,2023,Dec,Rupiah,Investasi,1124307.293351
JAWA TENGAH,Kab. Demak,2023,Dec,Rupiah,Konsumsi,3029660.958235
JAWA TENGAH,Kab. Demak,2024,Jan,Rupiah,Modal Kerja,5536896.415258
JAWA TENGAH,Kab. Demak,2024,Jan,Rupiah,Investasi,1129251.448441
JAWA TENGAH,Kab. Demak,2024,Jan,Rupiah,Konsumsi,3062914.164316
JAWA TENGAH,Kab. Demak,2024,Feb,Rupiah,Modal Kerja,5539285.091096
JAWA TENGAH,Kab. Demak,2024,Feb,Rupiah,Investasi,1151333.885134
JAWA TENGAH,Kab. Demak,2024,Feb,Rupiah,Konsumsi,3121250.692237
JAWA TENGAH,Kab. Demak,2024,Mar,Rupiah,Modal Kerja,5538125.213321
JAWA TENGAH,Kab. Demak,2024,Mar,Rupiah,Investasi,1152097.406958
JAWA TENGAH,Kab. Demak,2024,Mar,Rupiah,Konsumsi,3154242.565703
JAWA TENGAH,Kab. Grobogan,2018,,Rupiah,Modal Kerja,3533520.427561
JAWA TENGAH,Kab. Grobogan,2018,,Rupiah,Investasi,541275.123378
JAWA TENGAH,Kab. Grobogan,2018,,Rupiah,Konsumsi,2337882.849124
JAWA TENGAH,Kab. Grobogan,2019,,Rupiah,Modal Kerja,4354238.327785
JAWA TENGAH,Kab. Grobogan,2019,,Rupiah,Investasi,610793.538399
JAWA TENGAH,Kab. Grobogan,2019,,Rupiah,Konsumsi,2439230.653546
JAWA TENGAH,Kab. Grobogan,2020,,Rupiah,Modal Kerja,4871827.958915
JAWA TENGAH,Kab. Grobogan,2020,,Rupiah,Investasi,612562.804292
JAWA TENGAH,Kab. Grobogan,2020,,Rupiah,Konsumsi,2617989.086153
JAWA TENGAH,Kab. Grobogan,2021,,Rupiah,Modal Kerja,5703164.43411
JAWA TENGAH,Kab. Grobogan,2021,,Rupiah,Investasi,544559.688014
JAWA TENGAH,Kab. Grobogan,2021,,Rupiah,Konsumsi,2716338.054155
JAWA TENGAH,Kab. Grobogan,2022,,Rupiah,Modal Kerja,6809820.930577
JAWA TENGAH,Kab. Grobogan,2022,,Rupiah,Investasi,648296.084026
JAWA TENGAH,Kab. Grobogan,2022,,Rupiah,Konsumsi,2853026.640069
JAWA TENGAH,Kab. Grobogan,2023,Mar,Rupiah,Modal Kerja,6748387.275526
JAWA TENGAH,Kab. Grobogan,2023,Mar,Rupiah,Investasi,873919.164623
JAWA TENGAH,Kab. Grobogan,2023,Mar,Rupiah,Konsumsi,3257709.979726
JAWA TENGAH,Kab. Grobogan,2023,Apr,Rupiah,Modal Kerja,6785008.112822
JAWA TENGAH,Kab. Grobogan,2023,Apr,Rupiah,Investasi,915913.196086
JAWA TENGAH,Kab. Grobogan,2023,Apr,Rupiah,Konsumsi,3272983.712308
JAWA TENGAH,Kab. Grobogan,2023,May,Rupiah,Modal Kerja,6908751.895695
JAWA TENGAH,Kab. Grobogan,2023,May,Rupiah,Investasi,948813.201478
JAWA TENGAH,Kab. Grobogan,2023,May,Rupiah,Konsumsi,3265898.446261
JAWA TENGAH,Kab. Grobogan,2023,Jun,Rupiah,Modal Kerja,7000199.398198
JAWA TENGAH,Kab. Grobogan,2023,Jun,Rupiah,Investasi,968932.15144
JAWA TENGAH,Kab. Grobogan,2023,Jun,Rupiah,Konsumsi,3276819.178727
JAWA TENGAH,Kab. Grobogan,2023,Jul,Rupiah,Modal Kerja,7017830.683861
JAWA TENGAH,Kab. Grobogan,2023,Jul,Rupiah,Investasi,980692.279837
JAWA TENGAH,Kab. Grobogan,2023,Jul,Rupiah,Konsumsi,3291562.75714
JAWA TENGAH,Kab. Grobogan,2023,Aug,Rupiah,Modal Kerja,7079690.976684
JAWA TENGAH,Kab. Grobogan,2023,Aug,Rupiah,Investasi,999058.98598
JAWA TENGAH,Kab. Grobogan,2023,Aug,Rupiah,Konsumsi,3313464.838462
JAWA TENGAH,Kab. Grobogan,2023,Sep,Rupiah,Modal Kerja,7128794.448883
JAWA TENGAH,Kab. Grobogan,2023,Sep,Rupiah,Investasi,1018995.308928
JAWA TENGAH,Kab. Grobogan,2023,Sep,Rupiah,Konsumsi,3310474.890811
JAWA TENGAH,Kab. Grobogan,2023,Oct,Rupiah,Modal Kerja,7138395.032902
JAWA TENGAH,Kab. Grobogan,2023,Oct,Rupiah,Investasi,1038258.85784
JAWA TENGAH,Kab. Grobogan,2023,Oct,Rupiah,Konsumsi,3326429.667025
JAWA TENGAH,Kab. Grobogan,2023,Nov,Rupiah,Modal Kerja,7142156.801074
JAWA TENGAH,Kab. Grobogan,2023,Nov,Rupiah,Investasi,1058964.300869
JAWA TENGAH,Kab. Grobogan,2023,Nov,Rupiah,Konsumsi,3309255.589363
JAWA TENGAH,Kab. Grobogan,2023,Dec,Rupiah,Modal Kerja,7198564.778083
JAWA TENGAH,Kab. Grobogan,2023,Dec,Rupiah,Investasi,1119493.905862
JAWA TENGAH,Kab. Grobogan,2023,Dec,Rupiah,Konsumsi,3348640.152509
JAWA TENGAH,Kab. Grobogan,2024,Jan,Rupiah,Modal Kerja,7222240.000921
JAWA TENGAH,Kab. Grobogan,2024,Jan,Rupiah,Investasi,1143906.8458
JAWA TENGAH,Kab. Grobogan,2024,Jan,Rupiah,Konsumsi,3359251.463453
JAWA TENGAH,Kab. Grobogan,2024,Feb,Rupiah,Modal Kerja,7291142.922495
JAWA TENGAH,Kab. Grobogan,2024,Feb,Rupiah,Investasi,1102883.636659
JAWA TENGAH,Kab. Grobogan,2024,Feb,Rupiah,Konsumsi,3361254.594055
JAWA TENGAH,Kab. Grobogan,2024,Mar,Rupiah,Modal Kerja,7383185.040794
JAWA TENGAH,Kab. Grobogan,2024,Mar,Rupiah,Investasi,1118960.748787
JAWA TENGAH,Kab. Grobogan,2024,Mar,Rupiah,Konsumsi,3392114.863557
JAWA TENGAH,Kab. Pekalongan,2018,,Rupiah,Modal Kerja,2094621.600864
JAWA TENGAH,Kab. Pekalongan,2018,,Rupiah,Investasi,557889.260107
JAWA TENGAH,Kab. Pekalongan,2018,,Rupiah,Konsumsi,2251730.454881
JAWA TENGAH,Kab. Pekalongan,2019,,Rupiah,Modal Kerja,2472608.633571
JAWA TENGAH,Kab. Pekalongan,2019,,Rupiah,Investasi,636351.635121
JAWA TENGAH,Kab. Pekalongan,2019,,Rupiah,Konsumsi,2385448.062541
JAWA TENGAH,Kab. Pekalongan,2020,,Rupiah,Modal Kerja,2714272.001051
JAWA TENGAH,Kab. Pekalongan,2020,,Rupiah,Investasi,573184.663366
JAWA TENGAH,Kab. Pekalongan,2020,,Rupiah,Konsumsi,2472316.919882
JAWA TENGAH,Kab. Pekalongan,2021,,Rupiah,Modal Kerja,3515637.266848
JAWA TENGAH,Kab. Pekalongan,2021,,Rupiah,Investasi,595375.478979
JAWA TENGAH,Kab. Pekalongan,2021,,Rupiah,Konsumsi,2560681.242189
JAWA TENGAH,Kab. Pekalongan,2022,,Rupiah,Modal Kerja,3950809.403464
JAWA TENGAH,Kab. Pekalongan,2022,,Rupiah,Investasi,629888.090694
JAWA TENGAH,Kab. Pekalongan,2022,,Rupiah,Konsumsi,2708914.65407
JAWA TENGAH,Kab. Pekalongan,2023,Mar,Rupiah,Modal Kerja,4037670.706349
JAWA TENGAH,Kab. Pekalongan,2023,Mar,Rupiah,Investasi,638090.665336
JAWA TENGAH,Kab. Pekalongan,2023,Mar,Rupiah,Konsumsi,2716523.500223
JAWA TENGAH,Kab. Pekalongan,2023,Apr,Rupiah,Modal Kerja,3997179.965222
JAWA TENGAH,Kab. Pekalongan,2023,Apr,Rupiah,Investasi,640355.393422
JAWA TENGAH,Kab. Pekalongan,2023,Apr,Rupiah,Konsumsi,2720386.445642
JAWA TENGAH,Kab. Pekalongan,2023,May,Rupiah,Modal Kerja,3988327.106957
JAWA TENGAH,Kab. Pekalongan,2023,May,Rupiah,Investasi,645923.106759
JAWA TENGAH,Kab. Pekalongan,2023,May,Rupiah,Konsumsi,2718511.676464
JAWA TENGAH,Kab. Pekalongan,2023,Jun,Rupiah,Modal Kerja,3695735.841704
JAWA TENGAH,Kab. Pekalongan,2023,Jun,Rupiah,Investasi,627724.80886
JAWA TENGAH,Kab. Pekalongan,2023,Jun,Rupiah,Konsumsi,2721197.808138
JAWA TENGAH,Kab. Pekalongan,2023,Jul,Rupiah,Modal Kerja,3688478.520055
JAWA TENGAH,Kab. Pekalongan,2023,Jul,Rupiah,Investasi,631049.820679
