Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
JAWA TIMUR,Kab. Sumenep,2019,,Giro,504649.228293,4584
JAWA TIMUR,Kab. Sumenep,2019,,Simpanan Berjangka,1549023.702699,10421
JAWA TIMUR,Kab. Sumenep,2019,,Tabungan,2779101.881605,1730119
JAWA TIMUR,Kab. Sumenep,2020,,Giro,617362.250529,10848
JAWA TIMUR,Kab. Sumenep,2020,,Simpanan Berjangka,959095.397353,10435
JAWA TIMUR,Kab. Sumenep,2020,,Tabungan,2997629.047898,2107528
JAWA TIMUR,Kab. Sumenep,2021,,Giro,567578.073489,7013
JAWA TIMUR,Kab. Sumenep,2021,,Simpanan Berjangka,930130.799372,10408
JAWA TIMUR,Kab. Sumenep,2021,,Tabungan,2445527.291387,1270285
JAWA TIMUR,Kab. Sumenep,2022,,Giro,635538.585233,6085
JAWA TIMUR,Kab. Sumenep,2022,,Simpanan Berjangka,969401.950701,10590
JAWA TIMUR,Kab. Sumenep,2022,,Tabungan,2573732.105342,1131895
JAWA TIMUR,Kab. Sumenep,2023,,Giro,708110.392859,6040
JAWA TIMUR,Kab. Sumenep,2023,,Simpanan Berjangka,1049004.168025,11221
JAWA TIMUR,Kab. Sumenep,2023,,Tabungan,2876067.675791,1232844
JAWA TIMUR,Kab. Sumenep,2023,Mar,Giro,468736.394509,6388
JAWA TIMUR,Kab. Sumenep,2023,Mar,Simpanan Berjangka,1268327.602686,10533
JAWA TIMUR,Kab. Sumenep,2023,Mar,Tabungan,2320134.210797,1139296
JAWA TIMUR,Kab. Sumenep,2023,Apr,Giro,450227.424863,6457
JAWA TIMUR,Kab. Sumenep,2023,Apr,Simpanan Berjangka,1247261.309683,10439
JAWA TIMUR,Kab. Sumenep,2023,Apr,Tabungan,2380628.898334,1170242
JAWA TIMUR,Kab. Sumenep,2023,May,Giro,458476.199159,8590
JAWA TIMUR,Kab. Sumenep,2023,May,Simpanan Berjangka,1250485.917479,10481
JAWA TIMUR,Kab. Sumenep,2023,May,Tabungan,2367294.659795,1166096
JAWA TIMUR,Kab. Sumenep,2023,Jun,Giro,588906.54366,6381
JAWA TIMUR,Kab. Sumenep,2023,Jun,Simpanan Berjangka,1148573.745811,10361
JAWA TIMUR,Kab. Sumenep,2023,Jun,Tabungan,2416892.713212,1168325
JAWA TIMUR,Kab. Sumenep,2023,Jul,Giro,458151.973871,6762
JAWA TIMUR,Kab. Sumenep,2023,Jul,Simpanan Berjangka,1342216.875288,10411
JAWA TIMUR,Kab. Sumenep,2023,Jul,Tabungan,2461338.696416,1176727
JAWA TIMUR,Kab. Sumenep,2023,Aug,Giro,594609.985281,6654
