Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
JAWA TIMUR,Kab. Sumenep,2018,,Rupiah,Modal Kerja,1669729.456903
JAWA TIMUR,Kab. Sumenep,2018,,Rupiah,Investasi,288482.950574
JAWA TIMUR,Kab. Sumenep,2018,,Rupiah,Konsumsi,1860697.449003
JAWA TIMUR,Kab. Sumenep,2019,,Rupiah,Modal Kerja,2105858.037228
JAWA TIMUR,Kab. Sumenep,2019,,Rupiah,Investasi,346635.54927
JAWA TIMUR,Kab. Sumenep,2019,,Rupiah,Konsumsi,1590129.49799
JAWA TIMUR,Kab. Sumenep,2020,,Rupiah,Modal Kerja,2246638.472634
JAWA TIMUR,Kab. Sumenep,2020,,Rupiah,Investasi,375127.797888
JAWA TIMUR,Kab. Sumenep,2020,,Rupiah,Konsumsi,1617341.676427
JAWA TIMUR,Kab. Sumenep,2021,,Rupiah,Modal Kerja,2108889.720307
JAWA TIMUR,Kab. Sumenep,2021,,Rupiah,Investasi,490225.041095
JAWA TIMUR,Kab. Sumenep,2021,,Rupiah,Konsumsi,2190662.451947
JAWA TIMUR,Kab. Sumenep,2022,,Rupiah,Modal Kerja,2281022.728609
JAWA TIMUR,Kab. Sumenep,2022,,Rupiah,Investasi,608870.942304
JAWA TIMUR,Kab. Sumenep,2022,,Rupiah,Konsumsi,2406276.568971
JAWA TIMUR,Kab. Sumenep,2023,Mar,Rupiah,Modal Kerja,2300368.199301
JAWA TIMUR,Kab. Sumenep,2023,Mar,Rupiah,Investasi,678473.065398
JAWA TIMUR,Kab. Sumenep,2023,Mar,Rupiah,Konsumsi,2383420.490056
JAWA TIMUR,Kab. Sumenep,2023,Apr,Rupiah,Modal Kerja,2319780.940491
JAWA TIMUR,Kab. Sumenep,2023,Apr,Rupiah,Investasi,682288.208185
JAWA TIMUR,Kab. Sumenep,2023,Apr,Rupiah,Konsumsi,2361378.195056
JAWA TIMUR,Kab. Sumenep,2023,May,Rupiah,Modal Kerja,2319159.968272
JAWA TIMUR,Kab. Sumenep,2023,May,Rupiah,Investasi,705612.614991
JAWA TIMUR,Kab. Sumenep,2023,May,Rupiah,Konsumsi,2364695.266398
JAWA TIMUR,Kab. Sumenep,2023,Jun,Rupiah,Modal Kerja,2314009.908496
JAWA TIMUR,Kab. Sumenep,2023,Jun,Rupiah,Investasi,712250.947635
JAWA TIMUR,Kab. Sumenep,2023,Jun,Rupiah,Konsumsi,2375387.421437
JAWA TIMUR,Kab. Sumenep,2023,Jul,Rupiah,Modal Kerja,2299052.162121
JAWA TIMUR,Kab. Sumenep,2023,Jul,Rupiah,Investasi,716840.003492
JAWA TIMUR,Kab. Sumenep,2023,Jul,Rupiah,Konsumsi,2397248.932232
JAWA TIMUR,Kab. Sumenep,2023,Aug,Rupiah,Modal Kerja,2329538.544412
JAWA TIMUR,Kab. Sumenep,2023,Aug,Rupiah,Investasi,723177.124502
JAWA TIMUR,Kab. Sumenep,2023,Aug,Rupiah,Konsumsi,2417692.250036
JAWA TIMUR,Kab. Sumenep,2023,Sep,Rupiah,Modal Kerja,2323346.220925
JAWA TIMUR,Kab. Sumenep,2023,Sep,Rupiah,Investasi,725449.322595
JAWA TIMUR,Kab. Sumenep,2023,Sep,Rupiah,Konsumsi,2435514.940744
JAWA TIMUR,Kab. Sumenep,2023,Oct,Rupiah,Modal Kerja,2317973.497966
JAWA TIMUR,Kab. Sumenep,2023,Oct,Rupiah,Investasi,735527.606451
JAWA TIMUR,Kab. Sumenep,2023,Oct,Rupiah,Konsumsi,2456081.673101
JAWA TIMUR,Kab. Sumenep,2023,Nov,Rupiah,Modal Kerja,2345926.913201
JAWA TIMUR,Kab. Sumenep,2023,Nov,Rupiah,Investasi,745126.055591
JAWA TIMUR,Kab. Sumenep,2023,Nov,Rupiah,Konsumsi,2473870.024357
JAWA TIMUR,Kab. Sumenep,2023,Dec,Rupiah,Modal Kerja,2371921.609094
JAWA TIMUR,Kab. Sumenep,2023,Dec,Rupiah,Investasi,760757.57633
JAWA TIMUR,Kab. Sumenep,2023,Dec,Rupiah,Konsumsi,2509320.212402
JAWA TIMUR,Kab. Sumenep,2024,Jan,Rupiah,Modal Kerja,2369693.553093
JAWA TIMUR,Kab. Sumenep,2024,Jan,Rupiah,Investasi,768176.213436
JAWA TIMUR,Kab. Sumenep,2024,Jan,Rupiah,Konsumsi,2524930.006328
JAWA TIMUR,Kab. Sumenep,2024,Feb,Rupiah,Modal Kerja,2381879.074826
JAWA TIMUR,Kab. Sumenep,2024,Feb,Rupiah,Investasi,776335.709515
JAWA TIMUR,Kab. Sumenep,2024,Feb,Rupiah,Konsumsi,2546559.302664
JAWA TIMUR,Kab. Sumenep,2024,Mar,Rupiah,Modal Kerja,2397427.233896
JAWA TIMUR,Kab. Sumenep,2024,Mar,Rupiah,Investasi,787508.225432
JAWA TIMUR,Kab. Sumenep,2024,Mar,Rupiah,Konsumsi,2572668.183262
JAWA TIMUR,Kab. Bangkalan,2018,,Rupiah,Modal Kerja,1961325.714327
JAWA TIMUR,Kab. Bangkalan,2018,,Rupiah,Investasi,250039.344946
JAWA TIMUR,Kab. Bangkalan,2018,,Rupiah,Konsumsi,1877403.609678
JAWA TIMUR,Kab. Bangkalan,2019,,Rupiah,Modal Kerja,1993309.783907
JAWA TIMUR,Kab. Bangkalan,2019,,Rupiah,Investasi,334088.836664
JAWA TIMUR,Kab. Bangkalan,2019,,Rupiah,Konsumsi,2075365.2892
JAWA TIMUR,Kab. Bangkalan,2020,,Rupiah,Modal Kerja,2022268.329449
JAWA TIMUR,Kab. Bangkalan,2020,,Rupiah,Investasi,320150.027641
JAWA TIMUR,Kab. Bangkalan,2020,,Rupiah,Konsumsi,2021705.906454
JAWA TIMUR,Kab. Bangkalan,2021,,Rupiah,Modal Kerja,2191988.275842
JAWA TIMUR,Kab. Bangkalan,2021,,Rupiah,Investasi,297509.853905
JAWA TIMUR,Kab. Bangkalan,2021,,Rupiah,Konsumsi,2213152.985413
JAWA TIMUR,Kab. Bangkalan,2022,,Rupiah,Modal Kerja,2297549.65163
JAWA TIMUR,Kab. Bangkalan,2022,,Rupiah,Investasi,363789.473253
JAWA TIMUR,Kab. Bangkalan,2022,,Rupiah,Konsumsi,2402716.540022
JAWA TIMUR,Kab. Bangkalan,2023,Mar,Rupiah,Modal Kerja,2331299.752934
JAWA TIMUR,Kab. Bangkalan,2023,Mar,Rupiah,Investasi,440599.522823
JAWA TIMUR,Kab. Bangkalan,2023,Mar,Rupiah,Konsumsi,2422271.980885
JAWA TIMUR,Kab. Bangkalan,2023,Apr,Rupiah,Modal Kerja,2364797.030746
JAWA TIMUR,Kab. Bangkalan,2023,Apr,Rupiah,Investasi,455927.954376
JAWA TIMUR,Kab. Bangkalan,2023,Apr,Rupiah,Konsumsi,2428179.17174
JAWA TIMUR,Kab. Bangkalan,2023,May,Rupiah,Modal Kerja,2358053.161362
JAWA TIMUR,Kab. Bangkalan,2023,May,Rupiah,Investasi,467198.215414
JAWA TIMUR,Kab. Bangkalan,2023,May,Rupiah,Konsumsi,2442855.312075
JAWA TIMUR,Kab. Bangkalan,2023,Jun,Rupiah,Modal Kerja,2377990.043862
JAWA TIMUR,Kab. Bangkalan,2023,Jun,Rupiah,Investasi,475874.054109
JAWA TIMUR,Kab. Bangkalan,2023,Jun,Rupiah,Konsumsi,2436369.977576
JAWA TIMUR,Kab. Bangkalan,2023,Jul,Rupiah,Modal Kerja,3186794.931586
JAWA TIMUR,Kab. Bangkalan,2023,Jul,Rupiah,Investasi,483061.137649
JAWA TIMUR,Kab. Bangkalan,2023,Jul,Rupiah,Konsumsi,2452375.707076
JAWA TIMUR,Kab. Bangkalan,2023,Aug,Rupiah,Modal Kerja,3214814.224241
JAWA TIMUR,Kab. Bangkalan,2023,Aug,Rupiah,Investasi,492240.738517
