Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
KALIMANTAN BARAT,Kab. Pontianak,2018,,Rupiah,Modal Kerja,2849407.234185
KALIMANTAN BARAT,Kab. Pontianak,2018,,Rupiah,Investasi,3845340.368087
KALIMANTAN BARAT,Kab. Pontianak,2018,,Rupiah,Konsumsi,3258759.804712
KALIMANTAN BARAT,Kab. Pontianak,2019,,Rupiah,Modal Kerja,2667622.528618
KALIMANTAN BARAT,Kab. Pontianak,2019,,Rupiah,Investasi,3159645.649238
KALIMANTAN BARAT,Kab. Pontianak,2019,,Rupiah,Konsumsi,3218499.060065
KALIMANTAN BARAT,Kab. Pontianak,2020,,Rupiah,Modal Kerja,3028593.443995
KALIMANTAN BARAT,Kab. Pontianak,2020,,Rupiah,Investasi,1698757.172368
KALIMANTAN BARAT,Kab. Pontianak,2020,,Rupiah,Konsumsi,3378805.556711
KALIMANTAN BARAT,Kab. Pontianak,2021,,Rupiah,Modal Kerja,3811877.618492
KALIMANTAN BARAT,Kab. Pontianak,2021,,Rupiah,Investasi,838605.148799
KALIMANTAN BARAT,Kab. Pontianak,2021,,Rupiah,Konsumsi,3117949.056095
KALIMANTAN BARAT,Kab. Pontianak,2022,,Rupiah,Modal Kerja,1519138.976064
KALIMANTAN BARAT,Kab. Pontianak,2022,,Rupiah,Investasi,684604.047023
KALIMANTAN BARAT,Kab. Pontianak,2022,,Rupiah,Konsumsi,3090318.942522
KALIMANTAN BARAT,Kab. Pontianak,2023,Mar,Rupiah,Modal Kerja,1586733.28109
KALIMANTAN BARAT,Kab. Pontianak,2023,Mar,Rupiah,Investasi,717345.944233
KALIMANTAN BARAT,Kab. Pontianak,2023,Mar,Rupiah,Konsumsi,3082469.432002
KALIMANTAN BARAT,Kab. Pontianak,2023,Apr,Rupiah,Modal Kerja,1543627.429735
KALIMANTAN BARAT,Kab. Pontianak,2023,Apr,Rupiah,Investasi,700642.936886
KALIMANTAN BARAT,Kab. Pontianak,2023,Apr,Rupiah,Konsumsi,3085438.973744
KALIMANTAN BARAT,Kab. Pontianak,2023,May,Rupiah,Modal Kerja,1563585.488559
KALIMANTAN BARAT,Kab. Pontianak,2023,May,Rupiah,Investasi,709425.753122
KALIMANTAN BARAT,Kab. Pontianak,2023,May,Rupiah,Konsumsi,3193978.772075
KALIMANTAN BARAT,Kab. Pontianak,2023,Jun,Rupiah,Modal Kerja,1573193.321884
KALIMANTAN BARAT,Kab. Pontianak,2023,Jun,Rupiah,Investasi,715676.445793
KALIMANTAN BARAT,Kab. Pontianak,2023,Jun,Rupiah,Konsumsi,3195328.640894
KALIMANTAN BARAT,Kab. Pontianak,2023,Jul,Rupiah,Modal Kerja,1524888.13427
KALIMANTAN BARAT,Kab. Pontianak,2023,Jul,Rupiah,Investasi,800552.633146
KALIMANTAN BARAT,Kab. Pontianak,2023,Jul,Rupiah,Konsumsi,3207528.957662
