Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
KALIMANTAN TENGAH,Kab. Kapuas,2018,,Rupiah,Modal Kerja,1139435.689822
KALIMANTAN TENGAH,Kab. Kapuas,2018,,Rupiah,Investasi,1248432.24766
KALIMANTAN TENGAH,Kab. Kapuas,2018,,Rupiah,Konsumsi,1165939.203023
KALIMANTAN TENGAH,Kab. Kapuas,2019,,Rupiah,Modal Kerja,766255.172369
KALIMANTAN TENGAH,Kab. Kapuas,2019,,Rupiah,Investasi,1515193.212838
KALIMANTAN TENGAH,Kab. Kapuas,2019,,Rupiah,Konsumsi,1351158.384403
KALIMANTAN TENGAH,Kab. Kapuas,2020,,Rupiah,Modal Kerja,765490.793899
KALIMANTAN TENGAH,Kab. Kapuas,2020,,Rupiah,Investasi,1209118.129492
KALIMANTAN TENGAH,Kab. Kapuas,2020,,Rupiah,Konsumsi,1312956.018524
KALIMANTAN TENGAH,Kab. Kapuas,2021,,Rupiah,Modal Kerja,893606.747819
KALIMANTAN TENGAH,Kab. Kapuas,2021,,Rupiah,Investasi,1012032.075045
KALIMANTAN TENGAH,Kab. Kapuas,2021,,Rupiah,Konsumsi,1349512.189445
KALIMANTAN TENGAH,Kab. Kapuas,2022,,Rupiah,Modal Kerja,1000617.052651
KALIMANTAN TENGAH,Kab. Kapuas,2022,,Rupiah,Investasi,602105.714542
KALIMANTAN TENGAH,Kab. Kapuas,2022,,Rupiah,Konsumsi,1393816.595829
KALIMANTAN TENGAH,Kab. Kapuas,2023,Mar,Rupiah,Modal Kerja,1023811.982466
KALIMANTAN TENGAH,Kab. Kapuas,2023,Mar,Rupiah,Investasi,545001.362591
KALIMANTAN TENGAH,Kab. Kapuas,2023,Mar,Rupiah,Konsumsi,1401770.715906
KALIMANTAN TENGAH,Kab. Kapuas,2023,Apr,Rupiah,Modal Kerja,1033387.847603
KALIMANTAN TENGAH,Kab. Kapuas,2023,Apr,Rupiah,Investasi,539376.232533
KALIMANTAN TENGAH,Kab. Kapuas,2023,Apr,Rupiah,Konsumsi,1402879.159318
KALIMANTAN TENGAH,Kab. Kapuas,2023,May,Rupiah,Modal Kerja,1046814.042218
KALIMANTAN TENGAH,Kab. Kapuas,2023,May,Rupiah,Investasi,957451.017895
KALIMANTAN TENGAH,Kab. Kapuas,2023,May,Rupiah,Konsumsi,1411232.147299
KALIMANTAN TENGAH,Kab. Kapuas,2023,Jun,Rupiah,Modal Kerja,1072950.723346
KALIMANTAN TENGAH,Kab. Kapuas,2023,Jun,Rupiah,Investasi,952872.706889
KALIMANTAN TENGAH,Kab. Kapuas,2023,Jun,Rupiah,Konsumsi,1422921.334607
KALIMANTAN TENGAH,Kab. Kapuas,2023,Jul,Rupiah,Modal Kerja,1091268.353512
KALIMANTAN TENGAH,Kab. Kapuas,2023,Jul,Rupiah,Investasi,1430608.021205
KALIMANTAN TENGAH,Kab. Kapuas,2023,Jul,Rupiah,Konsumsi,1428531.433861
KALIMANTAN TENGAH,Kab. Kapuas,2023,Aug,Rupiah,Modal Kerja,1054285.645016
KALIMANTAN TENGAH,Kab. Kapuas,2023,Aug,Rupiah,Investasi,1547095.906211
KALIMANTAN TENGAH,Kab. Kapuas,2023,Aug,Rupiah,Konsumsi,1432321.675256
KALIMANTAN TENGAH,Kab. Kapuas,2023,Sep,Rupiah,Modal Kerja,1090260.738626
KALIMANTAN TENGAH,Kab. Kapuas,2023,Sep,Rupiah,Investasi,1538571.826538
KALIMANTAN TENGAH,Kab. Kapuas,2023,Sep,Rupiah,Konsumsi,1444942.897255
KALIMANTAN TENGAH,Kab. Kapuas,2023,Oct,Rupiah,Modal Kerja,1101198.25934
KALIMANTAN TENGAH,Kab. Kapuas,2023,Oct,Rupiah,Investasi,1515250.975797
KALIMANTAN TENGAH,Kab. Kapuas,2023,Oct,Rupiah,Konsumsi,1456399.774745
KALIMANTAN TENGAH,Kab. Kapuas,2023,Nov,Rupiah,Modal Kerja,1095477.533476
KALIMANTAN TENGAH,Kab. Kapuas,2023,Nov,Rupiah,Investasi,1491985.7384
KALIMANTAN TENGAH,Kab. Kapuas,2023,Nov,Rupiah,Konsumsi,1461213.142928
KALIMANTAN TENGAH,Kab. Kapuas,2023,Dec,Rupiah,Modal Kerja,1148275.497119
KALIMANTAN TENGAH,Kab. Kapuas,2023,Dec,Rupiah,Investasi,1612128.328105
KALIMANTAN TENGAH,Kab. Kapuas,2023,Dec,Rupiah,Konsumsi,1476647.910603
KALIMANTAN TENGAH,Kab. Kapuas,2024,Jan,Rupiah,Modal Kerja,1270246.971177
KALIMANTAN TENGAH,Kab. Kapuas,2024,Jan,Rupiah,Investasi,1581221.306354
KALIMANTAN TENGAH,Kab. Kapuas,2024,Jan,Rupiah,Konsumsi,1481067.59105
KALIMANTAN TENGAH,Kab. Kapuas,2024,Feb,Rupiah,Modal Kerja,1379813.36717
KALIMANTAN TENGAH,Kab. Kapuas,2024,Feb,Rupiah,Investasi,1543424.089343
