Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
KEPULAUAN RIAU,Kab. Lingga,2019,,Giro,294806.922432,816
KEPULAUAN RIAU,Kab. Lingga,2019,,Simpanan Berjangka,268377.602137,1140
KEPULAUAN RIAU,Kab. Lingga,2019,,Tabungan,607420.054748,49161
KEPULAUAN RIAU,Kab. Lingga,2020,,Giro,274711.259937,657
KEPULAUAN RIAU,Kab. Lingga,2020,,Simpanan Berjangka,226951.288614,915
KEPULAUAN RIAU,Kab. Lingga,2020,,Tabungan,526256.656078,42941
KEPULAUAN RIAU,Kab. Lingga,2021,,Giro,240872.829922,703
KEPULAUAN RIAU,Kab. Lingga,2021,,Simpanan Berjangka,212227.005344,829
KEPULAUAN RIAU,Kab. Lingga,2021,,Tabungan,524246.308946,44506
KEPULAUAN RIAU,Kab. Lingga,2022,,Giro,152817.418243,390
KEPULAUAN RIAU,Kab. Lingga,2022,,Simpanan Berjangka,77668.628144,520
KEPULAUAN RIAU,Kab. Lingga,2022,,Tabungan,245149.840959,31038
KEPULAUAN RIAU,Kab. Lingga,2023,,Giro,30668.437098,454
KEPULAUAN RIAU,Kab. Lingga,2023,,Simpanan Berjangka,67833.292492,449
KEPULAUAN RIAU,Kab. Lingga,2023,,Tabungan,406846.143908,96876
KEPULAUAN RIAU,Kab. Lingga,2023,Mar,Giro,177521.592173,503
KEPULAUAN RIAU,Kab. Lingga,2023,Mar,Simpanan Berjangka,75920.668164,489
KEPULAUAN RIAU,Kab. Lingga,2023,Mar,Tabungan,344358.759145,88923
KEPULAUAN RIAU,Kab. Lingga,2023,Apr,Giro,132802.024629,506
KEPULAUAN RIAU,Kab. Lingga,2023,Apr,Simpanan Berjangka,75178.940689,482
KEPULAUAN RIAU,Kab. Lingga,2023,Apr,Tabungan,375383.044792,91382
KEPULAUAN RIAU,Kab. Lingga,2023,May,Giro,138487.628331,560
KEPULAUAN RIAU,Kab. Lingga,2023,May,Simpanan Berjangka,75489.694237,485
KEPULAUAN RIAU,Kab. Lingga,2023,May,Tabungan,357799.492906,90063
KEPULAUAN RIAU,Kab. Lingga,2023,Jun,Giro,138378.104383,513
KEPULAUAN RIAU,Kab. Lingga,2023,Jun,Simpanan Berjangka,72853.843736,476
KEPULAUAN RIAU,Kab. Lingga,2023,Jun,Tabungan,378699.184946,91444
KEPULAUAN RIAU,Kab. Lingga,2023,Jul,Giro,141780.552358,505
KEPULAUAN RIAU,Kab. Lingga,2023,Jul,Simpanan Berjangka,75439.437497,474
KEPULAUAN RIAU,Kab. Lingga,2023,Jul,Tabungan,369049.532946,91833
KEPULAUAN RIAU,Kab. Lingga,2023,Aug,Giro,210481.147466,504
KEPULAUAN RIAU,Kab. Lingga,2023,Aug,Simpanan Berjangka,69503.247103,473
KEPULAUAN RIAU,Kab. Lingga,2023,Aug,Tabungan,366678.03192,93015
KEPULAUAN RIAU,Kab. Lingga,2023,Sep,Giro,186996.853317,500
KEPULAUAN RIAU,Kab. Lingga,2023,Sep,Simpanan Berjangka,69014.552153,468
KEPULAUAN RIAU,Kab. Lingga,2023,Sep,Tabungan,363067.715615,93306
KEPULAUAN RIAU,Kab. Lingga,2023,Oct,Giro,227816.474343,500
KEPULAUAN RIAU,Kab. Lingga,2023,Oct,Simpanan Berjangka,68728.23017,453
KEPULAUAN RIAU,Kab. Lingga,2023,Oct,Tabungan,357653.048379,96374
KEPULAUAN RIAU,Kab. Lingga,2023,Nov,Giro,179350.060572,504
KEPULAUAN RIAU,Kab. Lingga,2023,Nov,Simpanan Berjangka,68354.801371,452
KEPULAUAN RIAU,Kab. Lingga,2023,Nov,Tabungan,368403.006815,96113
KEPULAUAN RIAU,Kab. Lingga,2023,Dec,Giro,30668.437098,454
KEPULAUAN RIAU,Kab. Lingga,2023,Dec,Simpanan Berjangka,67833.292492,449
KEPULAUAN RIAU,Kab. Lingga,2023,Dec,Tabungan,406846.143908,96876
KEPULAUAN RIAU,Kab. Lingga,2024,Jan,Giro,79531.272057,467
KEPULAUAN RIAU,Kab. Lingga,2024,Jan,Simpanan Berjangka,66712.130053,442
KEPULAUAN RIAU,Kab. Lingga,2024,Jan,Tabungan,386932.358912,99192
KEPULAUAN RIAU,Kab. Lingga,2024,Feb,Giro,96316.516293,488
KEPULAUAN RIAU,Kab. Lingga,2024,Feb,Simpanan Berjangka,66372.652729,434
KEPULAUAN RIAU,Kab. Lingga,2024,Feb,Tabungan,362345.972825,97664
KEPULAUAN RIAU,Kab. Lingga,2024,Mar,Giro,110102.310723,509
KEPULAUAN RIAU,Kab. Lingga,2024,Mar,Simpanan Berjangka,67360.678505,435
KEPULAUAN RIAU,Kab. Lingga,2024,Mar,Tabungan,353998.51419,98506
KEPULAUAN RIAU,Kab. Natuna,2019,,Giro,277585.775593,1562
KEPULAUAN RIAU,Kab. Natuna,2019,,Simpanan Berjangka,171105.339069,714
KEPULAUAN RIAU,Kab. Natuna,2019,,Tabungan,549951.465787,87779
KEPULAUAN RIAU,Kab. Natuna,2020,,Giro,36600.419124,1682
KEPULAUAN RIAU,Kab. Natuna,2020,,Simpanan Berjangka,196464.716793,789
KEPULAUAN RIAU,Kab. Natuna,2020,,Tabungan,558747.98369,104061
KEPULAUAN RIAU,Kab. Natuna,2021,,Giro,122506.117105,1643
KEPULAUAN RIAU,Kab. Natuna,2021,,Simpanan Berjangka,169744.522498,674
KEPULAUAN RIAU,Kab. Natuna,2021,,Tabungan,559905.654057,118037
KEPULAUAN RIAU,Kab. Natuna,2022,,Giro,77352.037932,1533
KEPULAUAN RIAU,Kab. Natuna,2022,,Simpanan Berjangka,132168.925013,506
KEPULAUAN RIAU,Kab. Natuna,2022,,Tabungan,617057.89431,112163
KEPULAUAN RIAU,Kab. Natuna,2023,,Giro,271261.942252,1795
KEPULAUAN RIAU,Kab. Natuna,2023,,Simpanan Berjangka,127630.335094,547
KEPULAUAN RIAU,Kab. Natuna,2023,,Tabungan,757383.787961,153870
KEPULAUAN RIAU,Kab. Natuna,2023,Mar,Giro,150228.042867,1886
KEPULAUAN RIAU,Kab. Natuna,2023,Mar,Simpanan Berjangka,133459.988964,510
KEPULAUAN RIAU,Kab. Natuna,2023,Mar,Tabungan,628994.742391,143237
KEPULAUAN RIAU,Kab. Natuna,2023,Apr,Giro,127401.469299,1877
KEPULAUAN RIAU,Kab. Natuna,2023,Apr,Simpanan Berjangka,131408.285039,508
KEPULAUAN RIAU,Kab. Natuna,2023,Apr,Tabungan,646118.418661,145417
KEPULAUAN RIAU,Kab. Natuna,2023,May,Giro,139423.196383,2080
KEPULAUAN RIAU,Kab. Natuna,2023,May,Simpanan Berjangka,128798.794006,500
KEPULAUAN RIAU,Kab. Natuna,2023,May,Tabungan,649923.078707,146220
KEPULAUAN RIAU,Kab. Natuna,2023,Jun,Giro,103163.779278,1889
KEPULAUAN RIAU,Kab. Natuna,2023,Jun,Simpanan Berjangka,128245.978894,501
KEPULAUAN RIAU,Kab. Natuna,2023,Jun,Tabungan,670911.299209,147196
KEPULAUAN RIAU,Kab. Natuna,2023,Jul,Giro,229881.351151,1925
KEPULAUAN RIAU,Kab. Natuna,2023,Jul,Simpanan Berjangka,128021.317857,503
KEPULAUAN RIAU,Kab. Natuna,2023,Jul,Tabungan,656203.791629,148304
KEPULAUAN RIAU,Kab. Natuna,2023,Aug,Giro,181755.374901,1921
KEPULAUAN RIAU,Kab. Natuna,2023,Aug,Simpanan Berjangka,125165.077278,508
KEPULAUAN RIAU,Kab. Natuna,2023,Aug,Tabungan,647978.073052,149197
KEPULAUAN RIAU,Kab. Natuna,2023,Sep,Giro,162530.920161,1926
KEPULAUAN RIAU,Kab. Natuna,2023,Sep,Simpanan Berjangka,167058.416407,509
KEPULAUAN RIAU,Kab. Natuna,2023,Sep,Tabungan,631253.398444,149561
KEPULAUAN RIAU,Kab. Natuna,2023,Oct,Giro,230734.29956,1929
KEPULAUAN RIAU,Kab. Natuna,2023,Oct,Simpanan Berjangka,145590.625027,536
KEPULAUAN RIAU,Kab. Natuna,2023,Oct,Tabungan,664230.682737,150848
KEPULAUAN RIAU,Kab. Natuna,2023,Nov,Giro,177575.107748,1929
KEPULAUAN RIAU,Kab. Natuna,2023,Nov,Simpanan Berjangka,119936.327525,525
KEPULAUAN RIAU,Kab. Natuna,2023,Nov,Tabungan,689754.20712,152862
KEPULAUAN RIAU,Kab. Natuna,2023,Dec,Giro,271261.942252,1795
KEPULAUAN RIAU,Kab. Natuna,2023,Dec,Simpanan Berjangka,127630.335094,547
KEPULAUAN RIAU,Kab. Natuna,2023,Dec,Tabungan,757383.787961,153870
KEPULAUAN RIAU,Kab. Natuna,2024,Jan,Giro,220441.455206,1880
KEPULAUAN RIAU,Kab. Natuna,2024,Jan,Simpanan Berjangka,132946.459825,554
KEPULAUAN RIAU,Kab. Natuna,2024,Jan,Tabungan,723163.449853,154903
KEPULAUAN RIAU,Kab. Natuna,2024,Feb,Giro,211898.608668,1954
KEPULAUAN RIAU,Kab. Natuna,2024,Feb,Simpanan Berjangka,209166.597642,550
KEPULAUAN RIAU,Kab. Natuna,2024,Feb,Tabungan,687757.165688,155580
KEPULAUAN RIAU,Kab. Natuna,2024,Mar,Giro,206545.326353,1964
KEPULAUAN RIAU,Kab. Natuna,2024,Mar,Simpanan Berjangka,204381.868946,547
KEPULAUAN RIAU,Kab. Natuna,2024,Mar,Tabungan,731208.301025,156795
KEPULAUAN RIAU,Kab. Anambas,2019,,Giro,20.390749,2
KEPULAUAN RIAU,Kab. Anambas,2019,,Simpanan Berjangka,8478.054161,38
KEPULAUAN RIAU,Kab. Anambas,2019,,Tabungan,28180.30489,4786
KEPULAUAN RIAU,Kab. Anambas,2020,,Giro,19.756875,2
KEPULAUAN RIAU,Kab. Anambas,2020,,Simpanan Berjangka,8534.896836,32
KEPULAUAN RIAU,Kab. Anambas,2020,,Tabungan,26494.085774,5097
KEPULAUAN RIAU,Kab. Anambas,2021,,Giro,2854.158915,171
KEPULAUAN RIAU,Kab. Anambas,2021,,Simpanan Berjangka,50028.275468,175
KEPULAUAN RIAU,Kab. Anambas,2021,,Tabungan,159400.223623,18292
KEPULAUAN RIAU,Kab. Anambas,2022,,Giro,2661.048263,211
