Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
LAMPUNG,Kab. Lampung Selatan,2018,,Rupiah,Modal Kerja,5460309.527503
LAMPUNG,Kab. Lampung Selatan,2018,,Rupiah,Investasi,6487264.410802
LAMPUNG,Kab. Lampung Selatan,2018,,Rupiah,Konsumsi,2934826.079825
LAMPUNG,Kab. Lampung Selatan,2019,,Rupiah,Modal Kerja,5842988.554787
LAMPUNG,Kab. Lampung Selatan,2019,,Rupiah,Investasi,8373877.887289
LAMPUNG,Kab. Lampung Selatan,2019,,Rupiah,Konsumsi,3204429.475466
LAMPUNG,Kab. Lampung Selatan,2020,,Rupiah,Modal Kerja,4840167.12274
LAMPUNG,Kab. Lampung Selatan,2020,,Rupiah,Investasi,5150507.254706
LAMPUNG,Kab. Lampung Selatan,2020,,Rupiah,Konsumsi,3222950.512228
LAMPUNG,Kab. Lampung Selatan,2021,,Rupiah,Modal Kerja,5059119.395027
LAMPUNG,Kab. Lampung Selatan,2021,,Rupiah,Investasi,4929790.504147
LAMPUNG,Kab. Lampung Selatan,2021,,Rupiah,Konsumsi,3511183.820633
LAMPUNG,Kab. Lampung Selatan,2022,,Rupiah,Modal Kerja,5269401.792888
LAMPUNG,Kab. Lampung Selatan,2022,,Rupiah,Investasi,5119080.510478
LAMPUNG,Kab. Lampung Selatan,2022,,Rupiah,Konsumsi,3880004.078683
LAMPUNG,Kab. Lampung Selatan,2023,Mar,Rupiah,Modal Kerja,5215997.528146
LAMPUNG,Kab. Lampung Selatan,2023,Mar,Rupiah,Investasi,5123087.454591
LAMPUNG,Kab. Lampung Selatan,2023,Mar,Rupiah,Konsumsi,3970353.22834
LAMPUNG,Kab. Lampung Selatan,2023,Apr,Rupiah,Modal Kerja,5035221.755762
LAMPUNG,Kab. Lampung Selatan,2023,Apr,Rupiah,Investasi,5129576.907593
LAMPUNG,Kab. Lampung Selatan,2023,Apr,Rupiah,Konsumsi,3991117.348677
LAMPUNG,Kab. Lampung Selatan,2023,May,Rupiah,Modal Kerja,5023119.68672
LAMPUNG,Kab. Lampung Selatan,2023,May,Rupiah,Investasi,5123725.257134
LAMPUNG,Kab. Lampung Selatan,2023,May,Rupiah,Konsumsi,4022199.487093
LAMPUNG,Kab. Lampung Selatan,2023,Jun,Rupiah,Modal Kerja,5209588.94904
LAMPUNG,Kab. Lampung Selatan,2023,Jun,Rupiah,Investasi,7101495.02537
LAMPUNG,Kab. Lampung Selatan,2023,Jun,Rupiah,Konsumsi,4045430.42891
LAMPUNG,Kab. Lampung Selatan,2023,Jul,Rupiah,Modal Kerja,4789395.601719
LAMPUNG,Kab. Lampung Selatan,2023,Jul,Rupiah,Investasi,1530690.464915
LAMPUNG,Kab. Lampung Selatan,2023,Jul,Rupiah,Konsumsi,4075663.886987
LAMPUNG,Kab. Lampung Selatan,2023,Aug,Rupiah,Modal Kerja,4618077.071407
LAMPUNG,Kab. Lampung Selatan,2023,Aug,Rupiah,Investasi,1555709.609061
LAMPUNG,Kab. Lampung Selatan,2023,Aug,Rupiah,Konsumsi,4116809.069812
LAMPUNG,Kab. Lampung Selatan,2023,Sep,Rupiah,Modal Kerja,4863618.233821
LAMPUNG,Kab. Lampung Selatan,2023,Sep,Rupiah,Investasi,1517952.402144
LAMPUNG,Kab. Lampung Selatan,2023,Sep,Rupiah,Konsumsi,4108942.105513
LAMPUNG,Kab. Lampung Selatan,2023,Oct,Rupiah,Modal Kerja,4858858.38839
LAMPUNG,Kab. Lampung Selatan,2023,Oct,Rupiah,Investasi,2104092.454428
LAMPUNG,Kab. Lampung Selatan,2023,Oct,Rupiah,Konsumsi,4149109.11885
LAMPUNG,Kab. Lampung Selatan,2023,Nov,Rupiah,Modal Kerja,5231867.030037
LAMPUNG,Kab. Lampung Selatan,2023,Nov,Rupiah,Investasi,2113096.239722
LAMPUNG,Kab. Lampung Selatan,2023,Nov,Rupiah,Konsumsi,4156654.444253
LAMPUNG,Kab. Lampung Selatan,2023,Dec,Rupiah,Modal Kerja,5228269.115274
LAMPUNG,Kab. Lampung Selatan,2023,Dec,Rupiah,Investasi,2077715.393383
LAMPUNG,Kab. Lampung Selatan,2023,Dec,Rupiah,Konsumsi,4178827.345542
