Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
MALUKU UTARA,Kab. Kepulauan Sula,2018,,Rupiah,Modal Kerja,103802.139569
MALUKU UTARA,Kab. Kepulauan Sula,2018,,Rupiah,Investasi,10070.193234
MALUKU UTARA,Kab. Kepulauan Sula,2018,,Rupiah,Konsumsi,359080.403713
MALUKU UTARA,Kab. Kepulauan Sula,2019,,Rupiah,Modal Kerja,118608.936415
MALUKU UTARA,Kab. Kepulauan Sula,2019,,Rupiah,Investasi,12214.433622
MALUKU UTARA,Kab. Kepulauan Sula,2019,,Rupiah,Konsumsi,419008.151628
MALUKU UTARA,Kab. Kepulauan Sula,2020,,Rupiah,Modal Kerja,122293.511835
MALUKU UTARA,Kab. Kepulauan Sula,2020,,Rupiah,Investasi,8142.918295
MALUKU UTARA,Kab. Kepulauan Sula,2020,,Rupiah,Konsumsi,456703.33178
MALUKU UTARA,Kab. Kepulauan Sula,2021,,Rupiah,Modal Kerja,155671.238306
MALUKU UTARA,Kab. Kepulauan Sula,2021,,Rupiah,Investasi,9694.430749
MALUKU UTARA,Kab. Kepulauan Sula,2021,,Rupiah,Konsumsi,501368.696311
MALUKU UTARA,Kab. Kepulauan Sula,2022,,Rupiah,Modal Kerja,225370.092285
MALUKU UTARA,Kab. Kepulauan Sula,2022,,Rupiah,Investasi,253955.434114
MALUKU UTARA,Kab. Kepulauan Sula,2022,,Rupiah,Konsumsi,544528.771163
MALUKU UTARA,Kab. Kepulauan Sula,2023,Mar,Rupiah,Modal Kerja,226243.800633
MALUKU UTARA,Kab. Kepulauan Sula,2023,Mar,Rupiah,Investasi,377451.91879
MALUKU UTARA,Kab. Kepulauan Sula,2023,Mar,Rupiah,Konsumsi,559816.554415
MALUKU UTARA,Kab. Kepulauan Sula,2023,Apr,Rupiah,Modal Kerja,232134.018868
MALUKU UTARA,Kab. Kepulauan Sula,2023,Apr,Rupiah,Investasi,377891.927254
MALUKU UTARA,Kab. Kepulauan Sula,2023,Apr,Rupiah,Konsumsi,560946.764638
MALUKU UTARA,Kab. Kepulauan Sula,2023,May,Rupiah,Modal Kerja,231998.05616
MALUKU UTARA,Kab. Kepulauan Sula,2023,May,Rupiah,Investasi,397659.131848
MALUKU UTARA,Kab. Kepulauan Sula,2023,May,Rupiah,Konsumsi,571053.475249
MALUKU UTARA,Kab. Kepulauan Sula,2023,Jun,Rupiah,Modal Kerja,229467.120571
MALUKU UTARA,Kab. Kepulauan Sula,2023,Jun,Rupiah,Investasi,411486.945149
MALUKU UTARA,Kab. Kepulauan Sula,2023,Jun,Rupiah,Konsumsi,574626.860105
MALUKU UTARA,Kab. Kepulauan Sula,2023,Jul,Rupiah,Modal Kerja,231637.280615
MALUKU UTARA,Kab. Kepulauan Sula,2023,Jul,Rupiah,Investasi,418893.395394
MALUKU UTARA,Kab. Kepulauan Sula,2023,Jul,Rupiah,Konsumsi,574767.251981
MALUKU UTARA,Kab. Kepulauan Sula,2023,Aug,Rupiah,Modal Kerja,233118.587937
MALUKU UTARA,Kab. Kepulauan Sula,2023,Aug,Rupiah,Investasi,442300.213486
MALUKU UTARA,Kab. Kepulauan Sula,2023,Aug,Rupiah,Konsumsi,578389.892536
MALUKU UTARA,Kab. Kepulauan Sula,2023,Sep,Rupiah,Modal Kerja,230939.457109
MALUKU UTARA,Kab. Kepulauan Sula,2023,Sep,Rupiah,Investasi,512103.60816
MALUKU UTARA,Kab. Kepulauan Sula,2023,Sep,Rupiah,Konsumsi,579396.996405
MALUKU UTARA,Kab. Kepulauan Sula,2023,Oct,Rupiah,Modal Kerja,233856.680073
MALUKU UTARA,Kab. Kepulauan Sula,2023,Oct,Rupiah,Investasi,507345.337116
MALUKU UTARA,Kab. Kepulauan Sula,2023,Oct,Rupiah,Konsumsi,582927.565858
MALUKU UTARA,Kab. Kepulauan Sula,2023,Nov,Rupiah,Modal Kerja,237896.264217
MALUKU UTARA,Kab. Kepulauan Sula,2023,Nov,Rupiah,Investasi,502228.486492
MALUKU UTARA,Kab. Kepulauan Sula,2023,Nov,Rupiah,Konsumsi,583448.807666
MALUKU UTARA,Kab. Kepulauan Sula,2023,Dec,Rupiah,Modal Kerja,244551.666955
MALUKU UTARA,Kab. Kepulauan Sula,2023,Dec,Rupiah,Investasi,498375.08514
MALUKU UTARA,Kab. Kepulauan Sula,2023,Dec,Rupiah,Konsumsi,587407.786093
MALUKU UTARA,Kab. Kepulauan Sula,2024,Jan,Rupiah,Modal Kerja,242743.512534
MALUKU UTARA,Kab. Kepulauan Sula,2024,Jan,Rupiah,Investasi,493656.780725
MALUKU UTARA,Kab. Kepulauan Sula,2024,Jan,Rupiah,Konsumsi,591482.777627
MALUKU UTARA,Kab. Kepulauan Sula,2024,Feb,Rupiah,Modal Kerja,243095.214719
MALUKU UTARA,Kab. Kepulauan Sula,2024,Feb,Rupiah,Investasi,486136.904284
MALUKU UTARA,Kab. Kepulauan Sula,2024,Feb,Rupiah,Konsumsi,598510.718497
MALUKU UTARA,Kab. Kepulauan Sula,2024,Mar,Rupiah,Modal Kerja,245519.019203
MALUKU UTARA,Kab. Kepulauan Sula,2024,Mar,Rupiah,Investasi,479172.346307
MALUKU UTARA,Kab. Kepulauan Sula,2024,Mar,Rupiah,Konsumsi,604595.112899
MALUKU UTARA,Kab. Halmahera Tengah,2018,,Rupiah,Modal Kerja,144033.206233
MALUKU UTARA,Kab. Halmahera Tengah,2018,,Rupiah,Investasi,56713.209028
MALUKU UTARA,Kab. Halmahera Tengah,2018,,Rupiah,Konsumsi,480892.152294
MALUKU UTARA,Kab. Halmahera Tengah,2019,,Rupiah,Modal Kerja,156585.645195
MALUKU UTARA,Kab. Halmahera Tengah,2019,,Rupiah,Investasi,42129.763704
MALUKU UTARA,Kab. Halmahera Tengah,2019,,Rupiah,Konsumsi,545365.562123
MALUKU UTARA,Kab. Halmahera Tengah,2020,,Rupiah,Modal Kerja,204368.951223
MALUKU UTARA,Kab. Halmahera Tengah,2020,,Rupiah,Investasi,144787.483091
MALUKU UTARA,Kab. Halmahera Tengah,2020,,Rupiah,Konsumsi,624880.814135
MALUKU UTARA,Kab. Halmahera Tengah,2021,,Rupiah,Modal Kerja,293600.524869
MALUKU UTARA,Kab. Halmahera Tengah,2021,,Rupiah,Investasi,128665.039181
MALUKU UTARA,Kab. Halmahera Tengah,2021,,Rupiah,Konsumsi,715322.372122
MALUKU UTARA,Kab. Halmahera Tengah,2022,,Rupiah,Modal Kerja,451354.784783
MALUKU UTARA,Kab. Halmahera Tengah,2022,,Rupiah,Investasi,159712.770876
MALUKU UTARA,Kab. Halmahera Tengah,2022,,Rupiah,Konsumsi,772757.164722
MALUKU UTARA,Kab. Halmahera Tengah,2023,Mar,Rupiah,Modal Kerja,455179.671061
MALUKU UTARA,Kab. Halmahera Tengah,2023,Mar,Rupiah,Investasi,180929.316165
MALUKU UTARA,Kab. Halmahera Tengah,2023,Mar,Rupiah,Konsumsi,627980.009637
MALUKU UTARA,Kab. Halmahera Tengah,2023,Apr,Rupiah,Modal Kerja,458457.962371
MALUKU UTARA,Kab. Halmahera Tengah,2023,Apr,Rupiah,Investasi,180568.2563
MALUKU UTARA,Kab. Halmahera Tengah,2023,Apr,Rupiah,Konsumsi,805700.095714
MALUKU UTARA,Kab. Halmahera Tengah,2023,May,Rupiah,Modal Kerja,462967.044394
MALUKU UTARA,Kab. Halmahera Tengah,2023,May,Rupiah,Investasi,203941.594405
MALUKU UTARA,Kab. Halmahera Tengah,2023,May,Rupiah,Konsumsi,821040.468708
MALUKU UTARA,Kab. Halmahera Tengah,2023,Jun,Rupiah,Modal Kerja,470318.692433
MALUKU UTARA,Kab. Halmahera Tengah,2023,Jun,Rupiah,Investasi,200780.941796
MALUKU UTARA,Kab. Halmahera Tengah,2023,Jun,Rupiah,Konsumsi,832675.898521
MALUKU UTARA,Kab. Halmahera Tengah,2023,Jul,Rupiah,Modal Kerja,481611.306945
MALUKU UTARA,Kab. Halmahera Tengah,2023,Jul,Rupiah,Investasi,197552.373612
MALUKU UTARA,Kab. Halmahera Tengah,2023,Jul,Rupiah,Konsumsi,845020.909222
MALUKU UTARA,Kab. Halmahera Tengah,2023,Aug,Rupiah,Modal Kerja,488262.444541
MALUKU UTARA,Kab. Halmahera Tengah,2023,Aug,Rupiah,Investasi,219057.163842
MALUKU UTARA,Kab. Halmahera Tengah,2023,Aug,Rupiah,Konsumsi,867440.051571
MALUKU UTARA,Kab. Halmahera Tengah,2023,Sep,Rupiah,Modal Kerja,510724.659978
MALUKU UTARA,Kab. Halmahera Tengah,2023,Sep,Rupiah,Investasi,232298.144659
MALUKU UTARA,Kab. Halmahera Tengah,2023,Sep,Rupiah,Konsumsi,923349.912986
MALUKU UTARA,Kab. Halmahera Tengah,2023,Oct,Rupiah,Modal Kerja,513926.784347
MALUKU UTARA,Kab. Halmahera Tengah,2023,Oct,Rupiah,Investasi,285893.89385
MALUKU UTARA,Kab. Halmahera Tengah,2023,Oct,Rupiah,Konsumsi,936398.495815
MALUKU UTARA,Kab. Halmahera Tengah,2023,Nov,Rupiah,Modal Kerja,527571.853183
MALUKU UTARA,Kab. Halmahera Tengah,2023,Nov,Rupiah,Investasi,371434.815419
MALUKU UTARA,Kab. Halmahera Tengah,2023,Nov,Rupiah,Konsumsi,958429.760337
MALUKU UTARA,Kab. Halmahera Tengah,2023,Dec,Rupiah,Modal Kerja,555675.366419
MALUKU UTARA,Kab. Halmahera Tengah,2023,Dec,Rupiah,Investasi,366402.617012
MALUKU UTARA,Kab. Halmahera Tengah,2023,Dec,Rupiah,Konsumsi,981124.100368
MALUKU UTARA,Kab. Halmahera Tengah,2024,Jan,Rupiah,Modal Kerja,559436.243745
MALUKU UTARA,Kab. Halmahera Tengah,2024,Jan,Rupiah,Investasi,391618.081938
MALUKU UTARA,Kab. Halmahera Tengah,2024,Jan,Rupiah,Konsumsi,989977.71153
MALUKU UTARA,Kab. Halmahera Tengah,2024,Feb,Rupiah,Modal Kerja,583219.206689
MALUKU UTARA,Kab. Halmahera Tengah,2024,Feb,Rupiah,Investasi,389478.323025
MALUKU UTARA,Kab. Halmahera Tengah,2024,Feb,Rupiah,Konsumsi,1001242.071438
MALUKU UTARA,Kab. Halmahera Tengah,2024,Mar,Rupiah,Modal Kerja,586489.211128
MALUKU UTARA,Kab. Halmahera Tengah,2024,Mar,Rupiah,Investasi,390589.081858
MALUKU UTARA,Kab. Halmahera Tengah,2024,Mar,Rupiah,Konsumsi,1019984.446813
MALUKU UTARA,Kab. Halmahera Utara,2018,,Rupiah,Modal Kerja,401481.031008
MALUKU UTARA,Kab. Halmahera Utara,2018,,Rupiah,Investasi,85730.949244
MALUKU UTARA,Kab. Halmahera Utara,2018,,Rupiah,Konsumsi,597260.537961
MALUKU UTARA,Kab. Halmahera Utara,2019,,Rupiah,Modal Kerja,269299.5337
MALUKU UTARA,Kab. Halmahera Utara,2019,,Rupiah,Investasi,102223.069024
MALUKU UTARA,Kab. Halmahera Utara,2019,,Rupiah,Konsumsi,817462.042843
MALUKU UTARA,Kab. Halmahera Utara,2020,,Rupiah,Modal Kerja,296481.407737
MALUKU UTARA,Kab. Halmahera Utara,2020,,Rupiah,Investasi,51491.029322
MALUKU UTARA,Kab. Halmahera Utara,2020,,Rupiah,Konsumsi,967667.388642
MALUKU UTARA,Kab. Halmahera Utara,2021,,Rupiah,Modal Kerja,356923.429286
MALUKU UTARA,Kab. Halmahera Utara,2021,,Rupiah,Investasi,53267.746276
MALUKU UTARA,Kab. Halmahera Utara,2021,,Rupiah,Konsumsi,1088107.397978
MALUKU UTARA,Kab. Halmahera Utara,2022,,Rupiah,Modal Kerja,582323.160882
MALUKU UTARA,Kab. Halmahera Utara,2022,,Rupiah,Investasi,580980.578146
MALUKU UTARA,Kab. Halmahera Utara,2022,,Rupiah,Konsumsi,1839864.449051
MALUKU UTARA,Kab. Halmahera Utara,2023,Mar,Rupiah,Modal Kerja,593756.557803
MALUKU UTARA,Kab. Halmahera Utara,2023,Mar,Rupiah,Investasi,643988.841414
MALUKU UTARA,Kab. Halmahera Utara,2023,Mar,Rupiah,Konsumsi,1942977.844875
MALUKU UTARA,Kab. Halmahera Utara,2023,Apr,Rupiah,Modal Kerja,600399.17529
MALUKU UTARA,Kab. Halmahera Utara,2023,Apr,Rupiah,Investasi,659811.996708
MALUKU UTARA,Kab. Halmahera Utara,2023,Apr,Rupiah,Konsumsi,1984862.854267
MALUKU UTARA,Kab. Halmahera Utara,2023,May,Rupiah,Modal Kerja,605724.104828
MALUKU UTARA,Kab. Halmahera Utara,2023,May,Rupiah,Investasi,675228.023033
MALUKU UTARA,Kab. Halmahera Utara,2023,May,Rupiah,Konsumsi,1992927.464516
MALUKU UTARA,Kab. Halmahera Utara,2023,Jun,Rupiah,Modal Kerja,605293.36074
MALUKU UTARA,Kab. Halmahera Utara,2023,Jun,Rupiah,Investasi,683296.626694
MALUKU UTARA,Kab. Halmahera Utara,2023,Jun,Rupiah,Konsumsi,2003224.407159
MALUKU UTARA,Kab. Halmahera Utara,2023,Jul,Rupiah,Modal Kerja,612442.931199
MALUKU UTARA,Kab. Halmahera Utara,2023,Jul,Rupiah,Investasi,686321.146438
MALUKU UTARA,Kab. Halmahera Utara,2023,Jul,Rupiah,Konsumsi,1965597.599888
MALUKU UTARA,Kab. Halmahera Utara,2023,Aug,Rupiah,Modal Kerja,617436.63024
MALUKU UTARA,Kab. Halmahera Utara,2023,Aug,Rupiah,Investasi,698623.173574
MALUKU UTARA,Kab. Halmahera Utara,2023,Aug,Rupiah,Konsumsi,1972190.381373
MALUKU UTARA,Kab. Halmahera Utara,2023,Sep,Rupiah,Modal Kerja,618048.882423
MALUKU UTARA,Kab. Halmahera Utara,2023,Sep,Rupiah,Investasi,706347.772938
MALUKU UTARA,Kab. Halmahera Utara,2023,Sep,Rupiah,Konsumsi,1978832.191601
MALUKU UTARA,Kab. Halmahera Utara,2023,Oct,Rupiah,Modal Kerja,623457.572587
MALUKU UTARA,Kab. Halmahera Utara,2023,Oct,Rupiah,Investasi,731843.783694
MALUKU UTARA,Kab. Halmahera Utara,2023,Oct,Rupiah,Konsumsi,1992547.22404
MALUKU UTARA,Kab. Halmahera Utara,2023,Nov,Rupiah,Modal Kerja,622334.13854
MALUKU UTARA,Kab. Halmahera Utara,2023,Nov,Rupiah,Investasi,749380.124884
MALUKU UTARA,Kab. Halmahera Utara,2023,Nov,Rupiah,Konsumsi,2010132.361449
MALUKU UTARA,Kab. Halmahera Utara,2023,Dec,Rupiah,Modal Kerja,620402.260563
MALUKU UTARA,Kab. Halmahera Utara,2023,Dec,Rupiah,Investasi,767602.195154
MALUKU UTARA,Kab. Halmahera Utara,2023,Dec,Rupiah,Konsumsi,2018348.094959
MALUKU UTARA,Kab. Halmahera Utara,2024,Jan,Rupiah,Modal Kerja,622099.210269
MALUKU UTARA,Kab. Halmahera Utara,2024,Jan,Rupiah,Investasi,784009.884946
MALUKU UTARA,Kab. Halmahera Utara,2024,Jan,Rupiah,Konsumsi,2019385.417263
MALUKU UTARA,Kab. Halmahera Utara,2024,Feb,Rupiah,Modal Kerja,638665.629063
MALUKU UTARA,Kab. Halmahera Utara,2024,Feb,Rupiah,Investasi,789124.383411
MALUKU UTARA,Kab. Halmahera Utara,2024,Feb,Rupiah,Konsumsi,2020286.930167
MALUKU UTARA,Kab. Halmahera Utara,2024,Mar,Rupiah,Modal Kerja,642832.65748
