Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
NUSA TENGGARA TIMUR,Kab. Nagekeo,2019,,Giro,105427.564002,1018
NUSA TENGGARA TIMUR,Kab. Nagekeo,2019,,Simpanan Berjangka,63395.613218,278
NUSA TENGGARA TIMUR,Kab. Nagekeo,2019,,Tabungan,171927.159855,57829
NUSA TENGGARA TIMUR,Kab. Nagekeo,2020,,Giro,116499.382725,922
NUSA TENGGARA TIMUR,Kab. Nagekeo,2020,,Simpanan Berjangka,65710.342072,285
NUSA TENGGARA TIMUR,Kab. Nagekeo,2020,,Tabungan,178211.923822,63912
NUSA TENGGARA TIMUR,Kab. Nagekeo,2021,,Giro,75026.351094,777
NUSA TENGGARA TIMUR,Kab. Nagekeo,2021,,Simpanan Berjangka,19920.432721,267
NUSA TENGGARA TIMUR,Kab. Nagekeo,2021,,Tabungan,189125.287811,61389
NUSA TENGGARA TIMUR,Kab. Nagekeo,2022,,Giro,45629.471769,719
NUSA TENGGARA TIMUR,Kab. Nagekeo,2022,,Simpanan Berjangka,33373.28799,337
NUSA TENGGARA TIMUR,Kab. Nagekeo,2022,,Tabungan,233232.489557,64621
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,,Giro,68751.491591,677
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,,Simpanan Berjangka,29930.183604,321
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,,Tabungan,211477.092208,67573
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Mar,Giro,99495.788826,749
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Mar,Simpanan Berjangka,38469.170684,354
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Mar,Tabungan,167303.373708,64709
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Apr,Giro,120288.189374,737
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Apr,Simpanan Berjangka,39579.714657,343
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Apr,Tabungan,168823.776729,64759
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,May,Giro,82552.551503,841
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,May,Simpanan Berjangka,39419.249998,344
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,May,Tabungan,170548.760318,65057
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Jun,Giro,52893.2124,741
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Jun,Simpanan Berjangka,45963.820259,350
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Jun,Tabungan,173726.925224,65462
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Jul,Giro,91454.024945,789
NUSA TENGGARA TIMUR,Kab. Nagekeo,2023,Jul,Simpanan Berjangka,45611.532825,332
