Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
SULAWESI TENGAH,Kab. Donggala,2019,,Giro,361493.425101,1680
SULAWESI TENGAH,Kab. Donggala,2019,,Simpanan Berjangka,163338.541499,575
SULAWESI TENGAH,Kab. Donggala,2019,,Tabungan,617642.118781,238500
SULAWESI TENGAH,Kab. Donggala,2020,,Giro,99333.026629,1788
SULAWESI TENGAH,Kab. Donggala,2020,,Simpanan Berjangka,183679.959973,598
SULAWESI TENGAH,Kab. Donggala,2020,,Tabungan,805015.345387,313084
SULAWESI TENGAH,Kab. Donggala,2021,,Giro,121501.589881,2206
SULAWESI TENGAH,Kab. Donggala,2021,,Simpanan Berjangka,166834.543008,535
SULAWESI TENGAH,Kab. Donggala,2021,,Tabungan,756471.139524,344633
SULAWESI TENGAH,Kab. Donggala,2022,,Giro,94287.71513,1556
SULAWESI TENGAH,Kab. Donggala,2022,,Simpanan Berjangka,77264.182228,280
SULAWESI TENGAH,Kab. Donggala,2022,,Tabungan,700005.096787,267453
SULAWESI TENGAH,Kab. Donggala,2023,,Giro,284218.98199,3527
SULAWESI TENGAH,Kab. Donggala,2023,,Simpanan Berjangka,476684.711635,1656
SULAWESI TENGAH,Kab. Donggala,2023,,Tabungan,2321665.945319,794935
SULAWESI TENGAH,Kab. Donggala,2023,Mar,Giro,367688.975892,3526
SULAWESI TENGAH,Kab. Donggala,2023,Mar,Simpanan Berjangka,389105.912422,1632
SULAWESI TENGAH,Kab. Donggala,2023,Mar,Tabungan,2121025.233846,725008
SULAWESI TENGAH,Kab. Donggala,2023,Apr,Giro,322018.195262,3531
SULAWESI TENGAH,Kab. Donggala,2023,Apr,Simpanan Berjangka,422795.741205,1685
SULAWESI TENGAH,Kab. Donggala,2023,Apr,Tabungan,2210987.323984,737430
SULAWESI TENGAH,Kab. Donggala,2023,May,Giro,323079.753844,4721
SULAWESI TENGAH,Kab. Donggala,2023,May,Simpanan Berjangka,414629.530719,1672
SULAWESI TENGAH,Kab. Donggala,2023,May,Tabungan,2222711.625916,737602
SULAWESI TENGAH,Kab. Donggala,2023,Jun,Giro,362074.559113,3571
SULAWESI TENGAH,Kab. Donggala,2023,Jun,Simpanan Berjangka,422570.541371,1656
SULAWESI TENGAH,Kab. Donggala,2023,Jun,Tabungan,2267004.27685,743447
SULAWESI TENGAH,Kab. Donggala,2023,Jul,Giro,320871.288939,3590
SULAWESI TENGAH,Kab. Donggala,2023,Jul,Simpanan Berjangka,404437.766617,1609
SULAWESI TENGAH,Kab. Donggala,2023,Jul,Tabungan,2313319.954653,747252
SULAWESI TENGAH,Kab. Donggala,2023,Aug,Giro,363919.430374,3562
SULAWESI TENGAH,Kab. Donggala,2023,Aug,Simpanan Berjangka,407765.327459,1648
SULAWESI TENGAH,Kab. Donggala,2023,Aug,Tabungan,2302613.201638,753350
SULAWESI TENGAH,Kab. Donggala,2023,Sep,Giro,369813.497438,3558
SULAWESI TENGAH,Kab. Donggala,2023,Sep,Simpanan Berjangka,414915.515026,1643
SULAWESI TENGAH,Kab. Donggala,2023,Sep,Tabungan,2242851.224232,759335
SULAWESI TENGAH,Kab. Donggala,2023,Oct,Giro,462289.08367,3568
SULAWESI TENGAH,Kab. Donggala,2023,Oct,Simpanan Berjangka,418141.110545,1651
SULAWESI TENGAH,Kab. Donggala,2023,Oct,Tabungan,2224156.028257,774029
SULAWESI TENGAH,Kab. Donggala,2023,Nov,Giro,371445.495466,3612
SULAWESI TENGAH,Kab. Donggala,2023,Nov,Simpanan Berjangka,427818.55943,1656
SULAWESI TENGAH,Kab. Donggala,2023,Nov,Tabungan,2345050.300232,780687
SULAWESI TENGAH,Kab. Donggala,2023,Dec,Giro,284218.98199,3527
SULAWESI TENGAH,Kab. Donggala,2023,Dec,Simpanan Berjangka,476684.711635,1656
SULAWESI TENGAH,Kab. Donggala,2023,Dec,Tabungan,2321665.945319,794935
SULAWESI TENGAH,Kab. Donggala,2024,Jan,Giro,319446.423192,3887
SULAWESI TENGAH,Kab. Donggala,2024,Jan,Simpanan Berjangka,500569.473739,1678
SULAWESI TENGAH,Kab. Donggala,2024,Jan,Tabungan,2275372.406448,804071
SULAWESI TENGAH,Kab. Donggala,2024,Feb,Giro,358898.18238,3893
SULAWESI TENGAH,Kab. Donggala,2024,Feb,Simpanan Berjangka,521139.578659,1684
SULAWESI TENGAH,Kab. Donggala,2024,Feb,Tabungan,2251693.153711,801349
SULAWESI TENGAH,Kab. Donggala,2024,Mar,Giro,410838.623768,3923
SULAWESI TENGAH,Kab. Donggala,2024,Mar,Simpanan Berjangka,519709.488186,1698
SULAWESI TENGAH,Kab. Donggala,2024,Mar,Tabungan,2271201.748025,806344
SULAWESI TENGAH,Kab. Poso,2019,,Giro,475777.391545,3290
SULAWESI TENGAH,Kab. Poso,2019,,Simpanan Berjangka,543074.258637,2000
SULAWESI TENGAH,Kab. Poso,2019,,Tabungan,1557931.331831,379909
SULAWESI TENGAH,Kab. Poso,2020,,Giro,301137.849126,3323
SULAWESI TENGAH,Kab. Poso,2020,,Simpanan Berjangka,527633.728641,2109
SULAWESI TENGAH,Kab. Poso,2020,,Tabungan,1793616.167759,457861
SULAWESI TENGAH,Kab. Poso,2021,,Giro,360662.063987,3552
SULAWESI TENGAH,Kab. Poso,2021,,Simpanan Berjangka,404184.877498,1940
SULAWESI TENGAH,Kab. Poso,2021,,Tabungan,2022238.768926,593773
SULAWESI TENGAH,Kab. Poso,2022,,Giro,479917.053822,3521
SULAWESI TENGAH,Kab. Poso,2022,,Simpanan Berjangka,689063.857279,2876
SULAWESI TENGAH,Kab. Poso,2022,,Tabungan,2165054.914196,537781
SULAWESI TENGAH,Kab. Poso,2023,,Giro,245982.251868,1471
