Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
BANGKA BELITUNG,Kab. Bangka,2019,,Giro,525788.211886,2641
BANGKA BELITUNG,Kab. Bangka,2019,,Simpanan Berjangka,1505096.804391,7820
BANGKA BELITUNG,Kab. Bangka,2019,,Tabungan,2310976.725093,400092
BANGKA BELITUNG,Kab. Bangka,2020,,Giro,547924.509249,2503
BANGKA BELITUNG,Kab. Bangka,2020,,Simpanan Berjangka,1531709.759235,7667
BANGKA BELITUNG,Kab. Bangka,2020,,Tabungan,2482084.692772,488753
BANGKA BELITUNG,Kab. Bangka,2021,,Giro,729647.325055,3015
BANGKA BELITUNG,Kab. Bangka,2021,,Simpanan Berjangka,1553270.08154,7337
BANGKA BELITUNG,Kab. Bangka,2021,,Tabungan,3256001.665679,561095
BANGKA BELITUNG,Kab. Bangka,2022,,Giro,759513.594556,2396
BANGKA BELITUNG,Kab. Bangka,2022,,Simpanan Berjangka,1451343.336919,6503
BANGKA BELITUNG,Kab. Bangka,2022,,Tabungan,3204207.193362,504900
BANGKA BELITUNG,Kab. Bangka,2023,,Giro,1073044.705397,3256
BANGKA BELITUNG,Kab. Bangka,2023,,Simpanan Berjangka,1950222.701591,7149
BANGKA BELITUNG,Kab. Bangka,2023,,Tabungan,3061081.900897,474051
BANGKA BELITUNG,Kab. Bangka,2023,Mar,Giro,661874.64373,2360
BANGKA BELITUNG,Kab. Bangka,2023,Mar,Simpanan Berjangka,1549174.408138,6355
BANGKA BELITUNG,Kab. Bangka,2023,Mar,Tabungan,2617681.091425,410573
BANGKA BELITUNG,Kab. Bangka,2023,Apr,Giro,610134.087938,2321
BANGKA BELITUNG,Kab. Bangka,2023,Apr,Simpanan Berjangka,1495614.61374,6303
BANGKA BELITUNG,Kab. Bangka,2023,Apr,Tabungan,2653017.939658,413357
BANGKA BELITUNG,Kab. Bangka,2023,May,Giro,520009.832728,3018
BANGKA BELITUNG,Kab. Bangka,2023,May,Simpanan Berjangka,1510879.114532,6257
BANGKA BELITUNG,Kab. Bangka,2023,May,Tabungan,2645153.232803,413327
BANGKA BELITUNG,Kab. Bangka,2023,Jun,Giro,517900.864197,2301
BANGKA BELITUNG,Kab. Bangka,2023,Jun,Simpanan Berjangka,1465086.510364,6212
BANGKA BELITUNG,Kab. Bangka,2023,Jun,Tabungan,2646399.401664,415084
BANGKA BELITUNG,Kab. Bangka,2023,Jul,Giro,563132.384244,2429
BANGKA BELITUNG,Kab. Bangka,2023,Jul,Simpanan Berjangka,1428596.184976,6225
BANGKA BELITUNG,Kab. Bangka,2023,Jul,Tabungan,2675474.956893,417859
BANGKA BELITUNG,Kab. Bangka,2023,Aug,Giro,547315.741526,2359
BANGKA BELITUNG,Kab. Bangka,2023,Aug,Simpanan Berjangka,1463219.467328,6212
BANGKA BELITUNG,Kab. Bangka,2023,Aug,Tabungan,2652453.999583,420702
BANGKA BELITUNG,Kab. Bangka,2023,Sep,Giro,521146.634528,2344
BANGKA BELITUNG,Kab. Bangka,2023,Sep,Simpanan Berjangka,1442640.378057,6204
BANGKA BELITUNG,Kab. Bangka,2023,Sep,Tabungan,2645451.841707,421104
BANGKA BELITUNG,Kab. Bangka,2023,Oct,Giro,1269439.992073,3652
BANGKA BELITUNG,Kab. Bangka,2023,Oct,Simpanan Berjangka,2225829.140923,7223
BANGKA BELITUNG,Kab. Bangka,2023,Oct,Tabungan,3003436.504632,468886
BANGKA BELITUNG,Kab. Bangka,2023,Nov,Giro,1020995.593034,3609
BANGKA BELITUNG,Kab. Bangka,2023,Nov,Simpanan Berjangka,2201083.969125,7198
BANGKA BELITUNG,Kab. Bangka,2023,Nov,Tabungan,3049210.732274,472045
BANGKA BELITUNG,Kab. Bangka,2023,Dec,Giro,1073044.705397,3256
BANGKA BELITUNG,Kab. Bangka,2023,Dec,Simpanan Berjangka,1950222.701591,7149
BANGKA BELITUNG,Kab. Bangka,2023,Dec,Tabungan,3061081.900897,474051
BANGKA BELITUNG,Kab. Bangka,2024,Jan,Giro,634319.299541,2424
