Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
BANGKA BELITUNG,Kab. Bangka,2018,,Rupiah,Modal Kerja,1361339.049019
BANGKA BELITUNG,Kab. Bangka,2018,,Rupiah,Investasi,624974.983943
BANGKA BELITUNG,Kab. Bangka,2018,,Rupiah,Konsumsi,1884543.832403
BANGKA BELITUNG,Kab. Bangka,2019,,Rupiah,Modal Kerja,2778820.473778
BANGKA BELITUNG,Kab. Bangka,2019,,Rupiah,Investasi,913464.073317
BANGKA BELITUNG,Kab. Bangka,2019,,Rupiah,Konsumsi,2010013.400891
BANGKA BELITUNG,Kab. Bangka,2020,,Rupiah,Modal Kerja,1459894.448181
BANGKA BELITUNG,Kab. Bangka,2020,,Rupiah,Investasi,873387.124108
BANGKA BELITUNG,Kab. Bangka,2020,,Rupiah,Konsumsi,1947892.177634
BANGKA BELITUNG,Kab. Bangka,2021,,Rupiah,Modal Kerja,1479172.357676
BANGKA BELITUNG,Kab. Bangka,2021,,Rupiah,Investasi,770726.472177
BANGKA BELITUNG,Kab. Bangka,2021,,Rupiah,Konsumsi,1879929.542582
BANGKA BELITUNG,Kab. Bangka,2022,,Rupiah,Modal Kerja,1558689.008663
BANGKA BELITUNG,Kab. Bangka,2022,,Rupiah,Investasi,963815.630631
BANGKA BELITUNG,Kab. Bangka,2022,,Rupiah,Konsumsi,1972355.199852
BANGKA BELITUNG,Kab. Bangka,2023,Mar,Rupiah,Modal Kerja,1613141.456051
BANGKA BELITUNG,Kab. Bangka,2023,Mar,Rupiah,Investasi,988789.83568
BANGKA BELITUNG,Kab. Bangka,2023,Mar,Rupiah,Konsumsi,1976307.175304
BANGKA BELITUNG,Kab. Bangka,2023,Apr,Rupiah,Modal Kerja,1645674.913288
BANGKA BELITUNG,Kab. Bangka,2023,Apr,Rupiah,Investasi,992710.156221
BANGKA BELITUNG,Kab. Bangka,2023,Apr,Rupiah,Konsumsi,1966116.549652
BANGKA BELITUNG,Kab. Bangka,2023,May,Rupiah,Modal Kerja,1676073.703948
BANGKA BELITUNG,Kab. Bangka,2023,May,Rupiah,Investasi,997980.49253
BANGKA BELITUNG,Kab. Bangka,2023,May,Rupiah,Konsumsi,1983119.498742
BANGKA BELITUNG,Kab. Bangka,2023,Jun,Rupiah,Modal Kerja,1647537.406912
BANGKA BELITUNG,Kab. Bangka,2023,Jun,Rupiah,Investasi,999013.279504
BANGKA BELITUNG,Kab. Bangka,2023,Jun,Rupiah,Konsumsi,1985787.206279
BANGKA BELITUNG,Kab. Bangka,2023,Jul,Rupiah,Modal Kerja,1665511.895296
BANGKA BELITUNG,Kab. Bangka,2023,Jul,Rupiah,Investasi,997153.003595
BANGKA BELITUNG,Kab. Bangka,2023,Jul,Rupiah,Konsumsi,1998280.444083
BANGKA BELITUNG,Kab. Bangka,2023,Aug,Rupiah,Modal Kerja,1809717.207079
BANGKA BELITUNG,Kab. Bangka,2023,Aug,Rupiah,Investasi,1031884.088464
BANGKA BELITUNG,Kab. Bangka,2023,Aug,Rupiah,Konsumsi,1998411.9079
