Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
BENGKULU,Kab. Bengkulu Selatan,2019,,Giro,58089.350655,1293
BENGKULU,Kab. Bengkulu Selatan,2019,,Simpanan Berjangka,187970.242827,1340
BENGKULU,Kab. Bengkulu Selatan,2019,,Tabungan,983979.397492,384392
BENGKULU,Kab. Bengkulu Selatan,2020,,Giro,27132.455854,1289
BENGKULU,Kab. Bengkulu Selatan,2020,,Simpanan Berjangka,244859.355197,1459
BENGKULU,Kab. Bengkulu Selatan,2020,,Tabungan,1130763.222544,474489
BENGKULU,Kab. Bengkulu Selatan,2021,,Giro,94928.286923,1344
BENGKULU,Kab. Bengkulu Selatan,2021,,Simpanan Berjangka,233027.69915,1560
BENGKULU,Kab. Bengkulu Selatan,2021,,Tabungan,1319440.049487,562606
BENGKULU,Kab. Bengkulu Selatan,2022,,Giro,94798.703389,1361
BENGKULU,Kab. Bengkulu Selatan,2022,,Simpanan Berjangka,187207.760261,1333
BENGKULU,Kab. Bengkulu Selatan,2022,,Tabungan,1386567.258165,462716
BENGKULU,Kab. Bengkulu Selatan,2023,,Giro,85943.338752,1195
BENGKULU,Kab. Bengkulu Selatan,2023,,Simpanan Berjangka,206090.396301,1376
BENGKULU,Kab. Bengkulu Selatan,2023,,Tabungan,864445.48355,262094
BENGKULU,Kab. Bengkulu Selatan,2023,Mar,Giro,71331.498597,1331
BENGKULU,Kab. Bengkulu Selatan,2023,Mar,Simpanan Berjangka,222756.561554,1355
BENGKULU,Kab. Bengkulu Selatan,2023,Mar,Tabungan,791133.193295,246599
BENGKULU,Kab. Bengkulu Selatan,2023,Apr,Giro,133839.938545,1193
BENGKULU,Kab. Bengkulu Selatan,2023,Apr,Simpanan Berjangka,223651.313192,1352
BENGKULU,Kab. Bengkulu Selatan,2023,Apr,Tabungan,820356.608131,249783
BENGKULU,Kab. Bengkulu Selatan,2023,May,Giro,103279.737253,2091
BENGKULU,Kab. Bengkulu Selatan,2023,May,Simpanan Berjangka,223059.788161,1365
BENGKULU,Kab. Bengkulu Selatan,2023,May,Tabungan,818568.768513,250907
BENGKULU,Kab. Bengkulu Selatan,2023,Jun,Giro,33906.34079,1189
BENGKULU,Kab. Bengkulu Selatan,2023,Jun,Simpanan Berjangka,215559.561959,1345
BENGKULU,Kab. Bengkulu Selatan,2023,Jun,Tabungan,862934.853375,254657
BENGKULU,Kab. Bengkulu Selatan,2023,Jul,Giro,81847.554583,1200
BENGKULU,Kab. Bengkulu Selatan,2023,Jul,Simpanan Berjangka,205430.63482,1352
BENGKULU,Kab. Bengkulu Selatan,2023,Jul,Tabungan,871505.729355,254088
BENGKULU,Kab. Bengkulu Selatan,2023,Aug,Giro,103934.706901,1220
BENGKULU,Kab. Bengkulu Selatan,2023,Aug,Simpanan Berjangka,227983.178606,1376
BENGKULU,Kab. Bengkulu Selatan,2023,Aug,Tabungan,848782.731308,251336
BENGKULU,Kab. Bengkulu Selatan,2023,Sep,Giro,70916.24538,1238
BENGKULU,Kab. Bengkulu Selatan,2023,Sep,Simpanan Berjangka,232238.33224,1366
BENGKULU,Kab. Bengkulu Selatan,2023,Sep,Tabungan,827649.407943,253117
BENGKULU,Kab. Bengkulu Selatan,2023,Oct,Giro,156097.259327,1332
BENGKULU,Kab. Bengkulu Selatan,2023,Oct,Simpanan Berjangka,223009.62606,1408
BENGKULU,Kab. Bengkulu Selatan,2023,Oct,Tabungan,810628.13559,260838
BENGKULU,Kab. Bengkulu Selatan,2023,Nov,Giro,93855.71108,1309
BENGKULU,Kab. Bengkulu Selatan,2023,Nov,Simpanan Berjangka,222710.194491,1382
BENGKULU,Kab. Bengkulu Selatan,2023,Nov,Tabungan,834522.826963,259009
BENGKULU,Kab. Bengkulu Selatan,2023,Dec,Giro,85943.338752,1195
BENGKULU,Kab. Bengkulu Selatan,2023,Dec,Simpanan Berjangka,206090.396301,1376
BENGKULU,Kab. Bengkulu Selatan,2023,Dec,Tabungan,864445.48355,262094
BENGKULU,Kab. Bengkulu Selatan,2024,Jan,Giro,102534.280311,1262
BENGKULU,Kab. Bengkulu Selatan,2024,Jan,Simpanan Berjangka,203022.157037,1359
BENGKULU,Kab. Bengkulu Selatan,2024,Jan,Tabungan,808139.837623,267587
BENGKULU,Kab. Bengkulu Selatan,2024,Feb,Giro,138251.362489,1220
BENGKULU,Kab. Bengkulu Selatan,2024,Feb,Simpanan Berjangka,200960.503681,1350
BENGKULU,Kab. Bengkulu Selatan,2024,Feb,Tabungan,778809.957936,268218
BENGKULU,Kab. Bengkulu Selatan,2024,Mar,Giro,133734.064173,1257
BENGKULU,Kab. Bengkulu Selatan,2024,Mar,Simpanan Berjangka,217233.648298,1387
BENGKULU,Kab. Bengkulu Selatan,2024,Mar,Tabungan,816869.605746,271866
BENGKULU,Kab. Bengkulu Utara,2019,,Giro,134278.316515,1844
BENGKULU,Kab. Bengkulu Utara,2019,,Simpanan Berjangka,194667.537122,1141
BENGKULU,Kab. Bengkulu Utara,2019,,Tabungan,1166736.92856,402987
BENGKULU,Kab. Bengkulu Utara,2020,,Giro,102296.059659,1787
BENGKULU,Kab. Bengkulu Utara,2020,,Simpanan Berjangka,221903.265847,1236
BENGKULU,Kab. Bengkulu Utara,2020,,Tabungan,1428392.625266,478176
BENGKULU,Kab. Bengkulu Utara,2021,,Giro,241983.530988,1935
BENGKULU,Kab. Bengkulu Utara,2021,,Simpanan Berjangka,220324.593058,1331
BENGKULU,Kab. Bengkulu Utara,2021,,Tabungan,1860120.514004,545005
BENGKULU,Kab. Bengkulu Utara,2022,,Giro,226679.615165,1866
BENGKULU,Kab. Bengkulu Utara,2022,,Simpanan Berjangka,207744.77101,1210
BENGKULU,Kab. Bengkulu Utara,2022,,Tabungan,1903128.093419,508891
BENGKULU,Kab. Bengkulu Utara,2023,,Giro,175600.032396,1547
BENGKULU,Kab. Bengkulu Utara,2023,,Simpanan Berjangka,221396.944096,1244
BENGKULU,Kab. Bengkulu Utara,2023,,Tabungan,1296143.50056,423936
BENGKULU,Kab. Bengkulu Utara,2023,Mar,Giro,303128.087887,1663
BENGKULU,Kab. Bengkulu Utara,2023,Mar,Simpanan Berjangka,195455.38534,1132
