Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
D,Kab. Bantul,2019,,Giro,511913.776745,2161
D,Kab. Bantul,2019,,Simpanan Berjangka,2067090.979199,21626
D,Kab. Bantul,2019,,Tabungan,4510249.44934,1000067
D,Kab. Bantul,2020,,Giro,545368.600531,2318
D,Kab. Bantul,2020,,Simpanan Berjangka,2148318.365496,22710
D,Kab. Bantul,2020,,Tabungan,4945640.98067,1136123
D,Kab. Bantul,2021,,Giro,537024.195049,2156
D,Kab. Bantul,2021,,Simpanan Berjangka,2157197.439083,22589
D,Kab. Bantul,2021,,Tabungan,5171287.043475,1215310
D,Kab. Bantul,2022,,Giro,602384.396215,2292
D,Kab. Bantul,2022,,Simpanan Berjangka,2247270.23962,21629
D,Kab. Bantul,2022,,Tabungan,5517657.931463,1177877
D,Kab. Bantul,2023,,Giro,570698.959446,2467
D,Kab. Bantul,2023,,Simpanan Berjangka,2407894.944102,22292
D,Kab. Bantul,2023,,Tabungan,5683055.359226,1221082
D,Kab. Bantul,2023,Mar,Giro,600371.857265,2979
D,Kab. Bantul,2023,Mar,Simpanan Berjangka,2386331.826241,21964
D,Kab. Bantul,2023,Mar,Tabungan,5154807.493692,1149539
D,Kab. Bantul,2023,Apr,Giro,563669.683078,2995
D,Kab. Bantul,2023,Apr,Simpanan Berjangka,2438229.283577,21924
D,Kab. Bantul,2023,Apr,Tabungan,5240967.079862,1164142
D,Kab. Bantul,2023,May,Giro,530377.11458,3634
D,Kab. Bantul,2023,May,Simpanan Berjangka,2390035.224822,22042
D,Kab. Bantul,2023,May,Tabungan,5260241.406104,1167355
D,Kab. Bantul,2023,Jun,Giro,477656.863795,3034
D,Kab. Bantul,2023,Jun,Simpanan Berjangka,2359928.160635,22068
D,Kab. Bantul,2023,Jun,Tabungan,5302129.244826,1171000
D,Kab. Bantul,2023,Jul,Giro,634606.000051,3053
D,Kab. Bantul,2023,Jul,Simpanan Berjangka,2400051.830894,21833
D,Kab. Bantul,2023,Jul,Tabungan,5298281.850067,1178086
D,Kab. Bantul,2023,Aug,Giro,658891.457641,3079
D,Kab. Bantul,2023,Aug,Simpanan Berjangka,2459029.460551,22029
D,Kab. Bantul,2023,Aug,Tabungan,5321849.535281,1184634
D,Kab. Bantul,2023,Sep,Giro,677840.107419,3069
D,Kab. Bantul,2023,Sep,Simpanan Berjangka,2451263.67894,22132
D,Kab. Bantul,2023,Sep,Tabungan,5347234.542917,1189606
D,Kab. Bantul,2023,Oct,Giro,639509.274714,3090
D,Kab. Bantul,2023,Oct,Simpanan Berjangka,2595039.543247,22256
D,Kab. Bantul,2023,Oct,Tabungan,5345331.300479,1199614
D,Kab. Bantul,2023,Nov,Giro,571912.417123,3079
D,Kab. Bantul,2023,Nov,Simpanan Berjangka,2505556.885961,22196
D,Kab. Bantul,2023,Nov,Tabungan,5499837.984695,1207793
D,Kab. Bantul,2023,Dec,Giro,570698.959446,2467
D,Kab. Bantul,2023,Dec,Simpanan Berjangka,2407894.944102,22292
D,Kab. Bantul,2023,Dec,Tabungan,5683055.359226,1221082
D,Kab. Bantul,2024,Jan,Giro,613827.62834,2831
D,Kab. Bantul,2024,Jan,Simpanan Berjangka,2597234.538146,22341
D,Kab. Bantul,2024,Jan,Tabungan,5507567.564756,1225647
D,Kab. Bantul,2024,Feb,Giro,615669.066216,3110
D,Kab. Bantul,2024,Feb,Simpanan Berjangka,2613492.220526,22277
D,Kab. Bantul,2024,Feb,Tabungan,5467142.640139,1231122
D,Kab. Bantul,2024,Mar,Giro,596571.019275,3163
D,Kab. Bantul,2024,Mar,Simpanan Berjangka,2574314.035607,22151
D,Kab. Bantul,2024,Mar,Tabungan,5471263.661915,1234772
D,Kab. Sleman,2019,,Giro,2243956.504561,8622
D,Kab. Sleman,2019,,Simpanan Berjangka,6468454.283724,51287
D,Kab. Sleman,2019,,Tabungan,13277488.212129,2001422
D,Kab. Sleman,2020,,Giro,2328130.1229,10496
D,Kab. Sleman,2020,,Simpanan Berjangka,7032491.8305,54305
D,Kab. Sleman,2020,,Tabungan,14625456.041002,2240277
D,Kab. Sleman,2021,,Giro,2589947.13816,11105
D,Kab. Sleman,2021,,Simpanan Berjangka,7102623.388979,53378
D,Kab. Sleman,2021,,Tabungan,16084263.303037,2305083
