Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
D,Kab. Bantul,2018,,Rupiah,Modal Kerja,2878562.687868
D,Kab. Bantul,2018,,Rupiah,Investasi,1284670.64553
D,Kab. Bantul,2018,,Rupiah,Konsumsi,3943184.706224
D,Kab. Bantul,2019,,Rupiah,Modal Kerja,2987891.474334
D,Kab. Bantul,2019,,Rupiah,Investasi,1466917.567444
D,Kab. Bantul,2019,,Rupiah,Konsumsi,4227859.89426
D,Kab. Bantul,2020,,Rupiah,Modal Kerja,3808488.161599
D,Kab. Bantul,2020,,Rupiah,Investasi,1502407.511129
D,Kab. Bantul,2020,,Rupiah,Konsumsi,4291240.481484
D,Kab. Bantul,2021,,Rupiah,Modal Kerja,4025100.938181
D,Kab. Bantul,2021,,Rupiah,Investasi,1459544.57478
D,Kab. Bantul,2021,,Rupiah,Konsumsi,4229320.905394
D,Kab. Bantul,2022,,Rupiah,Modal Kerja,4458031.879348
D,Kab. Bantul,2022,,Rupiah,Investasi,1769038.749599
D,Kab. Bantul,2022,,Rupiah,Konsumsi,4343754.893999
D,Kab. Bantul,2023,Mar,Rupiah,Modal Kerja,4408508.239224
D,Kab. Bantul,2023,Mar,Rupiah,Investasi,1837327.728595
D,Kab. Bantul,2023,Mar,Rupiah,Konsumsi,4451448.807154
D,Kab. Bantul,2023,Apr,Rupiah,Modal Kerja,4386179.478591
D,Kab. Bantul,2023,Apr,Rupiah,Investasi,1868896.503802
D,Kab. Bantul,2023,Apr,Rupiah,Konsumsi,4475718.58859
D,Kab. Bantul,2023,May,Rupiah,Modal Kerja,4426064.498576
D,Kab. Bantul,2023,May,Rupiah,Investasi,1909512.637187
D,Kab. Bantul,2023,May,Rupiah,Konsumsi,4512303.455676
D,Kab. Bantul,2023,Jun,Rupiah,Modal Kerja,4456477.949103
D,Kab. Bantul,2023,Jun,Rupiah,Investasi,1945977.21212
D,Kab. Bantul,2023,Jun,Rupiah,Konsumsi,4501740.524594
D,Kab. Bantul,2023,Jul,Rupiah,Modal Kerja,4441560.055921
D,Kab. Bantul,2023,Jul,Rupiah,Investasi,1969054.711592
D,Kab. Bantul,2023,Jul,Rupiah,Konsumsi,4516451.912562
D,Kab. Bantul,2023,Aug,Rupiah,Modal Kerja,4403373.804441
D,Kab. Bantul,2023,Aug,Rupiah,Investasi,1986614.698453
