Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
JAKARTA,Wil. Kota Jakarta Pusat,2019,,Giro,268686828.868797,359371
JAKARTA,Wil. Kota Jakarta Pusat,2019,,Simpanan Berjangka,499418254.117264,344160
JAKARTA,Wil. Kota Jakarta Pusat,2019,,Tabungan,123938762.901465,10830602
JAKARTA,Wil. Kota Jakarta Pusat,2020,,Giro,372715688.159092,499547
JAKARTA,Wil. Kota Jakarta Pusat,2020,,Simpanan Berjangka,578030333.150603,351747
JAKARTA,Wil. Kota Jakarta Pusat,2020,,Tabungan,143677286.630824,11479203
JAKARTA,Wil. Kota Jakarta Pusat,2021,,Giro,451505838.818727,560293
JAKARTA,Wil. Kota Jakarta Pusat,2021,,Simpanan Berjangka,559502960.032322,354720
JAKARTA,Wil. Kota Jakarta Pusat,2021,,Tabungan,179208285.727209,12252137
JAKARTA,Wil. Kota Jakarta Pusat,2022,,Giro,624836132.338605,437555
JAKARTA,Wil. Kota Jakarta Pusat,2022,,Simpanan Berjangka,589977617.585788,521882
JAKARTA,Wil. Kota Jakarta Pusat,2022,,Tabungan,197174471.33751,9448552
JAKARTA,Wil. Kota Jakarta Pusat,2023,,Giro,646581714.392344,520418
JAKARTA,Wil. Kota Jakarta Pusat,2023,,Simpanan Berjangka,616955932.83006,434816
JAKARTA,Wil. Kota Jakarta Pusat,2023,,Tabungan,181191364.271562,8450052
JAKARTA,Wil. Kota Jakarta Pusat,2023,Mar,Giro,556281928.784059,465885
JAKARTA,Wil. Kota Jakarta Pusat,2023,Mar,Simpanan Berjangka,589010442.675138,573690
JAKARTA,Wil. Kota Jakarta Pusat,2023,Mar,Tabungan,198527582.815352,9815865
JAKARTA,Wil. Kota Jakarta Pusat,2023,Apr,Giro,558598207.775522,464155
JAKARTA,Wil. Kota Jakarta Pusat,2023,Apr,Simpanan Berjangka,593018205.724196,606912
JAKARTA,Wil. Kota Jakarta Pusat,2023,Apr,Tabungan,203827158.389036,10075583
JAKARTA,Wil. Kota Jakarta Pusat,2023,May,Giro,545011819.049384,680257
JAKARTA,Wil. Kota Jakarta Pusat,2023,May,Simpanan Berjangka,605436160.324851,601392
JAKARTA,Wil. Kota Jakarta Pusat,2023,May,Tabungan,196579720.753515,10348196
JAKARTA,Wil. Kota Jakarta Pusat,2023,Jun,Giro,572647602.979586,518229
JAKARTA,Wil. Kota Jakarta Pusat,2023,Jun,Simpanan Berjangka,581478157.481258,422113
JAKARTA,Wil. Kota Jakarta Pusat,2023,Jun,Tabungan,182891526.898823,8084621
JAKARTA,Wil. Kota Jakarta Pusat,2023,Jul,Giro,549861307.2534,476591
JAKARTA,Wil. Kota Jakarta Pusat,2023,Jul,Simpanan Berjangka,585740025.575593,425155
JAKARTA,Wil. Kota Jakarta Pusat,2023,Jul,Tabungan,182025537.074237,8154383
JAKARTA,Wil. Kota Jakarta Pusat,2023,Aug,Giro,547306934.079823,485059
