Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
GORONTALO,Kab. Gorontalo,2018,,Rupiah,Modal Kerja,1534398.194077
GORONTALO,Kab. Gorontalo,2018,,Rupiah,Investasi,588725.382606
GORONTALO,Kab. Gorontalo,2018,,Rupiah,Konsumsi,2447727.896009
GORONTALO,Kab. Gorontalo,2019,,Rupiah,Modal Kerja,1628967.718116
GORONTALO,Kab. Gorontalo,2019,,Rupiah,Investasi,1176735.928139
GORONTALO,Kab. Gorontalo,2019,,Rupiah,Konsumsi,2687754.624505
GORONTALO,Kab. Gorontalo,2020,,Rupiah,Modal Kerja,1553879.421237
GORONTALO,Kab. Gorontalo,2020,,Rupiah,Investasi,1075576.655628
GORONTALO,Kab. Gorontalo,2020,,Rupiah,Konsumsi,2721341.117085
GORONTALO,Kab. Gorontalo,2021,,Rupiah,Modal Kerja,1588891.950331
GORONTALO,Kab. Gorontalo,2021,,Rupiah,Investasi,958970.594742
GORONTALO,Kab. Gorontalo,2021,,Rupiah,Konsumsi,2798267.839222
GORONTALO,Kab. Gorontalo,2022,,Rupiah,Modal Kerja,2218708.839357
GORONTALO,Kab. Gorontalo,2022,,Rupiah,Investasi,914211.159
GORONTALO,Kab. Gorontalo,2022,,Rupiah,Konsumsi,2768211.810046
GORONTALO,Kab. Gorontalo,2023,Mar,Rupiah,Modal Kerja,2290717.00593
GORONTALO,Kab. Gorontalo,2023,Mar,Rupiah,Investasi,902447.92735
GORONTALO,Kab. Gorontalo,2023,Mar,Rupiah,Konsumsi,2785412.114732
GORONTALO,Kab. Gorontalo,2023,Apr,Rupiah,Modal Kerja,2331023.367714
GORONTALO,Kab. Gorontalo,2023,Apr,Rupiah,Investasi,902097.34852
GORONTALO,Kab. Gorontalo,2023,Apr,Rupiah,Konsumsi,2799743.106622
GORONTALO,Kab. Gorontalo,2023,May,Rupiah,Modal Kerja,2269667.719109
GORONTALO,Kab. Gorontalo,2023,May,Rupiah,Investasi,894148.818537
GORONTALO,Kab. Gorontalo,2023,May,Rupiah,Konsumsi,2833570.179169
GORONTALO,Kab. Gorontalo,2023,Jun,Rupiah,Modal Kerja,2250633.983392
GORONTALO,Kab. Gorontalo,2023,Jun,Rupiah,Investasi,854480.276941
GORONTALO,Kab. Gorontalo,2023,Jun,Rupiah,Konsumsi,2859371.655662
