Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
JAMBI,Kab. Batanghari,2019,,Giro,108659.50297,1487
JAMBI,Kab. Batanghari,2019,,Simpanan Berjangka,685776.215826,1406
JAMBI,Kab. Batanghari,2019,,Tabungan,795351.390191,230724
JAMBI,Kab. Batanghari,2020,,Giro,96632.18186,1526
JAMBI,Kab. Batanghari,2020,,Simpanan Berjangka,529154.332458,1440
JAMBI,Kab. Batanghari,2020,,Tabungan,875143.444867,273563
JAMBI,Kab. Batanghari,2021,,Giro,244033.823838,1545
JAMBI,Kab. Batanghari,2021,,Simpanan Berjangka,345680.311517,1416
JAMBI,Kab. Batanghari,2021,,Tabungan,1156333.653193,318152
JAMBI,Kab. Batanghari,2022,,Giro,184810.317022,1765
JAMBI,Kab. Batanghari,2022,,Simpanan Berjangka,236350.890124,1520
JAMBI,Kab. Batanghari,2022,,Tabungan,1259862.071389,307794
JAMBI,Kab. Batanghari,2023,,Giro,137736.574797,1642
JAMBI,Kab. Batanghari,2023,,Simpanan Berjangka,254654.961373,1654
JAMBI,Kab. Batanghari,2023,,Tabungan,1139848.992027,333850
JAMBI,Kab. Batanghari,2023,Mar,Giro,267593.5499,1882
JAMBI,Kab. Batanghari,2023,Mar,Simpanan Berjangka,270336.05394,1578
JAMBI,Kab. Batanghari,2023,Mar,Tabungan,1024671.108392,305365
JAMBI,Kab. Batanghari,2023,Apr,Giro,224505.566921,1894
JAMBI,Kab. Batanghari,2023,Apr,Simpanan Berjangka,269493.621252,1588
JAMBI,Kab. Batanghari,2023,Apr,Tabungan,1033223.476195,308453
JAMBI,Kab. Batanghari,2023,May,Giro,223736.375394,2726
JAMBI,Kab. Batanghari,2023,May,Simpanan Berjangka,284366.592647,1622
JAMBI,Kab. Batanghari,2023,May,Tabungan,1024298.534339,309171
JAMBI,Kab. Batanghari,2023,Jun,Giro,198133.57868,1738
JAMBI,Kab. Batanghari,2023,Jun,Simpanan Berjangka,281873.074128,1610
JAMBI,Kab. Batanghari,2023,Jun,Tabungan,1058242.129167,310752
JAMBI,Kab. Batanghari,2023,Jul,Giro,214778.628954,1885
JAMBI,Kab. Batanghari,2023,Jul,Simpanan Berjangka,257308.147906,1617
JAMBI,Kab. Batanghari,2023,Jul,Tabungan,1037718.951078,313309
JAMBI,Kab. Batanghari,2023,Aug,Giro,190212.794294,1876
JAMBI,Kab. Batanghari,2023,Aug,Simpanan Berjangka,248076.127715,1636
JAMBI,Kab. Batanghari,2023,Aug,Tabungan,1065834.276934,316382
JAMBI,Kab. Batanghari,2023,Sep,Giro,195152.272563,1875
JAMBI,Kab. Batanghari,2023,Sep,Simpanan Berjangka,250672.122854,1684
JAMBI,Kab. Batanghari,2023,Sep,Tabungan,1047366.218105,319379
JAMBI,Kab. Batanghari,2023,Oct,Giro,317891.54837,1842
JAMBI,Kab. Batanghari,2023,Oct,Simpanan Berjangka,256885.39544,1686
JAMBI,Kab. Batanghari,2023,Oct,Tabungan,1069115.380348,322660
JAMBI,Kab. Batanghari,2023,Nov,Giro,263052.067555,1739
JAMBI,Kab. Batanghari,2023,Nov,Simpanan Berjangka,261268.453177,1693
JAMBI,Kab. Batanghari,2023,Nov,Tabungan,1102194.094087,326647
JAMBI,Kab. Batanghari,2023,Dec,Giro,137736.574797,1642
JAMBI,Kab. Batanghari,2023,Dec,Simpanan Berjangka,254654.961373,1654
JAMBI,Kab. Batanghari,2023,Dec,Tabungan,1139848.992027,333850
JAMBI,Kab. Batanghari,2024,Jan,Giro,176580.204311,1860
JAMBI,Kab. Batanghari,2024,Jan,Simpanan Berjangka,258935.741462,1680
JAMBI,Kab. Batanghari,2024,Jan,Tabungan,1076468.469029,335610
JAMBI,Kab. Batanghari,2024,Feb,Giro,217073.715267,1878
JAMBI,Kab. Batanghari,2024,Feb,Simpanan Berjangka,252215.275,1672
JAMBI,Kab. Batanghari,2024,Feb,Tabungan,1055163.475064,338428
JAMBI,Kab. Batanghari,2024,Mar,Giro,248347.542203,1866
JAMBI,Kab. Batanghari,2024,Mar,Simpanan Berjangka,262076.264009,1662
JAMBI,Kab. Batanghari,2024,Mar,Tabungan,1047277.750577,343803
JAMBI,Kab. Sarolangun,2019,,Giro,250495.384849,1651
JAMBI,Kab. Sarolangun,2019,,Simpanan Berjangka,512116.256464,908
JAMBI,Kab. Sarolangun,2019,,Tabungan,817938.776066,217071
JAMBI,Kab. Sarolangun,2020,,Giro,155815.187707,1705
JAMBI,Kab. Sarolangun,2020,,Simpanan Berjangka,690182.731786,908
JAMBI,Kab. Sarolangun,2020,,Tabungan,937553.138656,257440
JAMBI,Kab. Sarolangun,2021,,Giro,213684.443564,1557
JAMBI,Kab. Sarolangun,2021,,Simpanan Berjangka,1089547.510332,794
JAMBI,Kab. Sarolangun,2021,,Tabungan,1078357.00378,294588
JAMBI,Kab. Sarolangun,2022,,Giro,299133.038976,1686
JAMBI,Kab. Sarolangun,2022,,Simpanan Berjangka,131627.749936,662
JAMBI,Kab. Sarolangun,2022,,Tabungan,1133115.048078,290147
JAMBI,Kab. Sarolangun,2023,,Giro,234140.771583,1762
JAMBI,Kab. Sarolangun,2023,,Simpanan Berjangka,133287.751011,621
JAMBI,Kab. Sarolangun,2023,,Tabungan,1206958.564215,339518
JAMBI,Kab. Sarolangun,2023,Mar,Giro,210513.989136,2121
JAMBI,Kab. Sarolangun,2023,Mar,Simpanan Berjangka,273676.237541,660
JAMBI,Kab. Sarolangun,2023,Mar,Tabungan,1080545.307542,315456
JAMBI,Kab. Sarolangun,2023,Apr,Giro,174718.734855,2076
JAMBI,Kab. Sarolangun,2023,Apr,Simpanan Berjangka,273614.054239,661
JAMBI,Kab. Sarolangun,2023,Apr,Tabungan,1155472.352873,317322
JAMBI,Kab. Sarolangun,2023,May,Giro,227871.883228,2868
JAMBI,Kab. Sarolangun,2023,May,Simpanan Berjangka,291977.325338,773
JAMBI,Kab. Sarolangun,2023,May,Tabungan,1115373.642625,314578
JAMBI,Kab. Sarolangun,2023,Jun,Giro,175165.948158,1990
JAMBI,Kab. Sarolangun,2023,Jun,Simpanan Berjangka,291790.264605,782
JAMBI,Kab. Sarolangun,2023,Jun,Tabungan,1123116.826203,316483
JAMBI,Kab. Sarolangun,2023,Jul,Giro,223881.782532,2290
JAMBI,Kab. Sarolangun,2023,Jul,Simpanan Berjangka,262401.838892,643
JAMBI,Kab. Sarolangun,2023,Jul,Tabungan,1109345.307889,322118
JAMBI,Kab. Sarolangun,2023,Aug,Giro,218460.236567,2270
JAMBI,Kab. Sarolangun,2023,Aug,Simpanan Berjangka,264062.940152,652
JAMBI,Kab. Sarolangun,2023,Aug,Tabungan,1108610.957787,324648
JAMBI,Kab. Sarolangun,2023,Sep,Giro,170792.603413,2245
JAMBI,Kab. Sarolangun,2023,Sep,Simpanan Berjangka,253646.749384,642
JAMBI,Kab. Sarolangun,2023,Sep,Tabungan,1106402.719189,326627
JAMBI,Kab. Sarolangun,2023,Oct,Giro,234898.964696,2033
JAMBI,Kab. Sarolangun,2023,Oct,Simpanan Berjangka,254430.686304,637
JAMBI,Kab. Sarolangun,2023,Oct,Tabungan,1144779.622868,329732
JAMBI,Kab. Sarolangun,2023,Nov,Giro,184825.922568,2013
JAMBI,Kab. Sarolangun,2023,Nov,Simpanan Berjangka,256648.991468,637
JAMBI,Kab. Sarolangun,2023,Nov,Tabungan,1153680.81361,332561
JAMBI,Kab. Sarolangun,2023,Dec,Giro,234140.771583,1762
JAMBI,Kab. Sarolangun,2023,Dec,Simpanan Berjangka,133287.751011,621
JAMBI,Kab. Sarolangun,2023,Dec,Tabungan,1206958.564215,339518
JAMBI,Kab. Sarolangun,2024,Jan,Giro,286796.031843,2680
JAMBI,Kab. Sarolangun,2024,Jan,Simpanan Berjangka,136251.024542,638
JAMBI,Kab. Sarolangun,2024,Jan,Tabungan,1139189.516569,341705
JAMBI,Kab. Sarolangun,2024,Feb,Giro,250554.041019,2425
JAMBI,Kab. Sarolangun,2024,Feb,Simpanan Berjangka,221087.791898,649
JAMBI,Kab. Sarolangun,2024,Feb,Tabungan,1094316.313246,343483
JAMBI,Kab. Sarolangun,2024,Mar,Giro,220995.328735,2073
JAMBI,Kab. Sarolangun,2024,Mar,Simpanan Berjangka,245420.731541,691
JAMBI,Kab. Sarolangun,2024,Mar,Tabungan,1101467.945572,346679
JAMBI,Kab. Kerinci,2019,,Giro,237868.475668,4723
JAMBI,Kab. Kerinci,2019,,Simpanan Berjangka,861953.704436,3022
JAMBI,Kab. Kerinci,2019,,Tabungan,1489555.746251,362385
JAMBI,Kab. Kerinci,2020,,Giro,48740.748103,2053
JAMBI,Kab. Kerinci,2020,,Simpanan Berjangka,483017.850419,2866
JAMBI,Kab. Kerinci,2020,,Tabungan,1377584.821344,396146
JAMBI,Kab. Kerinci,2021,,Giro,83120.173017,1672
JAMBI,Kab. Kerinci,2021,,Simpanan Berjangka,337571.437768,2057
JAMBI,Kab. Kerinci,2021,,Tabungan,1170744.332091,359574
JAMBI,Kab. Kerinci,2022,,Giro,96138.625778,1855
