Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
JAMBI,Kab. Batanghari,2018,,Rupiah,Modal Kerja,956392.623338
JAMBI,Kab. Batanghari,2018,,Rupiah,Investasi,1878709.442708
JAMBI,Kab. Batanghari,2018,,Rupiah,Konsumsi,1137886.53731
JAMBI,Kab. Batanghari,2019,,Rupiah,Modal Kerja,1172471.616982
JAMBI,Kab. Batanghari,2019,,Rupiah,Investasi,1786124.783504
JAMBI,Kab. Batanghari,2019,,Rupiah,Konsumsi,1161531.428625
JAMBI,Kab. Batanghari,2020,,Rupiah,Modal Kerja,844370.33022
JAMBI,Kab. Batanghari,2020,,Rupiah,Investasi,1114436.132307
JAMBI,Kab. Batanghari,2020,,Rupiah,Konsumsi,1154602.521142
JAMBI,Kab. Batanghari,2021,,Rupiah,Modal Kerja,953817.265581
JAMBI,Kab. Batanghari,2021,,Rupiah,Investasi,986685.561575
JAMBI,Kab. Batanghari,2021,,Rupiah,Konsumsi,1240099.452343
JAMBI,Kab. Batanghari,2022,,Rupiah,Modal Kerja,941851.153325
JAMBI,Kab. Batanghari,2022,,Rupiah,Investasi,1186869.231361
JAMBI,Kab. Batanghari,2022,,Rupiah,Konsumsi,1305299.66221
JAMBI,Kab. Batanghari,2023,Mar,Rupiah,Modal Kerja,954527.614924
JAMBI,Kab. Batanghari,2023,Mar,Rupiah,Investasi,1218533.234114
JAMBI,Kab. Batanghari,2023,Mar,Rupiah,Konsumsi,1306031.464535
JAMBI,Kab. Batanghari,2023,Apr,Rupiah,Modal Kerja,968973.245491
JAMBI,Kab. Batanghari,2023,Apr,Rupiah,Investasi,1224511.331998
JAMBI,Kab. Batanghari,2023,Apr,Rupiah,Konsumsi,1308600.88228
JAMBI,Kab. Batanghari,2023,May,Rupiah,Modal Kerja,1043488.983439
JAMBI,Kab. Batanghari,2023,May,Rupiah,Investasi,1276324.836079
JAMBI,Kab. Batanghari,2023,May,Rupiah,Konsumsi,1308654.094852
JAMBI,Kab. Batanghari,2023,Jun,Rupiah,Modal Kerja,1125528.924044
JAMBI,Kab. Batanghari,2023,Jun,Rupiah,Investasi,1299103.718588
JAMBI,Kab. Batanghari,2023,Jun,Rupiah,Konsumsi,1307163.836444
JAMBI,Kab. Batanghari,2023,Jul,Rupiah,Modal Kerja,1110790.920588
JAMBI,Kab. Batanghari,2023,Jul,Rupiah,Investasi,1292049.113026
JAMBI,Kab. Batanghari,2023,Jul,Rupiah,Konsumsi,1311432.116544
JAMBI,Kab. Batanghari,2023,Aug,Rupiah,Modal Kerja,1110105.990169
JAMBI,Kab. Batanghari,2023,Aug,Rupiah,Investasi,1312683.558456
