Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2018,,Rupiah,Modal Kerja,3630076.327321
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2018,,Rupiah,Investasi,5670499.84434
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2018,,Rupiah,Konsumsi,2439060.656093
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2019,,Rupiah,Modal Kerja,4650148.023458
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2019,,Rupiah,Investasi,7390219.79842
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2019,,Rupiah,Konsumsi,2706414.304928
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2020,,Rupiah,Modal Kerja,3038769.798222
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2020,,Rupiah,Investasi,7648420.48331
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2020,,Rupiah,Konsumsi,3019224.463481
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2021,,Rupiah,Modal Kerja,3448668.518981
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2021,,Rupiah,Investasi,8085012.757276
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2021,,Rupiah,Konsumsi,2938433.53168
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2022,,Rupiah,Modal Kerja,3208219.78046
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2022,,Rupiah,Investasi,8552224.253772
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2022,,Rupiah,Konsumsi,3306629.114237
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Mar,Rupiah,Modal Kerja,3129246.052103
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Mar,Rupiah,Investasi,11375358.910013
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Mar,Rupiah,Konsumsi,3424059.877685
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Apr,Rupiah,Modal Kerja,3240117.232849
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Apr,Rupiah,Investasi,11333324.662411
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Apr,Rupiah,Konsumsi,3453133.420478
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,May,Rupiah,Modal Kerja,4159650.460637
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,May,Rupiah,Investasi,11283043.173734
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,May,Rupiah,Konsumsi,3551557.534919
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Jun,Rupiah,Modal Kerja,4225443.725853
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Jun,Rupiah,Investasi,11070463.109556
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Jun,Rupiah,Konsumsi,3591717.048692
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Jul,Rupiah,Modal Kerja,4167366.570631
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Jul,Rupiah,Investasi,10842514.839971
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Jul,Rupiah,Konsumsi,3642391.117737
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Aug,Rupiah,Modal Kerja,4141870.589437
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Aug,Rupiah,Investasi,11067861.996761
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Aug,Rupiah,Konsumsi,3685581.167412
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Sep,Rupiah,Modal Kerja,4200417.750844
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Sep,Rupiah,Investasi,10573457.850864
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Sep,Rupiah,Konsumsi,3717035.644407
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Oct,Rupiah,Modal Kerja,4884880.133586
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Oct,Rupiah,Investasi,10569356.121951
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Oct,Rupiah,Konsumsi,3733034.038639
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Nov,Rupiah,Modal Kerja,5210390.827314
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Nov,Rupiah,Investasi,10607218.848498
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Nov,Rupiah,Konsumsi,3765316.104416
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Dec,Rupiah,Modal Kerja,5262218.422104
KALIMANTAN TIMUR,Kab. Kutai Kartanegara,2023,Dec,Rupiah,Investasi,10372908.19102
