Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
LAMPUNG,Kab. Lampung Selatan,2019,,Giro,488115.237051,2606
LAMPUNG,Kab. Lampung Selatan,2019,,Simpanan Berjangka,764783.518368,3671
LAMPUNG,Kab. Lampung Selatan,2019,,Tabungan,2001308.492842,699811
LAMPUNG,Kab. Lampung Selatan,2020,,Giro,304256.390156,3172
LAMPUNG,Kab. Lampung Selatan,2020,,Simpanan Berjangka,505899.64315,3245
LAMPUNG,Kab. Lampung Selatan,2020,,Tabungan,2150050.477405,867993
LAMPUNG,Kab. Lampung Selatan,2021,,Giro,251494.882961,3606
LAMPUNG,Kab. Lampung Selatan,2021,,Simpanan Berjangka,482408.703272,3137
LAMPUNG,Kab. Lampung Selatan,2021,,Tabungan,2461202.804129,1039099
LAMPUNG,Kab. Lampung Selatan,2022,,Giro,253685.228077,2437
LAMPUNG,Kab. Lampung Selatan,2022,,Simpanan Berjangka,393683.58075,2326
LAMPUNG,Kab. Lampung Selatan,2022,,Tabungan,2551405.516546,823195
LAMPUNG,Kab. Lampung Selatan,2023,,Giro,320486.691445,2867
LAMPUNG,Kab. Lampung Selatan,2023,,Simpanan Berjangka,468185.451954,2409
LAMPUNG,Kab. Lampung Selatan,2023,,Tabungan,2885629.99527,1107270
LAMPUNG,Kab. Lampung Selatan,2023,Mar,Giro,452252.833523,3394
LAMPUNG,Kab. Lampung Selatan,2023,Mar,Simpanan Berjangka,409664.536842,2358
LAMPUNG,Kab. Lampung Selatan,2023,Mar,Tabungan,2645675.608687,966759
LAMPUNG,Kab. Lampung Selatan,2023,Apr,Giro,363558.017235,3283
LAMPUNG,Kab. Lampung Selatan,2023,Apr,Simpanan Berjangka,411188.112616,2352
LAMPUNG,Kab. Lampung Selatan,2023,Apr,Tabungan,2779229.808116,1001118
LAMPUNG,Kab. Lampung Selatan,2023,May,Giro,343511.915239,5051
LAMPUNG,Kab. Lampung Selatan,2023,May,Simpanan Berjangka,423396.337946,2387
LAMPUNG,Kab. Lampung Selatan,2023,May,Tabungan,2774227.300455,1003776
LAMPUNG,Kab. Lampung Selatan,2023,Jun,Giro,238303.023181,3004
LAMPUNG,Kab. Lampung Selatan,2023,Jun,Simpanan Berjangka,429268.595487,2383
LAMPUNG,Kab. Lampung Selatan,2023,Jun,Tabungan,2815784.565993,1021659
LAMPUNG,Kab. Lampung Selatan,2023,Jul,Giro,473513.696069,3443
LAMPUNG,Kab. Lampung Selatan,2023,Jul,Simpanan Berjangka,438173.630893,2418
LAMPUNG,Kab. Lampung Selatan,2023,Jul,Tabungan,2801317.320632,1031534
LAMPUNG,Kab. Lampung Selatan,2023,Aug,Giro,433582.589211,3415
LAMPUNG,Kab. Lampung Selatan,2023,Aug,Simpanan Berjangka,450353.555442,2432
LAMPUNG,Kab. Lampung Selatan,2023,Aug,Tabungan,2760731.420798,1042127
LAMPUNG,Kab. Lampung Selatan,2023,Sep,Giro,391059.018758,3347
LAMPUNG,Kab. Lampung Selatan,2023,Sep,Simpanan Berjangka,451681.786945,2422
LAMPUNG,Kab. Lampung Selatan,2023,Sep,Tabungan,2755902.616645,1053573
LAMPUNG,Kab. Lampung Selatan,2023,Oct,Giro,431556.767259,3219
LAMPUNG,Kab. Lampung Selatan,2023,Oct,Simpanan Berjangka,457207.103722,2419
LAMPUNG,Kab. Lampung Selatan,2023,Oct,Tabungan,2830899.210517,1097108
LAMPUNG,Kab. Lampung Selatan,2023,Nov,Giro,412046.835183,3147
LAMPUNG,Kab. Lampung Selatan,2023,Nov,Simpanan Berjangka,473590.470439,2428
LAMPUNG,Kab. Lampung Selatan,2023,Nov,Tabungan,2824209.131123,1089871
LAMPUNG,Kab. Lampung Selatan,2023,Dec,Giro,320486.691445,2867
