Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
MALUKU,Kab. Kepulauan Aru,2019,,Giro,22891.846985,469
MALUKU,Kab. Kepulauan Aru,2019,,Simpanan Berjangka,73487.201019,277
MALUKU,Kab. Kepulauan Aru,2019,,Tabungan,265237.602397,46954
MALUKU,Kab. Kepulauan Aru,2020,,Giro,13158.978158,447
MALUKU,Kab. Kepulauan Aru,2020,,Simpanan Berjangka,77528.127291,302
MALUKU,Kab. Kepulauan Aru,2020,,Tabungan,276377.25406,55545
MALUKU,Kab. Kepulauan Aru,2021,,Giro,17245.122107,441
MALUKU,Kab. Kepulauan Aru,2021,,Simpanan Berjangka,71601.091583,277
MALUKU,Kab. Kepulauan Aru,2021,,Tabungan,306054.275953,63981
MALUKU,Kab. Kepulauan Aru,2022,,Giro,19580.599806,400
MALUKU,Kab. Kepulauan Aru,2022,,Simpanan Berjangka,22869.242414,90
MALUKU,Kab. Kepulauan Aru,2022,,Tabungan,296754.219378,53695
MALUKU,Kab. Kepulauan Aru,2023,,Giro,61413.182328,891
MALUKU,Kab. Kepulauan Aru,2023,,Simpanan Berjangka,153922.36995,483
MALUKU,Kab. Kepulauan Aru,2023,,Tabungan,421796.18823,94642
MALUKU,Kab. Kepulauan Aru,2023,Mar,Giro,58396.492448,749
MALUKU,Kab. Kepulauan Aru,2023,Mar,Simpanan Berjangka,21933.791516,85
MALUKU,Kab. Kepulauan Aru,2023,Mar,Tabungan,396732.701431,86292
MALUKU,Kab. Kepulauan Aru,2023,Apr,Giro,72901.661628,754
MALUKU,Kab. Kepulauan Aru,2023,Apr,Simpanan Berjangka,22993.220136,88
MALUKU,Kab. Kepulauan Aru,2023,Apr,Tabungan,382970.493704,87570
MALUKU,Kab. Kepulauan Aru,2023,May,Giro,53043.457899,1087
MALUKU,Kab. Kepulauan Aru,2023,May,Simpanan Berjangka,151168.240638,482
MALUKU,Kab. Kepulauan Aru,2023,May,Tabungan,386737.688658,88133
MALUKU,Kab. Kepulauan Aru,2023,Jun,Giro,50303.581327,781
MALUKU,Kab. Kepulauan Aru,2023,Jun,Simpanan Berjangka,151949.291378,487
MALUKU,Kab. Kepulauan Aru,2023,Jun,Tabungan,380858.010655,88398
MALUKU,Kab. Kepulauan Aru,2023,Jul,Giro,109491.844819,784
MALUKU,Kab. Kepulauan Aru,2023,Jul,Simpanan Berjangka,153963.721467,493
MALUKU,Kab. Kepulauan Aru,2023,Jul,Tabungan,397082.911932,88296
MALUKU,Kab. Kepulauan Aru,2023,Aug,Giro,109561.216825,795
MALUKU,Kab. Kepulauan Aru,2023,Aug,Simpanan Berjangka,155121.243861,496
MALUKU,Kab. Kepulauan Aru,2023,Aug,Tabungan,395510.888486,89041
MALUKU,Kab. Kepulauan Aru,2023,Sep,Giro,106278.748773,810
MALUKU,Kab. Kepulauan Aru,2023,Sep,Simpanan Berjangka,155410.256507,491
MALUKU,Kab. Kepulauan Aru,2023,Sep,Tabungan,395596.202379,89687
MALUKU,Kab. Kepulauan Aru,2023,Oct,Giro,154534.59477,901
MALUKU,Kab. Kepulauan Aru,2023,Oct,Simpanan Berjangka,154561.446495,487
MALUKU,Kab. Kepulauan Aru,2023,Oct,Tabungan,383067.788498,90815
MALUKU,Kab. Kepulauan Aru,2023,Nov,Giro,120093.790341,918
MALUKU,Kab. Kepulauan Aru,2023,Nov,Simpanan Berjangka,153764.320947,487
MALUKU,Kab. Kepulauan Aru,2023,Nov,Tabungan,387731.696997,91309
MALUKU,Kab. Kepulauan Aru,2023,Dec,Giro,61413.182328,891
MALUKU,Kab. Kepulauan Aru,2023,Dec,Simpanan Berjangka,153922.36995,483
MALUKU,Kab. Kepulauan Aru,2023,Dec,Tabungan,421796.18823,94642
