Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
MALUKU UTARA,Kab. Kepulauan Sula,2019,,Giro,136681.837931,1075
MALUKU UTARA,Kab. Kepulauan Sula,2019,,Simpanan Berjangka,42063.9,215
MALUKU UTARA,Kab. Kepulauan Sula,2019,,Tabungan,262239.487782,69880
MALUKU UTARA,Kab. Kepulauan Sula,2020,,Giro,52874.466063,975
MALUKU UTARA,Kab. Kepulauan Sula,2020,,Simpanan Berjangka,46961.028139,202
MALUKU UTARA,Kab. Kepulauan Sula,2020,,Tabungan,262195.303727,76899
MALUKU UTARA,Kab. Kepulauan Sula,2021,,Giro,105194.549322,983
MALUKU UTARA,Kab. Kepulauan Sula,2021,,Simpanan Berjangka,52283.4,215
MALUKU UTARA,Kab. Kepulauan Sula,2021,,Tabungan,293020.03442,89304
MALUKU UTARA,Kab. Kepulauan Sula,2022,,Giro,107520.684342,686
MALUKU UTARA,Kab. Kepulauan Sula,2022,,Simpanan Berjangka,40092.9,127
MALUKU UTARA,Kab. Kepulauan Sula,2022,,Tabungan,257594.051069,74262
MALUKU UTARA,Kab. Kepulauan Sula,2023,,Giro,80301.095735,1307
MALUKU UTARA,Kab. Kepulauan Sula,2023,,Simpanan Berjangka,36252.1,109
MALUKU UTARA,Kab. Kepulauan Sula,2023,,Tabungan,340097.984507,98629
MALUKU UTARA,Kab. Kepulauan Sula,2023,Mar,Giro,142731.471181,1306
MALUKU UTARA,Kab. Kepulauan Sula,2023,Mar,Simpanan Berjangka,39334.9,125
MALUKU UTARA,Kab. Kepulauan Sula,2023,Mar,Tabungan,280241.210362,93600
MALUKU UTARA,Kab. Kepulauan Sula,2023,Apr,Giro,123345.229801,1325
MALUKU UTARA,Kab. Kepulauan Sula,2023,Apr,Simpanan Berjangka,38911.9,119
MALUKU UTARA,Kab. Kepulauan Sula,2023,Apr,Tabungan,307465.936705,95830
MALUKU UTARA,Kab. Kepulauan Sula,2023,May,Giro,105265.777649,1642
MALUKU UTARA,Kab. Kepulauan Sula,2023,May,Simpanan Berjangka,36336.9,116
MALUKU UTARA,Kab. Kepulauan Sula,2023,May,Tabungan,293871.550651,95607
MALUKU UTARA,Kab. Kepulauan Sula,2023,Jun,Giro,96646.213687,1322
MALUKU UTARA,Kab. Kepulauan Sula,2023,Jun,Simpanan Berjangka,35953.1,116
MALUKU UTARA,Kab. Kepulauan Sula,2023,Jun,Tabungan,308629.905359,96578
MALUKU UTARA,Kab. Kepulauan Sula,2023,Jul,Giro,148935.795098,1333
MALUKU UTARA,Kab. Kepulauan Sula,2023,Jul,Simpanan Berjangka,37103.1,117
MALUKU UTARA,Kab. Kepulauan Sula,2023,Jul,Tabungan,307688.618626,97220
MALUKU UTARA,Kab. Kepulauan Sula,2023,Aug,Giro,109249.549513,1345
MALUKU UTARA,Kab. Kepulauan Sula,2023,Aug,Simpanan Berjangka,35378,114
MALUKU UTARA,Kab. Kepulauan Sula,2023,Aug,Tabungan,299889.45181,97102
MALUKU UTARA,Kab. Kepulauan Sula,2023,Sep,Giro,140219.220278,1344
MALUKU UTARA,Kab. Kepulauan Sula,2023,Sep,Simpanan Berjangka,34428.1,113
MALUKU UTARA,Kab. Kepulauan Sula,2023,Sep,Tabungan,297690.788998,96484
MALUKU UTARA,Kab. Kepulauan Sula,2023,Oct,Giro,193222.574263,1343
