Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
RIAU,Kab. Kampar,2019,,Giro,429718.904533,3120
RIAU,Kab. Kampar,2019,,Simpanan Berjangka,499871.763217,1993
RIAU,Kab. Kampar,2019,,Tabungan,2186659.438421,513532
RIAU,Kab. Kampar,2020,,Giro,322295.579512,3301
RIAU,Kab. Kampar,2020,,Simpanan Berjangka,548830.064573,2082
RIAU,Kab. Kampar,2020,,Tabungan,2535890.717035,610759
RIAU,Kab. Kampar,2021,,Giro,241301.184456,3543
RIAU,Kab. Kampar,2021,,Simpanan Berjangka,619280.158308,2129
RIAU,Kab. Kampar,2021,,Tabungan,3443295.198537,706049
RIAU,Kab. Kampar,2022,,Giro,255484.637534,3290
RIAU,Kab. Kampar,2022,,Simpanan Berjangka,611145.253118,1899
RIAU,Kab. Kampar,2022,,Tabungan,3655933.090324,646115
RIAU,Kab. Kampar,2023,,Giro,362272.32123,3430
RIAU,Kab. Kampar,2023,,Simpanan Berjangka,541193.188152,1860
RIAU,Kab. Kampar,2023,,Tabungan,3760431.529392,780688
RIAU,Kab. Kampar,2023,Mar,Giro,399550.35309,3483
RIAU,Kab. Kampar,2023,Mar,Simpanan Berjangka,665022.024872,1864
RIAU,Kab. Kampar,2023,Mar,Tabungan,3540283.956386,711959
RIAU,Kab. Kampar,2023,Apr,Giro,365631.340054,3503
RIAU,Kab. Kampar,2023,Apr,Simpanan Berjangka,576222.726413,1817
RIAU,Kab. Kampar,2023,Apr,Tabungan,3625844.949803,722195
RIAU,Kab. Kampar,2023,May,Giro,366425.216719,5062
RIAU,Kab. Kampar,2023,May,Simpanan Berjangka,567507.941882,1802
RIAU,Kab. Kampar,2023,May,Tabungan,3682076.485126,726803
RIAU,Kab. Kampar,2023,Jun,Giro,367407.220306,3525
RIAU,Kab. Kampar,2023,Jun,Simpanan Berjangka,563069.035805,1773
RIAU,Kab. Kampar,2023,Jun,Tabungan,3680630.773693,733355
RIAU,Kab. Kampar,2023,Jul,Giro,252508.477209,3534
RIAU,Kab. Kampar,2023,Jul,Simpanan Berjangka,551241.98465,1743
