Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
SULAWESI BARAT,Kab. Polewali Mandar,2018,,Rupiah,Modal Kerja,1108228.889773
SULAWESI BARAT,Kab. Polewali Mandar,2018,,Rupiah,Investasi,299534.508256
SULAWESI BARAT,Kab. Polewali Mandar,2018,,Rupiah,Konsumsi,1743311.238048
SULAWESI BARAT,Kab. Polewali Mandar,2019,,Rupiah,Modal Kerja,1180635.718075
SULAWESI BARAT,Kab. Polewali Mandar,2019,,Rupiah,Investasi,458544.158271
SULAWESI BARAT,Kab. Polewali Mandar,2019,,Rupiah,Konsumsi,1861084.346968
SULAWESI BARAT,Kab. Polewali Mandar,2020,,Rupiah,Modal Kerja,1395440.049981
SULAWESI BARAT,Kab. Polewali Mandar,2020,,Rupiah,Investasi,495896.297305
SULAWESI BARAT,Kab. Polewali Mandar,2020,,Rupiah,Konsumsi,1901224.597055
SULAWESI BARAT,Kab. Polewali Mandar,2021,,Rupiah,Modal Kerja,1481709.014288
SULAWESI BARAT,Kab. Polewali Mandar,2021,,Rupiah,Investasi,514076.317533
SULAWESI BARAT,Kab. Polewali Mandar,2021,,Rupiah,Konsumsi,2042875.566817
SULAWESI BARAT,Kab. Polewali Mandar,2022,,Rupiah,Modal Kerja,1582922.45719
SULAWESI BARAT,Kab. Polewali Mandar,2022,,Rupiah,Investasi,594740.876433
SULAWESI BARAT,Kab. Polewali Mandar,2022,,Rupiah,Konsumsi,2124429.835186
SULAWESI BARAT,Kab. Polewali Mandar,2023,Mar,Rupiah,Modal Kerja,1556663.648449
SULAWESI BARAT,Kab. Polewali Mandar,2023,Mar,Rupiah,Investasi,603115.690305
SULAWESI BARAT,Kab. Polewali Mandar,2023,Mar,Rupiah,Konsumsi,2158188.715448
SULAWESI BARAT,Kab. Polewali Mandar,2023,Apr,Rupiah,Modal Kerja,1551967.375887
SULAWESI BARAT,Kab. Polewali Mandar,2023,Apr,Rupiah,Investasi,610891.659555
SULAWESI BARAT,Kab. Polewali Mandar,2023,Apr,Rupiah,Konsumsi,2160876.598056
SULAWESI BARAT,Kab. Polewali Mandar,2023,May,Rupiah,Modal Kerja,1565887.23874
SULAWESI BARAT,Kab. Polewali Mandar,2023,May,Rupiah,Investasi,625816.074544
SULAWESI BARAT,Kab. Polewali Mandar,2023,May,Rupiah,Konsumsi,2159761.177026
SULAWESI BARAT,Kab. Polewali Mandar,2023,Jun,Rupiah,Modal Kerja,1583578.394417
SULAWESI BARAT,Kab. Polewali Mandar,2023,Jun,Rupiah,Investasi,638995.901636
SULAWESI BARAT,Kab. Polewali Mandar,2023,Jun,Rupiah,Konsumsi,2173471.373877
SULAWESI BARAT,Kab. Polewali Mandar,2023,Jul,Rupiah,Modal Kerja,1586006.000658
SULAWESI BARAT,Kab. Polewali Mandar,2023,Jul,Rupiah,Investasi,648440.952258
