Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
SULAWESI TENGAH,Kab. Donggala,2018,,Rupiah,Modal Kerja,545261.277131
SULAWESI TENGAH,Kab. Donggala,2018,,Rupiah,Investasi,384816.421889
SULAWESI TENGAH,Kab. Donggala,2018,,Rupiah,Konsumsi,1924406.385568
SULAWESI TENGAH,Kab. Donggala,2019,,Rupiah,Modal Kerja,632135.095086
SULAWESI TENGAH,Kab. Donggala,2019,,Rupiah,Investasi,451132.527394
SULAWESI TENGAH,Kab. Donggala,2019,,Rupiah,Konsumsi,2356773.083049
SULAWESI TENGAH,Kab. Donggala,2020,,Rupiah,Modal Kerja,924659.452917
SULAWESI TENGAH,Kab. Donggala,2020,,Rupiah,Investasi,242891.968045
SULAWESI TENGAH,Kab. Donggala,2020,,Rupiah,Konsumsi,2817054.720364
SULAWESI TENGAH,Kab. Donggala,2021,,Rupiah,Modal Kerja,1208079.212141
SULAWESI TENGAH,Kab. Donggala,2021,,Rupiah,Investasi,228098.582145
SULAWESI TENGAH,Kab. Donggala,2021,,Rupiah,Konsumsi,2829657.294021
SULAWESI TENGAH,Kab. Donggala,2022,,Rupiah,Modal Kerja,1964336.880057
SULAWESI TENGAH,Kab. Donggala,2022,,Rupiah,Investasi,380031.596679
SULAWESI TENGAH,Kab. Donggala,2022,,Rupiah,Konsumsi,3847217.207765
SULAWESI TENGAH,Kab. Donggala,2023,Mar,Rupiah,Modal Kerja,2073973.257393
SULAWESI TENGAH,Kab. Donggala,2023,Mar,Rupiah,Investasi,386541.223601
SULAWESI TENGAH,Kab. Donggala,2023,Mar,Rupiah,Konsumsi,3842070.548135
SULAWESI TENGAH,Kab. Donggala,2023,Apr,Rupiah,Modal Kerja,2090573.978058
SULAWESI TENGAH,Kab. Donggala,2023,Apr,Rupiah,Investasi,392704.750444
SULAWESI TENGAH,Kab. Donggala,2023,Apr,Rupiah,Konsumsi,3934230.088945
SULAWESI TENGAH,Kab. Donggala,2023,May,Rupiah,Modal Kerja,2122675.526265
SULAWESI TENGAH,Kab. Donggala,2023,May,Rupiah,Investasi,400882.635857
SULAWESI TENGAH,Kab. Donggala,2023,May,Rupiah,Konsumsi,3935303.333834
SULAWESI TENGAH,Kab. Donggala,2023,Jun,Rupiah,Modal Kerja,2143648.81802
SULAWESI TENGAH,Kab. Donggala,2023,Jun,Rupiah,Investasi,403512.294279
SULAWESI TENGAH,Kab. Donggala,2023,Jun,Rupiah,Konsumsi,3932591.965998
SULAWESI TENGAH,Kab. Donggala,2023,Jul,Rupiah,Modal Kerja,2179255.17361
SULAWESI TENGAH,Kab. Donggala,2023,Jul,Rupiah,Investasi,408316.245789
SULAWESI TENGAH,Kab. Donggala,2023,Jul,Rupiah,Konsumsi,3807446.679027
SULAWESI TENGAH,Kab. Donggala,2023,Aug,Rupiah,Modal Kerja,2196947.253523
SULAWESI TENGAH,Kab. Donggala,2023,Aug,Rupiah,Investasi,417340.125241
SULAWESI TENGAH,Kab. Donggala,2023,Aug,Rupiah,Konsumsi,3811341.001654
SULAWESI TENGAH,Kab. Donggala,2023,Sep,Rupiah,Modal Kerja,2185913.016853
SULAWESI TENGAH,Kab. Donggala,2023,Sep,Rupiah,Investasi,421235.35173
SULAWESI TENGAH,Kab. Donggala,2023,Sep,Rupiah,Konsumsi,3778890.680607
SULAWESI TENGAH,Kab. Donggala,2023,Oct,Rupiah,Modal Kerja,2184703.727839
SULAWESI TENGAH,Kab. Donggala,2023,Oct,Rupiah,Investasi,419956.597902
SULAWESI TENGAH,Kab. Donggala,2023,Oct,Rupiah,Konsumsi,3769887.599238
SULAWESI TENGAH,Kab. Donggala,2023,Nov,Rupiah,Modal Kerja,2196762.309553
SULAWESI TENGAH,Kab. Donggala,2023,Nov,Rupiah,Investasi,442729.360008
SULAWESI TENGAH,Kab. Donggala,2023,Nov,Rupiah,Konsumsi,3769293.995115
SULAWESI TENGAH,Kab. Donggala,2023,Dec,Rupiah,Modal Kerja,2171906.999447
SULAWESI TENGAH,Kab. Donggala,2023,Dec,Rupiah,Investasi,449529.504863
SULAWESI TENGAH,Kab. Donggala,2023,Dec,Rupiah,Konsumsi,3768841.489543
SULAWESI TENGAH,Kab. Donggala,2024,Jan,Rupiah,Modal Kerja,2167754.005732
SULAWESI TENGAH,Kab. Donggala,2024,Jan,Rupiah,Investasi,449780.404714
SULAWESI TENGAH,Kab. Donggala,2024,Jan,Rupiah,Konsumsi,3766090.381787
SULAWESI TENGAH,Kab. Donggala,2024,Feb,Rupiah,Modal Kerja,2155839.75404
SULAWESI TENGAH,Kab. Donggala,2024,Feb,Rupiah,Investasi,452314.320701
SULAWESI TENGAH,Kab. Donggala,2024,Feb,Rupiah,Konsumsi,3765206.205689
SULAWESI TENGAH,Kab. Donggala,2024,Mar,Rupiah,Modal Kerja,2114910.429014
SULAWESI TENGAH,Kab. Donggala,2024,Mar,Rupiah,Investasi,458231.001773
SULAWESI TENGAH,Kab. Donggala,2024,Mar,Rupiah,Konsumsi,3866179.457384
SULAWESI TENGAH,Kab. Poso,2018,,Rupiah,Modal Kerja,751604.659383
SULAWESI TENGAH,Kab. Poso,2018,,Rupiah,Investasi,299190.204953
SULAWESI TENGAH,Kab. Poso,2018,,Rupiah,Konsumsi,2088991.58547
SULAWESI TENGAH,Kab. Poso,2019,,Rupiah,Modal Kerja,780095.035859
SULAWESI TENGAH,Kab. Poso,2019,,Rupiah,Investasi,336902.775707
SULAWESI TENGAH,Kab. Poso,2019,,Rupiah,Konsumsi,2297010.174237
SULAWESI TENGAH,Kab. Poso,2020,,Rupiah,Modal Kerja,900990.303619
SULAWESI TENGAH,Kab. Poso,2020,,Rupiah,Investasi,186936.764306
SULAWESI TENGAH,Kab. Poso,2020,,Rupiah,Konsumsi,2224440.904729
SULAWESI TENGAH,Kab. Poso,2021,,Rupiah,Modal Kerja,1029004.12298
SULAWESI TENGAH,Kab. Poso,2021,,Rupiah,Investasi,194298.631753
SULAWESI TENGAH,Kab. Poso,2021,,Rupiah,Konsumsi,2500498.443995
SULAWESI TENGAH,Kab. Poso,2022,,Rupiah,Modal Kerja,1214312.016046
SULAWESI TENGAH,Kab. Poso,2022,,Rupiah,Investasi,187726.397355
SULAWESI TENGAH,Kab. Poso,2022,,Rupiah,Konsumsi,2471481.19088
SULAWESI TENGAH,Kab. Poso,2023,Mar,Rupiah,Modal Kerja,1241973.571807
SULAWESI TENGAH,Kab. Poso,2023,Mar,Rupiah,Investasi,195315.28315
SULAWESI TENGAH,Kab. Poso,2023,Mar,Rupiah,Konsumsi,2454026.354076
SULAWESI TENGAH,Kab. Poso,2023,Apr,Rupiah,Modal Kerja,1242689.048914
SULAWESI TENGAH,Kab. Poso,2023,Apr,Rupiah,Investasi,199422.627058
SULAWESI TENGAH,Kab. Poso,2023,Apr,Rupiah,Konsumsi,2720342.916996
