Propinsi,Dati_II,Tahun,Bulan,Tipe,Nominal,Jumlah
SUMATERA SELATAN,Kab. Musi Banyuasin,2019,,Giro,892574.194254,3642
SUMATERA SELATAN,Kab. Musi Banyuasin,2019,,Simpanan Berjangka,720167.25096,2553
SUMATERA SELATAN,Kab. Musi Banyuasin,2019,,Tabungan,2646534.776671,657821
SUMATERA SELATAN,Kab. Musi Banyuasin,2020,,Giro,957496.758883,3696
SUMATERA SELATAN,Kab. Musi Banyuasin,2020,,Simpanan Berjangka,715484.867688,2512
SUMATERA SELATAN,Kab. Musi Banyuasin,2020,,Tabungan,2769425.951703,785983
SUMATERA SELATAN,Kab. Musi Banyuasin,2021,,Giro,556626.702655,4682
SUMATERA SELATAN,Kab. Musi Banyuasin,2021,,Simpanan Berjangka,633105.954423,2520
SUMATERA SELATAN,Kab. Musi Banyuasin,2021,,Tabungan,3156570.218638,878035
SUMATERA SELATAN,Kab. Musi Banyuasin,2022,,Giro,280039.917904,2921
SUMATERA SELATAN,Kab. Musi Banyuasin,2022,,Simpanan Berjangka,562971.423724,2130
SUMATERA SELATAN,Kab. Musi Banyuasin,2022,,Tabungan,3513897.113637,758492
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,,Giro,386274.673498,2489
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,,Simpanan Berjangka,567067.398297,2211
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,,Tabungan,3544431.401035,620088
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Mar,Giro,468507.149721,2585
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Mar,Simpanan Berjangka,563836.772719,2185
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Mar,Tabungan,2857143.856138,567077
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Apr,Giro,584303.112115,2599
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Apr,Simpanan Berjangka,563686.818672,2179
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Apr,Tabungan,2952726.433103,575367
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,May,Giro,677753.052635,4827
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,May,Simpanan Berjangka,584703.473617,2159
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,May,Tabungan,2959483.643969,576330
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Jun,Giro,540103.70878,2544
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Jun,Simpanan Berjangka,604492.489447,2156
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Jun,Tabungan,3002512.478629,584097
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Jul,Giro,470978.557143,2816
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Jul,Simpanan Berjangka,589827.538144,2135
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Jul,Tabungan,3108900.454315,588982
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Aug,Giro,662696.853198,2598
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Aug,Simpanan Berjangka,598372.162307,2219
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Aug,Tabungan,3132239.240838,599687
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Sep,Giro,997711.601678,2598
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Sep,Simpanan Berjangka,551314.226253,2199
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Sep,Tabungan,3183565.713335,602118
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Oct,Giro,1095063.275768,2550
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Oct,Simpanan Berjangka,543165.973684,2205
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Oct,Tabungan,3349554.073993,613623
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Nov,Giro,809144.181434,2527
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Nov,Simpanan Berjangka,544191.515815,2192
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Nov,Tabungan,3399755.361286,617334
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Dec,Giro,386274.673498,2489
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Dec,Simpanan Berjangka,567067.398297,2211
SUMATERA SELATAN,Kab. Musi Banyuasin,2023,Dec,Tabungan,3544431.401035,620088
SUMATERA SELATAN,Kab. Musi Banyuasin,2024,Jan,Giro,429485.989317,3183
SUMATERA SELATAN,Kab. Musi Banyuasin,2024,Jan,Simpanan Berjangka,547556.786487,2216
SUMATERA SELATAN,Kab. Musi Banyuasin,2024,Jan,Tabungan,3379842.429928,628717
SUMATERA SELATAN,Kab. Musi Banyuasin,2024,Feb,Giro,486862.541235,3185
SUMATERA SELATAN,Kab. Musi Banyuasin,2024,Feb,Simpanan Berjangka,552903.700903,2195
SUMATERA SELATAN,Kab. Musi Banyuasin,2024,Feb,Tabungan,3279075.997664,624874
SUMATERA SELATAN,Kab. Musi Banyuasin,2024,Mar,Giro,581261.313693,3151
SUMATERA SELATAN,Kab. Musi Banyuasin,2024,Mar,Simpanan Berjangka,546577.833096,2174
SUMATERA SELATAN,Kab. Musi Banyuasin,2024,Mar,Tabungan,3325536.544413,629433
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2019,,Giro,263008.813109,3207
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2019,,Simpanan Berjangka,844122.913607,3705
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2019,,Tabungan,2146146.225984,553453
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2020,,Giro,161193.634648,4514
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2020,,Simpanan Berjangka,886052.062757,3889
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2020,,Tabungan,2323160.351318,682372
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2021,,Giro,246876.193159,4818
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2021,,Simpanan Berjangka,1052707.589605,3952
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2021,,Tabungan,2454754.3474,854756
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2022,,Giro,246916.324462,3145
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2022,,Simpanan Berjangka,1013479.320256,3982
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2022,,Tabungan,2509872.493963,653162
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,,Giro,288292.992784,3204
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,,Simpanan Berjangka,1524293.775731,4837
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,,Tabungan,2361006.566734,576727
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,Mar,Giro,359678.171148,3444
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,Mar,Simpanan Berjangka,1451311.509008,4848
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,Mar,Tabungan,2120268.404474,522059
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,Apr,Giro,322562.626637,3453
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,Apr,Simpanan Berjangka,1522612.032457,4822
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,Apr,Tabungan,2182312.853009,531757
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,May,Giro,354926.97042,6056
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,May,Simpanan Berjangka,1456159.433406,4804
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,May,Tabungan,2164740.512305,532529
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,Jun,Giro,304211.668001,3297
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,Jun,Simpanan Berjangka,1435881.270689,4977
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,Jun,Tabungan,2257408.405533,539060
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,Jul,Giro,321805.238725,3458
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,Jul,Simpanan Berjangka,1539614.173778,5007
SUMATERA SELATAN,Kab. Ogan Komering Ulu,2023,Jul,Tabungan,2214665.987852,546089
